"Description: ","Monthly sum of daily precipitation >= 1.0 mm"
"Station: ","final_1971_2005_Athens_rcp45"
"Latitude: ","37.98"
"Longitude: ","23.73"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, prcptot, normalised (all years)
1971-01, 108.106723008, 1.93038713789839
1971-02, 67.09777344, 0.896892993287855
1971-03, 113.248727424, 2.05997425269843
1971-04, 0, -0.794083164286179
1971-05, 9.505677024, -0.554524198539621
1971-06, 0, -0.794083164286179
1971-07, 0, -0.794083164286179
1971-08, 0, -0.794083164286179
1971-09, 2.111491584, -0.740870043456544
1971-10, 69.114161952, 0.947709357578202
1971-11, 62.781861888, 0.788124800865547
1971-12, 42.734060352, 0.282886658508016
1972-01, 16.48186704, -0.378712537690536
1972-02, 15.116175072, -0.413130260337375
1972-03, 103.128446592, 1.80492624264533
1972-04, 5.24451024, -0.661912731210287
1972-05, 13.686277536, -0.449166070725509
1972-06, 0, -0.794083164286179
1972-07, 0, -0.794083164286179
1972-08, 1.100696256, -0.766343776968188
1972-09, 0, -0.794083164286179
1972-10, 27.542624832, -0.0999629346549267
1972-11, 1.600859808, -0.753738818592395
1972-12, 30.82357152, -0.0172775884915311
1973-01, 16.756792704, -0.371783950956657
1973-02, 18.427626144, -0.329676152657748
1973-03, 34.111166688, 0.0655753104919914
1973-04, 0, -0.794083164286179
1973-05, 16.2726624, -0.383984844656283
1973-06, 5.43264192, -0.657171498095468
1973-07, 0, -0.794083164286179
1973-08, 3.27046464, -0.711661983270773
1973-09, 31.138824384, -0.00933268884284719
1973-10, 111.59279712, 2.0182420383624
1973-11, 27.10008144, -0.111115768589619
1973-12, 122.510291616, 2.29338116663303
1974-01, 65.2927392, 0.851403110286385
1974-02, 44.259524064, 0.321330896431098
1974-03, 101.993300928, 1.77631867260556
1974-04, 105.043436064, 1.85318718146848
1974-05, 28.993508928, -0.0633982278404266
1974-06, 0, -0.794083164286179
1974-07, 2.183532768, -0.739054485081625
1974-08, 0, -0.794083164286179
1974-09, 27.4725648, -0.101728564684615
1974-10, 9.976984704, -0.542646456419397
1974-11, 29.068625088, -0.0615051749253086
1974-12, 45.169494048, 0.344263662574642
1975-01, 26.40997008, -0.128507729544546
1975-02, 2.859084, -0.722029463714064
1975-03, 106.523144064, 1.89047829889146
1975-04, 9.559249344, -0.5531740864393
1975-05, 4.573057824, -0.678834455556577
1975-06, 2.22240672, -0.73807479644797
1975-07, 2.925110016, -0.720365497637225
1975-08, 4.317547968, -0.685273731442647
1975-09, 0, -0.794083164286179
1975-10, 118.781582112, 2.19941144831709
1975-11, 190.930729824, 4.0176906894215
1975-12, 59.008588128, 0.693031988734228
1976-01, 53.719297632, 0.559733018281552
1976-02, 11.960898912, -0.492648498925319
1976-03, 67.098722112, 0.896916901409558
1976-04, 30.704061312, -0.0202894456956368
1976-05, 18.971639424, -0.315966107767715
1976-06, 4.914545184, -0.670228402713568
1976-07, 0, -0.794083164286179
1976-08, 0, -0.794083164286179
1976-09, 15.69060288, -0.398653718452656
1976-10, 112.919073408, 2.05166641992357
1976-11, 49.921848288, 0.464030940983245
1976-12, 22.424971392, -0.228936364116117
1977-01, 22.010756832, -0.239375264085075
1977-02, 6.175140192, -0.638459299305226
1977-03, 18.622361376, -0.324768498983575
1977-04, 51.311206944, 0.499045103766395
1977-05, 24.4070496, -0.178984676894004
1977-06, 0, -0.794083164286179
1977-07, 0, -0.794083164286179
1977-08, 0, -0.794083164286179
