"Description: ","Annual number of days when precipitation >= 20 mm"
"Station: ","final_1971_2005_Athens_rcp45"
"Latitude: ","37.98"
"Longitude: ","23.73"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, r20mm, normalised (all years)
1971, 8, 1.06616968541319
1972, 2, -1.23110201243844
1973, 3, -0.848223396129834
1974, 5, -0.0824661635126228
1975, 8, 1.06616968541319
1976, 7, 0.683291069104589
1977, 6, 0.300412452795983
1978, 4, -0.465344779821229
1979, 3, -0.848223396129834
1980, 7, 0.683291069104589
1981, 5, -0.0824661635126228
1982, 5, -0.0824661635126228
1983, 6, 0.300412452795983
1984, 6, 0.300412452795983
1985, 10, 1.83192691803041
1986, 6, 0.300412452795983
1987, 5, -0.0824661635126228
1988, 4, -0.465344779821229
1989, 3, -0.848223396129834
1990, 8, 1.06616968541319
1991, 11, 2.21480553433901
1992, 2, -1.23110201243844
1993, 5, -0.0824661635126228
1994, 1, -1.61398062874705
1995, 4, -0.465344779821229
1996, 11, 2.21480553433901
1997, 7, 0.683291069104589
1998, 6, 0.300412452795983
1999, 6, 0.300412452795983
2000, 3, -0.848223396129834
2001, 3, -0.848223396129834
2002, 7, 0.683291069104589
2003, 6, 0.300412452795983
2004, 3, -0.848223396129834
2005, 7, 0.683291069104589
2006, 5, -0.0824661635126228
2007, 5, -0.0824661635126228
2008, 2, -1.23110201243844
2009, 4, -0.465344779821229
2010, 5, -0.0824661635126228
2011, 7, 0.683291069104589
2012, 6, 0.300412452795983
2013, 7, 0.683291069104589
2014, 9, 1.4490483017218
2015, 8, 1.06616968541319
2016, 3, -0.848223396129834
2017, 4, -0.465344779821229
2018, 6, 0.300412452795983
2019, 3, -0.848223396129834
2020, 2, -1.23110201243844
2021, 3, -0.848223396129834
2022, 5, -0.0824661635126228
2023, 1, -1.61398062874705
2024, 7, 0.683291069104589
2025, 5, -0.0824661635126228
2026, 6, 0.300412452795983
2027, 4, -0.465344779821229
2028, 7, 0.683291069104589
2029, 8, 1.06616968541319
2030, 1, -1.61398062874705
2031, 12, 2.59768415064762
2032, 5, -0.0824661635126228
2033, 6, 0.300412452795983
2034, 2, -1.23110201243844
2035, 7, 0.683291069104589
2036, 1, -1.61398062874705
2037, 3, -0.848223396129834
2038, 1, -1.61398062874705
2039, 1, -1.61398062874705
2040, 1, -1.61398062874705
2041, 5, -0.0824661635126228
2042, 4, -0.465344779821229
2043, 2, -1.23110201243844
2044, 2, -1.23110201243844
2045, 10, 1.83192691803041
2046, 12, 2.59768415064762
2047, 8, 1.06616968541319
2048, 4, -0.465344779821229
2049, 3, -0.848223396129834
2050, 9, 1.4490483017218
2051, 5, -0.0824661635126228
2052, 5, -0.0824661635126228
2053, 4, -0.465344779821229
2054, 8, 1.06616968541319
2055, 6, 0.300412452795983
2056, 4, -0.465344779821229
2057, 6, 0.300412452795983
2058, 8, 1.06616968541319
2059, 6, 0.300412452795983
2060, 12, 2.59768415064762
2061, 8, 1.06616968541319
2062, 6, 0.300412452795983
2063, 8, 1.06616968541319
2064, 4, -0.465344779821229
2065, 2, -1.23110201243844
2066, 6, 0.300412452795983
2067, 5, -0.0824661635126228
2068, 7, 0.683291069104589
2069, 6, 0.300412452795983
2070, 5, -0.0824661635126228
2071, 2, -1.23110201243844
2072, 10, 1.83192691803041
2073, 7, 0.683291069104589
2074, 4, -0.465344779821229
2075, 3, -0.848223396129834
2076, 5, -0.0824661635126228
2077, 0, -1.99685924505565
2078, 3, -0.848223396129834
2079, 4, -0.465344779821229
2080, 6, 0.300412452795983
2081, 8, 1.06616968541319
2082, 5, -0.0824661635126228
2083, 3, -0.848223396129834
2084, 3, -0.848223396129834
2085, 11, 2.21480553433901
2086, 10, 1.83192691803041
2087, 1, -1.61398062874705
2088, 4, -0.465344779821229
2089, 4, -0.465344779821229
2090, 6, 0.300412452795983
2091, 2, -1.23110201243844
2092, 5, -0.0824661635126228
2093, 3, -0.848223396129834
2094, 4, -0.465344779821229
2095, 6, 0.300412452795983
2096, 4, -0.465344779821229
2097, 7, 0.683291069104589
2098, 5, -0.0824661635126228
2099, 5, -0.0824661635126228
2100, 3, -0.848223396129834
