"Description: ","Monthly number of days when TX > 25 degrees_C"
"Station: ","final_1971_2005_Athens_rcp45"
"Latitude: ","37.98"
"Longitude: ","23.73"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, su, normalised (all years)
1971-01, 0, -0.948808081539323
1971-02, 0, -0.948808081539323
1971-03, 0, -0.948808081539323
1971-04, 2, -0.799863114776924
1971-05, 18, 0.391696619322272
1971-06, 29, 1.21089393651547
1971-07, 31, 1.35983890327787
1971-08, 31, 1.35983890327787
1971-09, 26, 0.987476486371869
1971-10, 12, -0.0551382809649267
1971-11, 0, -0.948808081539323
1971-12, 0, -0.948808081539323
1972-01, 0, -0.948808081539323
1972-02, 0, -0.948808081539323
1972-03, 0, -0.948808081539323
1972-04, 0, -0.948808081539323
1972-05, 9, -0.278555731108526
1972-06, 30, 1.28536641989667
1972-07, 31, 1.35983890327787
1972-08, 31, 1.35983890327787
1972-09, 26, 0.987476486371869
1972-10, 16, 0.242751652559872
1972-11, 1, -0.874335598158123
1972-12, 0, -0.948808081539323
1973-01, 0, -0.948808081539323
1973-02, 0, -0.948808081539323
1973-03, 0, -0.948808081539323
1973-04, 1, -0.874335598158123
1973-05, 11, -0.129610764346126
1973-06, 29, 1.21089393651547
1973-07, 31, 1.35983890327787
1973-08, 31, 1.35983890327787
1973-09, 30, 1.28536641989667
1973-10, 16, 0.242751652559872
1973-11, 0, -0.948808081539323
1973-12, 0, -0.948808081539323
1974-01, 0, -0.948808081539323
1974-02, 0, -0.948808081539323
1974-03, 0, -0.948808081539323
1974-04, 0, -0.948808081539323
1974-05, 8, -0.353028214489725
1974-06, 29, 1.21089393651547
1974-07, 31, 1.35983890327787
1974-08, 31, 1.35983890327787
1974-09, 29, 1.21089393651547
1974-10, 14, 0.0938066857974727
1974-11, 0, -0.948808081539323
1974-12, 0, -0.948808081539323
1975-01, 0, -0.948808081539323
1975-02, 0, -0.948808081539323
1975-03, 0, -0.948808081539323
1975-04, 0, -0.948808081539323
1975-05, 16, 0.242751652559872
1975-06, 30, 1.28536641989667
1975-07, 31, 1.35983890327787
1975-08, 31, 1.35983890327787
1975-09, 30, 1.28536641989667
1975-10, 7, -0.427500697870925
1975-11, 0, -0.948808081539323
1975-12, 0, -0.948808081539323
1976-01, 0, -0.948808081539323
1976-02, 0, -0.948808081539323
1976-03, 0, -0.948808081539323
1976-04, 0, -0.948808081539323
1976-05, 14, 0.0938066857974727
1976-06, 30, 1.28536641989667
1976-07, 31, 1.35983890327787
