"Description: ","Monthly number of days when TM >= 10 degrees_C"
"Station: ","final_1971_2005_Athens_rcp45"
"Latitude: ","37.98"
"Longitude: ","23.73"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tmge10, normalised (all years)
1971-01, 17, -1.42925965751488
1971-02, 18, -1.27988971943467
1971-03, 20, -0.981149843274265
1971-04, 28, 0.213809661367369
1971-05, 31, 0.661919475607982
1971-06, 30, 0.512549537527778
1971-07, 31, 0.661919475607982
1971-08, 31, 0.661919475607982
1971-09, 30, 0.512549537527778
1971-10, 31, 0.661919475607982
1971-11, 27, 0.064439723287165
1971-12, 11, -2.3254792859961
1972-01, 7, -2.92295903831692
1972-02, 21, -0.831779905194061
1972-03, 29, 0.363179599447574
1972-04, 30, 0.512549537527778
1972-05, 31, 0.661919475607982
1972-06, 30, 0.512549537527778
1972-07, 31, 0.661919475607982
1972-08, 31, 0.661919475607982
1972-09, 30, 0.512549537527778
1972-10, 31, 0.661919475607982
1972-11, 30, 0.512549537527778
1972-12, 18, -1.27988971943467
1973-01, 2, -3.66980872871794
1973-02, 7, -2.92295903831692
1973-03, 25, -0.234300152873244
1973-04, 29, 0.363179599447574
1973-05, 31, 0.661919475607982
1973-06, 30, 0.512549537527778
1973-07, 31, 0.661919475607982
1973-08, 31, 0.661919475607982
1973-09, 30, 0.512549537527778
1973-10, 31, 0.661919475607982
1973-11, 29, 0.363179599447574
1973-12, 17, -1.42925965751488
1974-01, 8, -2.77358910023672
1974-02, 10, -2.47484922407631
1974-03, 22, -0.682409967113857
1974-04, 30, 0.512549537527778
1974-05, 31, 0.661919475607982
1974-06, 30, 0.512549537527778
1974-07, 31, 0.661919475607982
1974-08, 31, 0.661919475607982
1974-09, 30, 0.512549537527778
1974-10, 31, 0.661919475607982
1974-11, 30, 0.512549537527778
1974-12, 17, -1.42925965751488
1975-01, 11, -2.3254792859961
1975-02, 10, -2.47484922407631
1975-03, 19, -1.13051978135447
1975-04, 25, -0.234300152873244
1975-05, 31, 0.661919475607982
1975-06, 30, 0.512549537527778
1975-07, 31, 0.661919475607982
1975-08, 31, 0.661919475607982
1975-09, 30, 0.512549537527778
1975-10, 31, 0.661919475607982
1975-11, 27, 0.064439723287165
1975-12, 18, -1.27988971943467
1976-01, 3, -3.52043879063774
1976-02, 8, -2.77358910023672
1976-03, 27, 0.064439723287165
1976-04, 28, 0.213809661367369
1976-05, 31, 0.661919475607982
1976-06, 30, 0.512549537527778
1976-07, 31, 0.661919475607982
1976-08, 31, 0.661919475607982
1976-09, 30, 0.512549537527778
1976-10, 31, 0.661919475607982
1976-11, 30, 0.512549537527778
1976-12, 20, -0.981149843274265
1977-01, 5, -3.22169891447733
1977-02, 12, -2.1761093479159
1977-03, 16, -1.57862959559508
1977-04, 30, 0.512549537527778
1977-05, 31, 0.661919475607982
1977-06, 30, 0.512549537527778
1977-07, 31, 0.661919475607982
1977-08, 31, 0.661919475607982
1977-09, 30, 0.512549537527778
1977-10, 31, 0.661919475607982
1977-11, 30, 0.512549537527778
1977-12, 17, -1.42925965751488
1978-01, 16, -1.57862959559508
1978-02, 3, -3.52043879063774
1978-03, 19, -1.13051978135447
