"Description: ","Monthly number of days when TN > 20 degrees_C"
"Station: ","final_1971_2005_Athens_rcp45"
"Latitude: ","37.98"
"Longitude: ","23.73"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tr, normalised (all years)
1971-01, 0, -0.671179732711211
1971-02, 0, -0.671179732711211
1971-03, 0, -0.671179732711211
1971-04, 0, -0.671179732711211
1971-05, 0, -0.671179732711211
1971-06, 5, -0.237119379909002
1971-07, 29, 1.8463703135416
1971-08, 23, 1.32549789017895
1971-09, 2, -0.497555591590328
1971-10, 0, -0.671179732711211
1971-11, 0, -0.671179732711211
1971-12, 0, -0.671179732711211
1972-01, 0, -0.671179732711211
1972-02, 0, -0.671179732711211
1972-03, 0, -0.671179732711211
1972-04, 0, -0.671179732711211
1972-05, 0, -0.671179732711211
1972-06, 22, 1.23868581961851
1972-07, 28, 1.75955824298116
1972-08, 22, 1.23868581961851
1972-09, 4, -0.323931450469444
1972-10, 0, -0.671179732711211
1972-11, 0, -0.671179732711211
1972-12, 0, -0.671179732711211
1973-01, 0, -0.671179732711211
1973-02, 0, -0.671179732711211
1973-03, 0, -0.671179732711211
1973-04, 0, -0.671179732711211
1973-05, 0, -0.671179732711211
1973-06, 4, -0.323931450469444
1973-07, 29, 1.8463703135416
1973-08, 21, 1.15187374905807
1973-09, 17, 0.804625466816301
1973-10, 0, -0.671179732711211
1973-11, 0, -0.671179732711211
1973-12, 0, -0.671179732711211
1974-01, 0, -0.671179732711211
1974-02, 0, -0.671179732711211
1974-03, 0, -0.671179732711211
1974-04, 0, -0.671179732711211
1974-05, 0, -0.671179732711211
1974-06, 17, 0.804625466816301
1974-07, 27, 1.67274617242072
1974-08, 30, 1.93318238410205
1974-09, 12, 0.370565114014091
1974-10, 0, -0.671179732711211
1974-11, 0, -0.671179732711211
1974-12, 0, -0.671179732711211
1975-01, 0, -0.671179732711211
1975-02, 0, -0.671179732711211
1975-03, 0, -0.671179732711211
1975-04, 0, -0.671179732711211
1975-05, 0, -0.671179732711211
1975-06, 15, 0.631001325695417
1975-07, 26, 1.58593410186028
1975-08, 27, 1.67274617242072
1975-09, 23, 1.32549789017895
1975-10, 2, -0.497555591590328
1975-11, 0, -0.671179732711211
1975-12, 0, -0.671179732711211
1976-01, 0, -0.671179732711211
1976-02, 0, -0.671179732711211
1976-03, 0, -0.671179732711211
1976-04, 0, -0.671179732711211
1976-05, 0, -0.671179732711211
1976-06, 10, 0.196940972893208
1976-07, 26, 1.58593410186028
1976-08, 14, 0.544189255134975
1976-09, 3, -0.410743521029886
1976-10, 0, -0.671179732711211
1976-11, 0, -0.671179732711211
1976-12, 0, -0.671179732711211
1977-01, 0, -0.671179732711211
1977-02, 0, -0.671179732711211
1977-03, 0, -0.671179732711211
1977-04, 0, -0.671179732711211
1977-05, 0, -0.671179732711211
1977-06, 9, 0.110128902332766
1977-07, 27, 1.67274617242072
1977-08, 27, 1.67274617242072
1977-09, 0, -0.671179732711211
1977-10, 0, -0.671179732711211
1977-11, 0, -0.671179732711211
1977-12, 0, -0.671179732711211
1978-01, 0, -0.671179732711211
1978-02, 0, -0.671179732711211
1978-03, 0, -0.671179732711211
1978-04, 0, -0.671179732711211
1978-05, 1, -0.58436766215077
1978-06, 4, -0.323931450469444
1978-07, 23, 1.32549789017895
1978-08, 29, 1.8463703135416
1978-09, 10, 0.196940972893208
1978-10, 0, -0.671179732711211
1978-11, 0, -0.671179732711211
1978-12, 0, -0.671179732711211
1979-01, 0, -0.671179732711211
1979-02, 0, -0.671179732711211
1979-03, 0, -0.671179732711211
1979-04, 0, -0.671179732711211
1979-05, 0, -0.671179732711211
1979-06, 6, -0.15030730934856
1979-07, 30, 1.93318238410205
1979-08, 30, 1.93318238410205
1979-09, 10, 0.196940972893208
1979-10, 0, -0.671179732711211
1979-11, 0, -0.671179732711211
1979-12, 0, -0.671179732711211
1980-01, 0, -0.671179732711211
1980-02, 0, -0.671179732711211
1980-03, 0, -0.671179732711211
1980-04, 0, -0.671179732711211
1980-05, 3, -0.410743521029886
1980-06, 8, 0.0233168317723239
1980-07, 30, 1.93318238410205
1980-08, 31, 2.01999445466249
1980-09, 9, 0.110128902332766
1980-10, 0, -0.671179732711211
1980-11, 0, -0.671179732711211
1980-12, 0, -0.671179732711211
1981-01, 0, -0.671179732711211
1981-02, 0, -0.671179732711211
1981-03, 0, -0.671179732711211
1981-04, 0, -0.671179732711211
1981-05, 0, -0.671179732711211
1981-06, 11, 0.28375304345365
1981-07, 24, 1.41230996073939
1981-08, 30, 1.93318238410205
1981-09, 16, 0.717813396255859
1981-10, 0, -0.671179732711211
1981-11, 0, -0.671179732711211
1981-12, 0, -0.671179732711211
1982-01, 0, -0.671179732711211
1982-02, 0, -0.671179732711211
1982-03, 0, -0.671179732711211
1982-04, 0, -0.671179732711211
1982-05, 2, -0.497555591590328
1982-06, 16, 0.717813396255859
1982-07, 29, 1.8463703135416
1982-08, 24, 1.41230996073939
1982-09, 6, -0.15030730934856
1982-10, 0, -0.671179732711211
1982-11, 0, -0.671179732711211
1982-12, 0, -0.671179732711211
1983-01, 0, -0.671179732711211
1983-02, 0, -0.671179732711211
1983-03, 0, -0.671179732711211
1983-04, 0, -0.671179732711211
1983-05, 2, -0.497555591590328
1983-06, 12, 0.370565114014091
1983-07, 30, 1.93318238410205
1983-08, 22, 1.23868581961851
1983-09, 11, 0.28375304345365
1983-10, 0, -0.671179732711211
1983-11, 0, -0.671179732711211
1983-12, 0, -0.671179732711211
1984-01, 0, -0.671179732711211
1984-02, 0, -0.671179732711211
1984-03, 0, -0.671179732711211
1984-04, 0, -0.671179732711211
1984-05, 0, -0.671179732711211
1984-06, 6, -0.15030730934856
1984-07, 26, 1.58593410186028
1984-08, 28, 1.75955824298116
1984-09, 4, -0.323931450469444
1984-10, 0, -0.671179732711211
1984-11, 0, -0.671179732711211
