"Description: ","Monthly number of days when TX >= 30 degrees_C"
"Station: ","final_1971_2005_Athens_rcp45"
"Latitude: ","37.98"
"Longitude: ","23.73"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, txge30, normalised (all years)
1971-01, 0, -0.701176812000842
1971-02, 0, -0.701176812000842
1971-03, 0, -0.701176812000842
1971-04, 0, -0.701176812000842
1971-05, 3, -0.435983060573337
1971-06, 9, 0.0944044422816714
1971-07, 28, 1.7739648679892
1971-08, 28, 1.7739648679892
1971-09, 2, -0.524380977715839
1971-10, 2, -0.524380977715839
1971-11, 0, -0.701176812000842
1971-12, 0, -0.701176812000842
1972-01, 0, -0.701176812000842
1972-02, 0, -0.701176812000842
1972-03, 0, -0.701176812000842
1972-04, 0, -0.701176812000842
1972-05, 0, -0.701176812000842
1972-06, 21, 1.15517944799169
1972-07, 27, 1.6855669508467
1972-08, 21, 1.15517944799169
1972-09, 8, 0.00600652513916995
1972-10, 3, -0.435983060573337
1972-11, 0, -0.701176812000842
1972-12, 0, -0.701176812000842
1973-01, 0, -0.701176812000842
1973-02, 0, -0.701176812000842
1973-03, 0, -0.701176812000842
1973-04, 0, -0.701176812000842
1973-05, 0, -0.701176812000842
1973-06, 9, 0.0944044422816714
1973-07, 28, 1.7739648679892
1973-08, 22, 1.24357736513419
1973-09, 12, 0.359598193709176
1973-10, 1, -0.61277889485834
1973-11, 0, -0.701176812000842
1973-12, 0, -0.701176812000842
1974-01, 0, -0.701176812000842
1974-02, 0, -0.701176812000842
1974-03, 0, -0.701176812000842
1974-04, 0, -0.701176812000842
1974-05, 2, -0.524380977715839
1974-06, 19, 0.978383613706686
1974-07, 29, 1.8623627851317
1974-08, 27, 1.6855669508467
1974-09, 8, 0.00600652513916995
1974-10, 0, -0.701176812000842
1974-11, 0, -0.701176812000842
1974-12, 0, -0.701176812000842
1975-01, 0, -0.701176812000842
1975-02, 0, -0.701176812000842
1975-03, 0, -0.701176812000842
1975-04, 0, -0.701176812000842
1975-05, 2, -0.524380977715839
1975-06, 25, 1.50877111656169
1975-07, 28, 1.7739648679892
1975-08, 30, 1.9507607022742
1975-09, 20, 1.06678153084919
1975-10, 0, -0.701176812000842
1975-11, 0, -0.701176812000842
1975-12, 0, -0.701176812000842
1976-01, 0, -0.701176812000842
1976-02, 0, -0.701176812000842
1976-03, 0, -0.701176812000842
1976-04, 0, -0.701176812000842
1976-05, 2, -0.524380977715839
1976-06, 16, 0.713189862279181
1976-07, 29, 1.8623627851317
1976-08, 23, 1.33197528227669
1976-09, 9, 0.0944044422816714
1976-10, 1, -0.61277889485834
1976-11, 0, -0.701176812000842
1976-12, 0, -0.701176812000842
1977-01, 0, -0.701176812000842
1977-02, 0, -0.701176812000842
1977-03, 0, -0.701176812000842
1977-04, 0, -0.701176812000842
1977-05, 6, -0.170789309145833
1977-06, 15, 0.62479194513668
1977-07, 30, 1.9507607022742
1977-08, 27, 1.6855669508467
1977-09, 4, -0.347585143430836
1977-10, 1, -0.61277889485834
1977-11, 0, -0.701176812000842
1977-12, 0, -0.701176812000842
1978-01, 0, -0.701176812000842
1978-02, 0, -0.701176812000842
1978-03, 0, -0.701176812000842
1978-04, 0, -0.701176812000842
1978-05, 2, -0.524380977715839
1978-06, 14, 0.536394027994179
1978-07, 24, 1.42037319941919
1978-08, 28, 1.7739648679892
1978-09, 13, 0.447996110851677
1978-10, 0, -0.701176812000842
1978-11, 0, -0.701176812000842
1978-12, 0, -0.701176812000842
1979-01, 0, -0.701176812000842
1979-02, 0, -0.701176812000842
1979-03, 0, -0.701176812000842
1979-04, 0, -0.701176812000842
1979-05, 1, -0.61277889485834
1979-06, 8, 0.00600652513916995
1979-07, 31, 2.0391586194167
1979-08, 28, 1.7739648679892
1979-09, 7, -0.0823913920033315
1979-10, 0, -0.701176812000842
1979-11, 0, -0.701176812000842
1979-12, 0, -0.701176812000842
1980-01, 0, -0.701176812000842
1980-02, 0, -0.701176812000842
1980-03, 0, -0.701176812000842
1980-04, 0, -0.701176812000842
1980-05, 5, -0.259187226288334
1980-06, 10, 0.182802359424173
1980-07, 30, 1.9507607022742
1980-08, 29, 1.8623627851317
1980-09, 10, 0.182802359424173
1980-10, 0, -0.701176812000842
1980-11, 0, -0.701176812000842
1980-12, 0, -0.701176812000842
1981-01, 0, -0.701176812000842
1981-02, 0, -0.701176812000842
1981-03, 0, -0.701176812000842
1981-04, 0, -0.701176812000842
1981-05, 0, -0.701176812000842
1981-06, 18, 0.889985696564184
1981-07, 28, 1.7739648679892
1981-08, 26, 1.5971690337042
1981-09, 16, 0.713189862279181
1981-10, 0, -0.701176812000842
1981-11, 0, -0.701176812000842
1981-12, 0, -0.701176812000842
1982-01, 0, -0.701176812000842
