"Description: ","Linear trend statistics"
"Station: ","final_1971_2005_Athens_rcp45"
"Latitude: ","37.98"
"Longitude: ","23.73"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
Index,Frequency,StartYear,EndYear,Lower bound,Slope,Upper bound
fd,annual,1971,2100,0,0,0
fd,monthly,1971,2100,0,0,0
fd,DJF,1971,2100,0,0,0
fd,MAM,1971,2100,0,0,0
fd,JJA,1971,2100,0,0,0
fd,SON,1971,2100,0,0,0
tnlt2,annual,1971,2100,-0.0833333333333333,-0.0638297872340425,-0.0444444444444444
tnlt2,monthly,1971,2100,0,0,0
tnlt2,DJF,1971,2100,-0.0243055555555556,-0.0175438596491228,-0.0114942528735632
tnlt2,MAM,1971,2100,0,0,0
tnlt2,JJA,1971,2100,0,0,0
tnlt2,SON,1971,2100,0,0,0
tnltm2,annual,1971,2100,0,0,0
tnltm2,monthly,1971,2100,0,0,0
tnltm2,DJF,1971,2100,0,0,0
tnltm2,MAM,1971,2100,0,0,0
tnltm2,JJA,1971,2100,0,0,0
tnltm2,SON,1971,2100,0,0,0
tnltm20,annual,1971,2100,0,0,0
tnltm20,monthly,1971,2100,0,0,0
tnltm20,DJF,1971,2100,0,0,0
tnltm20,MAM,1971,2100,0,0,0
tnltm20,JJA,1971,2100,0,0,0
tnltm20,SON,1971,2100,0,0,0
id,annual,1971,2100,0,0,0
id,monthly,1971,2100,0,0,0
id,DJF,1971,2100,0,0,0
id,MAM,1971,2100,0,0,0
id,JJA,1971,2100,0,0,0
id,SON,1971,2100,0,0,0
su,annual,1971,2100,0.115384615384615,0.166666666666667,0.222222222222222
su,monthly,1971,2100,0,0,0
su,DJF,1971,2100,0,0,0
su,MAM,1971,2100,0.0806451612903226,0.1125,0.145631067961165
su,JJA,1971,2100,0,0,0
su,SON,1971,2100,0,0.0416666666666667,0.0857142857142857
tr,annual,1971,2100,0.292682926829268,0.346666666666667,0.396825396825397
tr,monthly,1971,2100,0,0,0
tr,DJF,1971,2100,0,0,0
tr,MAM,1971,2100,0,0.0163934426229508,0.0350877192982456
tr,JJA,1971,2100,0.153846153846154,0.185714285714286,0.215384615384615
tr,SON,1971,2100,0.0793650793650794,0.111111111111111,0.13953488372093
gsl,annual,1971,2100,0,0,0
txx,annual,1971,2100,0.0145314814814812,0.0218469565217392,0.0287175
txx,monthly,1971,2100,0.00105162644281219,0.00180770917301087,0.00256514954486346
txx,DJF,1971,2100,0.0122180555555557,0.0191200800915328,0.0255212765957448
txx,MAM,1971,2100,0.0142939759036144,0.0306318181818183,0.046322033898305
txx,JJA,1971,2100,0.0127103448275867,0.0206147058823532,0.0280057142857142
txx,SON,1971,2100,0.0107622641509435,0.0214766666666662,0.0306581081081084
tnn,annual,1971,2100,0.00687083333333523,0.0106901960784318,0.01432967032967
tnn,monthly,1971,2100,0.000668589743589802,0.00128177878547739,0.00191474358974363
tnn,DJF,1971,2100,0.00606969696969607,0.00981804761904698,0.0135437500000002
tnn,MAM,1971,2100,0.00976756756756714,0.0166636363636357,0.0237142857142869
tnn,JJA,1971,2100,0.0136274999999998,0.0214632352941175,0.0292586206896552
tnn,SON,1971,2100,0.00358111111111094,0.0123384615384619,0.0213489361702127
tnx,annual,1971,2100,0.0180922222222219,0.0243185185185185,0.0307991869918699
tnx,monthly,1971,2100,0.00102479108635103,0.00160483388097851,0.00217633333333334
tnx,DJF,1971,2100,0.00894098360655692,0.0154338309859157,0.0224836363636355
tnx,MAM,1971,2100,0.0187488372093021,0.0295322580645164,0.0415238095238103
tnx,JJA,1971,2100,0.0182973684210527,0.0245596774193546,0.0311061538461532
tnx,SON,1971,2100,0.0156047619047621,0.0238054054054062,0.0316504761904764
txn,annual,1971,2100,0.00702765957446796,0.0179687499999996,0.0273701923076922
txn,monthly,1971,2100,0.000570868347338939,0.00149112517580866,0.00240110116999314
txn,DJF,1971,2100,0.00615046728971954,0.0169848012889371,0.0267678571428576
txn,MAM,1971,2100,0.0136097560975613,0.0240867469879515,0.034868085106383
txn,JJA,1971,2100,0.0070642857142856,0.0164670731707318,0.0253059523809523
txn,SON,1971,2100,0.00239649122806992,0.0158312500000003,0.028215789473686
dtr,annual,1971,2100,-0.00220763802407632,-0.000802836340045469,0.000687287694871586
dtr,monthly,1971,2100,-0.000355856209150319,-0.00016043319768102,3.57135948154977e-05
dtr,DJF,1971,2100,0.0003239673010474,0.00414191999089914,0.00791897979133012
dtr,MAM,1971,2100,-0.00277775368211802,0.000443865847414265,0.00333003297491043
dtr,JJA,1971,2100,-0.00811884275524322,-0.00652232918017869,-0.00484898706560738
dtr,SON,1971,2100,-0.00382498263888884,-0.00138886379928311,0.0011916237839222
wsdi,annual,1971,2100,0.208333333333333,0.280701754385965,0.348314606741573
wsdi3,annual,1971,2100,0.410526315789474,0.492753623188406,0.583333333333333
csdi,annual,1971,2100,0,0,0
csdi3,annual,1971,2100,-0.161290322580645,-0.129310344827586,-0.0990990990990991
txgt50p,annual,1971,2100,0.177498831989799,0.209132420091324,0.23972602739726
txgt50p,monthly,1971,2100,0.0155086848635235,0.0178000581226388,0.0200719289948638
txgt50p,DJF,1971,2100,0.151776200163297,0.209452935779679,0.271543545115488
txgt50p,MAM,1971,2100,0.165425971877585,0.225507765830347,0.282092127970264
txgt50p,JJA,1971,2100,0.209704167335366,0.260165616116673,0.306083999632387
txgt50p,SON,1971,2100,0.0878136200716845,0.151234567901235,0.209635498543252
tx10p,annual,1971,2100,-0.0765083337025206,-0.0637522768670309,-0.051023872069522
tx10p,monthly,1971,2100,-0.00256950511331518,-0.000269490931630151,0
tx10p,DJF,1971,2100,-0.0803690651887995,-0.0576309224215882,-0.0334717718230263
tx10p,MAM,1971,2100,-0.0788530465949821,-0.054092604783849,-0.0330421146953405
tx10p,JJA,1971,2100,-0.0911160704222177,-0.0724991854024112,-0.0533611293979958
tx10p,SON,1971,2100,-0.0740740740740741,-0.0497458242556282,-0.0268817204301075
tx90p,annual,1971,2100,0.131849315068493,0.158242796410014,0.183857012750455
tx90p,monthly,1971,2100,0.010112245929821,0.0115694362559078,0.0130439319628509
tx90p,DJF,1971,2100,0.12123128821421,0.161655300463865,0.204628035953337
tx90p,MAM,1971,2100,0.129749103942652,0.175953079178886,0.220846457405597
tx90p,JJA,1971,2100,0.10752688172043,0.142194018449968,0.173237753882915
tx90p,SON,1971,2100,0.0773361255419972,0.116022832868711,0.15531660692951
tn10p,annual,1971,2100,-0.0986035555025963,-0.0847535161480816,-0.069980671822127
tn10p,monthly,1971,2100,-0.00431185490608241,-0.00335700120949223,-0.00237230413993431
tn10p,DJF,1971,2100,-0.0898472596585804,-0.0684411715235438,-0.048528866496543
tn10p,MAM,1971,2100,-0.113529386362655,-0.0923822504922005,-0.0694444444444444
tn10p,JJA,1971,2100,-0.0977517106549365,-0.0785116914149172,-0.0607870822924587
tn10p,SON,1971,2100,-0.0798557774364226,-0.0567890890471536,-0.0320512820512821
tn90p,annual,1971,2100,0.164846307222234,0.187454938716655,0.214698027052641
tn90p,monthly,1971,2100,0.0121144348150219,0.0136109976861304,0.0151285930408472
tn90p,DJF,1971,2100,0.0549993820294154,0.0858684586547005,0.115092223473517
tn90p,MAM,1971,2100,0.146004638414506,0.186379928315412,0.230918385334038
tn90p,JJA,1971,2100,0.240994941406746,0.290322580645161,0.344982078853047
tn90p,SON,1971,2100,0.11255737911086,0.159824046920821,0.208226659839563
tmge5,annual,1971,2100,0.0232558139534884,0.0403225806451613,0.0555555555555556
tmge5,monthly,1971,2100,0,0,0
tmge5,DJF,1971,2100,0.00694444444444442,0.0128827483196416,0.0190476190476191
tmge5,MAM,1971,2100,0,0,0
tmge5,JJA,1971,2100,0,0,0
tmge5,SON,1971,2100,0,0,0
tmlt5,annual,1971,2100,-0.0547945205479452,-0.04,-0.0232558139534884
tmlt5,monthly,1971,2100,0,0,0
tmlt5,DJF,1971,2100,-0.0185185185185185,-0.0125786163522013,-0.00680272108843537
tmlt5,MAM,1971,2100,0,0,0
tmlt5,JJA,1971,2100,0,0,0
tmlt5,SON,1971,2100,0,0,0
tmge10,annual,1971,2100,0.194690265486726,0.2625,0.329113924050633
tmge10,monthly,1971,2100,0,0,0
tmge10,DJF,1971,2100,0.05,0.0675675675675676,0.0848484848484848
tmge10,MAM,1971,2100,0.00952380952380959,0.018018018018018,0.0266666666666667
tmge10,JJA,1971,2100,0,0,0
tmge10,SON,1971,2100,0,0,0
tmlt10,annual,1971,2100,-0.329113924050633,-0.264150943396226,-0.197674418604651
tmlt10,monthly,1971,2100,0,0,0
tmlt10,DJF,1971,2100,-0.0849673202614379,-0.0678047839506173,-0.0503144654088051
tmlt10,MAM,1971,2100,-0.0266666666666667,-0.018018018018018,-0.00952380952380953
tmlt10,JJA,1971,2100,0,0,0
tmlt10,SON,1971,2100,0,0,0
txge30,annual,1971,2100,0.181818181818182,0.240963855421687,0.295454545454545
txge30,monthly,1971,2100,0,0,0
txge30,DJF,1971,2100,0,0,0
txge30,MAM,1971,2100,0.0192307692307692,0.0408163265306122,0.0652173913043478
txge30,JJA,1971,2100,0.100840336134454,0.130841121495327,0.162162162162162
txge30,SON,1971,2100,0.0246913580246914,0.0504201680672269,0.0769230769230769
txge35,annual,1971,2100,0.148148148148148,0.184615384615385,0.224489795918367
txge35,monthly,1971,2100,0,0,0
txge35,DJF,1971,2100,0,0,0
txge35,MAM,1971,2100,0,0,0
txge35,JJA,1971,2100,0.125,0.161290322580645,0.2
txge35,SON,1971,2100,0,0,0.00900900900900901
tx95t,NA,1971,2100,0.0167980314960629,0.0256084664246817,0.0374955128205129
hddheat18,annual,1971,2100,-3.76172105263156,-3.12217583333333,-2.47322881355932
cddcold18,annual,1971,2100,3.05074558823528,3.56407535211268,4.06077800000001
gddgrow10,annual,1971,2100,5.00511770833334,5.85291306818184,6.61186530612246
cdd,annual,1971,2100,0,0.157894736842105,0.3125
cwd,annual,1971,2100,0,0,0
r10mm,annual,1971,2100,-0.0277777777777778,0,0.00925925925925926
r10mm,monthly,1971,2100,0,0,0
r10mm,DJF,1971,2100,0,0,0.0116279069767442
r10mm,MAM,1971,2100,-0.0102040816326531,0,0
r10mm,JJA,1971,2100,0,0,0
r10mm,SON,1971,2100,-0.0149253731343284,0,0
r20mm,annual,1971,2100,-0.0149253731343284,0,0
r20mm,monthly,1971,2100,0,0,0
r20mm,DJF,1971,2100,0,0,0
r20mm,MAM,1971,2100,0,0,0
r20mm,JJA,1971,2100,0,0,0
r20mm,SON,1971,2100,0,0,0
rx1day,annual,1971,2100,-0.0487583023728812,0,0.0303670916129033
rx1day,monthly,1971,2100,-0.00117479130063966,-0.000271044568421053,0
rx1day,DJF,1971,2100,-0.020838144,0.0292298707036248,0.09171072
rx1day,MAM,1971,2100,-0.14441808,-0.0750098879999999,0
rx1day,JJA,1971,2100,-0.0185734578461538,-0.00248055970909091,0.0115248318680412
rx1day,SON,1971,2100,-0.0748417037837838,0,0.0710503256692913
rx5day,annual,1971,2100,-0.139656651222857,-0.0207387650009304,0.0816017068799965
rx5day,monthly,1971,2100,-0.00223003709751569,-0.000764341408227492,-3.11352518920764e-18
