"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Athens_rcp85"
"Latitude: ","37.98"
"Longitude: ","23.73"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
1971, 25.471475, 25.8736, 1, 4, 4
1972, 23.87642, 25.994, 3, 5, 11
1973, 26.9386666666667, 27.7547, 1, 3, 3
1974, 21.4415041666667, 22.0518, 2, 4, 7
1975, 22.4061545454546, 24.472, 4, 11, 20
1976, -99.9, -99.9, 0, -99.9, 0
1977, -99.9, -99.9, 0, -99.9, 0
1978, -99.9, -99.9, 0, -99.9, 0
1979, 22.410755, 28.516, 5, 7, 21
1980, 22.5527111111111, 27.1899, 3, 5, 11
1981, -99.9, -99.9, 0, -99.9, 0
1982, 23.3159333333334, 28.0635, 4, 5, 14
1983, 23.974625, 24.7442, 1, 4, 4
1984, 26.6537, 27.4502, 1, 3, 3
1985, 25.8532666666667, 26.2832, 1, 3, 3
1986, 23.3830641666667, 26.0185, 3, 8, 17
1987, -99.9, -99.9, 0, -99.9, 0
1988, -99.9, -99.9, 0, -99.9, 0
1989, 15.0205, 15.0205, 1, 1, 1
1990, 23.2661125, 25.7373, 2, 4, 7
1991, 23.83025, 26.2683, 2, 6, 9
1992, 25.3908888888889, 26.4837, 3, 3, 9
1993, -99.9, -99.9, 0, -99.9, 0
1994, 25.0129733333334, 29.042, 4, 5, 14
1995, 21.6393711111111, 25.3334, 6, 5, 22
1996, 24.33083, 26.2938, 2, 5, 8
1997, 26.54116, 27.3882, 1, 5, 5
1998, -99.9, -99.9, 0, -99.9, 0
1999, 26.6505933333334, 27.3511, 2, 5, 8
2000, -99.9, -99.9, 0, -99.9, 0
2001, 25.5666594444445, 27.8768, 3, 10, 17
2002, 27.45015, 27.9588, 1, 4, 4
2003, 20.7659041666667, 23.097, 2, 4, 7
2004, 21.7534, 22.7712, 1, 4, 4
2005, 23.73835, 24.3101, 1, 4, 4
2006, 23.6313, 26.3853, 1, 5, 5
2007, 21.04032375, 24.5517, 4, 5, 15
2008, 25.7462755357143, 27.8067, 4, 14, 27
2009, -99.9, -99.9, 0, -99.9, 0
2010, 21.6393311904762, 24.8699, 4, 7, 22
2011, 25.8472555555556, 27.6938, 2, 9, 12
2012, 22.9105115476191, 26.8278, 6, 7, 26
2013, 25.5150141025641, 27.6962, 4, 13, 27
2014, 21.2797645833334, 26.5905, 4, 8, 19
2015, 24.2998671428572, 26.767, 7, 5, 28
2016, 24.316055952381, 27.5798, 5, 7, 22
2017, 24.7110904761905, 27.6907, 7, 4, 24
2018, 21.1023166666667, 22.8736, 2, 3, 6
2019, 26.4955857142857, 29.4199, 5, 7, 27
2020, 25.5286374074074, 27.3543, 6, 10, 38
2021, 24.32904, 26.7493, 5, 5, 19
2022, 24.0664063333334, 31.0517, 5, 20, 38
2023, 20.7218777777778, 27.9312, 4, 9, 20
2024, 25.6814333333333, 26.4108, 1, 3, 3
2025, 24.1009529761905, 28.7359, 7, 9, 43
2026, 22.3385348148148, 28.2618000000001, 6, 9, 28
2027, 23.2294625, 25.046, 2, 7, 11
2028, 25.0364869791667, 28.1677, 8, 8, 34
2029, 22.1139064102564, 27.8018, 4, 13, 22
2030, 20.1131166666667, 21.3413, 2, 3, 6
2031, 24.16456, 26.7008, 2, 5, 9
2032, 22.7444528571429, 26.809, 5, 12, 36
2033, 26.66699, 27.869, 2, 5, 8
2034, 23.6149985077423, 28.2263, 11, 16, 74
2035, 22.3320895833334, 27.2656, 2, 8, 11
2036, 23.2677460582011, 27.9489, 9, 9, 52
2037, 23.0280007936508, 28.8065, 4, 9, 22
2038, 24.2454863333334, 27.9355, 5, 10, 25
2039, 22.6892606349207, 29.7484, 7, 9, 35
2040, 23.9704954761905, 27.494, 5, 7, 25
2041, 23.2740178571429, 28.9776, 7, 12, 43
2042, 22.5719751488095, 26.4021, 8, 7, 36
2043, 25.0929355208334, 27.0614, 8, 9, 48
2044, 23.5153136728395, 27.7237, 9, 18, 68
2045, 23.8516784920635, 26.9715, 6, 7, 31
2046, 24.4819321428572, 27.6508, 7, 20, 57
2047, 22.0401116212121, 30.0923, 8, 25, 60
2048, 25.3576500729908, 31.7163, 8, 17, 65
2049, 25.2549168065268, 30.0336, 5, 22, 44
2050, 23.2886624053447, 27.1208, 10, 14, 69
2051, 24.1768642857143, 27.635, 8, 7, 41
2052, 22.7495875925926, 31.4292, 9, 15, 64
2053, 24.0214127056277, 29.9595, 11, 10, 61
2054, 23.4088054285714, 28.5669, 10, 10, 63
2055, 22.6650147811448, 30.5164, 9, 25, 61
2056, 23.1444976136364, 30.4003, 11, 16, 65
2057, 22.9028878125, 26.9551, 8, 10, 47
2058, 23.7489444318182, 27.784, 8, 22, 47
2059, 24.8558024025974, 31.5289, 11, 15, 78
2060, 23.6968221315193, 27.3972, 7, 10, 41
2061, 24.4265946145125, 28.414, 7, 14, 50
2062, 22.6086390740741, 28.8501, 9, 24, 100
2063, 25.1194942803031, 30.0473, 8, 11, 35
2064, 23.9935740358127, 28.6586, 11, 14, 80
2065, 24.1121952118589, 28.9887, 11, 28, 92
2066, 24.0996838712522, 29.2786, 9, 18, 90
2067, 24.4198574447557, 29.604, 9, 17, 59
2068, 23.4456922817461, 29.6078, 10, 32, 87
2069, 23.9892526848371, 29.5615, 8, 38, 93
2070, 25.3516783071259, 29.6629, 12, 17, 90
2071, 24.5816585876624, 28.2033, 6, 42, 113
2072, 23.5209909090909, 27.73, 11, 20, 68
2073, 24.3734808641976, 28.3633, 9, 18, 59
2074, 24.0904120251481, 29.7736, 10, 22, 105
2075, 25.3045376424342, 28.8638, 9, 42, 120
2076, 23.417948009768, 31.6875, 9, 39, 84
2077, 23.9508323938408, 30.7558, 9, 39, 101
2078, 25.5993292455756, 29.7805, 9, 29, 86
2079, 23.0837259678224, 33.5777, 10, 50, 149
2080, 24.4707123333334, 30.0205, 10, 18, 88
2081, 23.9376137446326, 30.0685, 11, 19, 110
2082, 25.5399817346939, 30.122, 7, 44, 93
2083, 24.476103242192, 32.5022, 8, 38, 124
