"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Berlin_rcp45"
"Latitude: ","52.51"
"Longitude: ","13.4"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, CWM, CWA, CWN, CWD, CWF
1971, -9.90993764214724, -34.0652235190221, 4, 5, 18
1972, -15.8146833591535, -74.3879750761557, 4, 14, 31
1973, -99.9, -99.9, 0, -99.9, 0
1974, -38.5058421468029, -149.055555716328, 1, 23, 23
1975, -32.5342667615902, -168.99527308855, 5, 21, 71
1976, -19.4444815224427, -168.99527308855, 4, 17, 27
1977, -14.4311553150225, -53.1409066472443, 5, 14, 45
1978, -14.019270688823, -191.3669431973, 4, 18, 37
1979, -99.9, -99.9, 0, -99.9, 0
1980, -30.746254090517, -55.7325050502665, 1, 16, 16
1981, -13.6896006391764, -39.0922873055611, 2, 5, 9
1982, -6.54321462776855, -12.5339522617834, 1, 6, 6
1983, -8.10828918066681, -23.5676943807277, 2, 4, 7
1984, -17.3197877039511, -104.902874650628, 3, 23, 48
1985, -1.59522833333333, -2.60627, 1, 4, 4
1986, -24.8779576594861, -60.7823660114557, 2, 14, 17
1987, -62.7790328457681, -274.628060071105, 1, 27, 27
1988, -99.9, -99.9, 0, -99.9, 0
1989, -16.9011702338777, -28.9977563146222, 1, 4, 4
1990, -10.5412173010833, -26.8496891467777, 2, 3, 6
1991, -36.1535256320238, -62.4552727670834, 1, 7, 7
1992, -31.7635738609384, -69.3067989930665, 3, 11, 16
1993, -8.61450615037761, -50.8619013959, 3, 15, 24
1994, -13.7247300298564, -62.994553322711, 2, 13, 14
1995, -45.4396341089246, -83.9144133505223, 1, 7, 7
1996, -14.8761318670145, -57.6837228086999, 4, 10, 23
1997, -12.5107274473266, -27.0257718037999, 2, 4, 7
1998, -99.9, -99.9, 0, -99.9, 0
1999, -12.7907738654629, -42.1632817272778, 2, 8, 13
2000, -14.6012997491541, -26.9821413654222, 1, 4, 4
2001, -5.6804764376157, -9.98981271426661, 1, 6, 6
2002, -99.9, -99.9, 0, -99.9, 0
2003, -6.82678567523632, -15.1192037562166, 3, 8, 14
2004, -27.1884594072267, -74.8505004115554, 1, 11, 11
2005, -13.2047817837423, -157.148215732378, 6, 41, 70
2006, -24.9169514440501, -78.7112098551554, 2, 11, 20
2007, -14.4525929820635, -98.4328131923664, 5, 12, 32
2008, -11.6485142259324, -37.3291618215111, 3, 6, 14
2009, -16.2605114602792, -56.1168117283666, 2, 35, 38
2010, -10.6889554645129, -85.6292334512333, 7, 13, 48
2011, -14.0135230448504, -44.330622142011, 2, 4, 7
2012, -7.66679310741792, -17.8160604768001, 1, 9, 9
2013, -27.2049872747197, -86.8819611217999, 1, 11, 11
2014, -8.00021442390581, -30.078121335, 2, 10, 14
2015, -14.4615593412624, -39.6546118489557, 2, 16, 21
2016, -25.3418146120224, -146.9677293602, 4, 22, 52
2017, -6.8596632311317, -57.9506557429777, 3, 16, 20
2018, -25.7602018942403, -87.0208629838331, 2, 7, 11
2019, -4.29114514421665, -7.66560436693334, 1, 3, 3
2020, -14.3681580764333, -43.4361790983999, 1, 11, 11
2021, -13.8757628485788, -86.2448010675999, 2, 18, 21
2022, -21.1748227643122, -40.2177199355166, 1, 5, 5
2023, -14.4313629308679, -70.3556020009944, 2, 10, 14
2024, -21.2495971114581, -50.1979694284444, 1, 17, 17
2025, -9.58498607641869, -25.2766323590556, 3, 4, 10
2026, -14.8238684629625, -93.6781295259, 4, 7, 21
2027, -13.6549505162953, -91.1184805763998, 4, 35, 52
2028, -25.9302997184917, -91.1184805763998, 2, 10, 19
2029, -58.6754426967601, -115.989101195955, 1, 6, 6
2030, -99.9, -99.9, 0, -99.9, 0
2031, -27.4196531265509, -63.8821150898777, 1, 25, 25
2032, -16.1156041678105, -91.0595017160668, 2, 34, 38
2033, -19.6290806482108, -91.0595017160668, 1, 20, 20
2034, -16.6484547884198, -62.6508261505331, 2, 4, 7
2035, -32.7952275563611, -61.1742026933333, 1, 9, 9
2036, -8.41276981861977, -18.5867700937333, 2, 8, 14
2037, -24.0674763095713, -87.9393366343001, 2, 9, 14
2038, -47.4538932617548, -87.9393366343001, 1, 7, 7
2039, -6.11128517463882, -7.49814750348328, 1, 3, 3
2040, -35.1715538083077, -78.6285304108999, 2, 12, 17
2041, -14.1435472212763, -37.8453210325999, 2, 4, 6
2042, -3.74295924295368, -7.51364835088882, 2, 4, 7
2043, -11.5267362985181, -42.4761952679166, 1, 12, 12
2044, -10.7234982111595, -42.4761952679166, 3, 6, 15
2045, -38.6692588296301, -211.245549095522, 3, 7, 17
2046, -12.1479811690111, -21.1250011537888, 1, 3, 3
2047, -24.6208472869744, -77.8721895579778, 3, 14, 33
2048, -11.0390376063804, -65.8024619111997, 3, 12, 23
2049, -9.8240981209148, -33.0169289645332, 3, 6, 18
2050, -16.2917845830824, -55.0314926965999, 1, 19, 19
2051, -9.22423666868238, -33.5379897618499, 3, 7, 15
2052, -30.6921565728875, -125.495397632216, 2, 11, 15
2053, -99.9, -99.9, 0, -99.9, 0
2054, -10.6796488929458, -36.0710263730444, 2, 12, 15
2055, -38.0387314630011, -72.7813011004444, 1, 15, 15
2056, -99.9, -99.9, 0, -99.9, 0
2057, -14.8630492373999, -37.026988942511, 3, 8, 15
2058, -18.8637405800961, -76.7631152559333, 2, 12, 16
2059, -18.3822648548164, -76.7631152559333, 3, 10, 22
2060, -16.5785723660305, -94.2305571132723, 3, 25, 36
2061, -99.9, -99.9, 0, -99.9, 0
2062, -19.228627053424, -55.0536725356778, 2, 21, 25
2063, -99.9, -99.9, 0, -99.9, 0
2064, -9.14320435020405, -14.4740144327111, 1, 15, 15
2065, -99.9, -99.9, 0, -99.9, 0
2066, -99.9, -99.9, 0, -99.9, 0
2067, -33.6384490425269, -57.3519229938667, 1, 13, 13
2068, -99.9, -99.9, 0, -99.9, 0
2069, -36.7705386715438, -68.4387852794668, 2, 6, 10
2070, -18.4170701535316, -49.5116635062719, 2, 6, 11
2071, -12.1301917134363, -33.1943923128001, 3, 7, 17
2072, -19.2773881653635, -78.1027245604224, 1, 28, 28
2073, -6.39341287482575, -25.5048396218334, 5, 9, 25
2074, -76.7220234986981, -165.140577818545, 1, 6, 6
2075, -23.0573006253499, -45.7334153286554, 1, 7, 7
2076, -7.422233783422, -24.4392653324168, 2, 7, 12
2077, -55.6928077795851, -119.144054007189, 1, 6, 6
2078, -8.39964317068233, -19.3645554692332, 1, 6, 6
2079, -23.4844673805097, -50.6161977093334, 1, 12, 12
2080, -3.8150974257655, -9.85824490053335, 2, 4, 7
2081, -9.87995839146274, -31.8955151472665, 2, 5, 8
2082, -99.9, -99.9, 0, -99.9, 0
2083, -5.67135945965204, -13.4165066064999, 1, 8, 8
2084, -12.9248702446685, -19.505284030811, 1, 3, 3
2085, -7.56476603566753, -23.3293687659999, 3, 7, 17
2086, -7.70819314057216, -11.0443341331111, 2, 3, 6
2087, -17.2666750878129, -48.066324516889, 4, 6, 20
2088, -99.9, -99.9, 0, -99.9, 0
2089, -99.9, -99.9, 0, -99.9, 0
2090, -99.9, -99.9, 0, -99.9, 0
2091, -8.51479519517393, -11.3915775292665, 1, 3, 3
2092, -99.9, -99.9, 0, -99.9, 0
2093, -23.9630894717079, -57.6114354459389, 1, 19, 19
2094, -23.4521419110542, -49.0452985772334, 1, 12, 12
