"Description: ","Monthly number of days when TM < 5 degrees_C"
"Station: ","final_1971_2005_Berlin_rcp45"
"Latitude: ","52.51"
"Longitude: ","13.4"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tmlt5, normalised (all years)
1971-01, 31, 2.30723671435469
1971-02, 28, 2.00940557869948
1971-03, 19, 1.11591217173382
1971-04, 7, -0.0754123708870587
1971-05, 1, -0.671074642197497
1971-06, 0, -0.770351687415903
1971-07, 0, -0.770351687415903
1971-08, 0, -0.770351687415903
1971-09, 0, -0.770351687415903
1971-10, 5, -0.273966461323871
1971-11, 22, 1.41374330738904
1971-12, 30, 2.20795966913629
1972-01, 28, 2.00940557869948
1972-02, 21, 1.31446626217063
1972-03, 20, 1.21518921695222
1972-04, 2, -0.571797596979091
1972-05, 3, -0.472520551760684
1972-06, 0, -0.770351687415903
1972-07, 0, -0.770351687415903
1972-08, 0, -0.770351687415903
1972-09, 0, -0.770351687415903
1972-10, 0, -0.770351687415903
1972-11, 2, -0.571797596979091
1972-12, 31, 2.30723671435469
1973-01, 21, 1.31446626217063
1973-02, 18, 1.01663512651541
1973-03, 15, 0.718803990860192
1973-04, 7, -0.0754123708870587
1973-05, 0, -0.770351687415903
1973-06, 0, -0.770351687415903
1973-07, 0, -0.770351687415903
1973-08, 0, -0.770351687415903
1973-09, 0, -0.770351687415903
1973-10, 8, 0.0238646743313476
1973-11, 12, 0.420972855204973
1973-12, 27, 1.91012853348107
1974-01, 19, 1.11591217173382
1974-02, 11, 0.321695809986567
1974-03, 7, -0.0754123708870587
1974-04, 0, -0.770351687415903
1974-05, 0, -0.770351687415903
1974-06, 0, -0.770351687415903
1974-07, 0, -0.770351687415903
1974-08, 0, -0.770351687415903
1974-09, 0, -0.770351687415903
1974-10, 3, -0.472520551760684
1974-11, 14, 0.619526945641786
1974-12, 29, 2.10868262391788
1975-01, 31, 2.30723671435469
1975-02, 27, 1.91012853348107
1975-03, 13, 0.520249900423379
1975-04, 0, -0.770351687415903
1975-05, 0, -0.770351687415903
1975-06, 0, -0.770351687415903
1975-07, 0, -0.770351687415903
1975-08, 0, -0.770351687415903
1975-09, 0, -0.770351687415903
1975-10, 11, 0.321695809986567
1975-11, 17, 0.917358081297005
1975-12, 27, 1.91012853348107
1976-01, 31, 2.30723671435469
1976-02, 9, 0.123141719549754
1976-03, 25, 1.71157444304426
1976-04, 8, 0.0238646743313476
1976-05, 0, -0.770351687415903
1976-06, 0, -0.770351687415903
1976-07, 0, -0.770351687415903
1976-08, 0, -0.770351687415903
1976-09, 0, -0.770351687415903
1976-10, 9, 0.123141719549754
1976-11, 29, 2.10868262391788
1976-12, 21, 1.31446626217063
1977-01, 26, 1.81085148826266
1977-02, 27, 1.91012853348107
1977-03, 8, 0.0238646743313476
1977-04, 8, 0.0238646743313476
1977-05, 0, -0.770351687415903
1977-06, 0, -0.770351687415903
1977-07, 0, -0.770351687415903
1977-08, 0, -0.770351687415903
1977-09, 0, -0.770351687415903
1977-10, 9, 0.123141719549754
1977-11, 9, 0.123141719549754
1977-12, 31, 2.30723671435469
1978-01, 31, 2.30723671435469
1978-02, 28, 2.00940557869948
1978-03, 17, 0.917358081297005
1978-04, 2, -0.571797596979091
1978-05, 0, -0.770351687415903
1978-06, 0, -0.770351687415903
1978-07, 0, -0.770351687415903
1978-08, 0, -0.770351687415903
1978-09, 0, -0.770351687415903
1978-10, 0, -0.770351687415903
1978-11, 10, 0.22241876476816
1978-12, 28, 2.00940557869948
1979-01, 11, 0.321695809986567
1979-02, 28, 2.00940557869948
1979-03, 14, 0.619526945641786
1979-04, 6, -0.174689416105465
1979-05, 0, -0.770351687415903
1979-06, 0, -0.770351687415903
1979-07, 0, -0.770351687415903
1979-08, 0, -0.770351687415903
1979-09, 0, -0.770351687415903
1979-10, 0, -0.770351687415903
1979-11, 8, 0.0238646743313476
1979-12, 28, 2.00940557869948
1980-01, 26, 1.81085148826266
1980-02, 17, 0.917358081297005
1980-03, 5, -0.273966461323871
1980-04, 4, -0.373243506542278
1980-05, 0, -0.770351687415903
1980-06, 0, -0.770351687415903
1980-07, 0, -0.770351687415903
1980-08, 0, -0.770351687415903
1980-09, 0, -0.770351687415903
1980-10, 12, 0.420972855204973
1980-11, 14, 0.619526945641786
1980-12, 24, 1.61229739782585
1981-01, 15, 0.718803990860192
1981-02, 13, 0.520249900423379
1981-03, 8, 0.0238646743313476
1981-04, 1, -0.671074642197497
1981-05, 0, -0.770351687415903
1981-06, 0, -0.770351687415903
1981-07, 0, -0.770351687415903
1981-08, 0, -0.770351687415903
1981-09, 0, -0.770351687415903
1981-10, 2, -0.571797596979091
1981-11, 21, 1.31446626217063
1981-12, 27, 1.91012853348107
1982-01, 25, 1.71157444304426
1982-02, 18, 1.01663512651541
1982-03, 9, 0.123141719549754
1982-04, 4, -0.373243506542278
1982-05, 0, -0.770351687415903
1982-06, 0, -0.770351687415903
1982-07, 0, -0.770351687415903
1982-08, 0, -0.770351687415903
1982-09, 0, -0.770351687415903
1982-10, 1, -0.671074642197497
1982-11, 25, 1.71157444304426
1982-12, 30, 2.20795966913629
1983-01, 28, 2.00940557869948
1983-02, 22, 1.41374330738904
1983-03, 9, 0.123141719549754
1983-04, 1, -0.671074642197497
1983-05, 0, -0.770351687415903
1983-06, 0, -0.770351687415903
1983-07, 0, -0.770351687415903
1983-08, 0, -0.770351687415903
1983-09, 0, -0.770351687415903
1983-10, 0, -0.770351687415903
1983-11, 26, 1.81085148826266
1983-12, 31, 2.30723671435469
1984-01, 31, 2.30723671435469
1984-02, 18, 1.01663512651541
1984-03, 5, -0.273966461323871
1984-04, 11, 0.321695809986567
1984-05, 0, -0.770351687415903
1984-06, 0, -0.770351687415903
1984-07, 0, -0.770351687415903
1984-08, 0, -0.770351687415903
1984-09, 0, -0.770351687415903
1984-10, 1, -0.671074642197497
1984-11, 24, 1.61229739782585
1984-12, 31, 2.30723671435469
1985-01, 25, 1.71157444304426
1985-02, 20, 1.21518921695222
1985-03, 13, 0.520249900423379
1985-04, 2, -0.571797596979091
1985-05, 0, -0.770351687415903
1985-06, 0, -0.770351687415903
1985-07, 0, -0.770351687415903
1985-08, 0, -0.770351687415903
1985-09, 0, -0.770351687415903
1985-10, 1, -0.671074642197497
1985-11, 13, 0.520249900423379
1985-12, 21, 1.31446626217063
1986-01, 27, 1.91012853348107
1986-02, 21, 1.31446626217063
1986-03, 15, 0.718803990860192
1986-04, 11, 0.321695809986567
1986-05, 0, -0.770351687415903
1986-06, 0, -0.770351687415903
1986-07, 0, -0.770351687415903
1986-08, 0, -0.770351687415903
