"Description: ","Monthly percentage of days when TN > 90th percentile"
"Station: ","final_1971_2005_Berlin_rcp45"
"Latitude: ","52.51"
"Longitude: ","13.4"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tn90p, normalised (all years)
1971-01, 0, -1.11551529625955
1971-02, 0, -1.11551529625955
1971-03, 3.2258064516129, -0.87161245326119
1971-04, 0, -1.11551529625955
1971-05, 0, -1.11551529625955
1971-06, 6.66666666666667, -0.611449420729607
1971-07, 12.9032258064516, -0.139903924266113
1971-08, 6.45161290322581, -0.62770961026283
1971-09, 10, -0.359416482964635
1971-10, 3.2258064516129, -0.87161245326119
1971-11, 3.33333333333333, -0.863482358494578
1971-12, 0, -1.11551529625955
1972-01, 0, -1.11551529625955
1972-02, 6.89655172413793, -0.594067838814781
1972-03, 0, -1.11551529625955
1972-04, 10, -0.359416482964635
1972-05, 3.2258064516129, -0.87161245326119
1972-06, 23.3333333333333, 0.648715268095248
1972-07, 12.9032258064516, -0.139903924266113
1972-08, 9.67741935483871, -0.383806767264471
1972-09, 10, -0.359416482964635
1972-10, 22.5806451612903, 0.591804604728965
1972-11, 53.3333333333333, 2.91701170797999
1972-12, 0, -1.11551529625955
1973-01, 16.1290322580645, 0.103998918732246
1973-02, 10.7142857142857, -0.305409424872143
1973-03, 3.2258064516129, -0.87161245326119
1973-04, 13.3333333333333, -0.107383545199666
1973-05, 0, -1.11551529625955
1973-06, 0, -1.11551529625955
1973-07, 12.9032258064516, -0.139903924266113
1973-08, 0, -1.11551529625955
1973-09, 3.33333333333333, -0.863482358494578
1973-10, 6.45161290322581, -0.62770961026283
1973-11, 13.3333333333333, -0.107383545199666
1973-12, 0, -1.11551529625955
1974-01, 12.9032258064516, -0.139903924266113
1974-02, 50, 2.66497877021502
1974-03, 0, -1.11551529625955
1974-04, 3.33333333333333, -0.863482358494578
1974-05, 16.1290322580645, 0.103998918732246
1974-06, 10, -0.359416482964635
1974-07, 12.9032258064516, -0.139903924266113
1974-08, 3.2258064516129, -0.87161245326119
1974-09, 0, -1.11551529625955
1974-10, 9.67741935483871, -0.383806767264471
1974-11, 0, -1.11551529625955
1974-12, 3.2258064516129, -0.87161245326119
1975-01, 0, -1.11551529625955
1975-02, 0, -1.11551529625955
1975-03, 0, -1.11551529625955
1975-04, 20, 0.396682330330279
1975-05, 0, -1.11551529625955
1975-06, 0, -1.11551529625955
1975-07, 3.2258064516129, -0.87161245326119
1975-08, 0, -1.11551529625955
1975-09, 6.66666666666667, -0.611449420729607
1975-10, 0, -1.11551529625955
1975-11, 0, -1.11551529625955
1975-12, 6.45161290322581, -0.62770961026283
1976-01, 0, -1.11551529625955
1976-02, 31.0344827586207, 1.23099826224191
1976-03, 0, -1.11551529625955
1976-04, 13.3333333333333, -0.107383545199666
1976-05, 25.8064516129032, 0.835707447727324
1976-06, 3.33333333333333, -0.863482358494578
1976-07, 3.2258064516129, -0.87161245326119
1976-08, 0, -1.11551529625955
1976-09, 6.66666666666667, -0.611449420729607
1976-10, 16.1290322580645, 0.103998918732246
1976-11, 3.33333333333333, -0.863482358494578
1976-12, 19.3548387096774, 0.347901761730606
1977-01, 6.45161290322581, -0.62770961026283
1977-02, 0, -1.11551529625955
1977-03, 16.1290322580645, 0.103998918732246
1977-04, 0, -1.11551529625955
1977-05, 6.45161290322581, -0.62770961026283
1977-06, 6.66666666666667, -0.611449420729607
1977-07, 6.45161290322581, -0.62770961026283
1977-08, 0, -1.11551529625955
1977-09, 0, -1.11551529625955
1977-10, 6.45161290322581, -0.62770961026283
1977-11, 23.3333333333333, 0.648715268095248
1977-12, 0, -1.11551529625955
1978-01, 0, -1.11551529625955
1978-02, 0, -1.11551529625955
1978-03, 3.2258064516129, -0.87161245326119
1978-04, 3.33333333333333, -0.863482358494578
1978-05, 6.45161290322581, -0.62770961026283
1978-06, 0, -1.11551529625955
1978-07, 3.2258064516129, -0.87161245326119
1978-08, 0, -1.11551529625955
1978-09, 6.66666666666667, -0.611449420729607
1978-10, 16.1290322580645, 0.103998918732246
1978-11, 13.3333333333333, -0.107383545199666
1978-12, 3.2258064516129, -0.87161245326119
1979-01, 38.7096774193548, 1.81131881972076
1979-02, 0, -1.11551529625955
1979-03, 0, -1.11551529625955
1979-04, 0, -1.11551529625955
1979-05, 3.2258064516129, -0.87161245326119
1979-06, 20, 0.396682330330279
1979-07, 9.67741935483871, -0.383806767264471
1979-08, 6.45161290322581, -0.62770961026283
1979-09, 6.66666666666667, -0.611449420729607
1979-10, 12.9032258064516, -0.139903924266113
1979-11, 16.6666666666667, 0.14464939256531
1979-12, 0, -1.11551529625955
1980-01, 9.67741935483871, -0.383806767264471
1980-02, 6.55172413793103, -0.62014021168702
1980-03, 3.2258064516129, -0.87161245326119
1980-04, 13.3333333333333, -0.107383545199666
1980-05, 41.7204301075269, 2.0389614731859
1980-06, 6.66666666666667, -0.611449420729607
1980-07, 6.45161290322581, -0.62770961026283
1980-08, 3.2258064516129, -0.87161245326119
1980-09, 10, -0.359416482964635
1980-10, 3.2258064516129, -0.87161245326119
1980-11, 22.8888888888889, 0.615110876393255
1980-12, 3.2258064516129, -0.87161245326119
1981-01, 24.8387096774194, 0.762536594827822
1981-02, 32.1428571428571, 1.31480231790267
1981-03, 11.505376344086, -0.245595156232069
1981-04, 6.66666666666667, -0.611449420729607
1981-05, 9.56989247311828, -0.391936862031083
1981-06, 15.5555555555556, 0.0606384133103205
1981-07, 2.47311827956989, -0.928523116627474
1981-08, 15.6989247311828, 0.0714785396658001
1981-09, 12.2222222222222, -0.191394524454656
1981-10, 18.7096774193548, 0.299121193130932
1981-11, 3.33333333333333, -0.863482358494578
1981-12, 3.2258064516129, -0.87161245326119
1982-01, 2.36559139784946, -0.936653211394086
1982-02, 26.9047619047619, 0.91875055855772
1982-03, 25.8064516129032, 0.835707447727324
1982-04, 13.3333333333333, -0.107383545199666
1982-05, 12.9032258064516, -0.139903924266113
1982-06, 12.2222222222222, -0.191394524454656
1982-07, 5.6989247311828, -0.684620273629114
1982-08, 0, -1.11551529625955
1982-09, 12.2222222222222, -0.191394524454656
1982-10, 31.1827956989247, 1.24221218605792
1982-11, 0, -1.11551529625955
1982-12, 0, -1.11551529625955
1983-01, 3.11827956989247, -0.879742548027802
1983-02, 10.7142857142857, -0.305409424872143
1983-03, 8.9247311827957, -0.440717430630755
1983-04, 9.55555555555556, -0.393020874666631
1983-05, 3.2258064516129, -0.87161245326119
1983-06, 2.88888888888889, -0.897086750196574
1983-07, 0, -1.11551529625955
1983-08, 7.8494623655914, -0.522018378296875
1983-09, 0, -1.11551529625955
1983-10, 6.34408602150538, -0.635839705029442
1983-11, 0, -1.11551529625955
1983-12, 0, -1.11551529625955
1984-01, 0, -1.11551529625955
1984-02, 3.44827586206897, -0.854791567537165
1984-03, 9.67741935483871, -0.383806767264471
1984-04, 0, -1.11551529625955
1984-05, 7.95698924731183, -0.513888283530263
1984-06, 0, -1.11551529625955
1984-07, 3.11827956989247, -0.879742548027802
1984-08, 0, -1.11551529625955
1984-09, 3.33333333333333, -0.863482358494578
1984-10, 0, -1.11551529625955
1984-11, 6.66666666666667, -0.611449420729607
1984-12, 0, -1.11551529625955
1985-01, 11.9354838709677, -0.213074777165623
1985-02, 14.2857142857143, -0.0353741344096708
1985-03, 21.2903225806452, 0.494243467529626
1985-04, 10, -0.359416482964635
1985-05, 2.90322580645161, -0.896002737561026
1985-06, 10, -0.359416482964635
1985-07, 12.5806451612903, -0.164294208565949
1985-08, 6.02150537634409, -0.660229989329278
1985-09, 12.7777777777778, -0.149389034827157
1985-10, 6.45161290322581, -0.62770961026283
1985-11, 19.7777777777778, 0.379880134479283
1985-12, 9.67741935483871, -0.383806767264471
1986-01, 6.34408602150538, -0.635839705029442
1986-02, 0, -1.11551529625955
1986-03, 9.13978494623656, -0.424457241097531
1986-04, 0, -1.11551529625955
1986-05, 3.2258064516129, -0.87161245326119
1986-06, 20.6666666666667, 0.447088917883276
1986-07, 19.3548387096774, 0.347901761730606
1986-08, 18.9247311827957, 0.315381382664159
1986-09, 23, 0.623511974318753
1986-10, 12.9032258064516, -0.139903924266113
1986-11, 10, -0.359416482964635
1986-12, 19.3548387096774, 0.347901761730606
1987-01, 2.1505376344086, -0.95291340092731
1987-02, 3.0952380952381, -0.881484711192076
1987-03, 3.2258064516129, -0.87161245326119
1987-04, 12.2222222222222, -0.191394524454656
1987-05, 0, -1.11551529625955
1987-06, 10, -0.359416482964635
1987-07, 26.989247311828, 0.925138490160061
1987-08, 18.9247311827957, 0.315381382664159
1987-09, 6.66666666666667, -0.611449420729607
1987-10, 0, -1.11551529625955
1987-11, 10, -0.359416482964635
1987-12, 6.12903225806452, -0.652099894562666
1988-01, 12.3655913978495, -0.180554398099169
1988-02, 5.86206896551724, -0.672284957431497
1988-03, 0, -1.11551529625955
1988-04, 0, -1.11551529625955
1988-05, 6.23655913978495, -0.643969799796054
1988-06, 6.11111111111111, -0.653454910357102
1988-07, 24.5161290322581, 0.738146310527985
1988-08, 0, -1.11551529625955
1988-09, 16.6666666666667, 0.14464939256531
1988-10, 22.258064516129, 0.567414320429128
1988-11, 6.66666666666667, -0.611449420729607
1988-12, 24.6236559139785, 0.746276405294595
1989-01, 12.3655913978495, -0.180554398099169
1989-02, 21.3095238095238, 0.495695270166517
1989-03, 22.5806451612903, 0.591804604728965
1989-04, 0, -1.11551529625955
1989-05, 2.90322580645161, -0.896002737561026
1989-06, 19.4444444444444, 0.354676840702781
1989-07, 14.9462365591398, 0.0145678762995171
1989-08, 3.2258064516129, -0.87161245326119
1989-09, 0, -1.11551529625955
1989-10, 0, -1.11551529625955
1989-11, 3.33333333333333, -0.863482358494578
1989-12, 25.3763440860215, 0.803187068660878
1990-01, 11.9354838709677, -0.213074777165623
1990-02, 0, -1.11551529625955
1990-03, 3.2258064516129, -0.87161245326119
1990-04, 10, -0.359416482964635
1990-05, 9.35483870967742, -0.408197051564307
1990-06, 2.22222222222222, -0.947493337749569
1990-07, 9.35483870967742, -0.408197051564307
1990-08, 15.4838709677419, 0.0552183501325732
1990-09, 5.77777777777778, -0.678658204133599
1990-10, 6.45161290322581, -0.62770961026283
1990-11, 9.66666666666667, -0.384619776741132
1990-12, 24.6236559139785, 0.746276405294595
1991-01, 12.6881720430108, -0.156164113799332
1991-02, 32.1428571428571, 1.31480231790267
1991-03, 2.25806451612903, -0.944783306160698
1991-04, 0, -1.11551529625955
1991-05, 0, -1.11551529625955
1991-06, 32.2222222222222, 1.32080310213517
1991-07, 16.1290322580645, 0.103998918732246
1991-08, 6.45161290322581, -0.62770961026283
1991-09, 6.66666666666667, -0.611449420729607
1991-10, 9.56989247311828, -0.391936862031083
1991-11, 13.3333333333333, -0.107383545199666
1991-12, 22.258064516129, 0.567414320429128
1992-01, 16.1290322580645, 0.103998918732246
1992-02, 0, -1.11551529625955
1992-03, 0, -1.11551529625955
1992-04, 0, -1.11551529625955
1992-05, 9.67741935483871, -0.383806767264471
1992-06, 9.33333333333333, -0.40982307051763
1992-07, 37.5268817204301, 1.72188777728803
1992-08, 3.2258064516129, -0.87161245326119
1992-09, 0, -1.11551529625955
1992-10, 19.3548387096774, 0.347901761730606
1992-11, 10, -0.359416482964635
1992-12, 6.45161290322581, -0.62770961026283
1993-01, 3.2258064516129, -0.87161245326119
1993-02, 0, -1.11551529625955
1993-03, 0, -1.11551529625955
1993-04, 19.7777777777778, 0.379880134479283
1993-05, 22.5806451612903, 0.591804604728965
1993-06, 36.4444444444444, 1.64004482330414
1993-07, 6.02150537634409, -0.660229989329278
1993-08, 3.2258064516129, -0.87161245326119
1993-09, 6.33333333333333, -0.636652714506104
1993-10, 6.45161290322581, -0.62770961026283
1993-11, 9.77777777777778, -0.376218678815633
1993-12, 0, -1.11551529625955
1994-01, 3.01075268817204, -0.887872642794414
1994-02, 2.5, -0.926490592935821
1994-03, 3.2258064516129, -0.87161245326119
1994-04, 20, 0.396682330330279
1994-05, 12.5806451612903, -0.164294208565949
1994-06, 0, -1.11551529625955
