"Description: ","Monthly warmest daily TX"
"Station: ","final_1971_2005_Berlin_rcp45"
"Latitude: ","52.51"
"Longitude: ","13.4"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, txx, normalised (all years)
1971-01, 8.94730000000004, -1.43827326221744
1971-02, 5.33090000000004, -1.8101410647498
1971-03, 17.6871, -0.539575601402189
1971-04, 19.9328, -0.308654374727342
1971-05, 23.9777, 0.107275299662418
1971-06, 32.0436, 0.936677055122472
1971-07, 35.0945, 1.25039552618374
1971-08, 33.1929, 1.05485747361889
1971-09, 28.2136, 0.542845154973449
1971-10, 22.5171, -0.0429155288904963
1971-11, 13.9564, -0.923196664035599
1971-12, 6.8177, -1.65725613808099
1972-01, 8.92540000000002, -1.44052519919219
1972-02, 12.8096, -1.04112001210111
1972-03, 14.0651, -0.912019241699777
1972-04, 23.199, 0.0272030018436081
1972-05, 27.4632, 0.465682894432502
1972-06, 32.7949, 1.01393186101855
1972-07, 41.1562, 1.87370905859453
1972-08, 33.3558, 1.07160818289677
1972-09, 26.1569, 0.331358452875147
1972-10, 23.0395, 0.0108019083517622
1972-11, 16.3578, -0.676265090923885
1972-12, 5.8691, -1.75479894238421
1973-01, 10.7321, -1.25474554018455
1973-02, 11.5815, -1.1674032905797
1973-03, 16.6587, -0.645324093859958
1973-04, 26.904, 0.408181380447297
1973-05, 25.0349000000001, 0.215985243484243
1973-06, 28.041, 0.525097012423652
1973-07, 38.4095, 1.59127091756599
1973-08, 29.2711, 0.651585947246972
1973-09, 27.9216, 0.51281932864355
1973-10, 18.8235, -0.422721666329251
1973-11, 15.1961, -0.795720578757598
1973-12, 9.94670000000002, -1.33550678675819
1974-01, 12.0713, -1.11703805175647
1974-02, 13.5731, -0.96261070250221
1974-03, 15.3009, -0.78494418629399
1974-04, 22.8825000000001, -0.00534211470916661
1974-05, 31.4979, 0.880563721464164
1974-06, 34.1072, 1.14887327161008
1974-07, 36.8211, 1.42793864858512
1974-08, 30.3262, 0.760079951906824
1974-09, 29.068, 0.630701545440114
1974-10, 20.5278, -0.247471612171554
1974-11, 10.0978, -1.31996944991419
1974-12, 11.3129, -1.19502293767631
1975-01, 3.3603, -2.01277426120768
1975-02, 9.2389, -1.40828856715649
1975-03, 15.7635, -0.737375873759019
1975-04, 22.8982, -0.00372771240308305
1975-05, 27.4646, 0.46582685387381
1975-06, 27.4793, 0.467338428007541
1975-07, 28.0983, 0.530989066700033
1975-08, 29.2504, 0.649457404079064
1975-09, 23.038, 0.0106476660932182
1975-10, 20.1293, -0.288448638858078
1975-11, 14.4947, -0.867844258852774
1975-12, 11.181, -1.20858597361095
1976-01, 3.74890000000005, -1.97281523342754
1976-02, 12.475, -1.07552631857366
1976-03, 16.9104, -0.619442242876274
1976-04, 27.6558, 0.485487600429552
1976-05, 29.7836, 0.70428538558284
1976-06, 32.2907, 0.962085896513288
1976-07, 35.0276, 1.24351632145268
1976-08, 32.3873, 0.972019097963522
1976-09, 27.1171000000001, 0.430094063977793
1976-10, 24.1267, 0.122596697344456
1976-11, 9.47470000000004, -1.38404168411337
1976-12, 12.6322, -1.05936172987825
1977-01, 14.6718, -0.849633389527345
1977-02, 9.73790000000002, -1.35697730914752
1977-03, 17.5707, -0.551544800665203
1977-04, 19.289, -0.374855152094429
1977-05, 25.1732, 0.23020637972199
1977-06, 32.1331, 0.945880176548931
1977-07, 31.5579, 0.886733411805924
1977-08, 29.294, 0.653940712394077
1977-09, 21.7309, -0.123759038002027
1977-10, 23.467, 0.0547609520368032
1977-11, 16.7806, -0.632789339648948
1977-12, 3.88080000000002, -1.95925219749291
1978-01, 3.84450000000004, -1.96298486014967
1978-02, 5.21100000000001, -1.82247016261609
1978-03, 14.3352, -0.88424535234462
1978-04, 19.1613, -0.387986309705142
1978-05, 26.1969, 0.335471579769654
1978-06, 26.2663, 0.342607854931623
1978-07, 33.9826, 1.13606088133369
1978-08, 33.4937, 1.08578818786558
1978-09, 29.1696, 0.641148887752161
1978-10, 24.4272, 0.153496563139438
1978-11, 17.9952, -0.50789424149725
1978-12, 8.15320000000003, -1.51992911389064
1979-01, 17.8033, -0.527626967773646
1979-02, 7.21900000000005, -1.61599119251184
1979-03, 12.0207, -1.12224115727802
1979-04, 23.6511, 0.0736916185687707
1979-05, 28.1971, 0.541148490129465
1979-06, 35.1465, 1.2557425911466
1979-07, 27.891, 0.509672786569252
1979-08, 28.6032, 0.582907010925945
1979-09, 28.7311, 0.596058734171131
1979-10, 22.706, -0.023491287131188
1979-11, 14.8753, -0.828707856451542
1979-12, 8.90460000000002, -1.44266402517733
1980-01, 10.7594, -1.25193833107905
1980-02, 11.2954, -1.19682243069266
1980-03, 16.5256, -0.659010523601429
1980-04, 24.7592, 0.187635516363844
1980-05, 30.8602, 0.814990195948489
1980-06, 34.1017000000001, 1.14830771666209
1980-07, 34.9318, 1.23366538254033
1980-08, 35.2982, 1.27134162489402
1980-09, 26.5117, 0.367841888429422
1980-10, 16.1748, -0.695082646466253
1980-11, 18.9907, -0.405528795910213
1980-12, 11.807, -1.14421553771192
1981-01, 13.0019, -1.02134615455577
1981-02, 12.1533, -1.10860614162273
1981-03, 18.372, -0.469148586150996
1981-04, 22.9085, -0.00266858222774746
1981-05, 27.0922, 0.427533642485952
1981-06, 31.4849, 0.879226955223449
1981-07, 32.7494, 1.00925317917604
1981-08, 32.3477, 0.96794710233796
1981-09, 25.6952, 0.283882685695303
1981-10, 23.8839, 0.0976300170948002
1981-11, 15.2947, -0.785581720962638
1981-12, 12.2773, -1.09585544824976
1982-01, 10.4786, -1.28081248187849
1982-02, 12.0864, -1.11548534635379
1982-03, 20.5966, -0.240397033913003
1982-04, 21.8896, -0.107440207048071
1982-05, 28.8724, 0.610588354925975
1982-06, 28.9225, 0.615740046361345
1982-07, 35.8696, 1.33009764258204
1982-08, 26.3016, 0.346237689416026
1982-09, 25.9792, 0.313085886646301
1982-10, 23.6843, 0.0771055138912114
1982-11, 11.0106, -1.22610789418155
1982-12, 8.9468, -1.43832467630363
1983-01, 10.5972, -1.26861706063628
1983-02, 11.8188, -1.14300216527804
1983-03, 21.3986, -0.157928839678142
1983-04, 27.8048, 0.50080899811159
1983-05, 27.1771, 0.436263754319542
1983-06, 26.7552, 0.392880548399732
1983-07, 31.9731, 0.929427668970904
1983-08, 35.8582, 1.32892540141711
1983-09, 27.559, 0.475533833344846
1983-10, 22.1064, -0.0851470592798444
1983-11, 11.005, -1.22668373194678
1983-12, 5.66580000000005, -1.77570390982554
1984-01, 1.77380000000005, -2.17591115666105
1984-02, 11.0322, -1.22388680565852
1984-03, 19.7505, -0.327399950549057
1984-04, 21.8861, -0.107800105651341
1984-05, 30.1263, 0.739524600251527
1984-06, 27.3498, 0.454022179686575
1984-07, 31.9977, 0.931957242011025
1984-08, 31.9191, 0.92387494766332
1984-09, 27.5106, 0.470556949802493
1984-10, 20.3202, -0.268818740754044
1984-11, 12.3508, -1.0882975775811
1984-12, 3.339, -2.014964501279
1985-01, 13.0409, -1.01733585583362
1985-02, 10.973, -1.22997423346239
1985-03, 21.3047, -0.167584405062996
1985-04, 24.3603, 0.146617358408376
1985-05, 26.6978, 0.386978211306115
1985-06, 35.8616, 1.32927501720314
1985-07, 40.0727, 1.76229473383958
1985-08, 34.0856, 1.14665218308704
1985-09, 31.4703, 0.877725663906954
1985-10, 21.4459, -0.153065067125387
1985-11, 14.8986, -0.826311960035492
1985-12, 9.27450000000005, -1.40462788422037
1986-01, 8.81950000000001, -1.45141470264539
1986-02, 12.4876, -1.07423068360189
1986-03, 16.5854, -0.652861398894141
1986-04, 21.2102, -0.177301667351269
1986-05, 24.2211, 0.132303676815492
1986-06, 29.3999, 0.664830215847283
1986-07, 35.2556, 1.26696114475137
1986-08, 32.5856, 0.992409924543039
1986-09, 26.1597, 0.331646371757763
1986-10, 23.7949, 0.0884783097545224
1986-11, 12.9639, -1.02525362510555
1986-12, 12.0556, -1.11865245406256
1987-01, 11.6965, -1.15557805075799
1987-02, 9.60940000000005, -1.37019072929612
1987-03, 14.2255, -0.895525602852804
1987-04, 25.2973, 0.242967355912197
1987-05, 25.7692, 0.291491970450141
1987-06, 36.6775, 1.41317252303385
1987-07, 38.8066, 1.6321039848112
1987-08, 36.1507, 1.35900264183319
1987-09, 26.2695000000001, 0.342936905083194
1987-10, 19.3387, -0.369744591928004
1987-11, 15.3374, -0.781190958002752
1987-12, 7.54240000000004, -1.58273656156976
1988-01, 14.8934, -0.826846666531778
1988-02, 10.6884, -1.2592391313168
1988-03, 13.3802, -0.982446256950969
1988-04, 19.4667, -0.356582585865583
1988-05, 27.0174, 0.419842095193224
1988-06, 30.9854, 0.827864283128296
1988-07, 40.963, 1.85384265569406
1988-08, 31.3552, 0.865890141268011
1988-09, 29.2828, 0.652789036863615
1988-10, 23.8135, 0.0903909137604683
1988-11, 12.7472, -1.04753649005654
1988-12, 11.2778, -1.19863220652624
1989-01, 9.3519, -1.39666898367951
1989-02, 14.5659, -0.860522892980552
1989-03, 19.4362, -0.359718845122644
1989-04, 23.5163, 0.059830380934283
1989-05, 26.3576, 0.351996067068335
1989-06, 32.9456, 1.0294280665936
1989-07, 32.3458, 0.967751728810471
1989-08, 28.9156, 0.615030531972043
1989-09, 26.2141, 0.337240224334292
1989-10, 18.7681, -0.428418347078143
1989-11, 13.2859, -0.992142953604768
1989-12, 11.4469, -1.18124396257972
1990-01, 12.6973, -1.05266761585744
1990-02, 7.44120000000004, -1.59314277261286
1990-03, 15.7404, -0.739751204540597
1990-04, 18.4093, -0.465313095321869
1990-05, 24.8816, 0.200221684661035
1990-06, 28.1016, 0.53132839966883
1990-07, 32.725, 1.0067441717704
1990-08, 32.5473, 0.988471605541549
1990-09, 25.9183, 0.306823650949414
1990-10, 23.8014, 0.08914669287488
1990-11, 14.8133, -0.835083203138027
1990-12, 13.2166, -0.999268945949501
1991-01, 13.0351, -1.01793225923333
1991-02, 16.0422, -0.708717662121543
1991-03, 12.3901, -1.08425643040725
1991-04, 15.5522, -0.759103466579251
1991-05, 27.1352, 0.431955253897547
1991-06, 33.0379, 1.03891910690267
1991-07, 35.6992, 1.31257572201145
1991-08, 28.7607, 0.599102448073065
1991-09, 22.3659, -0.0584631485517318
1991-10, 20.5024, -0.250083447749566
1991-11, 13.9564, -0.923196664035599
1991-12, 11.2711, -1.19932115528107
1992-01, 11.4617, -1.17972210562875
1992-02, 12.6457, -1.05797354955135
1992-03, 11.1942, -1.20722864173576
1992-04, 21.4775, -0.149815696878727
1992-05, 30.8289, 0.811771674153538
1992-06, 35.2226, 1.2635678150634
1992-07, 36.6683, 1.41222650384811
1992-08, 31.5452, 0.885427494016918
1992-09, 21.7004, -0.126895297259088
1992-10, 23.4808, 0.056179980815408
1992-11, 13.0695, -1.01439497010405
1992-12, 12.7508, -1.04716630863603
1993-01, 11.2377, -1.20275561623799
1993-02, 8.30080000000004, -1.50475167564991
1993-03, 11.4389, -1.18206658795862
1993-04, 25.023, 0.214761588233117
1993-05, 31.6522000000001, 0.896430108459734
1993-06, 33.1497, 1.05041529657282
1993-07, 35.3634, 1.27804602173206
1993-08, 31.1024, 0.839895179294728
1993-09, 29.294, 0.653940712394077
1993-10, 15.7804, -0.73563807764609
1993-11, 16.7845, -0.632388309776734
1993-12, 6.84350000000001, -1.65460317123403
1994-01, 6.39530000000002, -1.70069075808698
1994-02, 12.1853, -1.10531564010712
1994-03, 14.7767, -0.838846714246501
1994-04, 24.0423, 0.113917999597047
1994-05, 26.2869, 0.344726115282294
1994-06, 24.9258, 0.204766689879465
1994-07, 32.0371, 0.936008672002115
1994-08, 30.2745, 0.754763735395674
1994-09, 25.9337, 0.3084072048038
1994-10, 22.5559, -0.0389257958028245
1994-11, 14.2035, -0.897787822644783
1994-12, 11.1334, -1.21348059461541
1995-01, 11.4172, -1.18429795929889
1995-02, 11.1421, -1.21258598951586
1995-03, 18.3049, -0.476048356516532
1995-04, 21.0371, -0.195101223987247
1995-05, 26.52, 0.368695362260032
1995-06, 28.4474, 0.566886381671841
1995-07, 33.541, 1.09065196041833
1995-08, 33.2956, 1.06541792692053
1995-09, 28.6824, 0.591051002177069
1995-10, 21.4203, -0.155697468337872
1995-11, 14.3208, -0.885726078026642
1995-12, 10.8304, -1.2446375308413
