"Description: ","Annual number of days when TX < 0 degrees_C"
"Station: ","final_1971_2005_Berlin_rcp85"
"Latitude: ","52.51"
"Longitude: ","13.4"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, id, normalised (all years)
1971, 20, 0.639287993110597
1972, 28, 1.29367727739704
1973, 7, -0.424094593854865
1974, 16, 0.312093350967378
1975, 52, 3.25684513025635
1976, 37, 2.02986522221928
1977, 39, 2.19346254329089
1978, 32, 1.62087191954026
1979, 7, -0.424094593854865
1980, 20, 0.639287993110597
1981, 9, -0.260497272783255
1982, 11, -0.0968999517116456
1983, 11, -0.0968999517116456
1984, 48, 2.92965048811313
1985, 4, -0.669490575462279
1986, 16, 0.312093350967378
1987, 29, 1.37547593793284
1988, 5, -0.587691914926474
1989, 9, -0.260497272783255
1990, 8, -0.34229593331906
1991, 9, -0.260497272783255
1992, 17, 0.393892011503183
1993, 22, 0.802885314182207
1994, 17, 0.393892011503183
1995, 8, -0.34229593331906
1996, 25, 1.04828129578962
1997, 10, -0.17869861224745
1998, 3, -0.751289235998084
1999, 11, -0.0968999517116456
2000, 11, -0.0968999517116456
2001, 10, -0.17869861224745
2002, 5, -0.587691914926474
2003, 14, 0.148496029895769
2004, 19, 0.557489332574793
2005, 67, 4.48382503829342
2006, 21, 0.721086653646402
2007, 30, 1.45727459846865
2008, 8, -0.34229593331906
2009, 5, -0.587691914926474
2010, 33, 1.70267058007606
2011, 13, 0.066697369359964
2012, 15, 0.230294690431574
2013, 21, 0.721086653646402
2014, 18, 0.475690672038988
2015, 5, -0.587691914926474
2016, 15, 0.230294690431574
2017, 2, -0.833087896533889
2018, 9, -0.260497272783255
2019, 12, -0.0151012911758408
2020, 27, 1.21187861686123
2021, 38, 2.11166388275508
2022, 39, 2.19346254329089
2023, 35, 1.86626790114767
2024, 36, 1.94806656168347
2025, 13, 0.066697369359964
2026, 19, 0.557489332574793
2027, 7, -0.424094593854865
2028, 3, -0.751289235998084
2029, 5, -0.587691914926474
2030, 0, -0.996685217605498
2031, 39, 2.19346254329089
2032, 7, -0.424094593854865
2033, 19, 0.557489332574793
2034, 2, -0.833087896533889
2035, 6, -0.50589325439067
2036, 3, -0.751289235998084
2037, 21, 0.721086653646402
2038, 8, -0.34229593331906
2039, 1, -0.914886557069694
2040, 7, -0.424094593854865
2041, 12, -0.0151012911758408
2042, 13, 0.066697369359964
2043, 7, -0.424094593854865
2044, 4, -0.669490575462279
2045, 24, 0.966482635253817
2046, 12, -0.0151012911758408
2047, 17, 0.393892011503183
2048, 3, -0.751289235998084
2049, 23, 0.884683974718012
2050, 12, -0.0151012911758408
2051, 19, 0.557489332574793
2052, 4, -0.669490575462279
2053, 4, -0.669490575462279
2054, 2, -0.833087896533889
2055, 5, -0.587691914926474
2056, 3, -0.751289235998084
2057, 3, -0.751289235998084
2058, 14, 0.148496029895769
2059, 4, -0.669490575462279
2060, 6, -0.50589325439067
2061, 3, -0.751289235998084
2062, 3, -0.751289235998084
2063, 9, -0.260497272783255
2064, 2, -0.833087896533889
2065, 18, 0.475690672038988
2066, 17, 0.393892011503183
2067, 5, -0.587691914926474
2068, 13, 0.066697369359964
2069, 16, 0.312093350967378
2070, 3, -0.751289235998084
2071, 5, -0.587691914926474
2072, 0, -0.996685217605498
2073, 0, -0.996685217605498
2074, 4, -0.669490575462279
2075, 0, -0.996685217605498
2076, 7, -0.424094593854865
2077, 0, -0.996685217605498
2078, 8, -0.34229593331906
2079, 7, -0.424094593854865
2080, 2, -0.833087896533889
2081, 8, -0.34229593331906
2082, 2, -0.833087896533889
2083, 3, -0.751289235998084
2084, 3, -0.751289235998084
2085, 1, -0.914886557069694
2086, 1, -0.914886557069694
2087, 2, -0.833087896533889
2088, 0, -0.996685217605498
2089, 7, -0.424094593854865
2090, 13, 0.066697369359964
2091, 2, -0.833087896533889
2092, 28, 1.29367727739704
2093, 0, -0.996685217605498
2094, 1, -0.914886557069694
2095, 0, -0.996685217605498
2096, 0, -0.996685217605498
2097, 1, -0.914886557069694
2098, 0, -0.996685217605498
2099, 0, -0.996685217605498
2100, 1, -0.914886557069694
