"Description: ","Monthly sum of daily precipitation >= 1.0 mm"
"Station: ","final_1971_2005_Berlin_rcp85"
"Latitude: ","52.51"
"Longitude: ","13.4"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, prcptot, normalised (all years)
1971-01, 61.354809504, 0.38752511847543
1971-02, 81.768127104, 1.02239482987886
1971-03, 23.668218144, -0.784556551409644
1971-04, 7.900129152, -1.2749561181971
1971-05, 121.89695616, 2.27043195059365
1971-06, 60.124146912, 0.349250575359614
1971-07, 94.654145376, 1.42315980408786
1971-08, 15.302235744, -1.04474497036092
1971-09, 22.53931056, -0.819666436343547
1971-10, 17.86376592, -0.965079432624498
1971-11, 41.420783808, -0.232438249984
1971-12, 7.395682752, -1.29064478510867
1972-01, 43.157034144, -0.178439543289678
1972-02, 22.687344864, -0.815062456838604
1972-03, 48.83649408, -0.00180401734774693
1972-04, 110.66740992, 1.92118451711521
1972-05, 113.844832128, 2.02000476572584
1972-06, 28.034748, -0.648754150063907
1972-07, 84.543738336, 1.10871845136741
1972-08, 28.59992496, -0.631176716521841
1972-09, 74.21550912, 0.787502663215936
1972-10, 22.030320384, -0.835496418146422
1972-11, 41.292221472, -0.236436636466444
1972-12, 30.296447712, -0.578413567921655
1973-01, 54.08440416, 0.16140997967353
1973-02, 45.740621376, -0.0980880143267706
1973-03, 72.440523936, 0.732299273272528
1973-04, 6.654282624, -1.31370289327712
1973-05, 87.362204832, 1.19637490417819
1973-06, 40.568167008, -0.258955281284866
1973-07, 20.40925248, -0.885912863554485
1973-08, 100.688027616, 1.61081813339103
1973-09, 72.196106112, 0.724697692950045
1973-10, 20.0677392, -0.896534186445872
1973-11, 59.53381632, 0.33089084472104
1973-12, 13.937135616, -1.08720062315006
1974-01, 29.206681056, -0.612306140209454
1974-02, 118.733172192, 2.17203586162539
1974-03, 36.736237152, -0.378131215812869
1974-04, 47.43522864, -0.0453844388610245
1974-05, 43.048634112, -0.181810866774694
1974-06, 20.469729888, -0.884031970143833
