"Description: ","Monthly number of days when TX > 25 degrees_C"
"Station: ","final_1971_2005_Berlin_rcp85"
"Latitude: ","52.51"
"Longitude: ","13.4"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, su, normalised (all years)
1971-01, 0, -0.640205692532604
1971-02, 0, -0.640205692532604
1971-03, 0, -0.640205692532604
1971-04, 0, -0.640205692532604
1971-05, 0, -0.640205692532604
1971-06, 8, 0.50216877741405
1971-07, 16, 1.6445432473607
1971-08, 9, 0.644965586157382
1971-09, 6, 0.216575159927387
1971-10, 0, -0.640205692532604
1971-11, 0, -0.640205692532604
1971-12, 0, -0.640205692532604
1972-01, 0, -0.640205692532604
1972-02, 0, -0.640205692532604
1972-03, 0, -0.640205692532604
1972-04, 0, -0.640205692532604
1972-05, 4, -0.069018457559277
1972-06, 15, 1.50174643861737
1972-07, 9, 0.644965586157382
1972-08, 6, 0.216575159927387
1972-09, 2, -0.354612075045941
1972-10, 0, -0.640205692532604
1972-11, 0, -0.640205692532604
1972-12, 0, -0.640205692532604
1973-01, 0, -0.640205692532604
1973-02, 0, -0.640205692532604
1973-03, 0, -0.640205692532604
1973-04, 3, -0.211815266302609
1973-05, 1, -0.497408883789272
1973-06, 3, -0.211815266302609
1973-07, 20, 2.21573048233403
1973-08, 5, 0.0737783511840547
1973-09, 2, -0.354612075045941
1973-10, 0, -0.640205692532604
1973-11, 0, -0.640205692532604
1973-12, 0, -0.640205692532604
1974-01, 0, -0.640205692532604
1974-02, 0, -0.640205692532604
1974-03, 0, -0.640205692532604
1974-04, 0, -0.640205692532604
1974-05, 9, 0.644965586157382
1974-06, 13, 1.21615282113071
1974-07, 9, 0.644965586157382
1974-08, 8, 0.50216877741405
1974-09, 2, -0.354612075045941
1974-10, 0, -0.640205692532604
1974-11, 0, -0.640205692532604
1974-12, 0, -0.640205692532604
1975-01, 0, -0.640205692532604
1975-02, 0, -0.640205692532604
1975-03, 0, -0.640205692532604
1975-04, 0, -0.640205692532604
1975-05, 3, -0.211815266302609
1975-06, 5, 0.0737783511840547
1975-07, 5, 0.0737783511840547
1975-08, 6, 0.216575159927387
1975-09, 0, -0.640205692532604
1975-10, 0, -0.640205692532604
1975-11, 0, -0.640205692532604
1975-12, 0, -0.640205692532604
