"Description: ","Annual number of days when TN > 20 degrees_C"
"Station: ","final_1971_2005_Berlin_rcp85"
"Latitude: ","52.51"
"Longitude: ","13.4"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tr, normalised (all years)
1971, 3, -0.628571032571978
1972, 4, -0.513642433086244
1973, 3, -0.628571032571978
1974, 3, -0.628571032571978
1975, 0, -0.973356831029182
1976, 1, -0.858428231543447
1977, 0, -0.973356831029182
1978, 0, -0.973356831029182
1979, 2, -0.743499632057713
1980, 1, -0.858428231543447
1981, 0, -0.973356831029182
1982, 0, -0.973356831029182
1983, 0, -0.973356831029182
1984, 0, -0.973356831029182
1985, 1, -0.858428231543447
1986, 1, -0.858428231543447
1987, 7, -0.168856634629041
1988, 4, -0.513642433086244
1989, 2, -0.743499632057713
1990, 2, -0.743499632057713
1991, 2, -0.743499632057713
1992, 2, -0.743499632057713
1993, 1, -0.858428231543447
1994, 0, -0.973356831029182
1995, 1, -0.858428231543447
1996, 2, -0.743499632057713
1997, 0, -0.973356831029182
1998, 3, -0.628571032571978
1999, 0, -0.973356831029182
2000, 1, -0.858428231543447
2001, 0, -0.973356831029182
2002, 2, -0.743499632057713
2003, 0, -0.973356831029182
2004, 3, -0.628571032571978
2005, 2, -0.743499632057713
2006, 3, -0.628571032571978
2007, 2, -0.743499632057713
2008, 4, -0.513642433086244
2009, 2, -0.743499632057713
2010, 2, -0.743499632057713
2011, 1, -0.858428231543447
2012, 11, 0.290857763313897
2013, 5, -0.398713833600509
2014, 6, -0.283785234114775
2015, 2, -0.743499632057713
2016, 4, -0.513642433086244
2017, 7, -0.168856634629041
2018, 2, -0.743499632057713
2019, 2, -0.743499632057713
2020, 0, -0.973356831029182
2021, 4, -0.513642433086244
2022, 2, -0.743499632057713
2023, 1, -0.858428231543447
2024, 2, -0.743499632057713
2025, 11, 0.290857763313897
2026, 5, -0.398713833600509
2027, 4, -0.513642433086244
2028, 0, -0.973356831029182
2029, 10, 0.175929163828163
2030, 0, -0.973356831029182
2031, 4, -0.513642433086244
2032, 14, 0.6356435617711
2033, 6, -0.283785234114775
2034, 10, 0.175929163828163
2035, 6, -0.283785234114775
2036, 3, -0.628571032571978
2037, 1, -0.858428231543447
2038, 3, -0.628571032571978
2039, 1, -0.858428231543447
2040, 5, -0.398713833600509
2041, 8, -0.0539280351433062
2042, 13, 0.520714962285366
2043, 13, 0.520714962285366
2044, 7, -0.168856634629041
2045, 2, -0.743499632057713
2046, 10, 0.175929163828163
2047, 9, 0.0610005643424283
2048, 2, -0.743499632057713
2049, 7, -0.168856634629041
2050, 12, 0.405786362799632
2051, 2, -0.743499632057713
2052, 1, -0.858428231543447
2053, 16, 0.865500760742569
2054, 16, 0.865500760742569
2055, 30, 2.47450115354285
2056, 14, 0.6356435617711
2057, 7, -0.168856634629041
2058, 9, 0.0610005643424283
2059, 13, 0.520714962285366
2060, 17, 0.980429360228304
2061, 23, 1.67000095714271
2062, 2, -0.743499632057713
2063, 15, 0.750572161256835
2064, 14, 0.6356435617711
2065, 6, -0.283785234114775
2066, 4, -0.513642433086244
2067, 2, -0.743499632057713
2068, 9, 0.0610005643424283
2069, 19, 1.21028655919977
2070, 22, 1.55507235765698
2071, 27, 2.12971535508565
2072, 15, 0.750572161256835
2073, 16, 0.865500760742569
2074, 3, -0.628571032571978
2075, 20, 1.32521515868551
2076, 28, 2.24464395457138
2077, 20, 1.32521515868551
2078, 11, 0.290857763313897
2079, 16, 0.865500760742569
2080, 23, 1.67000095714271
2081, 7, -0.168856634629041
2082, 24, 1.78492955662844
2083, 34, 2.93421555148579
2084, 18, 1.09535795971404
2085, 18, 1.09535795971404
2086, 9, 0.0610005643424283
2087, 9, 0.0610005643424283
2088, 21, 1.44014375817124
2089, 9, 0.0610005643424283
2090, 30, 2.47450115354285
2091, 19, 1.21028655919977
2092, 34, 2.93421555148579
2093, 26, 2.01478675559991
2094, 18, 1.09535795971404
2095, 26, 2.01478675559991
2096, 21, 1.44014375817124
2097, 24, 1.78492955662844
2098, 11, 0.290857763313897
2099, 19, 1.21028655919977
2100, 23, 1.67000095714271
