"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Berlin_rcp85"
"Latitude: ","52.51"
"Longitude: ","13.4"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
1971, 34.2643666666667, 34.9636, 1, 3, 3
1972, 33.98895, 41.204, 2, 4, 8
1973, 35.49175, 38.3407, 1, 4, 4
1974, 30.0243822222222, 36.8213, 3, 5, 11
1975, -99.9, -99.9, 0, -99.9, 0
1976, 30.9711, 34.9077, 2, 5, 9
1977, -99.9, -99.9, 0, -99.9, 0
1978, -99.9, -99.9, 0, -99.9, 0
1979, 33.1312833333334, 34.8977, 2, 3, 6
1980, 28.8307555555556, 30.9246, 1, 9, 9
1981, -99.9, -99.9, 0, -99.9, 0
1982, 26.48132, 28.9774, 2, 5, 8
1983, -99.9, -99.9, 0, -99.9, 0
1984, 25.9676, 26.4253, 1, 3, 3
1985, 34.726725, 36.0434, 1, 4, 4
1986, 33.26198, 35.2978, 1, 5, 5
1987, 32.6337126666667, 38.7035, 5, 6, 22
1988, 35.71736, 40.9534, 1, 5, 5
1989, 32.7806, 33.1042, 1, 3, 3
1990, -99.9, -99.9, 0, -99.9, 0
1991, -99.9, -99.9, 0, -99.9, 0
1992, 30.0490311111111, 35.3048, 3, 5, 13
1993, 29.3518183333334, 33.3205, 4, 5, 16
1994, -99.9, -99.9, 0, -99.9, 0
1995, -99.9, -99.9, 0, -99.9, 0
1996, 37.2747, 42.3082, 1, 4, 4
1997, 35.4061, 37.1837000000001, 1, 3, 3
1998, 29.6461, 32.2063, 2, 4, 5
1999, 26.9600583333334, 29.6909, 3, 4, 11
2000, 30.2859966666667, 40.4004, 6, 5, 20
2001, 32.682, 33.0118000000001, 1, 3, 3
2002, 32.5847833333333, 37.3948, 2, 4, 7
2003, 30.2429541666667, 31.8698, 2, 4, 7
2004, 34.24887875, 38.3002, 4, 5, 15
2005, 30.9699633333334, 33.3831, 3, 6, 14
2006, 31.6747666666667, 32.0492, 1, 3, 3
2007, 24.9018333333334, 25.5262, 1, 6, 6
2008, 36.6, 38.1074, 1, 3, 3
2009, 32.0724460317461, 37.0237, 3, 7, 14
2010, 30.1998333333334, 38.3153, 2, 6, 10
2011, 35.16592, 37.2078, 2, 5, 9
2012, 34.8769694444445, 44.4077, 3, 4, 11
2013, 32.4819, 33.3617, 1, 4, 4
2014, 32.74144, 42.446, 5, 6, 21
2015, 31.0293645833334, 37.5167, 4, 4, 15
2016, 31.1503711111111, 37.0471, 3, 5, 11
2017, 31.5531833333334, 42.9381, 6, 4, 19
2018, 35.1592666666667, 45.5011, 3, 3, 9
2019, 32.9994333333334, 35.8885, 2, 8, 11
2020, -99.9, -99.9, 0, -99.9, 0
2021, 30.9919866666667, 37.6399, 2, 5, 8
2022, 33.0572, 36.6321, 1, 3, 3
2023, 30.1191916666667, 37.4705, 2, 4, 7
2024, 28.8825625, 33.2782, 2, 5, 9
2025, 37.4446416666667, 41.8357, 2, 10, 13
2026, 29.3799327777778, 38.2472, 3, 5, 12
2027, 33.4667077651515, 39.3238, 4, 11, 21
2028, 28.108215, 33.8099, 3, 5, 12
2029, 33.5852736111111, 43.2466, 3, 9, 20
2030, 29.2092, 29.9877, 1, 4, 4
2031, 28.9323666666667, 31.4041, 2, 4, 7
2032, 33.122439186508, 44.0768, 6, 8, 33
2033, 31.2220696666667, 37.1526, 5, 5, 19
2034, 37.598925, 41.2111, 2, 6, 9
2035, 34.294625, 36.1752, 1, 4, 4
2036, 30.6492875, 35.7828, 2, 4, 6
2037, -99.9, -99.9, 0, -99.9, 0
2038, 31.1429638888889, 34.9245, 3, 4, 11
2039, 26.5077, 26.5077, 1, 1, 1
2040, 27.5424, 28.4596, 1, 3, 3
2041, 34.6641, 38.362, 1, 7, 7
2042, 31.5421982539683, 39.9407, 7, 9, 37
2043, 35.8747666666667, 38.982, 1, 3, 3
2044, 36.2581916666667, 45.4323, 2, 6, 9
2045, 29.4588375, 34.6785, 2, 6, 10
2046, 33.6147296666667, 41.3859, 5, 5, 18
2047, 31.3592916666667, 40.5667, 10, 9, 44
2048, 30.1618416666667, 32.6548, 2, 4, 7
2049, -99.9, -99.9, 0, -99.9, 0
2050, 28.54863, 34.5997, 2, 5, 8
2051, -99.9, -99.9, 0, -99.9, 0
2052, -99.9, -99.9, 0, -99.9, 0
2053, 35.2293285353536, 53.7218, 3, 12, 26
2054, 34.0833400297619, 42.4644, 8, 8, 38
2055, 35.5932751785715, 43.4774, 4, 20, 40
2056, 33.4837058333334, 45.4789, 5, 8, 21
2057, 30.3224380952381, 37.7762, 2, 7, 10
2058, 27.9508, 29.7168, 1, 6, 6
2059, 34.9900377777778, 47.8777, 6, 9, 33
2060, 30.9000491666667, 37.6012, 6, 13, 36
2061, 33.4537340952381, 41.7959, 5, 7, 23
2062, 29.3644761904762, 32.4911, 2, 7, 13
2063, 35.6153341666667, 43.804, 4, 6, 19
2064, 30.0832977083334, 38.535, 8, 12, 47
2065, 34.4751666666667, 36.6132, 1, 6, 6
2066, 34.94345, 39.3831, 1, 4, 4
2067, 25.4185, 27.254, 1, 3, 3
2068, 31.9825820833334, 42.4914, 4, 5, 15
2069, 35.6432555555556, 44.2786, 6, 12, 28
2070, 35.9194647435898, 42.8678, 2, 13, 19
2071, 34.2783170408164, 49.3939, 7, 14, 48
2072, 36.2222701704546, 50.8932, 4, 11, 26
2073, 31.8158375, 33.5477, 2, 4, 7
