"Description: ","Monthly percentage of days when TX > 50th percentile"
"Station: ","final_1971_2005_Berlin_rcp85"
"Latitude: ","52.51"
"Longitude: ","13.4"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, txgt50p, normalised (all years)
1971-01, 77.4193548387097, 0.688010908156946
1971-02, 0, -2.56241486321244
1971-03, 25.8064516129032, -1.47893960608931
1971-04, 13.3333333333333, -2.00261931369883
1971-05, 29.0322580645161, -1.34350519894892
1971-06, 43.3333333333333, -0.743079327293188
1971-07, 54.8387096774194, -0.26002994182579
1971-08, 41.9354838709677, -0.801767570387358
1971-09, 73.3333333333333, 0.516460659112449
1971-10, 48.3870967741936, -0.530898756106572
1971-11, 33.3333333333333, -1.1629259894284
1971-12, 22.5806451612903, -1.6143740132297
1972-01, 35.4838709677419, -1.07263638466814
1972-02, 62.0689655172414, 0.0435299362474993
1972-03, 25.8064516129032, -1.47893960608931
1972-04, 36.6666666666667, -1.02297710204999
1972-05, 32.258064516129, -1.20807079180853
1972-06, 63.3333333333333, 0.0966139969772365
1972-07, 38.7096774193548, -0.937201977527749
1972-08, 32.258064516129, -1.20807079180853
1972-09, 60, -0.0433348904011663
1972-10, 90.3225806451613, 1.22974853671851
1972-11, 90, 1.21620509600447
1972-12, 9.67741935483871, -2.15611164179127
1973-01, 61.2903225806452, 0.0108388724549919
1973-02, 57.1428571428571, -0.163291079582657
1973-03, 38.7096774193548, -0.937201977527749
1973-04, 33.3333333333333, -1.1629259894284
1973-05, 19.3548387096774, -1.74980842037009
1973-06, 20, -1.72272153894202
1973-07, 67.741935483871, 0.281707686735774
1973-08, 41.9354838709677, -0.801767570387358
1973-09, 30, -1.3028748768068
1973-10, 25.8064516129032, -1.47893960608931
1973-11, 56.6666666666667, -0.183283777779569
1973-12, 70.9677419354839, 0.417142093876165
1974-01, 87.0967741935484, 1.09431412957812
1974-02, 78.5714285714286, 0.736380339278515
1974-03, 61.2903225806452, 0.0108388724549919
1974-04, 80, 0.796358433869258
1974-05, 58.0645161290323, -0.124595534685399
1974-06, 50, -0.463181552536379
1974-07, 38.7096774193548, -0.937201977527749
1974-08, 45.1612903225806, -0.666333163246967
1974-09, 36.6666666666667, -1.02297710204999
1974-10, 54.8387096774194, -0.26002994182579
1974-11, 46.6666666666667, -0.603130439914781
1974-12, 12.9032258064516, -2.02067723465088
1975-01, 16.1290322580645, -1.88524282751049
1975-02, 14.2857142857143, -1.96263391730499
1975-03, 54.8387096774194, -0.26002994182579
1975-04, 73.3333333333333, 0.516460659112449
1975-05, 32.258064516129, -1.20807079180853
1975-06, 40, -0.883028214671591
1975-07, 32.258064516129, -1.20807079180853
1975-08, 32.258064516129, -1.20807079180853
1975-09, 60, -0.0433348904011663
1975-10, 25.8064516129032, -1.47893960608931
1975-11, 50, -0.463181552536379
1975-12, 29.0322580645161, -1.34350519894892
1976-01, 6.45161290322581, -2.29154604893166
1976-02, 79.3103448275862, 0.767403491653037
1976-03, 9.67741935483871, -2.15611164179127
1976-04, 53.3333333333333, -0.323232665157976
1976-05, 83.8709677419355, 0.958879722437728
1976-06, 53.3333333333333, -0.323232665157976
1976-07, 51.6129032258064, -0.395464348966185
1976-08, 51.6129032258064, -0.395464348966185
1976-09, 46.6666666666667, -0.603130439914781
1976-10, 35.4838709677419, -1.07263638466814
1976-11, 10, -2.14256820107723
1976-12, 58.0645161290323, -0.124595534685399
1977-01, 58.0645161290323, -0.124595534685399
1977-02, 7.14285714285714, -2.26252439025872
1977-03, 70.9677419354839, 0.417142093876165
1977-04, 33.3333333333333, -1.1629259894284
1977-05, 58.0645161290323, -0.124595534685399
1977-06, 13.3333333333333, -2.00261931369883
1977-07, 41.9354838709677, -0.801767570387358
1977-08, 45.1612903225806, -0.666333163246967
1977-09, 43.3333333333333, -0.743079327293188
1977-10, 45.1612903225806, -0.666333163246967
1977-11, 83.3333333333333, 0.936307321247661
1977-12, 0, -2.56241486321244
1978-01, 12.9032258064516, -2.02067723465088
1978-02, 0, -2.56241486321244
1978-03, 38.7096774193548, -0.937201977527749
1978-04, 23.3333333333333, -1.58277265156361
1978-05, 41.9354838709677, -0.801767570387358
1978-06, 26.6666666666667, -1.44282376418521
1978-07, 58.0645161290323, -0.124595534685399
1978-08, 80.6451612903226, 0.823445315297338
1978-09, 60, -0.0433348904011663
1978-10, 100, 1.63605175813968
1978-11, 80, 0.796358433869258
1978-12, 54.8387096774194, -0.26002994182579
1979-01, 96.7741935483871, 1.50061735099929
1979-02, 10.7142857142857, -2.11257915378186
1979-03, 35.4838709677419, -1.07263638466814
1979-04, 30, -1.3028748768068
1979-05, 58.0645161290323, -0.124595534685399
1979-06, 83.3333333333333, 0.936307321247661
1979-07, 32.258064516129, -1.20807079180853
1979-08, 35.4838709677419, -1.07263638466814
1979-09, 46.6666666666667, -0.603130439914781
1979-10, 58.0645161290323, -0.124595534685399
1979-11, 76.6666666666667, 0.656409546490856
1979-12, 48.3870967741936, -0.530898756106572
1980-01, 25.8064516129032, -1.47893960608931
1980-02, 65.5172413793103, 0.188304647328604
1980-03, 68.9247311827957, 0.331366969353916
1980-04, 53.3333333333333, -0.323232665157976
1980-05, 67.741935483871, 0.281707686735774
1980-06, 63, 0.0826191082393974
1980-07, 61.1827956989247, 0.00632439221697582
1980-08, 54.4086021505376, -0.278087862777846
1980-09, 50, -0.463181552536379
1980-10, 19.3548387096774, -1.74980842037009
1980-11, 65, 0.16658844066644
1980-12, 58.494623655914, -0.106537613733348
1981-01, 90.3225806451613, 1.22974853671851
1981-02, 67.0238095238095, 0.251557408003327
1981-03, 71.0752688172043, 0.421656574114177
1981-04, 66.6666666666667, 0.236562884355643
1981-05, 48.3870967741936, -0.530898756106572
1981-06, 61.4444444444444, 0.017309627462807
1981-07, 38.7096774193548, -0.937201977527749
1981-08, 68.0645161290323, 0.295251127449813
1981-09, 60, -0.0433348904011663
1981-10, 52.0430107526882, -0.37740642801413
1981-11, 40, -0.883028214671591
1981-12, 73.5483870967742, 0.525489619588477
1982-01, 80.6451612903226, 0.823445315297338
1982-02, 60.1190476190476, -0.0383367158519384
1982-03, 61.2903225806452, 0.0108388724549919
1982-04, 54.2222222222222, -0.285912961857068
1982-05, 48.3870967741936, -0.530898756106572
1982-06, 80.6666666666667, 0.824348211344941
1982-07, 47.9569892473118, -0.548956677058627
1982-08, 18.8172043010753, -1.77238082156016
1982-09, 56.2222222222222, -0.201943629430025
1982-10, 90.3225806451613, 1.22974853671851
