"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Bucurest_rcp45"
"Latitude: ","44.43"
"Longitude: ","26.1"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
1971, 8.04728226313821, 14.4130334057998, 2, 4, 7
1972, 18.2149427724002, 46.3166581621111, 2, 4, 7
1973, 2.25388780115415, 4.42511751825001, 1, 4, 4
1974, 6.69147932236173, 18.5782239085777, 3, 6, 13
1975, -99.9, -99.9, 0, -99.9, 0
1976, 0.931142558130968, 2.13170093509999, 1, 7, 7
1977, -99.9, -99.9, 0, -99.9, 0
1978, 0.894152905459999, 1.80206014933333, 1, 5, 5
1979, 5.56742177759573, 29.2398693547168, 5, 10, 25
1980, 0.40511411493193, 1.01179422466664, 1, 4, 4
1981, -99.9, -99.9, 0, -99.9, 0
1982, 9.92811853424211, 33.8932152896945, 3, 6, 13
1983, 5.87655041236974, 23.1594323041111, 3, 6, 14
1984, 4.42182270026483, 6.80638386477789, 1, 3, 3
1985, 1.0762660720574, 1.79747860486665, 2, 8, 11
1986, 3.49923012704074, 7.75642655437226, 1, 3, 3
1987, -99.9, -99.9, 0, -99.9, 0
1988, -99.9, -99.9, 0, -99.9, 0
1989, -99.9, -99.9, 0, -99.9, 0
1990, 3.52108907833887, 4.88612415399999, 1, 3, 3
1991, -99.9, -99.9, 0, -99.9, 0
1992, 11.6324184520389, 23.6883525611944, 1, 4, 4
1993, 2.57608945771478, 3.67412033137772, 1, 3, 3
1994, 6.57454587852566, 13.50971172675, 2, 8, 12
1995, 13.4988484520906, 62.814232171011, 3, 11, 25
1996, 0.549712222222215, 0.945479999999993, 1, 3, 3
1997, -99.9, -99.9, 0, -99.9, 0
1998, 1.25920455446297, 2.38819419972223, 1, 3, 3
1999, 6.88413640245684, 12.0310047762832, 2, 5, 8
2000, 12.6280181465739, 74.4619925858611, 3, 7, 13
2001, 4.54499625280441, 10.6997542714667, 3, 5, 12
2002, -99.9, -99.9, 0, -99.9, 0
2003, 5.23263841938701, 9.68071562948888, 1, 3, 3
2004, 4.51161220974234, 10.7288003041555, 1, 8, 8
2005, 4.31577537151363, 7.04227157226657, 2, 4, 7
2006, 10.4987256420977, 49.4168734928445, 4, 8, 24
2007, 11.0489487126089, 26.7148467613334, 2, 7, 13
2008, 4.45694763165765, 12.0392203173778, 5, 8, 28
2009, 5.09564926613317, 17.2081576016999, 2, 9, 15
2010, -99.9, -99.9, 0, -99.9, 0
2011, 9.72203442775532, 39.2760691959333, 4, 9, 27
2012, 17.7462902623608, 47.5739606556497, 4, 8, 23
2013, 17.4417322275445, 44.5444272745668, 3, 8, 16
2014, 7.30599241210559, 33.1795220389166, 5, 8, 23
2015, 2.78903670957337, 8.09786577013335, 2, 4, 7
2016, 16.3076258840515, 73.5528318818333, 3, 15, 23
2017, 3.69703753668507, 13.3221175734668, 3, 5, 11
2018, 2.70135080719229, 7.99717767244451, 3, 4, 10
2019, 5.399830950556, 15.7589924426667, 2, 6, 12
2020, 8.07573236862701, 23.8736400463556, 2, 11, 14
2021, 3.83351593217177, 10.3134717172834, 3, 4, 10
2022, 9.76019802231661, 33.0566209481888, 5, 11, 35
2023, 7.24941725514512, 16.1029069407555, 2, 4, 8
2024, 9.65389466237346, 44.0929961511002, 7, 8, 30
2025, 10.3437395487217, 30.8757435839831, 6, 11, 41
2026, 7.11032977641085, 26.6881913088, 6, 11, 36
2027, 6.95054123128864, 27.2465272254335, 4, 9, 22
2028, 5.22170064495005, 9.45773200759991, 1, 3, 3
2029, 10.3951436658398, 61.1488273009443, 5, 7, 30
2030, 9.69147936170133, 53.287589023511, 6, 7, 28
2031, 2.53864973280096, 6.10206674022227, 2, 3, 6
2032, 0.880198888888895, 1.33705333333335, 1, 3, 3
2033, 5.02054704441071, 27.4424761794278, 8, 13, 43
2034, 5.40688175281615, 24.6206985988, 3, 10, 21
2035, 6.80401014811896, 25.4701484205832, 4, 10, 27
2036, 11.7322487530839, 50.1028423926779, 6, 16, 44
2037, 6.08600068707963, 13.1227763185556, 5, 6, 22
2038, 8.28851213266655, 25.1787384770668, 6, 6, 26
2039, 2.63335961324154, 8.70121365697224, 4, 6, 17
2040, 7.63619344419397, 77.7994069527998, 8, 21, 53
2041, 5.81837583694434, 27.3683084351999, 7, 19, 43
2042, 5.56912992511509, 13.7324294053334, 4, 4, 14
2043, 6.94894411925799, 32.0113132335997, 6, 6, 26
2044, 4.43468875448836, 23.7695466300333, 6, 9, 34
2045, 5.36944768479999, 7.78371297310004, 1, 3, 3
2046, 4.3211730617229, 24.1600427832335, 7, 10, 35
2047, 14.3365746013631, 45.9908760335335, 2, 10, 13
2048, 4.99238262471189, 35.4277007595832, 6, 14, 42
2049, 8.1441632578082, 20.4510764181111, 2, 9, 13
2050, 7.33267476048181, 43.9029997351557, 7, 21, 66
2051, 4.97517911940181, 7.60018029544444, 1, 6, 6
2052, 7.43793589694051, 40.4853467686888, 6, 11, 41
2053, 5.78791748625532, 21.7256900304779, 4, 13, 30
2054, 12.2730122326834, 64.1147254555498, 6, 19, 58
2055, 9.43481252112256, 61.1270590405334, 11, 18, 69
2056, 8.1141291608327, 37.4425545197667, 7, 13, 49
2057, 6.1763580307127, 20.2107719099443, 4, 19, 36
2058, 13.2757799409278, 166.741145247288, 3, 36, 45
2059, 4.45464910065186, 29.7129417678001, 4, 6, 16
2060, 4.94379295733859, 18.2960981548667, 7, 13, 55
2061, 10.8717955216971, 40.3429987165169, 4, 9, 24
2062, 5.07523307709117, 19.1554448808333, 8, 21, 67
2063, 6.38498530656658, 49.7075872713333, 6, 14, 48
2064, 3.91951433055732, 9.70021064700003, 6, 10, 40
2065, 9.71856720574902, 19.8997051725, 4, 16, 31
2066, 18.8299108163244, 98.9027103141, 3, 24, 42
2067, 7.23322389700785, 32.701935408, 7, 12, 40
2068, 5.75941489629909, 12.0023516124722, 2, 3, 6
2069, 7.44079326201524, 66.7862040118113, 5, 21, 46
2070, -99.9, -99.9, 0, -99.9, 0
2071, 6.18000160880454, 17.9100917758778, 6, 14, 35
2072, 4.64214773865289, 19.9956952305, 9, 7, 52
2073, 2.22996704728359, 3.93493854466669, 4, 4, 13
2074, 13.0470674375749, 63.915138254428, 7, 17, 59
2075, 15.4072205481389, 140.692149241711, 8, 10, 41
2076, 6.71677737862021, 19.8432074784999, 4, 10, 21
2077, 6.84080090812004, 56.4606664399778, 9, 14, 71
2078, 5.45748040779256, 46.7017888756945, 9, 17, 58
2079, 6.11861937913538, 22.9807470996723, 4, 10, 27
2080, 7.96857212851156, 41.9690443300001, 8, 11, 54
2081, 9.85018202527205, 30.4816022989558, 8, 10, 41
2082, 7.42800985610537, 29.4602848448, 5, 9, 30
2083, 13.8226341095819, 68.0480295230665, 5, 9, 29
2084, 5.15843754581832, 47.2873921602778, 9, 20, 63
2085, 6.78611932678867, 128.384184747806, 7, 29, 68
2086, 2.59218896707426, 21.3812684078667, 7, 22, 57
2087, 8.11332774660593, 21.9254269986387, 3, 5, 12
2088, 6.33744739354166, 25.2430236862833, 6, 20, 49
2089, 3.60525640300106, 14.4499189428668, 7, 10, 33
2090, 7.79304417799062, 19.9471717487778, 6, 5, 25
2091, 8.37107227307288, 39.0274337515999, 6, 24, 76
2092, 10.5451447683641, 66.6632871459834, 9, 19, 93
2093, 6.9698702832219, 31.6805582027778, 6, 15, 51
2094, 6.01174621345388, 25.4456884222, 6, 9, 36
2095, 5.57498652732152, 18.4021981974889, 6, 11, 45
2096, 7.96041541366365, 47.0190310850948, 8, 28, 70
2097, 3.44518850030077, 18.1248114624888, 6, 22, 47
2098, 7.15125995567776, 18.8638075138333, 4, 9, 23
2099, 7.2654395709247, 22.4301974657445, 5, 18, 37
2100, 8.38329384451678, 33.1891387486946, 7, 20, 53
