"Description: ","Monthly number of days when precipitation >= 10 mm"
"Station: ","final_1971_2005_Bucurest_rcp45"
"Latitude: ","44.43"
"Longitude: ","26.1"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, r10mm, normalised (all years)
1971-01, 0, -0.945028737052761
1971-02, 1, -0.270317144465893
1971-03, 1, -0.270317144465893
1971-04, 1, -0.270317144465893
1971-05, 1, -0.270317144465893
1971-06, 1, -0.270317144465893
1971-07, 3, 1.07910604070784
1971-08, 0, -0.945028737052761
1971-09, 1, -0.270317144465893
1971-10, 4, 1.75381763329471
1971-11, 2, 0.404394448120976
1971-12, 0, -0.945028737052761
1972-01, 2, 0.404394448120976
1972-02, 0, -0.945028737052761
1972-03, 0, -0.945028737052761
1972-04, 0, -0.945028737052761
1972-05, 0, -0.945028737052761
1972-06, 2, 0.404394448120976
1972-07, 4, 1.75381763329471
1972-08, 0, -0.945028737052761
1972-09, 2, 0.404394448120976
1972-10, 0, -0.945028737052761
1972-11, 0, -0.945028737052761
1972-12, 3, 1.07910604070784
1973-01, 3, 1.07910604070784
1973-02, 0, -0.945028737052761
1973-03, 0, -0.945028737052761
1973-04, 0, -0.945028737052761
1973-05, 0, -0.945028737052761
1973-06, 1, -0.270317144465893
1973-07, 2, 0.404394448120976
1973-08, 1, -0.270317144465893
1973-09, 3, 1.07910604070784
1973-10, 1, -0.270317144465893
1973-11, 0, -0.945028737052761
1973-12, 1, -0.270317144465893
1974-01, 0, -0.945028737052761
1974-02, 0, -0.945028737052761
1974-03, 2, 0.404394448120976
1974-04, 0, -0.945028737052761
1974-05, 1, -0.270317144465893
1974-06, 0, -0.945028737052761
1974-07, 2, 0.404394448120976
1974-08, 0, -0.945028737052761
1974-09, 3, 1.07910604070784
1974-10, 3, 1.07910604070784
1974-11, 1, -0.270317144465893
1974-12, 0, -0.945028737052761
1975-01, 2, 0.404394448120976
1975-02, 1, -0.270317144465893
1975-03, 1, -0.270317144465893
1975-04, 3, 1.07910604070784
1975-05, 3, 1.07910604070784
1975-06, 2, 0.404394448120976
1975-07, 2, 0.404394448120976
1975-08, 0, -0.945028737052761
1975-09, 2, 0.404394448120976
1975-10, 7, 3.77795241105532
1975-11, 2, 0.404394448120976
1975-12, 2, 0.404394448120976
1976-01, 0, -0.945028737052761
1976-02, 1, -0.270317144465893
1976-03, 3, 1.07910604070784
1976-04, 3, 1.07910604070784
1976-05, 0, -0.945028737052761
1976-06, 4, 1.75381763329471
1976-07, 3, 1.07910604070784
1976-08, 0, -0.945028737052761
1976-09, 0, -0.945028737052761
1976-10, 6, 3.10324081846845
1976-11, 4, 1.75381763329471
1976-12, 1, -0.270317144465893
1977-01, 1, -0.270317144465893
1977-02, 0, -0.945028737052761
1977-03, 1, -0.270317144465893
1977-04, 3, 1.07910604070784
1977-05, 1, -0.270317144465893
1977-06, 2, 0.404394448120976
1977-07, 4, 1.75381763329471
1977-08, 0, -0.945028737052761
1977-09, 0, -0.945028737052761
1977-10, 5, 2.42852922588158
1977-11, 0, -0.945028737052761
1977-12, 2, 0.404394448120976
1978-01, 4, 1.75381763329471
1978-02, 1, -0.270317144465893
1978-03, 1, -0.270317144465893
1978-04, 2, 0.404394448120976
1978-05, 1, -0.270317144465893
1978-06, 2, 0.404394448120976
1978-07, 3, 1.07910604070784
1978-08, 0, -0.945028737052761
1978-09, 0, -0.945028737052761
1978-10, 1, -0.270317144465893
1978-11, 1, -0.270317144465893
1978-12, 0, -0.945028737052761
1979-01, 2, 0.404394448120976
1979-02, 1, -0.270317144465893
1979-03, 0, -0.945028737052761
1979-04, 2, 0.404394448120976
1979-05, 4, 1.75381763329471
1979-06, 0, -0.945028737052761
1979-07, 2, 0.404394448120976
1979-08, 0, -0.945028737052761
1979-09, 2, 0.404394448120976
1979-10, 2, 0.404394448120976
1979-11, 0, -0.945028737052761
1979-12, 1, -0.270317144465893
1980-01, 3, 1.07910604070784
1980-02, 0, -0.945028737052761
1980-03, 2, 0.404394448120976
1980-04, 3, 1.07910604070784
1980-05, 1, -0.270317144465893
1980-06, 2, 0.404394448120976
1980-07, 2, 0.404394448120976
1980-08, 0, -0.945028737052761
1980-09, 0, -0.945028737052761
1980-10, 1, -0.270317144465893
1980-11, 1, -0.270317144465893
1980-12, 1, -0.270317144465893
1981-01, 1, -0.270317144465893
1981-02, 0, -0.945028737052761
1981-03, 0, -0.945028737052761
1981-04, 1, -0.270317144465893
1981-05, 4, 1.75381763329471
1981-06, 7, 3.77795241105532
1981-07, 0, -0.945028737052761
1981-08, 0, -0.945028737052761
1981-09, 0, -0.945028737052761
1981-10, 2, 0.404394448120976
1981-11, 0, -0.945028737052761
1981-12, 0, -0.945028737052761
1982-01, 0, -0.945028737052761
1982-02, 0, -0.945028737052761
1982-03, 3, 1.07910604070784
1982-04, 0, -0.945028737052761
1982-05, 4, 1.75381763329471
1982-06, 2, 0.404394448120976
1982-07, 2, 0.404394448120976
1982-08, 1, -0.270317144465893
1982-09, 1, -0.270317144465893
1982-10, 0, -0.945028737052761
1982-11, 1, -0.270317144465893
1982-12, 0, -0.945028737052761
1983-01, 0, -0.945028737052761
1983-02, 1, -0.270317144465893
1983-03, 0, -0.945028737052761
1983-04, 1, -0.270317144465893
1983-05, 2, 0.404394448120976
1983-06, 2, 0.404394448120976
1983-07, 0, -0.945028737052761
1983-08, 0, -0.945028737052761
1983-09, 0, -0.945028737052761
1983-10, 2, 0.404394448120976
1983-11, 5, 2.42852922588158
1983-12, 0, -0.945028737052761
1984-01, 4, 1.75381763329471
1984-02, 1, -0.270317144465893
1984-03, 2, 0.404394448120976
1984-04, 0, -0.945028737052761
1984-05, 1, -0.270317144465893
1984-06, 1, -0.270317144465893
1984-07, 4, 1.75381763329471
1984-08, 0, -0.945028737052761
1984-09, 2, 0.404394448120976
1984-10, 3, 1.07910604070784
1984-11, 1, -0.270317144465893
1984-12, 2, 0.404394448120976
1985-01, 0, -0.945028737052761
1985-02, 1, -0.270317144465893
1985-03, 0, -0.945028737052761
1985-04, 0, -0.945028737052761
1985-05, 5, 2.42852922588158
1985-06, 2, 0.404394448120976
1985-07, 2, 0.404394448120976
1985-08, 0, -0.945028737052761
1985-09, 2, 0.404394448120976
1985-10, 1, -0.270317144465893
1985-11, 1, -0.270317144465893
1985-12, 2, 0.404394448120976
1986-01, 1, -0.270317144465893
1986-02, 1, -0.270317144465893
1986-03, 1, -0.270317144465893
1986-04, 3, 1.07910604070784
1986-05, 3, 1.07910604070784
1986-06, 1, -0.270317144465893
1986-07, 2, 0.404394448120976
1986-08, 0, -0.945028737052761
1986-09, 2, 0.404394448120976
1986-10, 3, 1.07910604070784
1986-11, 0, -0.945028737052761
1986-12, 0, -0.945028737052761
1987-01, 0, -0.945028737052761
1987-02, 0, -0.945028737052761
1987-03, 0, -0.945028737052761
1987-04, 0, -0.945028737052761
1987-05, 4, 1.75381763329471
1987-06, 0, -0.945028737052761
1987-07, 3, 1.07910604070784
1987-08, 3, 1.07910604070784
1987-09, 2, 0.404394448120976
1987-10, 2, 0.404394448120976
1987-11, 1, -0.270317144465893
1987-12, 2, 0.404394448120976
1988-01, 0, -0.945028737052761
1988-02, 2, 0.404394448120976
1988-03, 3, 1.07910604070784
1988-04, 0, -0.945028737052761
1988-05, 4, 1.75381763329471
1988-06, 4, 1.75381763329471
1988-07, 4, 1.75381763329471
1988-08, 1, -0.270317144465893
1988-09, 1, -0.270317144465893
1988-10, 0, -0.945028737052761
1988-11, 4, 1.75381763329471
1988-12, 0, -0.945028737052761
1989-01, 2, 0.404394448120976
1989-02, 3, 1.07910604070784
1989-03, 0, -0.945028737052761
1989-04, 1, -0.270317144465893
1989-05, 2, 0.404394448120976
1989-06, 2, 0.404394448120976
1989-07, 6, 3.10324081846845
1989-08, 1, -0.270317144465893
1989-09, 5, 2.42852922588158
1989-10, 3, 1.07910604070784
1989-11, 2, 0.404394448120976
1989-12, 2, 0.404394448120976
1990-01, 0, -0.945028737052761
1990-02, 1, -0.270317144465893
1990-03, 2, 0.404394448120976
1990-04, 2, 0.404394448120976
1990-05, 1, -0.270317144465893
1990-06, 4, 1.75381763329471
1990-07, 6, 3.10324081846845
1990-08, 4, 1.75381763329471
1990-09, 0, -0.945028737052761
1990-10, 3, 1.07910604070784
1990-11, 4, 1.75381763329471
1990-12, 0, -0.945028737052761
1991-01, 2, 0.404394448120976
1991-02, 0, -0.945028737052761
1991-03, 1, -0.270317144465893
1991-04, 1, -0.270317144465893
1991-05, 3, 1.07910604070784
1991-06, 2, 0.404394448120976
1991-07, 2, 0.404394448120976
1991-08, 0, -0.945028737052761
1991-09, 3, 1.07910604070784
1991-10, 1, -0.270317144465893
1991-11, 1, -0.270317144465893
1991-12, 2, 0.404394448120976
1992-01, 0, -0.945028737052761
1992-02, 0, -0.945028737052761
1992-03, 0, -0.945028737052761
1992-04, 2, 0.404394448120976
1992-05, 1, -0.270317144465893
1992-06, 1, -0.270317144465893
1992-07, 3, 1.07910604070784
1992-08, 0, -0.945028737052761
1992-09, 0, -0.945028737052761
1992-10, 0, -0.945028737052761
1992-11, 1, -0.270317144465893
1992-12, 0, -0.945028737052761
1993-01, 2, 0.404394448120976
1993-02, 1, -0.270317144465893
1993-03, 0, -0.945028737052761
1993-04, 4, 1.75381763329471
1993-05, 0, -0.945028737052761
1993-06, 4, 1.75381763329471
1993-07, 0, -0.945028737052761
1993-08, 1, -0.270317144465893
1993-09, 3, 1.07910604070784
1993-10, 1, -0.270317144465893
1993-11, 2, 0.404394448120976
1993-12, 1, -0.270317144465893
1994-01, 0, -0.945028737052761
1994-02, 0, -0.945028737052761
1994-03, 3, 1.07910604070784
1994-04, 1, -0.270317144465893
1994-05, 1, -0.270317144465893
1994-06, 1, -0.270317144465893
1994-07, 1, -0.270317144465893
1994-08, 1, -0.270317144465893
1994-09, 2, 0.404394448120976
1994-10, 1, -0.270317144465893
1994-11, 0, -0.945028737052761
1994-12, 0, -0.945028737052761
1995-01, 2, 0.404394448120976
1995-02, 2, 0.404394448120976
1995-03, 0, -0.945028737052761
1995-04, 1, -0.270317144465893
1995-05, 1, -0.270317144465893
1995-06, 0, -0.945028737052761
1995-07, 0, -0.945028737052761
1995-08, 3, 1.07910604070784
1995-09, 1, -0.270317144465893
1995-10, 3, 1.07910604070784
1995-11, 0, -0.945028737052761
1995-12, 0, -0.945028737052761
1996-01, 0, -0.945028737052761
1996-02, 1, -0.270317144465893
1996-03, 0, -0.945028737052761
1996-04, 0, -0.945028737052761
1996-05, 1, -0.270317144465893
1996-06, 2, 0.404394448120976
1996-07, 4, 1.75381763329471
1996-08, 0, -0.945028737052761
1996-09, 0, -0.945028737052761
1996-10, 1, -0.270317144465893
1996-11, 4, 1.75381763329471
1996-12, 7, 3.77795241105532
1997-01, 2, 0.404394448120976
1997-02, 1, -0.270317144465893
1997-03, 2, 0.404394448120976
1997-04, 2, 0.404394448120976
1997-05, 4, 1.75381763329471
1997-06, 6, 3.10324081846845
1997-07, 1, -0.270317144465893
1997-08, 2, 0.404394448120976
1997-09, 0, -0.945028737052761
1997-10, 4, 1.75381763329471
1997-11, 1, -0.270317144465893
1997-12, 2, 0.404394448120976
1998-01, 0, -0.945028737052761
1998-02, 0, -0.945028737052761
1998-03, 1, -0.270317144465893
1998-04, 0, -0.945028737052761
