"Description: ","Monthly number of days when TM < 10 degrees_C"
"Station: ","final_1971_2005_Bucurest_rcp45"
"Latitude: ","44.43"
"Longitude: ","26.1"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tmlt10, normalised (all years)
1971-01, 31, 1.43008821112964
1971-02, 27, 1.11923195873653
1971-03, 29, 1.27466008493309
1971-04, 13, 0.0312350753606537
1971-05, 5, -0.590477429425563
1971-06, 0, -0.979047744916948
1971-07, 0, -0.979047744916948
1971-08, 0, -0.979047744916948
1971-09, 0, -0.979047744916948
1971-10, 14, 0.108949138458931
1971-11, 22, 0.730661643245147
1971-12, 31, 1.43008821112964
1972-01, 31, 1.43008821112964
1972-02, 24, 0.886089769441701
1972-03, 24, 0.886089769441701
1972-04, 2, -0.823619618720394
1972-05, 0, -0.979047744916948
1972-06, 0, -0.979047744916948
1972-07, 0, -0.979047744916948
1972-08, 0, -0.979047744916948
1972-09, 0, -0.979047744916948
1972-10, 6, -0.512763366327286
1972-11, 24, 0.886089769441701
1972-12, 31, 1.43008821112964
1973-01, 31, 1.43008821112964
1973-02, 28, 1.19694602183481
1973-03, 24, 0.886089769441701
1973-04, 19, 0.497519453950316
1973-05, 0, -0.979047744916948
1973-06, 0, -0.979047744916948
1973-07, 0, -0.979047744916948
1973-08, 0, -0.979047744916948
1973-09, 0, -0.979047744916948
1973-10, 8, -0.357335240130732
1973-11, 19, 0.497519453950316
1973-12, 31, 1.43008821112964
1974-01, 31, 1.43008821112964
1974-02, 28, 1.19694602183481
1974-03, 23, 0.808375706343424
1974-04, 20, 0.575233517048593
1974-05, 2, -0.823619618720394
1974-06, 0, -0.979047744916948
1974-07, 0, -0.979047744916948
1974-08, 0, -0.979047744916948
1974-09, 0, -0.979047744916948
1974-10, 6, -0.512763366327286
1974-11, 28, 1.19694602183481
1974-12, 31, 1.43008821112964
1975-01, 31, 1.43008821112964
1975-02, 28, 1.19694602183481
1975-03, 25, 0.963803832539978
1975-04, 17, 0.342091327753762
1975-05, 0, -0.979047744916948
1975-06, 0, -0.979047744916948
1975-07, 0, -0.979047744916948
1975-08, 0, -0.979047744916948
1975-09, 0, -0.979047744916948
1975-10, 16, 0.264377264655485
1975-11, 24, 0.886089769441701
1975-12, 31, 1.43008821112964
1976-01, 31, 1.43008821112964
1976-02, 29, 1.27466008493309
1976-03, 23, 0.808375706343424
1976-04, 17, 0.342091327753762
1976-05, 0, -0.979047744916948
1976-06, 0, -0.979047744916948
1976-07, 0, -0.979047744916948
1976-08, 0, -0.979047744916948
1976-09, 0, -0.979047744916948
1976-10, 8, -0.357335240130732
1976-11, 28, 1.19694602183481
1976-12, 31, 1.43008821112964
1977-01, 31, 1.43008821112964
1977-02, 28, 1.19694602183481
1977-03, 30, 1.35237414803136
1977-04, 9, -0.279621177032454
1977-05, 2, -0.823619618720394
1977-06, 0, -0.979047744916948
1977-07, 0, -0.979047744916948
1977-08, 0, -0.979047744916948
1977-09, 1, -0.901333681818671
1977-10, 12, -0.0464789877376233
1977-11, 25, 0.963803832539978
1977-12, 31, 1.43008821112964
1978-01, 31, 1.43008821112964
1978-02, 28, 1.19694602183481
1978-03, 28, 1.19694602183481
1978-04, 20, 0.575233517048593
1978-05, 0, -0.979047744916948
1978-06, 0, -0.979047744916948
1978-07, 0, -0.979047744916948
1978-08, 0, -0.979047744916948
1978-09, 0, -0.979047744916948
1978-10, 7, -0.435049303229009
1978-11, 23, 0.808375706343424
1978-12, 31, 1.43008821112964
1979-01, 31, 1.43008821112964
1979-02, 28, 1.19694602183481
1979-03, 23, 0.808375706343424
1979-04, 20, 0.575233517048593
1979-05, 0, -0.979047744916948
1979-06, 0, -0.979047744916948
1979-07, 0, -0.979047744916948
1979-08, 0, -0.979047744916948
1979-09, 0, -0.979047744916948
1979-10, 6, -0.512763366327286
1979-11, 25, 0.963803832539978
1979-12, 30, 1.35237414803136
1980-01, 31, 1.43008821112964
1980-02, 29, 1.27466008493309
1980-03, 25, 0.963803832539978
1980-04, 6, -0.512763366327286
1980-05, 0, -0.979047744916948
1980-06, 0, -0.979047744916948
1980-07, 0, -0.979047744916948
1980-08, 0, -0.979047744916948
1980-09, 0, -0.979047744916948
1980-10, 17, 0.342091327753762
1980-11, 18, 0.419805390852039
1980-12, 30, 1.35237414803136
1981-01, 31, 1.43008821112964
1981-02, 28, 1.19694602183481
1981-03, 30, 1.35237414803136
1981-04, 13, 0.0312350753606537
1981-05, 2, -0.823619618720394
1981-06, 0, -0.979047744916948
1981-07, 0, -0.979047744916948
1981-08, 0, -0.979047744916948
1981-09, 0, -0.979047744916948
1981-10, 17, 0.342091327753762
1981-11, 30, 1.35237414803136
1981-12, 31, 1.43008821112964
1982-01, 31, 1.43008821112964
1982-02, 28, 1.19694602183481
1982-03, 26, 1.04151789563826
1982-04, 14, 0.108949138458931
1982-05, 0, -0.979047744916948
1982-06, 0, -0.979047744916948
1982-07, 0, -0.979047744916948
1982-08, 0, -0.979047744916948
1982-09, 0, -0.979047744916948
1982-10, 0, -0.979047744916948
1982-11, 30, 1.35237414803136
1982-12, 29, 1.27466008493309
1983-01, 31, 1.43008821112964
1983-02, 27, 1.11923195873653
1983-03, 15, 0.186663201557208
1983-04, 5, -0.590477429425563
1983-05, 5, -0.590477429425563
1983-06, 0, -0.979047744916948
