"Description: ","Monthly number of days when TX >= 30 degrees_C"
"Station: ","final_1971_2005_Bucurest_rcp45"
"Latitude: ","44.43"
"Longitude: ","26.1"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, txge30, normalised (all years)
1971-01, 0, -0.618533936291443
1971-02, 0, -0.618533936291443
1971-03, 0, -0.618533936291443
1971-04, 0, -0.618533936291443
1971-05, 3, -0.261511387963378
1971-06, 8, 0.333526192583398
1971-07, 14, 1.04757128923953
1971-08, 11, 0.690548740911463
1971-09, 1, -0.499526420182088
1971-10, 0, -0.618533936291443
1971-11, 0, -0.618533936291443
1971-12, 0, -0.618533936291443
1972-01, 0, -0.618533936291443
1972-02, 0, -0.618533936291443
1972-03, 0, -0.618533936291443
1972-04, 0, -0.618533936291443
1972-05, 7, 0.214518676474043
1972-06, 18, 1.52360135367695
1972-07, 20, 1.76161638589566
1972-08, 12, 0.809556257020818
1972-09, 0, -0.618533936291443
1972-10, 0, -0.618533936291443
1972-11, 0, -0.618533936291443
1972-12, 0, -0.618533936291443
1973-01, 0, -0.618533936291443
1973-02, 0, -0.618533936291443
1973-03, 0, -0.618533936291443
1973-04, 0, -0.618533936291443
1973-05, 0, -0.618533936291443
1973-06, 5, -0.0234963557446676
1973-07, 17, 1.40459383756759
1973-08, 14, 1.04757128923953
1973-09, 6, 0.0955111603646875
1973-10, 0, -0.618533936291443
1973-11, 0, -0.618533936291443
1973-12, 0, -0.618533936291443
1974-01, 0, -0.618533936291443
1974-02, 0, -0.618533936291443
1974-03, 0, -0.618533936291443
1974-04, 0, -0.618533936291443
1974-05, 4, -0.142503871854023
1974-06, 16, 1.28558632145824
1974-07, 24, 2.23764645033308
1974-08, 24, 2.23764645033308
1974-09, 6, 0.0955111603646875
1974-10, 0, -0.618533936291443
1974-11, 0, -0.618533936291443
1974-12, 0, -0.618533936291443
1975-01, 0, -0.618533936291443
1975-02, 0, -0.618533936291443
1975-03, 0, -0.618533936291443
1975-04, 0, -0.618533936291443
1975-05, 0, -0.618533936291443
1975-06, 6, 0.0955111603646875
1975-07, 10, 0.571541224802108
1975-08, 2, -0.380518904072733
1975-09, 2, -0.380518904072733
1975-10, 0, -0.618533936291443
1975-11, 0, -0.618533936291443
1975-12, 0, -0.618533936291443
1976-01, 0, -0.618533936291443
1976-02, 0, -0.618533936291443
1976-03, 0, -0.618533936291443
1976-04, 0, -0.618533936291443
1976-05, 0, -0.618533936291443
1976-06, 1, -0.499526420182088
1976-07, 3, -0.261511387963378
1976-08, 9, 0.452533708692753
1976-09, 6, 0.0955111603646875
1976-10, 0, -0.618533936291443
1976-11, 0, -0.618533936291443
1976-12, 0, -0.618533936291443
1977-01, 0, -0.618533936291443
1977-02, 0, -0.618533936291443
1977-03, 0, -0.618533936291443
1977-04, 0, -0.618533936291443
1977-05, 5, -0.0234963557446676
1977-06, 5, -0.0234963557446676
1977-07, 20, 1.76161638589566
1977-08, 10, 0.571541224802108
1977-09, 0, -0.618533936291443
1977-10, 0, -0.618533936291443
1977-11, 0, -0.618533936291443
1977-12, 0, -0.618533936291443
1978-01, 0, -0.618533936291443
1978-02, 0, -0.618533936291443
1978-03, 0, -0.618533936291443
1978-04, 0, -0.618533936291443
1978-05, 1, -0.499526420182088
1978-06, 5, -0.0234963557446676
1978-07, 11, 0.690548740911463
1978-08, 20, 1.76161638589566
1978-09, 5, -0.0234963557446676
1978-10, 0, -0.618533936291443
1978-11, 0, -0.618533936291443
1978-12, 0, -0.618533936291443
1979-01, 0, -0.618533936291443
1979-02, 0, -0.618533936291443
1979-03, 0, -0.618533936291443
1979-04, 0, -0.618533936291443
1979-05, 8, 0.333526192583398
1979-06, 5, -0.0234963557446676
1979-07, 26, 2.47566148255179
1979-08, 19, 1.6426088697863
1979-09, 6, 0.0955111603646875
1979-10, 0, -0.618533936291443
1979-11, 0, -0.618533936291443
1979-12, 0, -0.618533936291443
1980-01, 0, -0.618533936291443
1980-02, 0, -0.618533936291443
1980-03, 0, -0.618533936291443
1980-04, 0, -0.618533936291443
1980-05, 2, -0.380518904072733
1980-06, 6, 0.0955111603646875
1980-07, 23, 2.11863893422372
1980-08, 24, 2.23764645033308
1980-09, 5, -0.0234963557446676
1980-10, 0, -0.618533936291443
1980-11, 0, -0.618533936291443
1980-12, 0, -0.618533936291443
1981-01, 0, -0.618533936291443
1981-02, 0, -0.618533936291443
1981-03, 0, -0.618533936291443
1981-04, 0, -0.618533936291443
1981-05, 0, -0.618533936291443
1981-06, 4, -0.142503871854023
1981-07, 10, 0.571541224802108
1981-08, 24, 2.23764645033308
1981-09, 5, -0.0234963557446676
1981-10, 0, -0.618533936291443
1981-11, 0, -0.618533936291443
1981-12, 0, -0.618533936291443
1982-01, 0, -0.618533936291443
1982-02, 0, -0.618533936291443
1982-03, 0, -0.618533936291443
1982-04, 0, -0.618533936291443
1982-05, 1, -0.499526420182088
1982-06, 11, 0.690548740911463
1982-07, 24, 2.23764645033308
1982-08, 19, 1.6426088697863
1982-09, 4, -0.142503871854023
1982-10, 0, -0.618533936291443
1982-11, 0, -0.618533936291443
1982-12, 0, -0.618533936291443
1983-01, 0, -0.618533936291443
1983-02, 0, -0.618533936291443
1983-03, 0, -0.618533936291443
1983-04, 0, -0.618533936291443
1983-05, 0, -0.618533936291443
1983-06, 7, 0.214518676474043
1983-07, 22, 1.99963141811437
1983-08, 19, 1.6426088697863
1983-09, 5, -0.0234963557446676
1983-10, 0, -0.618533936291443
1983-11, 0, -0.618533936291443
1983-12, 0, -0.618533936291443
1984-01, 0, -0.618533936291443
1984-02, 0, -0.618533936291443
1984-03, 0, -0.618533936291443
1984-04, 0, -0.618533936291443
1984-05, 2, -0.380518904072733
1984-06, 7, 0.214518676474043
1984-07, 17, 1.40459383756759
1984-08, 18, 1.52360135367695
1984-09, 4, -0.142503871854023
1984-10, 0, -0.618533936291443
1984-11, 0, -0.618533936291443
1984-12, 0, -0.618533936291443
1985-01, 0, -0.618533936291443
1985-02, 0, -0.618533936291443
1985-03, 0, -0.618533936291443
1985-04, 0, -0.618533936291443
1985-05, 0, -0.618533936291443
1985-06, 0, -0.618533936291443
1985-07, 10, 0.571541224802108
1985-08, 30, 2.95169154698921
1985-09, 8, 0.333526192583398
1985-10, 0, -0.618533936291443
1985-11, 0, -0.618533936291443
1985-12, 0, -0.618533936291443
1986-01, 0, -0.618533936291443
1986-02, 0, -0.618533936291443
1986-03, 0, -0.618533936291443
1986-04, 0, -0.618533936291443
1986-05, 0, -0.618533936291443
1986-06, 8, 0.333526192583398
1986-07, 11, 0.690548740911463
1986-08, 13, 0.928563773130173
1986-09, 4, -0.142503871854023
1986-10, 0, -0.618533936291443
1986-11, 0, -0.618533936291443
1986-12, 0, -0.618533936291443
1987-01, 0, -0.618533936291443
1987-02, 0, -0.618533936291443
1987-03, 0, -0.618533936291443
1987-04, 0, -0.618533936291443
1987-05, 0, -0.618533936291443
1987-06, 7, 0.214518676474043
1987-07, 19, 1.6426088697863
1987-08, 8, 0.333526192583398
1987-09, 0, -0.618533936291443
1987-10, 0, -0.618533936291443
1987-11, 0, -0.618533936291443
1987-12, 0, -0.618533936291443
1988-01, 0, -0.618533936291443
1988-02, 0, -0.618533936291443
1988-03, 0, -0.618533936291443
1988-04, 0, -0.618533936291443
1988-05, 0, -0.618533936291443
1988-06, 0, -0.618533936291443
1988-07, 8, 0.333526192583398
1988-08, 9, 0.452533708692753
1988-09, 3, -0.261511387963378
1988-10, 0, -0.618533936291443
1988-11, 0, -0.618533936291443
1988-12, 0, -0.618533936291443
1989-01, 0, -0.618533936291443
1989-02, 0, -0.618533936291443
1989-03, 0, -0.618533936291443
1989-04, 0, -0.618533936291443
1989-05, 0, -0.618533936291443
1989-06, 2, -0.380518904072733
1989-07, 3, -0.261511387963378
1989-08, 4, -0.142503871854023
1989-09, 0, -0.618533936291443
1989-10, 0, -0.618533936291443
1989-11, 0, -0.618533936291443
1989-12, 0, -0.618533936291443
1990-01, 0, -0.618533936291443
1990-02, 0, -0.618533936291443
1990-03, 0, -0.618533936291443
1990-04, 0, -0.618533936291443
1990-05, 0, -0.618533936291443
1990-06, 12, 0.809556257020818
1990-07, 1, -0.499526420182088
1990-08, 4, -0.142503871854023
1990-09, 2, -0.380518904072733
1990-10, 0, -0.618533936291443
1990-11, 0, -0.618533936291443
1990-12, 0, -0.618533936291443
1991-01, 0, -0.618533936291443
1991-02, 0, -0.618533936291443
1991-03, 0, -0.618533936291443
1991-04, 0, -0.618533936291443
1991-05, 0, -0.618533936291443
1991-06, 2, -0.380518904072733
1991-07, 14, 1.04757128923953
1991-08, 21, 1.88062390200501
1991-09, 4, -0.142503871854023
1991-10, 0, -0.618533936291443
1991-11, 0, -0.618533936291443
1991-12, 0, -0.618533936291443
1992-01, 0, -0.618533936291443
1992-02, 0, -0.618533936291443
1992-03, 0, -0.618533936291443
1992-04, 0, -0.618533936291443
1992-05, 1, -0.499526420182088
1992-06, 12, 0.809556257020818
1992-07, 27, 2.59466899866114
1992-08, 21, 1.88062390200501
1992-09, 3, -0.261511387963378
1992-10, 0, -0.618533936291443
1992-11, 0, -0.618533936291443
1992-12, 0, -0.618533936291443
1993-01, 0, -0.618533936291443
1993-02, 0, -0.618533936291443
1993-03, 0, -0.618533936291443
1993-04, 0, -0.618533936291443
1993-05, 0, -0.618533936291443
1993-06, 2, -0.380518904072733
1993-07, 21, 1.88062390200501
1993-08, 14, 1.04757128923953
1993-09, 9, 0.452533708692753
1993-10, 0, -0.618533936291443
1993-11, 0, -0.618533936291443
1993-12, 0, -0.618533936291443
1994-01, 0, -0.618533936291443
1994-02, 0, -0.618533936291443
1994-03, 0, -0.618533936291443
1994-04, 0, -0.618533936291443
1994-05, 1, -0.499526420182088
1994-06, 15, 1.16657880534888
1994-07, 25, 2.35665396644243
1994-08, 19, 1.6426088697863
1994-09, 0, -0.618533936291443
1994-10, 0, -0.618533936291443
1994-11, 0, -0.618533936291443
1994-12, 0, -0.618533936291443
1995-01, 0, -0.618533936291443
1995-02, 0, -0.618533936291443
1995-03, 0, -0.618533936291443
1995-04, 0, -0.618533936291443
1995-05, 10, 0.571541224802108
1995-06, 24, 2.23764645033308
1995-07, 19, 1.6426088697863
1995-08, 5, -0.0234963557446676
1995-09, 0, -0.618533936291443
1995-10, 0, -0.618533936291443
1995-11, 0, -0.618533936291443
1995-12, 0, -0.618533936291443
1996-01, 0, -0.618533936291443
1996-02, 0, -0.618533936291443
1996-03, 0, -0.618533936291443
1996-04, 0, -0.618533936291443
1996-05, 0, -0.618533936291443
1996-06, 9, 0.452533708692753
1996-07, 5, -0.0234963557446676
1996-08, 22, 1.99963141811437
1996-09, 8, 0.333526192583398
1996-10, 0, -0.618533936291443
1996-11, 0, -0.618533936291443
1996-12, 0, -0.618533936291443
1997-01, 0, -0.618533936291443
1997-02, 0, -0.618533936291443
1997-03, 0, -0.618533936291443
1997-04, 0, -0.618533936291443
1997-05, 0, -0.618533936291443
1997-06, 4, -0.142503871854023
1997-07, 13, 0.928563773130173
1997-08, 15, 1.16657880534888
1997-09, 2, -0.380518904072733
1997-10, 0, -0.618533936291443
1997-11, 0, -0.618533936291443
1997-12, 0, -0.618533936291443
1998-01, 0, -0.618533936291443
1998-02, 0, -0.618533936291443
1998-03, 0, -0.618533936291443
1998-04, 1, -0.499526420182088
1998-05, 3, -0.261511387963378
1998-06, 11, 0.690548740911463
1998-07, 12, 0.809556257020818
1998-08, 18, 1.52360135367695
1998-09, 4, -0.142503871854023
1998-10, 0, -0.618533936291443
1998-11, 0, -0.618533936291443
1998-12, 0, -0.618533936291443
1999-01, 0, -0.618533936291443
1999-02, 0, -0.618533936291443
1999-03, 0, -0.618533936291443
1999-04, 0, -0.618533936291443
1999-05, 6, 0.0955111603646875
1999-06, 5, -0.0234963557446676
1999-07, 21, 1.88062390200501
1999-08, 14, 1.04757128923953
1999-09, 4, -0.142503871854023
1999-10, 0, -0.618533936291443
1999-11, 0, -0.618533936291443
1999-12, 0, -0.618533936291443
2000-01, 0, -0.618533936291443
2000-02, 0, -0.618533936291443
2000-03, 0, -0.618533936291443
2000-04, 0, -0.618533936291443
2000-05, 5, -0.0234963557446676
2000-06, 15, 1.16657880534888
2000-07, 22, 1.99963141811437
2000-08, 24, 2.23764645033308
2000-09, 4, -0.142503871854023
2000-10, 0, -0.618533936291443
2000-11, 0, -0.618533936291443
2000-12, 0, -0.618533936291443
2001-01, 0, -0.618533936291443
2001-02, 0, -0.618533936291443
2001-03, 0, -0.618533936291443
2001-04, 0, -0.618533936291443
2001-05, 0, -0.618533936291443
2001-06, 12, 0.809556257020818
2001-07, 26, 2.47566148255179
2001-08, 21, 1.88062390200501
2001-09, 0, -0.618533936291443
2001-10, 0, -0.618533936291443
2001-11, 0, -0.618533936291443
2001-12, 0, -0.618533936291443
2002-01, 0, -0.618533936291443
2002-02, 0, -0.618533936291443
2002-03, 0, -0.618533936291443
2002-04, 3, -0.261511387963378
2002-05, 0, -0.618533936291443
2002-06, 7, 0.214518676474043
2002-07, 17, 1.40459383756759
2002-08, 18, 1.52360135367695
2002-09, 0, -0.618533936291443
2002-10, 0, -0.618533936291443
2002-11, 0, -0.618533936291443
2002-12, 0, -0.618533936291443
2003-01, 0, -0.618533936291443
2003-02, 0, -0.618533936291443
2003-03, 0, -0.618533936291443
2003-04, 0, -0.618533936291443
2003-05, 3, -0.261511387963378
2003-06, 7, 0.214518676474043
2003-07, 15, 1.16657880534888
2003-08, 8, 0.333526192583398
2003-09, 1, -0.499526420182088
2003-10, 0, -0.618533936291443
2003-11, 0, -0.618533936291443
2003-12, 0, -0.618533936291443
2004-01, 0, -0.618533936291443
2004-02, 0, -0.618533936291443
2004-03, 0, -0.618533936291443
2004-04, 0, -0.618533936291443
2004-05, 1, -0.499526420182088
2004-06, 3, -0.261511387963378
2004-07, 15, 1.16657880534888
2004-08, 15, 1.16657880534888
2004-09, 9, 0.452533708692753
2004-10, 0, -0.618533936291443
2004-11, 0, -0.618533936291443
2004-12, 0, -0.618533936291443
2005-01, 0, -0.618533936291443
