"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","final_1971_2005_Bucurest_rcp85"
"Latitude: ","44.43"
"Longitude: ","26.1"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, spei
1971-01, -99.9
1971-02, -99.9
1971-03, -99.9
1971-04, -99.9
1971-05, -99.9
1971-06, -1.11074509330057
1971-07, -0.622027330552118
1971-08, -0.762423751637662
1971-09, -0.928329285082319
1971-10, 0.314326511651178
1971-11, 1.1104226528002
1971-12, 1.21829205796552
1972-01, 1.46286273594271
1972-02, 1.2468452831704
1972-03, 1.05373891142881
1972-04, -0.295241894253083
1972-05, -1.63678121913905
1972-06, -1.6186861150826
1972-07, -1.86909179566959
1972-08, -1.35272041459519
1972-09, -1.10249956057701
1972-10, -1.45333202368752
1972-11, -1.29224200219469
1972-12, 0.161421919945727
1973-01, 0.284795391870113
1973-02, -0.247358079875953
1973-03, -0.384223876432379
1973-04, 0.0802381511494694
1973-05, 0.246189210686073
1973-06, -0.968953018066632
1973-07, -1.17856345149731
1973-08, -0.989473993444471
1973-09, -0.793677049822403
1973-10, -0.895206550210528
1973-11, -1.07918795440409
1973-12, -0.513833306772266
1974-01, -0.818268993438057
1974-02, -1.18556399786477
1974-03, -0.91974953616052
1974-04, -0.464839149658168
1974-05, -0.714712342431239
1974-06, -1.41756766416172
1974-07, -1.25386265098534
1974-08, -1.33717324138228
1974-09, -0.984492085162231
1974-10, -0.311988298278373
1974-11, 0.255239269794868
1974-12, 0.848965463520679
1975-01, 1.18228837078737
1975-02, 1.57779352240004
1975-03, 1.00984165609157
1975-04, 0.830446732602819
1975-05, 0.885500902803042
1975-06, 0.506775400451957
1975-07, 0.582514416602763
1975-08, 0.726407510302868
1975-09, 0.772288748406334
1975-10, 1.61921602891952
1975-11, 1.64127489608323
1975-12, 1.79003696487738
1976-01, 2.41002147548175
1976-02, 2.40306548373577
1976-03, 2.13253886016547
1976-04, 1.25368772040276
1976-05, 1.02465244025189
1976-06, 1.52776797594385
1976-07, 1.6192009611027
1976-08, 1.54780817509213
1976-09, 1.20587600100052
1976-10, 1.57111786699931
1976-11, 2.05974645350462
1976-12, 1.57086357009528
1977-01, 1.90245758872857
1977-02, 1.84320841045408
1977-03, 1.71838768996333
1977-04, 1.20703078387014
1977-05, 0.837733271150574
1977-06, 0.92236124612701
1977-07, 0.900647559472185
1977-08, 1.00718459549857
1977-09, 1.00365747748869
1977-10, 0.954455536888668
1977-11, 0.753950047075267
1977-12, 0.64208513522664
1978-01, 1.01140158189615
1978-02, 1.27327639459217
1978-03, 1.40764104019526
1978-04, 1.04093214795275
1978-05, 1.45020986567487
1978-06, 1.49378857621786
1978-07, 1.18087796704766
1978-08, 0.879504509073263
1978-09, 0.36716765895741
1978-10, -0.200098713742764
1978-11, -0.532461777874357
