"Description: ","Monthly number of days when TX < 0 degrees_C"
"Station: ","final_1971_2005_Bucurest_rcp85"
"Latitude: ","44.43"
"Longitude: ","26.1"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, id, normalised (all years)
1971-01, 13, 3.04194264721633
1971-02, 0, -0.312447918035542
1971-03, 4, 0.719672255888112
1971-04, 0, -0.312447918035542
1971-05, 0, -0.312447918035542
1971-06, 0, -0.312447918035542
1971-07, 0, -0.312447918035542
1971-08, 0, -0.312447918035542
1971-09, 0, -0.312447918035542
1971-10, 0, -0.312447918035542
1971-11, 2, 0.203612168926285
1971-12, 10, 2.26785251677359
1972-01, 15, 3.55800273417816
1972-02, 1, -0.0544178745546285
1972-03, 0, -0.312447918035542
1972-04, 0, -0.312447918035542
1972-05, 0, -0.312447918035542
1972-06, 0, -0.312447918035542
1972-07, 0, -0.312447918035542
1972-08, 0, -0.312447918035542
1972-09, 0, -0.312447918035542
1972-10, 0, -0.312447918035542
1972-11, 0, -0.312447918035542
1972-12, 9, 2.00982247329268
1973-01, 4, 0.719672255888112
1973-02, 2, 0.203612168926285
1973-03, 0, -0.312447918035542
1973-04, 0, -0.312447918035542
1973-05, 0, -0.312447918035542
1973-06, 0, -0.312447918035542
1973-07, 0, -0.312447918035542
1973-08, 0, -0.312447918035542
1973-09, 0, -0.312447918035542
1973-10, 0, -0.312447918035542
1973-11, 0, -0.312447918035542
1973-12, 4, 0.719672255888112
1974-01, 0, -0.312447918035542
1974-02, 0, -0.312447918035542
1974-03, 0, -0.312447918035542
1974-04, 0, -0.312447918035542
1974-05, 0, -0.312447918035542
1974-06, 0, -0.312447918035542
1974-07, 0, -0.312447918035542
1974-08, 0, -0.312447918035542
1974-09, 0, -0.312447918035542
1974-10, 0, -0.312447918035542
1974-11, 0, -0.312447918035542
1974-12, 11, 2.52588256025451
1975-01, 9, 2.00982247329268
1975-02, 4, 0.719672255888112
1975-03, 2, 0.203612168926285
1975-04, 0, -0.312447918035542
1975-05, 0, -0.312447918035542
1975-06, 0, -0.312447918035542
1975-07, 0, -0.312447918035542
1975-08, 0, -0.312447918035542
1975-09, 0, -0.312447918035542
1975-10, 0, -0.312447918035542
1975-11, 3, 0.461642212407198
1975-12, 9, 2.00982247329268
1976-01, 17, 4.07406282113999
1976-02, 1, -0.0544178745546285
1976-03, 1, -0.0544178745546285
1976-04, 0, -0.312447918035542
1976-05, 0, -0.312447918035542
1976-06, 0, -0.312447918035542
1976-07, 0, -0.312447918035542
1976-08, 0, -0.312447918035542
1976-09, 0, -0.312447918035542
1976-10, 0, -0.312447918035542
1976-11, 2, 0.203612168926285
1976-12, 4, 0.719672255888112
1977-01, 14, 3.29997269069725
1977-02, 8, 1.75179242981177
1977-03, 0, -0.312447918035542
1977-04, 0, -0.312447918035542
1977-05, 0, -0.312447918035542
1977-06, 0, -0.312447918035542
1977-07, 0, -0.312447918035542
1977-08, 0, -0.312447918035542
1977-09, 0, -0.312447918035542
1977-10, 0, -0.312447918035542
1977-11, 0, -0.312447918035542
1977-12, 11, 2.52588256025451
1978-01, 0, -0.312447918035542
1978-02, 5, 0.977702299369025
1978-03, 0, -0.312447918035542
1978-04, 0, -0.312447918035542
1978-05, 0, -0.312447918035542
1978-06, 0, -0.312447918035542
1978-07, 0, -0.312447918035542
1978-08, 0, -0.312447918035542
1978-09, 0, -0.312447918035542
1978-10, 0, -0.312447918035542
1978-11, 1, -0.0544178745546285
1978-12, 19, 4.59012290810181
1979-01, 2, 0.203612168926285
1979-02, 2, 0.203612168926285
1979-03, 0, -0.312447918035542
1979-04, 0, -0.312447918035542
1979-05, 0, -0.312447918035542
1979-06, 0, -0.312447918035542
1979-07, 0, -0.312447918035542
1979-08, 0, -0.312447918035542
1979-09, 0, -0.312447918035542
1979-10, 0, -0.312447918035542
1979-11, 1, -0.0544178745546285
1979-12, 8, 1.75179242981177
1980-01, 21, 5.10618299506364
1980-02, 7, 1.49376238633085
1980-03, 2, 0.203612168926285
1980-04, 0, -0.312447918035542
1980-05, 0, -0.312447918035542
1980-06, 0, -0.312447918035542
1980-07, 0, -0.312447918035542
1980-08, 0, -0.312447918035542
1980-09, 0, -0.312447918035542
1980-10, 0, -0.312447918035542
1980-11, 0, -0.312447918035542
1980-12, 4, 0.719672255888112
1981-01, 16, 3.81603277765907
1981-02, 0, -0.312447918035542
1981-03, 0, -0.312447918035542
1981-04, 0, -0.312447918035542
1981-05, 0, -0.312447918035542
1981-06, 0, -0.312447918035542
1981-07, 0, -0.312447918035542
1981-08, 0, -0.312447918035542
1981-09, 0, -0.312447918035542
1981-10, 0, -0.312447918035542
1981-11, 3, 0.461642212407198
1981-12, 7, 1.49376238633085
1982-01, 0, -0.312447918035542
1982-02, 6, 1.23573234284994
1982-03, 0, -0.312447918035542
1982-04, 0, -0.312447918035542
1982-05, 0, -0.312447918035542
1982-06, 0, -0.312447918035542
1982-07, 0, -0.312447918035542
1982-08, 0, -0.312447918035542
1982-09, 0, -0.312447918035542
1982-10, 0, -0.312447918035542
1982-11, 4, 0.719672255888112
1982-12, 0, -0.312447918035542
1983-01, 6, 1.23573234284994
1983-02, 0, -0.312447918035542
1983-03, 0, -0.312447918035542
1983-04, 0, -0.312447918035542
1983-05, 0, -0.312447918035542
1983-06, 0, -0.312447918035542
1983-07, 0, -0.312447918035542
1983-08, 0, -0.312447918035542
1983-09, 0, -0.312447918035542
1983-10, 0, -0.312447918035542
1983-11, 0, -0.312447918035542
1983-12, 5, 0.977702299369025
1984-01, 10, 2.26785251677359
1984-02, 2, 0.203612168926285
1984-03, 0, -0.312447918035542
1984-04, 0, -0.312447918035542
1984-05, 0, -0.312447918035542
1984-06, 0, -0.312447918035542
1984-07, 0, -0.312447918035542
1984-08, 0, -0.312447918035542
1984-09, 0, -0.312447918035542
1984-10, 0, -0.312447918035542
1984-11, 0, -0.312447918035542
1984-12, 3, 0.461642212407198
1985-01, 13, 3.04194264721633
1985-02, 19, 4.59012290810181
1985-03, 0, -0.312447918035542
1985-04, 0, -0.312447918035542
1985-05, 0, -0.312447918035542
1985-06, 0, -0.312447918035542
1985-07, 0, -0.312447918035542
1985-08, 0, -0.312447918035542
1985-09, 0, -0.312447918035542
1985-10, 0, -0.312447918035542
1985-11, 2, 0.203612168926285
1985-12, 2, 0.203612168926285
1986-01, 23, 5.62224308202547
1986-02, 6, 1.23573234284994
1986-03, 0, -0.312447918035542
1986-04, 0, -0.312447918035542
1986-05, 0, -0.312447918035542
1986-06, 0, -0.312447918035542
1986-07, 0, -0.312447918035542
1986-08, 0, -0.312447918035542
1986-09, 0, -0.312447918035542
1986-10, 0, -0.312447918035542
1986-11, 0, -0.312447918035542
1986-12, 0, -0.312447918035542
1987-01, 17, 4.07406282113999
1987-02, 0, -0.312447918035542
1987-03, 0, -0.312447918035542
1987-04, 0, -0.312447918035542
1987-05, 0, -0.312447918035542
