"Description: ","Monthly number of days when TX > 25 degrees_C"
"Station: ","final_1971_2005_Bucurest_rcp85"
"Latitude: ","44.43"
"Longitude: ","26.1"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, su, normalised (all years)
1971-01, 0, -0.86872774473952
1971-02, 0, -0.86872774473952
1971-03, 0, -0.86872774473952
1971-04, 0, -0.86872774473952
1971-05, 8, -0.219988978921592
1971-06, 22, 0.915303861259781
1971-07, 29, 1.48295028135047
1971-08, 26, 1.23967324416875
1971-09, 7, -0.301081324648833
1971-10, 3, -0.625450707557797
1971-11, 0, -0.86872774473952
1971-12, 0, -0.86872774473952
1972-01, 0, -0.86872774473952
1972-02, 0, -0.86872774473952
1972-03, 0, -0.86872774473952
1972-04, 1, -0.787635399012279
1972-05, 14, 0.266565095441854
1972-06, 30, 1.56404262707771
1972-07, 30, 1.56404262707771
1972-08, 21, 0.83421151553254
1972-09, 9, -0.138896633194351
1972-10, 6, -0.382173670376074
1972-11, 0, -0.86872774473952
1972-12, 0, -0.86872774473952
1973-01, 0, -0.86872774473952
1973-02, 0, -0.86872774473952
1973-03, 0, -0.86872774473952
1973-04, 0, -0.86872774473952
1973-05, 7, -0.301081324648833
1973-06, 26, 1.23967324416875
1973-07, 29, 1.48295028135047
1973-08, 24, 1.07748855271426
1973-09, 15, 0.347657441169095
1973-10, 5, -0.463266016103315
1973-11, 0, -0.86872774473952
1973-12, 0, -0.86872774473952
1974-01, 0, -0.86872774473952
1974-02, 0, -0.86872774473952
1974-03, 0, -0.86872774473952
1974-04, 0, -0.86872774473952
1974-05, 14, 0.266565095441854
1974-06, 28, 1.40185793562323
1974-07, 31, 1.64513497280495
1974-08, 31, 1.64513497280495
1974-09, 19, 0.672026824078058
1974-10, 0, -0.86872774473952
1974-11, 0, -0.86872774473952
1974-12, 0, -0.86872774473952
1975-01, 0, -0.86872774473952
1975-02, 0, -0.86872774473952
1975-03, 0, -0.86872774473952
1975-04, 0, -0.86872774473952
1975-05, 2, -0.706543053285038
1975-06, 26, 1.23967324416875
1975-07, 27, 1.32076558989599
1975-08, 21, 0.83421151553254
1975-09, 21, 0.83421151553254
1975-10, 0, -0.86872774473952
1975-11, 0, -0.86872774473952
1975-12, 0, -0.86872774473952
1976-01, 0, -0.86872774473952
1976-02, 0, -0.86872774473952
1976-03, 0, -0.86872774473952
1976-04, 0, -0.86872774473952
1976-05, 11, 0.0232880582601308
1976-06, 18, 0.590934478350818
1976-07, 23, 0.996396206987022
1976-08, 21, 0.83421151553254
1976-09, 14, 0.266565095441854
1976-10, 4, -0.544358361830556
1976-11, 0, -0.86872774473952
1976-12, 0, -0.86872774473952
1977-01, 0, -0.86872774473952
1977-02, 0, -0.86872774473952
1977-03, 0, -0.86872774473952
1977-04, 0, -0.86872774473952
1977-05, 7, -0.301081324648833
1977-06, 19, 0.672026824078058
1977-07, 28, 1.40185793562323
1977-08, 30, 1.56404262707771
1977-09, 2, -0.706543053285038
1977-10, 5, -0.463266016103315
1977-11, 0, -0.86872774473952
1977-12, 0, -0.86872774473952
1978-01, 0, -0.86872774473952
1978-02, 0, -0.86872774473952
1978-03, 0, -0.86872774473952
1978-04, 0, -0.86872774473952
1978-05, 7, -0.301081324648833
1978-06, 20, 0.753119169805299
1978-07, 30, 1.56404262707771
1978-08, 30, 1.56404262707771
1978-09, 18, 0.590934478350818
1978-10, 0, -0.86872774473952
1978-11, 0, -0.86872774473952
1978-12, 0, -0.86872774473952
1979-01, 0, -0.86872774473952
1979-02, 0, -0.86872774473952
1979-03, 0, -0.86872774473952
