"Description: ","Monthly number of days when TN < -2 degrees_C"
"Station: ","final_1971_2005_Bucurest_rcp85"
"Latitude: ","44.43"
"Longitude: ","26.1"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tnltm2, normalised (all years)
1971-01, 31, 3.16281051267167
1971-02, 10, 0.617020036132998
1971-03, 13, 0.980704389924237
1971-04, 0, -0.59526114317113
1971-05, 0, -0.59526114317113
1971-06, 0, -0.59526114317113
1971-07, 0, -0.59526114317113
1971-08, 0, -0.59526114317113
1971-09, 0, -0.59526114317113
1971-10, 0, -0.59526114317113
1971-11, 4, -0.110348671449478
1971-12, 25, 2.43544180508919
1972-01, 29, 2.92035427681084
1972-02, 10, 0.617020036132998
1972-03, 3, -0.231576789379891
1972-04, 0, -0.59526114317113
1972-05, 0, -0.59526114317113
1972-06, 0, -0.59526114317113
1972-07, 0, -0.59526114317113
1972-08, 0, -0.59526114317113
1972-09, 0, -0.59526114317113
1972-10, 0, -0.59526114317113
1972-11, 4, -0.110348671449478
1972-12, 21, 1.95052933336754
1973-01, 28, 2.79912615888043
1973-02, 19, 1.70807309750671
1973-03, 4, -0.110348671449478
1973-04, 2, -0.352804907310304
1973-05, 0, -0.59526114317113
1973-06, 0, -0.59526114317113
1973-07, 0, -0.59526114317113
1973-08, 0, -0.59526114317113
1973-09, 0, -0.59526114317113
1973-10, 1, -0.474033025240717
1973-11, 5, 0.0108794464809344
1973-12, 15, 1.22316062578506
1974-01, 28, 2.79912615888043
1974-02, 15, 1.22316062578506
1974-03, 5, 0.0108794464809344
1974-04, 0, -0.59526114317113
1974-05, 0, -0.59526114317113
1974-06, 0, -0.59526114317113
1974-07, 0, -0.59526114317113
1974-08, 0, -0.59526114317113
1974-09, 0, -0.59526114317113
1974-10, 0, -0.59526114317113
1974-11, 4, -0.110348671449478
1974-12, 24, 2.31421368715878
1975-01, 30, 3.04158239474125
1975-02, 24, 2.31421368715878
1975-03, 11, 0.738248154063411
1975-04, 0, -0.59526114317113
1975-05, 0, -0.59526114317113
1975-06, 0, -0.59526114317113
1975-07, 0, -0.59526114317113
1975-08, 0, -0.59526114317113
1975-09, 0, -0.59526114317113
1975-10, 3, -0.231576789379891
1975-11, 12, 0.859476271993824
1975-12, 21, 1.95052933336754
1976-01, 28, 2.79912615888043
1976-02, 24, 2.31421368715878
1976-03, 3, -0.231576789379891
1976-04, 1, -0.474033025240717
1976-05, 0, -0.59526114317113
1976-06, 0, -0.59526114317113
1976-07, 0, -0.59526114317113
1976-08, 0, -0.59526114317113
1976-09, 0, -0.59526114317113
1976-10, 0, -0.59526114317113
1976-11, 13, 0.980704389924237
1976-12, 11, 0.738248154063411
1977-01, 29, 2.92035427681084
1977-02, 25, 2.43544180508919
1977-03, 10, 0.617020036132998
1977-04, 0, -0.59526114317113
1977-05, 0, -0.59526114317113
1977-06, 0, -0.59526114317113
1977-07, 0, -0.59526114317113
1977-08, 0, -0.59526114317113
1977-09, 0, -0.59526114317113
1977-10, 0, -0.59526114317113
1977-11, 4, -0.110348671449478
1977-12, 27, 2.67789804095002
1978-01, 16, 1.34438874371548
1978-02, 22, 2.07175745129795
1978-03, 7, 0.25333568234176
1978-04, 1, -0.474033025240717
1978-05, 0, -0.59526114317113
1978-06, 0, -0.59526114317113
1978-07, 0, -0.59526114317113
1978-08, 0, -0.59526114317113
1978-09, 0, -0.59526114317113
1978-10, 1, -0.474033025240717
1978-11, 4, -0.110348671449478
1978-12, 31, 3.16281051267167
1979-01, 18, 1.5868449795763
1979-02, 22, 2.07175745129795
1979-03, 4, -0.110348671449478
1979-04, 0, -0.59526114317113
1979-05, 0, -0.59526114317113
1979-06, 0, -0.59526114317113
1979-07, 0, -0.59526114317113
1979-08, 0, -0.59526114317113
1979-09, 0, -0.59526114317113
1979-10, 0, -0.59526114317113
1979-11, 4, -0.110348671449478
1979-12, 19, 1.70807309750671
1980-01, 29, 2.92035427681084
1980-02, 24, 2.31421368715878
1980-03, 7, 0.25333568234176
1980-04, 1, -0.474033025240717
1980-05, 0, -0.59526114317113
1980-06, 0, -0.59526114317113
1980-07, 0, -0.59526114317113
1980-08, 0, -0.59526114317113
1980-09, 0, -0.59526114317113
1980-10, 1, -0.474033025240717
1980-11, 2, -0.352804907310304
1980-12, 13, 0.980704389924237
1981-01, 29, 2.92035427681084
1981-02, 16, 1.34438874371548
1981-03, 8, 0.374563800272173
1981-04, 1, -0.474033025240717
1981-05, 0, -0.59526114317113
