"Description: ","Monthly warmest daily TN"
"Station: ","final_1971_2005_Bucurest_rcp85"
"Latitude: ","44.43"
"Longitude: ","26.1"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tnx, normalised (all years)
1971-01, -2.54969999999997, -2.25574116776369
1971-02, 4.7226, -1.25105600522069
1971-03, 5.10270000000003, -1.1985443059945
1971-04, 9.57980000000003, -0.580022525921992
1971-05, 15.4939, 0.237024147041934
1971-06, 18.975, 0.717946210120803
1971-07, 19.3337, 0.767501449564195
1971-08, 17.7375, 0.546982706325997
1971-09, 14.1505, 0.0514303118920812
1971-10, 14.6078, 0.114607370708538
1971-11, 11.6361, -0.295939897353705
1971-12, 5.0249, -1.20929255698055
1972-01, -1.48359999999997, -2.10845697269651
1972-02, 6.91210000000001, -0.948571486789393
1972-03, 10.8667, -0.402234297208028
1972-04, 11.8509, -0.266264777664716
1972-05, 15.7977, 0.27899482377152
1972-06, 19.7852, 0.829877224888118
1972-07, 19.7721, 0.828067429413603
1972-08, 20.6052, 0.943162132453161
1972-09, 14.8492, 0.147957342277076
1972-10, 12.1594, -0.223644785001526
1972-11, 14.2926, 0.0710617574591455
1972-12, 7.29560000000004, -0.895590069653786
1973-01, 0.720500000000015, -1.80395543030125
1973-02, 1.774, -1.65841195454543
1973-03, 9.161, -0.637880720175948
1973-04, 7.28890000000001, -0.896515690239993
1973-05, 13.6042, -0.0240423039649714
1973-06, 16.0478, 0.313546720578858
1973-07, 21.2248, 1.02876131382792
1973-08, 19.4651, 0.785654665239861
1973-09, 17.1549, 0.466495161024297
1973-10, 13.0909, -0.0949558930541627
1973-11, 14.3366, 0.0771404598162942
1973-12, 5.73230000000001, -1.11156360135676
1974-01, 0.122100000000046, -1.88662578235847
1974-02, 2.32670000000002, -1.58205516380006
1974-03, 7.53340000000003, -0.862737446459925
1974-04, 8.87280000000004, -0.677696220615266
1974-05, 14.6841, 0.125148393205139
1974-06, 20.9806, 0.995024515745743
