"Description: ","Monthly number of days when TM >= 10 degrees_C"
"Station: ","final_1971_2005_Constantinople_rcp45"
"Latitude: ","41.01"
"Longitude: ","28.97"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tmge10, normalised (all years)
1971-01, 3, -1.84828845388183
1971-02, 8, -1.36641633875788
1971-03, 6, -1.55916518480746
1971-04, 19, -0.306297685485196
1971-05, 27, 0.464697698713119
1971-06, 30, 0.753820967787487
1971-07, 31, 0.850195390812277
1971-08, 31, 0.850195390812277
1971-09, 30, 0.753820967787487
1971-10, 31, 0.850195390812277
1971-11, 25, 0.27194885266354
1971-12, 5, -1.65553960783225
1972-01, 0, -2.1374117229562
1972-02, 11, -1.07729306968351
1972-03, 18, -0.402672108509986
1972-04, 28, 0.561072121737909
1972-05, 31, 0.850195390812277
1972-06, 30, 0.753820967787487
1972-07, 31, 0.850195390812277
1972-08, 31, 0.850195390812277
1972-09, 30, 0.753820967787487
1972-10, 31, 0.850195390812277
1972-11, 25, 0.27194885266354
1972-12, 11, -1.07729306968351
1973-01, 0, -2.1374117229562
1973-02, 2, -1.94466287690662
1973-03, 9, -1.27004191573309
1973-04, 8, -1.36641633875788
1973-05, 31, 0.850195390812277
1973-06, 30, 0.753820967787487
1973-07, 31, 0.850195390812277
1973-08, 31, 0.850195390812277
1973-09, 30, 0.753820967787487
1973-10, 31, 0.850195390812277
1973-11, 21, -0.113548839435617
1973-12, 14, -0.788169800609143
1974-01, 0, -2.1374117229562
1974-02, 0, -2.1374117229562
1974-03, 14, -0.788169800609143
1974-04, 20, -0.209923262460407
1974-05, 31, 0.850195390812277
1974-06, 30, 0.753820967787487
1974-07, 31, 0.850195390812277
1974-08, 31, 0.850195390812277
1974-09, 30, 0.753820967787487
1974-10, 30, 0.753820967787487
1974-11, 22, -0.0171744164108279
1974-12, 6, -1.55916518480746
1975-01, 1, -2.04103729993141
1975-02, 5, -1.65553960783225
1975-03, 8, -1.36641633875788
1975-04, 13, -0.884544223633933
1975-05, 31, 0.850195390812277
1975-06, 30, 0.753820967787487
1975-07, 31, 0.850195390812277
1975-08, 31, 0.850195390812277
1975-09, 30, 0.753820967787487
1975-10, 31, 0.850195390812277
1975-11, 21, -0.113548839435617
1975-12, 11, -1.07729306968351
1976-01, 1, -2.04103729993141
1976-02, 2, -1.94466287690662
1976-03, 14, -0.788169800609143
1976-04, 18, -0.402672108509986
1976-05, 31, 0.850195390812277
1976-06, 30, 0.753820967787487
1976-07, 31, 0.850195390812277
1976-08, 31, 0.850195390812277
1976-09, 30, 0.753820967787487
1976-10, 31, 0.850195390812277
1976-11, 21, -0.113548839435617
1976-12, 12, -0.980918646658722
1977-01, 0, -2.1374117229562
1977-02, 6, -1.55916518480746
1977-03, 2, -1.94466287690662
1977-04, 24, 0.175574429638751
1977-05, 30, 0.753820967787487
1977-06, 30, 0.753820967787487
1977-07, 31, 0.850195390812277
1977-08, 31, 0.850195390812277
1977-09, 30, 0.753820967787487
1977-10, 31, 0.850195390812277
1977-11, 27, 0.464697698713119
1977-12, 11, -1.07729306968351
1978-01, 7, -1.46279076178267
1978-02, 2, -1.94466287690662
1978-03, 6, -1.55916518480746
1978-04, 16, -0.595420954559564
1978-05, 31, 0.850195390812277
1978-06, 30, 0.753820967787487
1978-07, 31, 0.850195390812277
1978-08, 31, 0.850195390812277
1978-09, 30, 0.753820967787487
1978-10, 31, 0.850195390812277
1978-11, 28, 0.561072121737909
1978-12, 0, -2.1374117229562
1979-01, 4, -1.75191403085704
1979-02, 1, -2.04103729993141
1979-03, 14, -0.788169800609143
1979-04, 9, -1.27004191573309
1979-05, 28, 0.561072121737909
1979-06, 30, 0.753820967787487
1979-07, 31, 0.850195390812277
1979-08, 31, 0.850195390812277
1979-09, 30, 0.753820967787487
1979-10, 31, 0.850195390812277
1979-11, 21, -0.113548839435617
1979-12, 15, -0.691795377584354
1980-01, 2, -1.94466287690662
1980-02, 5, -1.65553960783225
1980-03, 8, -1.36641633875788
1980-04, 27, 0.464697698713119
1980-05, 31, 0.850195390812277
1980-06, 30, 0.753820967787487
1980-07, 31, 0.850195390812277
1980-08, 31, 0.850195390812277
1980-09, 30, 0.753820967787487
1980-10, 29, 0.657446544762698
1980-11, 25, 0.27194885266354
1980-12, 11, -1.07729306968351
1981-01, 0, -2.1374117229562
1981-02, 4, -1.75191403085704
1981-03, 2, -1.94466287690662
1981-04, 14, -0.788169800609143
1981-05, 29, 0.657446544762698
1981-06, 30, 0.753820967787487
1981-07, 31, 0.850195390812277
1981-08, 31, 0.850195390812277
1981-09, 30, 0.753820967787487
1981-10, 31, 0.850195390812277
1981-11, 18, -0.402672108509986
1981-12, 2, -1.94466287690662
1982-01, 4, -1.75191403085704
1982-02, 0, -2.1374117229562
1982-03, 8, -1.36641633875788
1982-04, 17, -0.499046531534775
1982-05, 31, 0.850195390812277
1982-06, 30, 0.753820967787487
1982-07, 31, 0.850195390812277
1982-08, 31, 0.850195390812277
1982-09, 30, 0.753820967787487
1982-10, 31, 0.850195390812277
1982-11, 9, -1.27004191573309
1982-12, 9, -1.27004191573309
1983-01, 4, -1.75191403085704
1983-02, 9, -1.27004191573309
1983-03, 19, -0.306297685485196
1983-04, 25, 0.27194885266354
1983-05, 29, 0.657446544762698
1983-06, 30, 0.753820967787487
1983-07, 31, 0.850195390812277
1983-08, 31, 0.850195390812277
1983-09, 30, 0.753820967787487
1983-10, 31, 0.850195390812277
1983-11, 26, 0.36832327568833
1983-12, 18, -0.402672108509986
1984-01, 7, -1.46279076178267
1984-02, 3, -1.84828845388183
1984-03, 8, -1.36641633875788
1984-04, 20, -0.209923262460407
1984-05, 31, 0.850195390812277
1984-06, 30, 0.753820967787487
1984-07, 31, 0.850195390812277
1984-08, 31, 0.850195390812277
1984-09, 30, 0.753820967787487
