"Description: ","Monthly number of days when TN < 2 degrees_C"
"Station: ","final_1971_2005_Constantinople_rcp45"
"Latitude: ","41.01"
"Longitude: ","28.97"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tnlt2, normalised (all years)
1971-01, 14, 2.13902332663355
1971-02, 6, 0.57590053026473
1971-03, 13, 1.94363297708745
1971-04, 3, -0.0102705183735771
1971-05, 2, -0.20566086791968
1971-06, 0, -0.596441567011885
1971-07, 0, -0.596441567011885
1971-08, 0, -0.596441567011885
1971-09, 0, -0.596441567011885
1971-10, 0, -0.596441567011885
1971-11, 0, -0.596441567011885
1971-12, 9, 1.16207157890304
1972-01, 15, 2.33441367617965
1972-02, 9, 1.16207157890304
1972-03, 3, -0.0102705183735771
1972-04, 1, -0.401051217465782
1972-05, 0, -0.596441567011885
1972-06, 0, -0.596441567011885
1972-07, 0, -0.596441567011885
1972-08, 0, -0.596441567011885
1972-09, 0, -0.596441567011885
1972-10, 0, -0.596441567011885
1972-11, 1, -0.401051217465782
1972-12, 7, 0.771290879810833
1973-01, 22, 3.70214612300237
1973-02, 19, 3.11597507436406
1973-03, 5, 0.380510180718628
1973-04, 9, 1.16207157890304
1973-05, 0, -0.596441567011885
1973-06, 0, -0.596441567011885
1973-07, 0, -0.596441567011885
1973-08, 0, -0.596441567011885
1973-09, 0, -0.596441567011885
1973-10, 0, -0.596441567011885
1973-11, 2, -0.20566086791968
1973-12, 7, 0.771290879810833
1974-01, 13, 1.94363297708745
1974-02, 13, 1.94363297708745
1974-03, 5, 0.380510180718628
1974-04, 2, -0.20566086791968
1974-05, 0, -0.596441567011885
1974-06, 0, -0.596441567011885
1974-07, 0, -0.596441567011885
1974-08, 0, -0.596441567011885
1974-09, 0, -0.596441567011885
1974-10, 0, -0.596441567011885
1974-11, 0, -0.596441567011885
1974-12, 5, 0.380510180718628
1975-01, 19, 3.11597507436406
1975-02, 16, 2.52980402572576
1975-03, 15, 2.33441367617965
1975-04, 2, -0.20566086791968
1975-05, 0, -0.596441567011885
1975-06, 0, -0.596441567011885
1975-07, 0, -0.596441567011885
1975-08, 0, -0.596441567011885
1975-09, 0, -0.596441567011885
1975-10, 0, -0.596441567011885
1975-11, 2, -0.20566086791968
1975-12, 7, 0.771290879810833
1976-01, 19, 3.11597507436406
1976-02, 15, 2.33441367617965
1976-03, 2, -0.20566086791968
1976-04, 3, -0.0102705183735771
1976-05, 0, -0.596441567011885
1976-06, 0, -0.596441567011885
1976-07, 0, -0.596441567011885
1976-08, 0, -0.596441567011885
1976-09, 0, -0.596441567011885
1976-10, 0, -0.596441567011885
1976-11, 1, -0.401051217465782
1976-12, 8, 0.966681229356935
1977-01, 21, 3.50675577345627
1977-02, 12, 1.74824262754135
1977-03, 11, 1.55285227799524
1977-04, 0, -0.596441567011885
1977-05, 0, -0.596441567011885
1977-06, 0, -0.596441567011885
1977-07, 0, -0.596441567011885
1977-08, 0, -0.596441567011885
1977-09, 0, -0.596441567011885
1977-10, 0, -0.596441567011885
1977-11, 0, -0.596441567011885
1977-12, 9, 1.16207157890304
1978-01, 6, 0.57590053026473
1978-02, 9, 1.16207157890304
1978-03, 6, 0.57590053026473
1978-04, 3, -0.0102705183735771
1978-05, 0, -0.596441567011885
1978-06, 0, -0.596441567011885
1978-07, 0, -0.596441567011885
1978-08, 0, -0.596441567011885
1978-09, 0, -0.596441567011885
1978-10, 0, -0.596441567011885
1978-11, 0, -0.596441567011885
1978-12, 17, 2.72519437527186
1979-01, 10, 1.35746192844914
1979-02, 10, 1.35746192844914
1979-03, 4, 0.185119831172525
1979-04, 6, 0.57590053026473
1979-05, 0, -0.596441567011885
1979-06, 0, -0.596441567011885
1979-07, 0, -0.596441567011885
1979-08, 0, -0.596441567011885
1979-09, 0, -0.596441567011885
1979-10, 0, -0.596441567011885
1979-11, 0, -0.596441567011885
1979-12, 4, 0.185119831172525
1980-01, 18, 2.92058472481796
1980-02, 14, 2.13902332663355
1980-03, 5, 0.380510180718628
1980-04, 0, -0.596441567011885
1980-05, 0, -0.596441567011885
1980-06, 0, -0.596441567011885
1980-07, 0, -0.596441567011885
1980-08, 0, -0.596441567011885
1980-09, 0, -0.596441567011885
1980-10, 0, -0.596441567011885
1980-11, 0, -0.596441567011885
1980-12, 5, 0.380510180718628
1981-01, 23, 3.89753647254847
1981-02, 11, 1.55285227799524
1981-03, 10, 1.35746192844914
1981-04, 4, 0.185119831172525
1981-05, 0, -0.596441567011885
1981-06, 0, -0.596441567011885
1981-07, 0, -0.596441567011885
1981-08, 0, -0.596441567011885
1981-09, 0, -0.596441567011885
1981-10, 0, -0.596441567011885
1981-11, 1, -0.401051217465782
1981-12, 10, 1.35746192844914
1982-01, 10, 1.35746192844914
1982-02, 23, 3.89753647254847
1982-03, 15, 2.33441367617965
1982-04, 4, 0.185119831172525
1982-05, 0, -0.596441567011885
1982-06, 0, -0.596441567011885
1982-07, 0, -0.596441567011885
1982-08, 0, -0.596441567011885
1982-09, 0, -0.596441567011885
1982-10, 0, -0.596441567011885
1982-11, 3, -0.0102705183735771
1982-12, 7, 0.771290879810833
1983-01, 10, 1.35746192844914
1983-02, 8, 0.966681229356935
1983-03, 4, 0.185119831172525
1983-04, 0, -0.596441567011885
1983-05, 0, -0.596441567011885
1983-06, 0, -0.596441567011885
1983-07, 0, -0.596441567011885
1983-08, 0, -0.596441567011885
1983-09, 0, -0.596441567011885
1983-10, 0, -0.596441567011885
1983-11, 0, -0.596441567011885
1983-12, 0, -0.596441567011885
1984-01, 10, 1.35746192844914
1984-02, 10, 1.35746192844914
1984-03, 8, 0.966681229356935
1984-04, 2, -0.20566086791968
1984-05, 0, -0.596441567011885
1984-06, 0, -0.596441567011885
1984-07, 0, -0.596441567011885
1984-08, 0, -0.596441567011885
1984-09, 0, -0.596441567011885
1984-10, 0, -0.596441567011885
1984-11, 0, -0.596441567011885
1984-12, 0, -0.596441567011885
1985-01, 21, 3.50675577345627
1985-02, 20, 3.31136542391017
1985-03, 12, 1.74824262754135
1985-04, 6, 0.57590053026473
1985-05, 0, -0.596441567011885
1985-06, 0, -0.596441567011885
1985-07, 0, -0.596441567011885
1985-08, 0, -0.596441567011885
1985-09, 0, -0.596441567011885
1985-10, 0, -0.596441567011885
1985-11, 2, -0.20566086791968
1985-12, 10, 1.35746192844914
1986-01, 20, 3.31136542391017
1986-02, 20, 3.31136542391017
1986-03, 0, -0.596441567011885
1986-04, 0, -0.596441567011885
1986-05, 0, -0.596441567011885
1986-06, 0, -0.596441567011885
1986-07, 0, -0.596441567011885
1986-08, 0, -0.596441567011885
1986-09, 0, -0.596441567011885
1986-10, 0, -0.596441567011885
1986-11, 2, -0.20566086791968
1986-12, 8, 0.966681229356935
1987-01, 18, 2.92058472481796
1987-02, 15, 2.33441367617965
1987-03, 12, 1.74824262754135
1987-04, 2, -0.20566086791968
1987-05, 0, -0.596441567011885
1987-06, 0, -0.596441567011885
1987-07, 0, -0.596441567011885
1987-08, 0, -0.596441567011885
1987-09, 0, -0.596441567011885
1987-10, 0, -0.596441567011885
1987-11, 0, -0.596441567011885
1987-12, 5, 0.380510180718628
1988-01, 12, 1.74824262754135
1988-02, 7, 0.771290879810833
1988-03, 6, 0.57590053026473
1988-04, 0, -0.596441567011885
1988-05, 0, -0.596441567011885
1988-06, 0, -0.596441567011885
1988-07, 0, -0.596441567011885
1988-08, 0, -0.596441567011885
1988-09, 0, -0.596441567011885
1988-10, 0, -0.596441567011885
1988-11, 0, -0.596441567011885
1988-12, 11, 1.55285227799524
1989-01, 11, 1.55285227799524
1989-02, 17, 2.72519437527186
1989-03, 10, 1.35746192844914
1989-04, 3, -0.0102705183735771
1989-05, 0, -0.596441567011885
1989-06, 0, -0.596441567011885
1989-07, 0, -0.596441567011885
1989-08, 0, -0.596441567011885
1989-09, 0, -0.596441567011885
1989-10, 0, -0.596441567011885
1989-11, 0, -0.596441567011885
1989-12, 7, 0.771290879810833
1990-01, 19, 3.11597507436406
1990-02, 15, 2.33441367617965
1990-03, 4, 0.185119831172525
1990-04, 0, -0.596441567011885
1990-05, 0, -0.596441567011885
1990-06, 0, -0.596441567011885
1990-07, 0, -0.596441567011885
1990-08, 0, -0.596441567011885
1990-09, 0, -0.596441567011885
1990-10, 0, -0.596441567011885
1990-11, 0, -0.596441567011885
1990-12, 12, 1.74824262754135
1991-01, 6, 0.57590053026473
1991-02, 16, 2.52980402572576
1991-03, 12, 1.74824262754135
1991-04, 1, -0.401051217465782
1991-05, 0, -0.596441567011885
1991-06, 0, -0.596441567011885
1991-07, 0, -0.596441567011885
1991-08, 0, -0.596441567011885
1991-09, 0, -0.596441567011885
1991-10, 0, -0.596441567011885
1991-11, 0, -0.596441567011885
1991-12, 8, 0.966681229356935
1992-01, 7, 0.771290879810833
1992-02, 14, 2.13902332663355
1992-03, 14, 2.13902332663355
1992-04, 0, -0.596441567011885
1992-05, 0, -0.596441567011885
1992-06, 0, -0.596441567011885
1992-07, 0, -0.596441567011885
1992-08, 0, -0.596441567011885
1992-09, 0, -0.596441567011885
1992-10, 0, -0.596441567011885
1992-11, 5, 0.380510180718628
1992-12, 7, 0.771290879810833
1993-01, 4, 0.185119831172525
1993-02, 16, 2.52980402572576
1993-03, 10, 1.35746192844914
1993-04, 2, -0.20566086791968
1993-05, 0, -0.596441567011885
