"Description: ","Standardised Precipitation Index"
"Station: ","final_1971_2005_Constantinople_rcp85"
"Latitude: ","41.01"
"Longitude: ","28.97"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, spi
1971-01, -99.9
1971-02, -99.9
1971-03, -1.06590252895038
1971-04, -1.12905503426071
1971-05, -0.962263009194366
1971-06, -1.48179044457793
1971-07, 0.919447156695488
1971-08, 1.11983620092298
1971-09, 1.43396050866877
1971-10, 0.0218186163683722
1971-11, -0.0720573457478537
1971-12, -0.729196185991401
1972-01, -0.736310502965975
1972-02, -1.37943877994888
1972-03, -0.558418496048169
1972-04, -0.821053251677421
1972-05, 0.208992589393843
1972-06, -1.13484304554343
1972-07, -0.968673993778925
1972-08, 0.632522755408764
1972-09, 1.04637543811815
1972-10, 0.650845616610015
1972-11, -1.24898693680813
1972-12, -1.02599973898843
1973-01, -0.619408741820752
1973-02, 0.25528522434078
1973-03, 0.380205434040189
1973-04, 1.09760077009701
1973-05, 0.488588620768415
1973-06, -0.0648965998304981
1973-07, 1.21971480218292
1973-08, 1.63701410804262
1973-09, 1.43047765398484
1973-10, 0.227868784757928
1973-11, -0.00828184128373833
1973-12, -0.156327655642654
1974-01, -0.675284027123214
1974-02, -0.734435238291541
1974-03, -1.51761542754855
1974-04, -1.96355379267562
1974-05, -2.51887779435212
1974-06, -1.94607313796982
1974-07, -0.855709913423808
1974-08, -0.424299202021243
1974-09, -0.473133621741453
1974-10, -0.7774720288711
1974-11, -0.90093575837327
1974-12, -0.295950294142738
1975-01, -0.149899742072236
1975-02, 0.634494234893723
1975-03, 0.376418785818346
1975-04, 0.558280500207647
1975-05, -0.735684195685428
1975-06, -1.02244043875692
1975-07, -0.448644936438638
1975-08, -0.211070554487813
1975-09, 0.138892139241119
1975-10, 0.138758773267805
1975-11, -0.0639340882589229
1975-12, -0.838640163624325
1976-01, -0.424775421009473
1976-02, -0.829599756511816
1976-03, -0.212077585920351
1976-04, -1.42993984728609
1976-05, -0.116017803141854
1976-06, 0.65760863208724
1976-07, 0.941847774735708
1976-08, 1.72748654672722
1976-09, 1.24418480952667
1976-10, 0.862368447587888
1976-11, 0.0503348054062603
1976-12, 0.165907737531936
1977-01, 0.190625487616123
1977-02, -0.579499013669444
1977-03, -1.36932957531676
1977-04, -1.52598044524989
1977-05, -0.710954543861786
1977-06, -0.586894554428187
1977-07, 0.886723812308272
1977-08, 0.607676925621133
1977-09, 0.594887974812158
1977-10, -0.00586132241332082
1977-11, -0.816555582992063
1977-12, 1.3998898258528
1978-01, 1.18932524111515
1978-02, 2.17935327825918
1978-03, 1.25166450260006
1978-04, 1.6081995950151
1978-05, 0.84281663691053
1978-06, -0.0505691866038585
1978-07, 1.56335964704398
1978-08, 1.34590779578135
1978-09, 1.32969043129188
1978-10, -0.591078463631965
1978-11, -0.702460187814971
1978-12, -1.1816581449375
1979-01, -0.937525318932709
1979-02, 0.919507546826467
1979-03, 2.07480059769386
1979-04, 2.47767017503288
1979-05, 0.640964063387955
1979-06, -0.806155441657427
1979-07, -0.311320157463929
1979-08, 0.0169237336943715
1979-09, 1.12190087990948
1979-10, 0.898245890979479
1979-11, 1.06770756284764
1979-12, 1.1259848655316
1980-01, 1.90769747697103
1980-02, 1.14312581962402
1980-03, 0.788703463639685
1980-04, -0.0728272800444121
1980-05, 0.335436252571216
1980-06, 0.363813802438975
1980-07, -0.0394717379334163
1980-08, 0.223553657017873
1980-09, -1.26855080293825
1980-10, 0.136330499294438
1980-11, -0.120069104443163
1980-12, 0.80585142989481
1981-01, 0.0433229320280185
1981-02, 0.331009547734248
1981-03, 0.864288610862432
1981-04, 1.22053948468051
1981-05, 1.10204007633816
1981-06, -0.233766536085339
1981-07, 1.14236613783422
1981-08, 1.17947616998844
1981-09, 1.32979183951036
1981-10, 0.843308676785734
1981-11, 0.943921872538169
1981-12, 1.37485285448216
1982-01, 0.57627507862133
1982-02, 0.587298688230657
1982-03, -0.184406474013727
1982-04, -0.0881868268327973
1982-05, 0.407497979805348
1982-06, 0.476216944724728
1982-07, 0.602309467372699
1982-08, 0.989124013539647
1982-09, 0.412279321827617
1982-10, -0.228217173068165
1982-11, -0.0342916961210163
1982-12, -0.54666001810581
1983-01, -0.151739752395128
1983-02, -1.73716645977104
1983-03, -0.727691736970867
1983-04, 0.836950320697931
1983-05, 1.73759337441121
1983-06, 2.27237983145043
1983-07, 1.3553276287887
1983-08, 0.672257539576127
1983-09, -0.924599489724327
1983-10, -1.57302926637375
1983-11, -1.23897067732265
1983-12, 0.314901266449446
1984-01, 1.95592171118282
1984-02, 1.82015081357876
1984-03, 1.4069595489419
1984-04, 0.140692613607271
1984-05, -0.371900272237379
1984-06, -0.576208577021758
1984-07, -0.478011119492809
1984-08, -0.876389341085951
1984-09, 0.671797060172082
1984-10, 0.600395244644094
1984-11, 0.894767342797298
1984-12, 0.138614929853953
1985-01, 0.45539095879179
1985-02, 1.13573498855175
1985-03, 1.25931148867804
1985-04, 1.29975544088445
1985-05, 0.55518815117513
1985-06, 0.830302898148715
1985-07, 0.737924603118528
1985-08, 0.119885197568033
1985-09, -0.856570628864946
1985-10, -1.68343585841718
1985-11, -1.8331296762339
1985-12, -0.200071819383966
1986-01, 1.18302660396282
1986-02, 0.99227148334511
1986-03, -0.218896941254891
1986-04, -0.0522164398358577
1986-05, 1.22372789607603
1986-06, 1.39005165051379
1986-07, 0.334442261599933
1986-08, -0.32251926547233
1986-09, 1.02324318408843
1986-10, 0.851309835085584
1986-11, 0.153893606715092
1986-12, -2.77735040276602
1987-01, -2.6173714604683
1987-02, -1.73573527239847
1987-03, -1.2449621129902
1987-04, -1.08538358888532
1987-05, -0.12222909465964
1987-06, 0.270697779930388
1987-07, 0.778926283852928
1987-08, 0.44971516454508
1987-09, 0.437250255245108
1987-10, -0.555812031179151
1987-11, -0.769609857426081
1987-12, 0.0299872388134481
1988-01, 0.339074017250129
1988-02, 0.222319288675427
1988-03, -0.627508424685882
1988-04, -0.534409042081926
1988-05, 0.13789121230861
1988-06, 0.485216043103459
1988-07, 1.25896068657093
1988-08, 1.14230253529275
1988-09, 0.293211175804576
1988-10, -1.13572898419359
1988-11, -0.658687066821425
1988-12, -1.19914022991552
1989-01, -0.589476117409368
1989-02, -1.96463609037331
1989-03, -1.04063979010124
1989-04, -1.20525533588599
1989-05, -0.897996238844432
1989-06, 0.796362019920153
1989-07, 1.36556670741574
1989-08, 1.67034706156799
1989-09, 0.949325057036161
1989-10, 1.77587645074308
1989-11, 1.37646096685455
1989-12, 1.17103545960873
1990-01, -0.419479902459917
1990-02, 1.20783547853093
1990-03, 1.40691293507532
1990-04, 1.20487622944152
1990-05, -0.0877936054924394
1990-06, -0.0204068124583931
1990-07, 0.479418521711969
1990-08, 0.623488984274188
1990-09, 0.124982655796573
1990-10, 1.01725507572343
1990-11, 1.69848930138797
1990-12, 1.69961451525341
1991-01, 0.0730778616453385
1991-02, -1.335923618901
1991-03, -1.19322365980388
1991-04, -0.116966543086719
1991-05, 1.33144067659887
1991-06, 1.29724094375734
1991-07, 0.752978237496503
1991-08, -0.829487939515832
1991-09, 0.307244206164293
1991-10, 0.224133586965475
1991-11, -0.329700491211492
1991-12, -0.72487228020255
1992-01, -0.92841040539582
1992-02, 1.20281809792741
1992-03, 1.38127967746764
1992-04, 1.62070256382923
1992-05, -0.793750716568041
1992-06, -1.72339103982815
1992-07, -2.4577327470122
1992-08, -2.00065846229197
1992-09, -1.0285942050136
1992-10, -0.523966233676962
1992-11, -0.13757556034096
1992-12, 0.0835765724260942
1993-01, 0.496605458961567
1993-02, 0.0806048778688052
1993-03, 0.384238446242826
1993-04, 0.297425222952637
1993-05, 0.381055084045095
1993-06, 0.156201027667977
1993-07, 0.283904364156347
1993-08, 1.43399901632986
1993-09, 1.74281630756945
1993-10, 1.55197765214595
1993-11, 0.716261713058996
1993-12, -0.433952364181169
1994-01, 0.120850344938469
1994-02, 0.0706673310656225
1994-03, 0.164479012343086
1994-04, -0.952221122968596
1994-05, -1.32187162486006
1994-06, -1.58788787012918
1994-07, -1.81480514620352
1994-08, -1.9711984903874
1994-09, -1.70932349052341
1994-10, -1.90926407898045
1994-11, -2.65147902289307
1994-12, -2.00792914086
1995-01, -1.60544686148389
1995-02, -1.03855475907618
1995-03, -1.79690690595643
1995-04, -1.03092995467657
1995-05, -0.712364990009445
1995-06, -0.43136516017297
1995-07, -1.51945870791129
1995-08, 0.165112466331647
1995-09, 1.12317998671796
1995-10, 1.31181761631281
1995-11, 1.26513254382336
1995-12, 0.371450938353133
1996-01, -0.202430774507113
1996-02, -0.583235667956312
1996-03, -0.70386091880687
1996-04, 0.905146137689026
1996-05, 0.8157639274899
1996-06, 1.02167092234508
1996-07, 1.1227042861565
1996-08, 1.11728444140448
1996-09, 0.829191875695686
1996-10, 0.310465600130479
1996-11, 0.867576995551814
1996-12, 1.67763132031015
1997-01, 1.6691907383355
1997-02, 0.798834541192879
1997-03, 0.368536908597181
1997-04, 0.959112301118603
1997-05, 0.432622323366669
1997-06, -0.304153409207141
1997-07, -1.45630968114858
1997-08, -1.11712034101196
1997-09, -0.398123718699118
1997-10, -0.679418390616857
1997-11, 0.354058839974672
1997-12, 0.0669969360934198
1998-01, 1.02255985115238
1998-02, 0.990331323680956
1998-03, 1.66626941259615
1998-04, 1.17506390969588
1998-05, -0.0857081375351457
1998-06, -0.172753525236646
1998-07, 0.98999357277189
1998-08, 1.00465703663845
1998-09, 1.026327266024
1998-10, 0.355966748314595
1998-11, 0.30537066335368
1998-12, 0.104593320221527
1999-01, -0.197180304229539
1999-02, -0.0749143744866645
1999-03, -0.504583734344808
1999-04, 0.00986391958482797
1999-05, 0.157566769783635
1999-06, 0.23667443329415
1999-07, -0.481462321127214
1999-08, -0.420265992555448
1999-09, -0.211508601286037
1999-10, 0.204124610212002
1999-11, -1.10530586996328
1999-12, -0.418318691797417
2000-01, 0.716767384825142
2000-02, 0.9254337376508
2000-03, -0.214541659073449
2000-04, -2.94855013763246
2000-05, -2.93446498916805
2000-06, -1.93877612133671
2000-07, -1.88691438722325
2000-08, -1.51099958343728
2000-09, -1.95441367525275
2000-10, 0.6694657639314
2000-11, 0.795971283608485
2000-12, 0.360138957144007
2001-01, -1.55160527409703
2001-02, -0.483726329516744
2001-03, 0.431112021783475
2001-04, -0.0979876413586142
2001-05, -0.549263439966362
2001-06, -0.830325654226103
2001-07, -0.384969896746246
2001-08, -0.642865680066408
2001-09, 0.714327303069773
2001-10, 0.382072452826765
2001-11, -0.0509680789726889
2001-12, -1.46975783554166
2002-01, 0.069858401587141
2002-02, -0.432316627584559
2002-03, 0.984029865094228
2002-04, 0.3619569548802
2002-05, 1.35206782013447
2002-06, -0.183237192411795
2002-07, 0.44917036911286
2002-08, 0.39637045888102
2002-09, 0.773829476898139
2002-10, 0.10741399635315
2002-11, -0.295717464054292
2002-12, 0.571306411546758
2003-01, 0.926698470492193
2003-02, 0.831478466054912
2003-03, -0.408568574404126
2003-04, -0.291701637483518
2003-05, -0.470435638107056
2003-06, -0.315397894226437
2003-07, -1.2288472936821
2003-08, -1.02326569062092
2003-09, -2.02217323622208
2003-10, -1.65272485032157
2003-11, -1.87821992361529
2003-12, -0.625393896684151
2004-01, 0.124129968562498
2004-02, 0.6223530428447
2004-03, 0.405704842368704
2004-04, 0.221137252547898
2004-05, 0.585696340014262
2004-06, 0.851083801420335
2004-07, 0.629376269509973
2004-08, 1.30446094681581
2004-09, 1.39201231906413
2004-10, 1.33629576340293
2004-11, 0.926080331425329
2004-12, 0.455777369081586
2005-01, 0.636903685557043
2005-02, 0.461325719247971
2005-03, 0.821787466223982
2005-04, 0.577937955834956
2005-05, -0.86910634512595
2005-06, -1.74058030432898
2005-07, -0.603160657860625
2005-08, 0.11658532679944
2005-09, -0.19803252592954
2005-10, 1.06581907072996
2005-11, 0.531225701616688
2005-12, 0.843857442576646
2006-01, -0.595051996896735
2006-02, -0.233208872895979
2006-03, 0.29283654630864
2006-04, 0.532298294791934
2006-05, 1.01744087575041
2006-06, 1.08606931719697
2006-07, 0.918659985577856
2006-08, 0.675461323712025
2006-09, 0.241287824876077
2006-10, -0.23189166026599
2006-11, -0.430267715097447
2006-12, -1.6320720581593
2007-01, -1.95726502334583
2007-02, -1.15797498261434
2007-03, -0.886323802108866
2007-04, -0.831147640700778
2007-05, -1.66451619958134
2007-06, -1.73842549846336
2007-07, -1.81776266124987
2007-08, -1.08000758068292
2007-09, -1.45503280480185
2007-10, -0.992851003681481
2007-11, -0.267894886052185
2007-12, -0.413302602639698
2008-01, -0.918976775974251
2008-02, -0.640684644457927
2008-03, 0.216549650018492
2008-04, 1.04290034398649
2008-05, 1.0235602710461
2008-06, 0.47217300145575
2008-07, -0.23138452453075
2008-08, -1.07137130496677
2008-09, -0.232668790981991
2008-10, 0.0530429529729823
2008-11, 1.28124723522564
2008-12, 0.786047322893708
2009-01, 0.917814161992656
2009-02, -0.936771514953838
2009-03, -0.912958780379766
2009-04, -1.03739909134272
2009-05, -1.59966114417158
2009-06, -0.561387897923563
2009-07, -0.48659807431049
2009-08, -0.0630935031808874
2009-09, -1.08897419214907
2009-10, -0.706763392293697
2009-11, -1.04237886353638
2009-12, 0.475864143486559
2010-01, 0.345518158871971
2010-02, 0.215149938342311
2010-03, -1.92036143834148
2010-04, -2.26138281107719
2010-05, -0.210812999639779
2010-06, 0.353614214491348
2010-07, 0.799650296977483
2010-08, -0.312295509187845
2010-09, -0.256700823606502
2010-10, -0.691177263382247
2010-11, 0.609610718717692
2010-12, 0.983506146986779
2011-01, 0.913908027537857
2011-02, -0.235473565587853
2011-03, -0.398249135432275
2011-04, 1.07691044281756
2011-05, 1.13361985267124
2011-06, 0.498468826142512
2011-07, -0.441012881839508
2011-08, -0.281867786112766
2011-09, 0.833583925705775
2011-10, 0.354403140121903
2011-11, -0.685623981288283
2011-12, -1.22349601038575
2012-01, -0.885815177912766
2012-02, -0.41691613365286
2012-03, -0.203228234623765
2012-04, -0.283626349540283
2012-05, 0.725604555690107
2012-06, -0.673589324036839
2012-07, 0.374398879411979
2012-08, -0.00645038230541336
2012-09, 0.652501479860627
2012-10, -0.564981402491824
2012-11, -0.571153565791627
2012-12, -1.21950536525707
2013-01, 0.23045055240651
2013-02, 0.430364069585586
2013-03, 0.285989690433907
2013-04, 0.196290921073808
2013-05, -0.474731038418261
2013-06, 0.158888063387576
2013-07, -1.03446298267196
2013-08, -0.530291798856899
2013-09, -0.623857877543301
2013-10, -0.691418594291606
2013-11, -1.51359523746763
2013-12, -0.913462771454684
2014-01, -0.756008672957614
2014-02, -0.427622319877345
2014-03, -0.615721038692618
2014-04, 1.12271254850174
2014-05, 1.39757569234401
2014-06, 0.910372262718135
2014-07, -0.910600608606905
2014-08, -0.51869547852096
2014-09, -0.284865605388789
2014-10, -0.155538487451251
2014-11, 0.374743441709233
2014-12, 1.24603682854051
2015-01, 1.8742171921518
2015-02, 0.575728816121805
2015-03, 0.75978852334541
2015-04, 0.856468009665955
2015-05, 2.49465678832661
2015-06, 1.1157316126601
2015-07, 0.601505265773823
2015-08, -1.0796320393532
2015-09, -1.50670939146496
2015-10, -0.749707503564929
2015-11, -0.409141634010756
2015-12, 0.686371895311941
2016-01, 0.731673178574299
2016-02, 0.653256821579454
2016-03, 0.255345575561531
2016-04, 0.333387641006505
2016-05, -0.112816984135954
2016-06, -0.537135747979864
2016-07, -1.2274956644762
2016-08, -0.758317314303055
2016-09, 0.0614558830638891
2016-10, 0.114171352999732
2016-11, 0.16307329477555
2016-12, 0.583480862378104
2017-01, 0.22752149581404
2017-02, -0.500450906325504
2017-03, -1.88402708884293
2017-04, -0.863958890577171
2017-05, 1.01416223847196
2017-06, 0.539527823453543
2017-07, 0.292966115501858
2017-08, -0.524984473098506
2017-09, 0.488651464062272
2017-10, 0.440521536472188
2017-11, -0.733532704319367
2017-12, -1.45251813030278
