"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Constantinople_rcp85"
"Latitude: ","41.01"
"Longitude: ","28.97"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
1971, 5.44386778889002, 13.1936856984111, 1, 5, 5
1972, 8.06705874971295, 23.4653646203275, 2, 6, 9
1973, 4.48846595774305, 12.1447881287, 2, 4, 7
1974, 5.38425346793021, 16.6902434575111, 3, 4, 10
1975, 5.62979385497999, 12.0821382841556, 4, 8, 17
1976, 3.50406962373888, 9.82897842811102, 3, 4, 10
1977, 11.1600331636877, 37.2084836997778, 3, 5, 13
1978, 9.72322036238614, 20.30388820395, 1, 6, 6
1979, -99.9, -99.9, 0, -99.9, 0
1980, 3.03834588261234, 15.5512343461, 3, 6, 12
1981, -99.9, -99.9, 0, -99.9, 0
1982, 6.43245887385561, 7.25090262943344, 1, 3, 3
1983, 8.39827918277556, 22.2248921023999, 3, 7, 14
1984, 4.07461505546077, 11.79559859905, 3, 4, 11
1985, -99.9, -99.9, 0, -99.9, 0
1986, 4.06570079219246, 8.5702895787054, 2, 5, 9
1987, 0.945559597665275, 1.59329115038891, 1, 4, 4
1988, 3.72966113814904, 5.94642552270554, 1, 6, 6
1989, 1.80208014987501, 3.99069033452222, 1, 4, 4
1990, 14.3392789701435, 22.9387050424775, 1, 6, 6
1991, 11.2187518974074, 14.8036024462667, 1, 3, 3
1992, 4.76273418009166, 12.9884924340443, 2, 3, 6
1993, -99.9, -99.9, 0, -99.9, 0
1994, 8.51667994409458, 27.6345626544666, 6, 4, 20
1995, 2.69951854748241, 4.82481597550006, 2, 3, 6
1996, 8.77745749540931, 12.8117084165279, 1, 3, 3
1997, 6.64093344053979, 22.9390090298222, 2, 9, 15
1998, -99.9, -99.9, 0, -99.9, 0
1999, 8.5015834216556, 30.5088475241669, 5, 6, 20
2000, 17.4405884116521, 43.6533271677389, 1, 8, 8
2001, 1.87979316715738, 5.46810492382772, 3, 4, 11
2002, 4.1305598363887, 8.70969331558343, 2, 4, 7
2003, 5.83640219084652, 9.18528748168334, 2, 4, 8
2004, 4.3502228064, 8.60689775855549, 1, 5, 5
2005, 5.58579124284634, 8.88956477825003, 1, 3, 3
2006, 14.4407622885348, 23.3691424985279, 1, 4, 4
2007, 4.96587853239264, 25.6938334476891, 4, 9, 22
2008, 3.06532266967317, 10.3985909743446, 4, 3, 12
2009, 12.2574849385509, 35.2247310262666, 2, 6, 11
2010, 2.00630167865001, 10.7607851301168, 3, 7, 15
2011, 19.1870601555822, 35.8534748166497, 1, 5, 5
2012, 5.89665277654074, 13.2440733370221, 3, 6, 13
2013, 5.93510021681375, 14.5434437458666, 6, 5, 22
2014, 1.84927544376036, 7.06904419364986, 4, 7, 17
2015, 3.84786621915943, 19.9943521790609, 5, 5, 18
2016, 5.20771873348009, 17.2551646802223, 4, 12, 22
2017, 5.05546015654491, 26.4450307768, 3, 6, 14
2018, 10.280057749943, 15.6335305944554, 1, 4, 4
2019, 4.4128969100516, 15.6519009389223, 5, 7, 24
2020, 2.62487717730306, 10.0938283942111, 5, 10, 28
2021, -99.9, -99.9, 0, -99.9, 0
2022, 9.68649280936341, 58.2816082539997, 4, 27, 45
2023, 6.71680346914901, 19.9816473235554, 4, 7, 21
2024, 0.758309492390752, 1.10462918353333, 1, 3, 3
2025, 3.15364127208517, 9.86378205034443, 6, 7, 25
2026, 2.57691177510891, 14.0204451314056, 9, 7, 38
2027, 0.717592895959709, 1.14254952502775, 1, 8, 8
2028, 4.07572413739583, 17.8387173955165, 4, 4, 13
2029, 12.4141962138758, 46.919906336289, 2, 7, 11
2030, 4.13078696472917, 6.81092070908333, 1, 4, 4
2031, 3.24698076164441, 7.37128201680009, 2, 3, 6
2032, 2.24855284725165, 7.66990799322223, 6, 13, 44
2033, 12.6109450812084, 20.8886359078335, 1, 4, 4
2034, 8.29151352600086, 32.0727364594444, 5, 38, 54
2035, 9.97608498827036, 24.2391046348, 3, 4, 10
2036, 4.88145333122467, 28.9240290003, 5, 7, 25
2037, 2.65259781888141, 10.2199457547778, 5, 7, 20
2038, 5.81286674820554, 10.7860845245501, 5, 7, 23
2039, 7.31114369411748, 46.995821028489, 8, 13, 53
2040, 0.794500443795123, 1.66589, 3, 11, 17
2041, 8.81446300091489, 39.2124113985222, 4, 28, 42
2042, 15.3399655003007, 38.4901922575057, 3, 6, 14
2043, 9.11863927074664, 91.4816687902502, 6, 22, 66
2044, 5.29046714649918, 22.9185897944445, 4, 9, 25
2045, 10.0821154844114, 42.7633996603553, 6, 15, 47
2046, 1.85330921053111, 11.8926977637555, 6, 10, 27
2047, 5.00299968263574, 29.3844046495999, 6, 15, 44
2048, 5.75140429774248, 19.3590639957777, 6, 39, 92
2049, 6.96420129931222, 23.5111709620554, 4, 16, 31
2050, 8.37306815285782, 75.1841894312888, 8, 10, 50
2051, 2.80756580894759, 12.2769905535111, 5, 6, 19
2052, 9.72678919227622, 72.8243102849169, 7, 16, 61
2053, 5.16689922838694, 47.5571725359445, 8, 11, 50
2054, 8.09148315947238, 54.4090267254, 4, 16, 36
2055, 3.24129512989537, 10.9790962653334, 5, 19, 43
2056, 7.01775757811213, 26.8956665990002, 6, 14, 38
2057, 5.1353781305126, 22.0379503226222, 5, 5, 20
2058, 8.22828809529952, 40.8818004702385, 7, 19, 51
2059, 7.2841162164542, 60.9548593905558, 7, 13, 46
2060, 7.03082830096625, 21.6847578350667, 5, 13, 34
2061, 6.2342810570398, 23.9368580205776, 6, 10, 38
2062, 3.71011666477776, 14.7003987509166, 11, 14, 69
2063, 7.26420734064073, 22.473048561911, 3, 12, 23
2064, 4.66605661211841, 45.8195950525666, 8, 21, 74
2065, 4.22445413566338, 30.8717463447554, 10, 18, 76
2066, 5.80493123355011, 38.1723633085555, 10, 24, 97
2067, 3.70136637542441, 11.0323295569221, 8, 33, 65
2068, 5.67317148367934, 40.0050759419167, 7, 20, 73
