"Description: ","Monthly warmest daily TN"
"Station: ","final_1971_2005_Constantinople_rcp85"
"Latitude: ","41.01"
"Longitude: ","28.97"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tnx, normalised (all years)
1971-01, 8.30700000000002, -1.49585095935658
1971-02, 8.66480000000001, -1.43694333126236
1971-03, 8.69670000000002, -1.43169136553792
1971-04, 15.6008, -0.295011222650087
1971-05, 15.0525, -0.385282470509388
1971-06, 19.0113, 0.266488122278139
1971-07, 22.7159, 0.876407627694093
1971-08, 26.0622, 1.42733718580385
1971-09, 19.0474, 0.272431569383229
1971-10, 17.5285, 0.0223622672247533
1971-11, 13.2877, -0.67583636112054
1971-12, 12.5768, -0.79287781671634
1972-01, 6.35580000000004, -1.81709345219456
1972-02, 9.89530000000002, -1.23435575057502
1972-03, 12.3042, -0.837758251088847
1972-04, 14.2793, -0.512580899918127
1972-05, 16.5016, -0.146704930343579
1972-06, 22.1575, 0.784473531752758
1972-07, 25.4131, 1.32047038480901
1972-08, 24.3407, 1.14391213895033
1972-09, 20.7333, 0.549995488343645
1972-10, 17.1245, -0.0441516560565847
1972-11, 15.3689, -0.333190873167271
1972-12, 13.1953, -0.691048951494787
1973-01, 6.60310000000004, -1.77637836994834
1973-02, 7.9597, -1.55302988399918
1973-03, 10.9677, -1.05779750471634
1973-04, 9.49780000000004, -1.29979952410059
1973-05, 17.1566, -0.0388667626473497
1973-06, 19.8773, 0.409064997430711
1973-07, 21.8197, 0.728858672137818
1973-08, 26.0014, 1.41732716962686
1973-09, 21.5781, 0.689082028908185
1973-10, 19.0203, 0.267969868093813
1973-11, 14.9715, -0.398618182850448
1973-12, 11.6774, -0.940953615229299
1974-01, 6.99520000000001, -1.71182364391217
1974-02, 6.45370000000003, -1.80097535048852
1974-03, 10.6201, -1.11502582088613
1974-04, 11.6355, -0.947851965193379
1974-05, 18.1305, 0.121474598450906
1974-06, 19.1799, 0.294246160558421
1974-07, 24.3989, 1.15349409522501
1974-08, 23.5483, 1.01345265180148
1974-09, 21.9249, 0.7461786343388
1974-10, 18.0065, 0.101059433879405
1974-11, 14.6403, -0.453146428867229
1974-12, 10.3084, -1.16634361763562
1975-01, 8.92910000000001, -1.39342939580876
1975-02, 10.4974, -1.13522695550647
1975-03, 9.43700000000001, -1.30980954027759
1975-04, 11.197, -1.02004591410146
1975-05, 19.2617, 0.307713583638652
1975-06, 21.4944, 0.675301792822423
1975-07, 23.9343, 1.07700308345147
1975-08, 23.0496, 0.931347469770782
1975-09, 24.4182, 1.15667161680751
1975-10, 16.8069, -0.0964408195074588
1975-11, 15.5966, -0.295702704030734
1975-12, 10.5824, -1.12123268946956
1976-01, 6.78110000000004, -1.7470727304828
1976-02, 6.5908, -1.7784034225631
1976-03, 10.4017, -1.1509828526798
1976-04, 11.1781, -1.02315758031438
1976-05, 16.9054, -0.0802239347470333
1976-06, 20.4221, 0.498760010806139
1976-07, 22.6463, 0.864948793386219
1976-08, 24.6558, 1.19578970634129
1976-09, 20.8854, 0.575036992628525
1976-10, 17.2205, -0.0283463673560687
1976-11, 15.7445, -0.271352681126502
1976-12, 12.1073, -0.870175556767301
1977-01, 6.59460000000001, -1.77777779655203
1977-02, 8.32390000000004, -1.49306856999159
1977-03, 10.2632, -1.17378527439878
1977-04, 12.1276, -0.866833396760838
1977-05, 18.1426, 0.123466723380867
1977-06, 22.693, 0.872637407785324
1977-07, 22.986, 0.92087646600669
1977-08, 25.1799, 1.28207670434067
1977-09, 22.4336, 0.829930200609138
1977-10, 16.371, -0.168206708513239
1977-11, 12.2139, -0.85262510077277
