"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Kiev_rcp45"
"Latitude: ","50.45"
"Longitude: ","30.51"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, CWM, CWA, CWN, CWD, CWF
1971, -17.535615793963, -27.7320262865001, 1, 3, 3
1972, -7.81544755987009, -11.7252329874583, 2, 7, 10
1973, -8.15687929678537, -21.2066901676807, 2, 4, 7
1974, -22.7812443146397, -66.2563772284722, 2, 8, 16
1975, -27.7407204428205, -113.969918371625, 5, 15, 43
1976, -19.8167690851293, -70.4147353807083, 5, 11, 31
1977, -18.5545216039601, -73.8268059387503, 7, 11, 38
1978, -28.0315010001446, -199.761627240875, 3, 14, 21
1979, -99.9, -99.9, 0, -99.9, 0
1980, -17.8461708297882, -29.7242735557499, 1, 4, 4
1981, -15.5434686536694, -23.4487162477777, 1, 5, 5
1982, -28.5597759365927, -40.6495144806807, 1, 3, 3
1983, -20.1920206612772, -40.3263499373748, 2, 4, 7
1984, -33.5625768041664, -221.68521505475, 3, 12, 22
1985, -40.2672031306648, -274.756279301083, 4, 11, 34
1986, -25.0268253773058, -64.4873634028472, 4, 15, 31
1987, -10.8101886910736, -39.4321426219583, 5, 4, 17
1988, -99.9, -99.9, 0, -99.9, 0
1989, -99.9, -99.9, 0, -99.9, 0
1990, -8.89796019117017, -14.4159244062501, 1, 8, 8
1991, -37.8004292895602, -148.746501909528, 3, 6, 13
1992, -41.684906763549, -148.746501909528, 4, 7, 17
1993, -9.99757641075146, -28.3154596393054, 2, 7, 11
1994, -32.6456253731173, -99.8667386519307, 1, 9, 9
1995, -42.3873473532386, -138.293443363875, 2, 13, 16
1996, -50.8042389087026, -116.435694616292, 2, 18, 23
1997, -14.3399365015491, -47.9511638894165, 4, 14, 31
1998, -52.9857584739896, -111.686738609583, 3, 6, 16
1999, -26.3351688311324, -77.9681634573333, 3, 14, 25
2000, -36.5723987088841, -179.910819426375, 3, 8, 14
2001, -15.6944775043183, -28.0875161551666, 2, 4, 7
2002, -29.2280755843751, -43.7352530425418, 1, 3, 3
2003, -27.7414864601436, -43.7352530425418, 2, 6, 8
2004, -67.6359445372224, -125.688994974375, 1, 6, 6
2005, -31.1364133603689, -130.621940737806, 5, 42, 63
2006, -30.773830766614, -114.717143295028, 2, 18, 22
2007, -19.378458542759, -129.387693829403, 4, 33, 47
2008, -13.3147596414227, -30.2025733391252, 3, 12, 20
2009, -99.9, -99.9, 0, -99.9, 0
2010, -16.4430069318392, -33.0319166778611, 2, 5, 9
2011, -32.48237620994, -50.9890515698057, 1, 3, 3
2012, -42.9930095663426, -85.5402096678751, 2, 6, 12
2013, -121.89837816076, -222.842943450542, 1, 7, 7
2014, -46.3891420981782, -120.5673103125, 3, 18, 27
2015, -49.6723095830358, -135.890900646458, 1, 19, 19
2016, -31.897283339248, -220.841463008875, 3, 15, 31
2017, -10.4943687581723, -30.1161561808333, 4, 8, 20
2018, -15.9155523552945, -31.488745664, 1, 5, 5
2019, -8.16181142275465, -15.17281252725, 1, 3, 3
2020, -19.5029385092341, -59.0597712610833, 5, 17, 31
2021, -29.2913963925358, -200.11943358382, 3, 12, 23
2022, -99.9, -99.9, 0, -99.9, 0
2023, -15.5950200231667, -24.2606163394306, 1, 3, 3
2024, -33.1474544488676, -194.28561296975, 4, 9, 29
2025, -24.2404423840701, -82.4463881059029, 3, 13, 19
2026, -20.8954763681486, -53.1716279979999, 2, 5, 9
2027, -60.8579839324982, -330.178065436639, 2, 27, 30
2028, -21.7687105881941, -109.813726306528, 3, 15, 22
2029, -15.4533407883611, -28.6742903215555, 1, 3, 3
2030, -10.6291589237084, -23.4052012793057, 2, 3, 6
2031, -99.9, -99.9, 0, -99.9, 0
2032, -14.858984751421, -33.017931714236, 2, 16, 20
2033, -15.5427994257126, -33.017931714236, 1, 13, 13
2034, -99.9, -99.9, 0, -99.9, 0
2035, -32.2094355988022, -64.3088161336807, 1, 4, 4
2036, -34.8122844336291, -63.8870719695003, 1, 7, 7
2037, -99.9, -99.9, 0, -99.9, 0
2038, -10.812794110434, -17.4595984731249, 1, 4, 4
2039, -99.9, -99.9, 0, -99.9, 0
2040, -18.0683868386997, -40.9174410595832, 1, 8, 8
2041, -16.014985586981, -39.6682580672083, 2, 5, 8
2042, -18.7027700328125, -31.2803618856945, 1, 4, 4
2043, -36.4106535002697, -72.4618726405557, 2, 6, 10
2044, -23.7642518842299, -136.433095491, 4, 5, 18
2045, -30.9074836594899, -150.26037113025, 6, 11, 38
2046, -14.0474384352534, -42.0117054842777, 4, 8, 22
2047, -11.3428317064375, -67.3895885431391, 2, 13, 17
2048, -19.3974766873087, -56.0113172661252, 3, 8, 16
2049, -11.531395404924, -24.8501952486946, 3, 7, 13
2050, -117.714453713422, -354.111362171305, 2, 8, 16
2051, -18.8111146479542, -73.8841597139582, 5, 12, 35
2052, -8.38166058547854, -22.8931961941249, 2, 4, 7
2053, -99.9, -99.9, 0, -99.9, 0
2054, -56.391242703625, -148.081248430417, 1, 15, 15
2055, -31.909774054406, -125.269119357375, 5, 13, 31
2056, -64.1373624060451, -168.068025464319, 1, 8, 8
2057, -23.4490027777879, -85.1189871679306, 3, 7, 18
2058, -17.018464965406, -74.6098321848193, 2, 11, 12
2059, -26.613809905109, -74.6098321848193, 2, 10, 17
2060, -30.1522299273889, -98.2690029467362, 1, 31, 31
2061, -99.9, -99.9, 0, -99.9, 0
2062, -14.6597170312635, -33.9893360626529, 3, 4, 10
2063, -99.9, -99.9, 0, -99.9, 0
2064, -48.696343114644, -83.045167588375, 1, 8, 8
2065, -99.9, -99.9, 0, -99.9, 0
2066, -99.9, -99.9, 0, -99.9, 0
2067, -14.0836309654815, -38.3552827134166, 3, 4, 12
2068, -17.2778653999097, -39.8241628856667, 2, 6, 9
2069, -34.4160504503252, -48.1962045475418, 1, 5, 5
2070, -13.9735594721145, -34.4510315337502, 6, 11, 28
2071, -20.6061160597163, -45.668677996375, 3, 9, 21
2072, -7.64116339023615, -23.5879688569584, 2, 9, 15
2073, -17.319143362604, -41.6489086700555, 4, 9, 17
2074, -24.5931303370646, -114.161375542, 3, 9, 18
2075, -24.2142990847081, -53.6191175016667, 2, 8, 11
2076, -99.9, -99.9, 0, -99.9, 0
2077, -69.2273278758167, -234.506219058222, 2, 10, 15
2078, -46.4975633354942, -148.866313145208, 1, 12, 12
2079, -35.9067880424101, -148.866313145208, 3, 15, 31
2080, -4.69562886420838, -9.75200310350008, 1, 3, 3
2081, -28.0763385379135, -94.2380988474584, 3, 6, 15
2082, -99.9, -99.9, 0, -99.9, 0
2083, -30.1349625831204, -83.79826570025, 2, 6, 10
2084, -10.3112625416329, -28.1932732493334, 2, 5, 8
2085, -99.9, -99.9, 0, -99.9, 0
2086, -55.2970540785528, -93.3074114868749, 1, 5, 5
2087, -36.0020434907787, -117.98816826568, 4, 20, 47
2088, -9.17622867185004, -18.0816676500418, 1, 5, 5
2089, -99.9, -99.9, 0, -99.9, 0
2090, -99.9, -99.9, 0, -99.9, 0
2091, -8.81944219514816, -14.2859988733472, 1, 3, 3
2092, -99.9, -99.9, 0, -99.9, 0
2093, -5.4122661289537, -14.2797422278611, 1, 6, 6
2094, -10.3099010474723, -20.48979788775, 1, 5, 5
2095, -99.9, -99.9, 0, -99.9, 0
2096, -9.18241967001736, -12.9108605765833, 1, 4, 4
2097, -74.2567091796408, -152.690380503375, 1, 15, 15
2098, -65.6424683065115, -96.1473536435, 1, 6, 6
2099, -6.87639758155846, -13.9315020287917, 2, 4, 7
2100, -99.9, -99.9, 0, -99.9, 0
