"Description: ","Monthly number of days when TM >= 10 degrees_C"
"Station: ","final_1971_2005_Kiev_rcp45"
"Latitude: ","50.45"
"Longitude: ","30.51"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tmge10, normalised (all years)
1971-01, 0, -1.13508260854897
1971-02, 0, -1.13508260854897
1971-03, 0, -1.13508260854897
1971-04, 8, -0.535977894880492
1971-05, 25, 0.737119621665021
1971-06, 30, 1.11156006770782
1971-07, 31, 1.18644815691638
1971-08, 31, 1.18644815691638
1971-09, 30, 1.11156006770782
1971-10, 13, -0.161537448837694
1971-11, 4, -0.83553025171473
1971-12, 0, -1.13508260854897
1972-01, 0, -1.13508260854897
1972-02, 0, -1.13508260854897
1972-03, 2, -0.985306430131849
1972-04, 16, 0.0631268187879844
1972-05, 28, 0.961783889290699
1972-06, 30, 1.11156006770782
1972-07, 31, 1.18644815691638
1972-08, 31, 1.18644815691638
1972-09, 28, 0.961783889290699
1972-10, 20, 0.362679175622223
1972-11, 3, -0.91041834092329
1972-12, 1, -1.06019451934041
1973-01, 0, -1.13508260854897
1973-02, 0, -1.13508260854897
1973-03, 0, -1.13508260854897
1973-04, 6, -0.685754073297611
1973-05, 28, 0.961783889290699
1973-06, 30, 1.11156006770782
1973-07, 31, 1.18644815691638
1973-08, 31, 1.18644815691638
1973-09, 28, 0.961783889290699
1973-10, 16, 0.0631268187879844
1973-11, 3, -0.91041834092329
1973-12, 0, -1.13508260854897
1974-01, 0, -1.13508260854897
1974-02, 0, -1.13508260854897
1974-03, 2, -0.985306430131849
1974-04, 11, -0.311313627254813
1974-05, 29, 1.03667197849926
1974-06, 29, 1.03667197849926
1974-07, 31, 1.18644815691638
1974-08, 31, 1.18644815691638
1974-09, 30, 1.11156006770782
1974-10, 10, -0.386201716463373
1974-11, 5, -0.760642162506171
1974-12, 0, -1.13508260854897
1975-01, 0, -1.13508260854897
1975-02, 0, -1.13508260854897
1975-03, 0, -1.13508260854897
1975-04, 10, -0.386201716463373
1975-05, 30, 1.11156006770782
1975-06, 30, 1.11156006770782
1975-07, 31, 1.18644815691638
1975-08, 31, 1.18644815691638
1975-09, 25, 0.737119621665021
1975-10, 2, -0.985306430131849
1975-11, 3, -0.91041834092329
1975-12, 0, -1.13508260854897
1976-01, 0, -1.13508260854897
1976-02, 0, -1.13508260854897
1976-03, 0, -1.13508260854897
1976-04, 9, -0.461089805671933
1976-05, 23, 0.587343443247901
1976-06, 30, 1.11156006770782
1976-07, 31, 1.18644815691638
1976-08, 31, 1.18644815691638
1976-09, 24, 0.662231532456461
1976-10, 13, -0.161537448837694
1976-11, 0, -1.13508260854897
1976-12, 0, -1.13508260854897
1977-01, 0, -1.13508260854897
1977-02, 0, -1.13508260854897
1977-03, 0, -1.13508260854897
1977-04, 9, -0.461089805671933
1977-05, 24, 0.662231532456461
1977-06, 30, 1.11156006770782
1977-07, 31, 1.18644815691638
1977-08, 31, 1.18644815691638
1977-09, 20, 0.362679175622223
1977-10, 13, -0.161537448837694
1977-11, 6, -0.685754073297611
1977-12, 0, -1.13508260854897
1978-01, 0, -1.13508260854897
1978-02, 0, -1.13508260854897
1978-03, 0, -1.13508260854897
1978-04, 5, -0.760642162506171
1978-05, 24, 0.662231532456461
1978-06, 30, 1.11156006770782
1978-07, 31, 1.18644815691638
1978-08, 31, 1.18644815691638
1978-09, 29, 1.03667197849926
1978-10, 15, -0.0117612704205751
1978-11, 0, -1.13508260854897
1978-12, 0, -1.13508260854897
1979-01, 0, -1.13508260854897
1979-02, 0, -1.13508260854897
1979-03, 0, -1.13508260854897
1979-04, 1, -1.06019451934041
1979-05, 25, 0.737119621665021
1979-06, 28, 0.961783889290699
1979-07, 31, 1.18644815691638
1979-08, 31, 1.18644815691638
1979-09, 30, 1.11156006770782
1979-10, 12, -0.236425538046254
1979-11, 4, -0.83553025171473
1979-12, 0, -1.13508260854897
1980-01, 0, -1.13508260854897
1980-02, 0, -1.13508260854897
1980-03, 3, -0.91041834092329
1980-04, 15, -0.0117612704205751
1980-05, 31, 1.18644815691638
1980-06, 30, 1.11156006770782
1980-07, 31, 1.18644815691638
1980-08, 31, 1.18644815691638
1980-09, 28, 0.961783889290699
1980-10, 3, -0.91041834092329
1980-11, 4, -0.83553025171473
1980-12, 0, -1.13508260854897
1981-01, 0, -1.13508260854897
1981-02, 0, -1.13508260854897
1981-03, 0, -1.13508260854897
1981-04, 13, -0.161537448837694
1981-05, 23, 0.587343443247901
1981-06, 30, 1.11156006770782
1981-07, 31, 1.18644815691638
1981-08, 31, 1.18644815691638
1981-09, 28, 0.961783889290699
1981-10, 8, -0.535977894880492
1981-11, 0, -1.13508260854897
1981-12, 0, -1.13508260854897
1982-01, 0, -1.13508260854897
1982-02, 0, -1.13508260854897
1982-03, 4, -0.83553025171473
1982-04, 14, -0.0866493596291347
1982-05, 31, 1.18644815691638
1982-06, 30, 1.11156006770782
1982-07, 31, 1.18644815691638
1982-08, 31, 1.18644815691638
1982-09, 30, 1.11156006770782
1982-10, 30, 1.11156006770782
1982-11, 0, -1.13508260854897
1982-12, 1, -1.06019451934041
1983-01, 0, -1.13508260854897
1983-02, 0, -1.13508260854897
1983-03, 5, -0.760642162506171
1983-04, 10, -0.386201716463373
1983-05, 24, 0.662231532456461
1983-06, 30, 1.11156006770782
1983-07, 31, 1.18644815691638
1983-08, 31, 1.18644815691638
1983-09, 27, 0.88689580008214
1983-10, 11, -0.311313627254813
1983-11, 1, -1.06019451934041
1983-12, 0, -1.13508260854897
1984-01, 0, -1.13508260854897
1984-02, 0, -1.13508260854897
1984-03, 0, -1.13508260854897
1984-04, 14, -0.0866493596291347
1984-05, 25, 0.737119621665021
1984-06, 30, 1.11156006770782
1984-07, 31, 1.18644815691638
1984-08, 31, 1.18644815691638
1984-09, 25, 0.737119621665021
1984-10, 9, -0.461089805671933
1984-11, 0, -1.13508260854897
1984-12, 0, -1.13508260854897
1985-01, 0, -1.13508260854897
1985-02, 0, -1.13508260854897
1985-03, 2, -0.985306430131849
1985-04, 3, -0.91041834092329
1985-05, 25, 0.737119621665021
1985-06, 30, 1.11156006770782
1985-07, 31, 1.18644815691638
1985-08, 31, 1.18644815691638
1985-09, 29, 1.03667197849926
1985-10, 17, 0.138014907996544
1985-11, 3, -0.91041834092329
1985-12, 0, -1.13508260854897
1986-01, 0, -1.13508260854897
1986-02, 0, -1.13508260854897
1986-03, 2, -0.985306430131849
1986-04, 11, -0.311313627254813
1986-05, 23, 0.587343443247901
1986-06, 30, 1.11156006770782
1986-07, 31, 1.18644815691638
1986-08, 31, 1.18644815691638
1986-09, 25, 0.737119621665021
1986-10, 12, -0.236425538046254
1986-11, 4, -0.83553025171473
1986-12, 0, -1.13508260854897
1987-01, 0, -1.13508260854897
1987-02, 0, -1.13508260854897
1987-03, 0, -1.13508260854897
1987-04, 8, -0.535977894880492
1987-05, 18, 0.212902997205104
1987-06, 30, 1.11156006770782
1987-07, 31, 1.18644815691638
1987-08, 31, 1.18644815691638
1987-09, 27, 0.88689580008214
1987-10, 9, -0.461089805671933
1987-11, 4, -0.83553025171473
1987-12, 0, -1.13508260854897
1988-01, 0, -1.13508260854897
1988-02, 0, -1.13508260854897
1988-03, 2, -0.985306430131849
1988-04, 2, -0.985306430131849
1988-05, 30, 1.11156006770782
1988-06, 30, 1.11156006770782
1988-07, 31, 1.18644815691638
1988-08, 31, 1.18644815691638
1988-09, 22, 0.512455354039342
1988-10, 26, 0.81200771087358
1988-11, 3, -0.91041834092329
1988-12, 0, -1.13508260854897
1989-01, 0, -1.13508260854897
1989-02, 0, -1.13508260854897
1989-03, 2, -0.985306430131849
1989-04, 20, 0.362679175622223
1989-05, 27, 0.88689580008214
1989-06, 30, 1.11156006770782
1989-07, 31, 1.18644815691638
1989-08, 31, 1.18644815691638
1989-09, 26, 0.81200771087358
1989-10, 8, -0.535977894880492
1989-11, 10, -0.386201716463373
1989-12, 0, -1.13508260854897
1990-01, 0, -1.13508260854897
1990-02, 0, -1.13508260854897
1990-03, 0, -1.13508260854897
1990-04, 24, 0.662231532456461
1990-05, 26, 0.81200771087358
1990-06, 30, 1.11156006770782
1990-07, 31, 1.18644815691638
1990-08, 31, 1.18644815691638
1990-09, 28, 0.961783889290699
1990-10, 15, -0.0117612704205751
1990-11, 0, -1.13508260854897
1990-12, 0, -1.13508260854897
1991-01, 0, -1.13508260854897
1991-02, 0, -1.13508260854897
1991-03, 1, -1.06019451934041
1991-04, 6, -0.685754073297611
1991-05, 28, 0.961783889290699
1991-06, 30, 1.11156006770782
1991-07, 31, 1.18644815691638
1991-08, 31, 1.18644815691638
1991-09, 27, 0.88689580008214
1991-10, 15, -0.0117612704205751
1991-11, 0, -1.13508260854897
1991-12, 3, -0.91041834092329
1992-01, 0, -1.13508260854897
1992-02, 0, -1.13508260854897
1992-03, 0, -1.13508260854897
1992-04, 18, 0.212902997205104
1992-05, 25, 0.737119621665021
1992-06, 30, 1.11156006770782
1992-07, 31, 1.18644815691638
1992-08, 31, 1.18644815691638
1992-09, 26, 0.81200771087358
1992-10, 10, -0.386201716463373
1992-11, 0, -1.13508260854897
1992-12, 0, -1.13508260854897
1993-01, 0, -1.13508260854897
1993-02, 0, -1.13508260854897
1993-03, 0, -1.13508260854897
1993-04, 16, 0.0631268187879844
1993-05, 31, 1.18644815691638
1993-06, 30, 1.11156006770782
1993-07, 31, 1.18644815691638
1993-08, 31, 1.18644815691638
1993-09, 23, 0.587343443247901
1993-10, 13, -0.161537448837694
1993-11, 2, -0.985306430131849
1993-12, 0, -1.13508260854897
1994-01, 0, -1.13508260854897
1994-02, 0, -1.13508260854897
1994-03, 0, -1.13508260854897
1994-04, 14, -0.0866493596291347
1994-05, 27, 0.88689580008214
1994-06, 30, 1.11156006770782
1994-07, 31, 1.18644815691638
1994-08, 31, 1.18644815691638
1994-09, 23, 0.587343443247901
1994-10, 15, -0.0117612704205751
1994-11, 8, -0.535977894880492
1994-12, 0, -1.13508260854897
1995-01, 0, -1.13508260854897
1995-02, 0, -1.13508260854897
1995-03, 0, -1.13508260854897
1995-04, 6, -0.685754073297611
1995-05, 31, 1.18644815691638
1995-06, 30, 1.11156006770782
1995-07, 31, 1.18644815691638
1995-08, 31, 1.18644815691638
1995-09, 26, 0.81200771087358
1995-10, 3, -0.91041834092329
1995-11, 0, -1.13508260854897
1995-12, 0, -1.13508260854897
1996-01, 0, -1.13508260854897
1996-02, 0, -1.13508260854897
1996-03, 2, -0.985306430131849
1996-04, 5, -0.760642162506171
1996-05, 24, 0.662231532456461
1996-06, 30, 1.11156006770782
1996-07, 31, 1.18644815691638
1996-08, 31, 1.18644815691638
1996-09, 24, 0.662231532456461
1996-10, 8, -0.535977894880492
1996-11, 0, -1.13508260854897
1996-12, 0, -1.13508260854897
