"Description: ","Monthly number of days when TM < 10 degrees_C"
"Station: ","final_1971_2005_Kiev_rcp45"
"Latitude: ","50.45"
"Longitude: ","30.51"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tmlt10, normalised (all years)
1971-01, 31, 1.19002259696113
1971-02, 28, 0.962917195754993
1971-03, 31, 1.19002259696113
1971-04, 22, 0.50870639334272
1971-05, 6, -0.702522413090008
1971-06, 0, -1.15673321550228
1971-07, 0, -1.15673321550228
1971-08, 0, -1.15673321550228
1971-09, 0, -1.15673321550228
1971-10, 18, 0.205899191734538
1971-11, 26, 0.811513594950902
1971-12, 31, 1.19002259696113
1972-01, 31, 1.19002259696113
1972-02, 29, 1.03861899615704
1972-03, 29, 1.03861899615704
1972-04, 14, -0.0969080098736442
1972-05, 3, -0.929627814296145
1972-06, 0, -1.15673321550228
1972-07, 0, -1.15673321550228
1972-08, 0, -1.15673321550228
1972-09, 2, -1.00532961469819
1972-10, 11, -0.324013411079781
1972-11, 27, 0.887215395352947
1972-12, 30, 1.11432079655908
1973-01, 31, 1.19002259696113
1973-02, 28, 0.962917195754993
1973-03, 31, 1.19002259696113
1973-04, 24, 0.660109994146811
1973-05, 3, -0.929627814296145
1973-06, 0, -1.15673321550228
1973-07, 0, -1.15673321550228
1973-08, 0, -1.15673321550228
1973-09, 2, -1.00532961469819
1973-10, 15, -0.0212062094715987
1973-11, 27, 0.887215395352947
1973-12, 31, 1.19002259696113
1974-01, 31, 1.19002259696113
1974-02, 28, 0.962917195754993
1974-03, 29, 1.03861899615704
1974-04, 19, 0.281600992136583
1974-05, 2, -1.00532961469819
1974-06, 1, -1.08103141510024
1974-07, 0, -1.15673321550228
1974-08, 0, -1.15673321550228
1974-09, 0, -1.15673321550228
1974-10, 21, 0.433004592940674
1974-11, 25, 0.735811794548856
1974-12, 31, 1.19002259696113
1975-01, 31, 1.19002259696113
1975-02, 28, 0.962917195754993
1975-03, 31, 1.19002259696113
1975-04, 20, 0.357302792538629
1975-05, 1, -1.08103141510024
1975-06, 0, -1.15673321550228
1975-07, 0, -1.15673321550228
1975-08, 0, -1.15673321550228
1975-09, 5, -0.778224213492054
1975-10, 29, 1.03861899615704
1975-11, 27, 0.887215395352947
1975-12, 31, 1.19002259696113
1976-01, 31, 1.19002259696113
1976-02, 29, 1.03861899615704
1976-03, 31, 1.19002259696113
1976-04, 21, 0.433004592940674
1976-05, 8, -0.551118812285917
1976-06, 0, -1.15673321550228
1976-07, 0, -1.15673321550228
1976-08, 0, -1.15673321550228
1976-09, 6, -0.702522413090008
1976-10, 18, 0.205899191734538
1976-11, 30, 1.11432079655908
1976-12, 31, 1.19002259696113
1977-01, 31, 1.19002259696113
1977-02, 28, 0.962917195754993
1977-03, 31, 1.19002259696113
1977-04, 21, 0.433004592940674
1977-05, 7, -0.626820612687963
1977-06, 0, -1.15673321550228
1977-07, 0, -1.15673321550228
1977-08, 0, -1.15673321550228
1977-09, 10, -0.399715211481826
1977-10, 18, 0.205899191734538
1977-11, 24, 0.660109994146811
1977-12, 31, 1.19002259696113
1978-01, 31, 1.19002259696113
1978-02, 28, 0.962917195754993
1978-03, 31, 1.19002259696113
1978-04, 25, 0.735811794548856
1978-05, 7, -0.626820612687963
1978-06, 0, -1.15673321550228
1978-07, 0, -1.15673321550228
1978-08, 0, -1.15673321550228
1978-09, 1, -1.08103141510024
1978-10, 16, 0.0544955909304468
1978-11, 30, 1.11432079655908
1978-12, 31, 1.19002259696113
1979-01, 31, 1.19002259696113
1979-02, 28, 0.962917195754993
1979-03, 31, 1.19002259696113
1979-04, 29, 1.03861899615704
1979-05, 6, -0.702522413090008
1979-06, 2, -1.00532961469819
1979-07, 0, -1.15673321550228
1979-08, 0, -1.15673321550228
1979-09, 0, -1.15673321550228
1979-10, 19, 0.281600992136583
1979-11, 26, 0.811513594950902
1979-12, 31, 1.19002259696113
1980-01, 31, 1.19002259696113
1980-02, 29, 1.03861899615704
1980-03, 28, 0.962917195754993
1980-04, 15, -0.0212062094715987
1980-05, 0, -1.15673321550228
1980-06, 0, -1.15673321550228
1980-07, 0, -1.15673321550228
1980-08, 0, -1.15673321550228
1980-09, 2, -1.00532961469819
1980-10, 28, 0.962917195754993
1980-11, 26, 0.811513594950902
1980-12, 31, 1.19002259696113
1981-01, 31, 1.19002259696113
1981-02, 28, 0.962917195754993
1981-03, 31, 1.19002259696113
1981-04, 17, 0.130197391332492
1981-05, 8, -0.551118812285917
1981-06, 0, -1.15673321550228
1981-07, 0, -1.15673321550228
1981-08, 0, -1.15673321550228
1981-09, 2, -1.00532961469819
1981-10, 23, 0.584408193744765
1981-11, 30, 1.11432079655908
1981-12, 31, 1.19002259696113
1982-01, 31, 1.19002259696113
1982-02, 28, 0.962917195754993
1982-03, 27, 0.887215395352947
1982-04, 16, 0.0544955909304468
1982-05, 0, -1.15673321550228
1982-06, 0, -1.15673321550228
1982-07, 0, -1.15673321550228
1982-08, 0, -1.15673321550228
1982-09, 0, -1.15673321550228
1982-10, 1, -1.08103141510024
1982-11, 30, 1.11432079655908
1982-12, 30, 1.11432079655908
1983-01, 31, 1.19002259696113
1983-02, 28, 0.962917195754993
1983-03, 26, 0.811513594950902
1983-04, 20, 0.357302792538629
1983-05, 7, -0.626820612687963
1983-06, 0, -1.15673321550228
1983-07, 0, -1.15673321550228
1983-08, 0, -1.15673321550228
1983-09, 3, -0.929627814296145
1983-10, 20, 0.357302792538629
1983-11, 29, 1.03861899615704
1983-12, 31, 1.19002259696113
1984-01, 31, 1.19002259696113
1984-02, 29, 1.03861899615704
1984-03, 31, 1.19002259696113
1984-04, 16, 0.0544955909304468
1984-05, 6, -0.702522413090008
1984-06, 0, -1.15673321550228
1984-07, 0, -1.15673321550228
1984-08, 0, -1.15673321550228
1984-09, 5, -0.778224213492054
1984-10, 22, 0.50870639334272
1984-11, 30, 1.11432079655908
1984-12, 31, 1.19002259696113
1985-01, 31, 1.19002259696113
1985-02, 28, 0.962917195754993
1985-03, 29, 1.03861899615704
1985-04, 27, 0.887215395352947
1985-05, 6, -0.702522413090008
1985-06, 0, -1.15673321550228
1985-07, 0, -1.15673321550228
1985-08, 0, -1.15673321550228
1985-09, 1, -1.08103141510024
1985-10, 14, -0.0969080098736442
1985-11, 27, 0.887215395352947
1985-12, 31, 1.19002259696113
1986-01, 31, 1.19002259696113
1986-02, 28, 0.962917195754993
1986-03, 29, 1.03861899615704
1986-04, 19, 0.281600992136583
1986-05, 8, -0.551118812285917
1986-06, 0, -1.15673321550228
1986-07, 0, -1.15673321550228
1986-08, 0, -1.15673321550228
1986-09, 5, -0.778224213492054
1986-10, 19, 0.281600992136583
1986-11, 26, 0.811513594950902
1986-12, 31, 1.19002259696113
1987-01, 31, 1.19002259696113
1987-02, 28, 0.962917195754993
1987-03, 31, 1.19002259696113
1987-04, 22, 0.50870639334272
1987-05, 13, -0.17260981027569
1987-06, 0, -1.15673321550228
1987-07, 0, -1.15673321550228
1987-08, 0, -1.15673321550228
1987-09, 3, -0.929627814296145
1987-10, 22, 0.50870639334272
1987-11, 26, 0.811513594950902
1987-12, 31, 1.19002259696113
1988-01, 31, 1.19002259696113
1988-02, 29, 1.03861899615704
1988-03, 29, 1.03861899615704
1988-04, 28, 0.962917195754993
1988-05, 1, -1.08103141510024
1988-06, 0, -1.15673321550228
1988-07, 0, -1.15673321550228
1988-08, 0, -1.15673321550228
1988-09, 8, -0.551118812285917
1988-10, 5, -0.778224213492054
1988-11, 27, 0.887215395352947
1988-12, 31, 1.19002259696113
1989-01, 31, 1.19002259696113
1989-02, 28, 0.962917195754993
1989-03, 29, 1.03861899615704
1989-04, 10, -0.399715211481826
1989-05, 4, -0.853926013894099
1989-06, 0, -1.15673321550228
1989-07, 0, -1.15673321550228
1989-08, 0, -1.15673321550228
1989-09, 4, -0.853926013894099
1989-10, 23, 0.584408193744765
1989-11, 20, 0.357302792538629
1989-12, 31, 1.19002259696113
1990-01, 31, 1.19002259696113
1990-02, 28, 0.962917195754993
1990-03, 31, 1.19002259696113
1990-04, 6, -0.702522413090008
1990-05, 5, -0.778224213492054
1990-06, 0, -1.15673321550228
1990-07, 0, -1.15673321550228
1990-08, 0, -1.15673321550228
1990-09, 2, -1.00532961469819
1990-10, 16, 0.0544955909304468
1990-11, 30, 1.11432079655908
1990-12, 31, 1.19002259696113
1991-01, 31, 1.19002259696113
1991-02, 28, 0.962917195754993
1991-03, 30, 1.11432079655908
1991-04, 24, 0.660109994146811
1991-05, 3, -0.929627814296145
1991-06, 0, -1.15673321550228
1991-07, 0, -1.15673321550228
1991-08, 0, -1.15673321550228
1991-09, 3, -0.929627814296145
1991-10, 16, 0.0544955909304468
1991-11, 30, 1.11432079655908
1991-12, 28, 0.962917195754993
1992-01, 31, 1.19002259696113
1992-02, 29, 1.03861899615704
1992-03, 31, 1.19002259696113
1992-04, 12, -0.248311610677735
1992-05, 6, -0.702522413090008
1992-06, 0, -1.15673321550228
1992-07, 0, -1.15673321550228
1992-08, 0, -1.15673321550228
1992-09, 4, -0.853926013894099
1992-10, 21, 0.433004592940674
1992-11, 30, 1.11432079655908
1992-12, 31, 1.19002259696113
1993-01, 31, 1.19002259696113
1993-02, 28, 0.962917195754993
1993-03, 31, 1.19002259696113
1993-04, 14, -0.0969080098736442
1993-05, 0, -1.15673321550228
1993-06, 0, -1.15673321550228
1993-07, 0, -1.15673321550228
1993-08, 0, -1.15673321550228
1993-09, 7, -0.626820612687963
1993-10, 18, 0.205899191734538
1993-11, 28, 0.962917195754993
1993-12, 31, 1.19002259696113
