"Description: ","Annual number of days with at least 3 consecutive days when TN < 10th percentile"
"Station: ","final_1971_2005_Kiev_rcp85"
"Latitude: ","50.45"
"Longitude: ","30.51"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, csdi3, normalised (all years)
1971, 51, 2.84307151199781
1972, 8, -0.246502701079126
1973, 27, 1.11865799772231
1974, 3, -0.605755516553188
1975, 51, 2.84307151199781
1976, 50, 2.771220948903
1977, 42, 2.1964164441445
1978, 31, 1.40606025010156
1979, 19, 0.543853492963811
1980, 23, 0.83125574534306
1981, 19, 0.543853492963811
1982, 16, 0.328301803679374
1983, 16, 0.328301803679374
1984, 33, 1.54976137629118
1985, 24, 0.903106308437873
1986, 28, 1.19050856081712
1987, 19, 0.543853492963811
1988, 4, -0.533904953458375
1989, 10, -0.102801574889501
1990, 0, -0.821307205837625
1991, 14, 0.184600677489749
1992, 19, 0.543853492963811
1993, 18, 0.472002929868998
1994, 26, 1.0468074346275
1995, 18, 0.472002929868998
1996, 15, 0.256451240584561
1997, 34, 1.621611939386
1998, 17, 0.400152366774186
1999, 36, 1.76531306557562
2000, 13, 0.112750114394936
2001, 9, -0.174652137984313
2002, 4, -0.533904953458375
2003, 9, -0.174652137984313
2004, 13, 0.112750114394936
2005, 61, 3.56157714294593
2006, 22, 0.759405182248248
2007, 25, 0.974956871532685
2008, 11, -0.0309510117946884
2009, 11, -0.0309510117946884
2010, 39, 1.98086475486006
2011, 55, 3.13047376437706
2012, 18, 0.472002929868998
2013, 20, 0.615704056058623
2014, 7, -0.318353264173938
2015, 10, -0.102801574889501
2016, 10, -0.102801574889501
2017, 13, 0.112750114394936
2018, 8, -0.246502701079126
2019, 14, 0.184600677489749
2020, 11, -0.0309510117946884
2021, 16, 0.328301803679374
2022, 10, -0.102801574889501
2023, 25, 0.974956871532685
2024, 60, 3.48972657985112
2025, 31, 1.40606025010156
2026, 13, 0.112750114394936
2027, 9, -0.174652137984313
2028, 10, -0.102801574889501
2029, 20, 0.615704056058623
2030, 21, 0.687554619153436
2031, 14, 0.184600677489749
2032, 7, -0.318353264173938
2033, 0, -0.821307205837625
2034, 0, -0.821307205837625
2035, 0, -0.821307205837625
2036, 6, -0.39020382726875
2037, 5, -0.462054390363563
2038, 28, 1.19050856081712
2039, 0, -0.821307205837625
2040, 0, -0.821307205837625
2041, 0, -0.821307205837625
2042, 7, -0.318353264173938
2043, 5, -0.462054390363563
2044, 9, -0.174652137984313
2045, 18, 0.472002929868998
2046, 20, 0.615704056058623
2047, 3, -0.605755516553188
2048, 0, -0.821307205837625
2049, 19, 0.543853492963811
2050, 12, 0.040899551300124
2051, 3, -0.605755516553188
2052, 3, -0.605755516553188
2053, 4, -0.533904953458375
2054, 6, -0.39020382726875
2055, 0, -0.821307205837625
2056, 7, -0.318353264173938
2057, 6, -0.39020382726875
2058, 8, -0.246502701079126
2059, 0, -0.821307205837625
2060, 3, -0.605755516553188
2061, 0, -0.821307205837625
2062, 0, -0.821307205837625
2063, 4, -0.533904953458375
2064, 0, -0.821307205837625
2065, 0, -0.821307205837625
2066, 7, -0.318353264173938
2067, 0, -0.821307205837625
2068, 0, -0.821307205837625
2069, 0, -0.821307205837625
2070, 4, -0.533904953458375
2071, 0, -0.821307205837625
2072, 3, -0.605755516553188
2073, 0, -0.821307205837625
2074, 0, -0.821307205837625
2075, 0, -0.821307205837625
2076, 3, -0.605755516553188
2077, 0, -0.821307205837625
2078, 0, -0.821307205837625
2079, 0, -0.821307205837625
2080, 0, -0.821307205837625
2081, 0, -0.821307205837625
2082, 0, -0.821307205837625
2083, 0, -0.821307205837625
2084, 3, -0.605755516553188
2085, 0, -0.821307205837625
2086, 0, -0.821307205837625
2087, 0, -0.821307205837625
2088, 0, -0.821307205837625
2089, 0, -0.821307205837625
2090, 0, -0.821307205837625
2091, 0, -0.821307205837625
2092, 0, -0.821307205837625
2093, 0, -0.821307205837625
2094, 0, -0.821307205837625
2095, 0, -0.821307205837625
2096, 0, -0.821307205837625
2097, 0, -0.821307205837625
2098, 0, -0.821307205837625
2099, 0, -0.821307205837625
2100, 0, -0.821307205837625
