"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Kiev_rcp85"
"Latitude: ","50.45"
"Longitude: ","30.51"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
1971, 2.85113329369165, 6.15870044071117, 1, 4, 4
1972, 8.3520926868529, 29.8911408237667, 3, 4, 10
1973, -99.9, -99.9, 0, -99.9, 0
1974, 19.0786490688591, 94.2188198808002, 3, 15, 25
1975, -99.9, -99.9, 0, -99.9, 0
1976, 10.570445095098, 21.5654430788889, 2, 6, 11
1977, -99.9, -99.9, 0, -99.9, 0
1978, -99.9, -99.9, 0, -99.9, 0
1979, 10.8200167494218, 46.5098388618888, 4, 4, 14
1980, -99.9, -99.9, 0, -99.9, 0
1981, -99.9, -99.9, 0, -99.9, 0
1982, 7.98352339680214, 46.0213667045, 6, 8, 30
1983, 2.74936086847038, 3.74314148983331, 1, 3, 3
1984, -99.9, -99.9, 0, -99.9, 0
1985, 2.06314427120923, 4.50201761591109, 2, 4, 7
1986, 1.38796152962042, 2.18736270648896, 1, 3, 3
1987, 6.28611728089246, 12.7141755074831, 1, 3, 3
1988, -99.9, -99.9, 0, -99.9, 0
1989, -99.9, -99.9, 0, -99.9, 0
1990, 8.93965484689134, 16.0661182847999, 1, 9, 9
1991, 14.7753067206152, 22.5526803500443, 1, 4, 4
1992, 3.02156241341499, 7.63545419303335, 4, 6, 17
1993, 12.0979594956216, 25.0211536132443, 3, 4, 11
1994, -99.9, -99.9, 0, -99.9, 0
1995, 15.7054899449361, 50.3712341613055, 1, 8, 8
1996, 2.79210516323707, 5.4315450156445, 1, 3, 3
1997, -99.9, -99.9, 0, -99.9, 0
1998, 9.58270799127013, 34.8686964840276, 6, 6, 22
1999, 10.2657062114889, 19.0974453839999, 1, 4, 4
2000, 0.958434230040711, 2.29900182624996, 1, 3, 3
2001, 3.14598384477718, 10.4969245622223, 3, 4, 11
2002, 4.02251284786658, 6.79018831003329, 1, 4, 4
2003, 11.188446996716, 19.3465071319444, 2, 7, 12
2004, 3.09572983946223, 5.11821596563331, 1, 5, 5
2005, 3.20453374709808, 4.64574541859985, 1, 3, 3
2006, 3.75250260742077, 7.50509174673326, 1, 4, 4
2007, 13.6637627557232, 72.7184062588498, 5, 10, 29
2008, 8.68489808528044, 22.69969277265, 3, 8, 14
2009, 8.24494961068473, 27.0924974277666, 3, 9, 17
2010, 14.1048091287642, 32.996883738, 3, 11, 20
2011, 3.79981508694039, 9.87474461322219, 3, 5, 12
2012, 8.74300695499577, 22.87074939945, 4, 11, 21
2013, 4.10287972342615, 10.8562027106278, 2, 4, 7
2014, 10.0664343371914, 40.7030916524722, 10, 15, 64
2015, 11.9529907683428, 35.7695586742774, 6, 7, 28
2016, 7.51920585000744, 12.6797258353778, 1, 3, 3
2017, 6.1199050837956, 20.3386635174222, 5, 21, 44
2018, -99.9, -99.9, 0, -99.9, 0
2019, 15.6631099464832, 58.480102148833, 3, 14, 22
2020, 15.9374079057485, 23.6833643649055, 1, 4, 4
2021, 3.00041738194904, 3.75499899225, 2, 5, 9
2022, 11.7906836024668, 49.7988788711997, 5, 9, 26
2023, -99.9, -99.9, 0, -99.9, 0
2024, -99.9, -99.9, 0, -99.9, 0
2025, 8.94901931681172, 31.7737222220447, 6, 9, 35
2026, 16.9470976058956, 84.6240172827498, 3, 16, 20
2027, 7.64623814221765, 27.168394114889, 4, 8, 23
2028, 7.97783262336956, 20.4757332572444, 3, 9, 21
2029, 3.0762818733608, 10.5200093500333, 3, 8, 19
2030, -99.9, -99.9, 0, -99.9, 0
2031, 4.41553743361665, 8.65841730022223, 1, 3, 3
2032, 8.3675172007168, 31.0040618657777, 9, 20, 57
2033, 17.4854475042194, 46.7567956274999, 1, 6, 6
2034, 7.51171533733183, 30.2532520409667, 7, 7, 32
2035, 4.42413957400371, 7.30691923793324, 1, 3, 3
2036, 11.3103103443011, 78.6944732016669, 9, 9, 47
2037, 13.4955391112495, 26.0136155153001, 2, 6, 9
2038, 13.7403394043504, 35.1273755802778, 3, 6, 13
2039, -99.9, -99.9, 0, -99.9, 0
2040, -99.9, -99.9, 0, -99.9, 0
2041, 8.7718637233696, 33.4440122517555, 4, 5, 17
2042, 22.78568484155, 57.0164585387999, 2, 6, 10
2043, 3.40536551537157, 10.8186404444999, 5, 4, 18
2044, 14.1889132765798, 79.0421770779664, 8, 10, 38
2045, 13.72443931726, 50.1840750067112, 4, 5, 18
2046, 8.5315186921233, 24.0544943995832, 6, 7, 28
2047, 7.29206743081278, 33.8675179804499, 5, 29, 57
2048, 17.0123828405928, 83.8277875430335, 7, 23, 71
2049, 6.51260394060548, 20.3006541759998, 2, 5, 9
2050, 16.8177616245887, 96.4673666142001, 5, 8, 28
2051, 6.63359046827187, 25.3425966050832, 2, 11, 18
2052, 12.7977136768102, 30.6130135857, 2, 3, 6
2053, 12.9601509624556, 37.2717738366945, 7, 25, 73
2054, 8.87436465511649, 45.0589751531943, 6, 13, 46
2055, 17.376437502562, 128.152679536828, 7, 37, 67
2056, 8.55836622449994, 53.0873391946666, 8, 7, 34
2057, 12.0538304727964, 39.4865537344444, 5, 11, 29
2058, 17.8161014601439, 79.7488271322778, 2, 10, 15
2059, 16.6416471692737, 87.1927260050555, 6, 15, 46
2060, 2.26285825476172, 6.3708963446945, 3, 3, 9
2061, 13.4883016598044, 59.6307890118497, 3, 10, 17
2062, 19.1640064640609, 118.492312391417, 5, 21, 53
2063, 15.2269258620328, 62.5978779715443, 4, 13, 30
2064, 4.86926838690646, 22.1149693877666, 7, 15, 50
2065, 12.6782185679445, 62.1030730453108, 4, 7, 17
2066, 11.2529093661888, 52.7713381877499, 8, 15, 70
2067, 9.32910729496388, 20.1121810528333, 3, 6, 13
2068, 9.32080145943654, 42.3536992627003, 7, 10, 32
2069, 9.1464594617395, 50.7624895648722, 3, 25, 33
2070, 9.8640400689784, 65.5539487684444, 6, 25, 62
2071, 10.1762705025331, 85.3762322792885, 11, 20, 99
2072, 13.4913112875926, 30.0136739223779, 5, 9, 37
2073, 11.3654133700284, 28.0579713699999, 3, 7, 19
2074, 7.7069366539597, 18.9729723758888, 3, 4, 10
2075, 6.55006241716445, 48.7754305885333, 9, 22, 64
2076, 15.1601569948281, 124.371399415667, 7, 20, 65
2077, 8.87052650514745, 58.0381993851444, 9, 11, 54
2078, 9.47222895599157, 66.0630489770003, 6, 26, 48
2079, 11.7209770281596, 74.2222697040002, 9, 26, 76
2080, 12.4665716726947, 43.6155951010332, 8, 6, 36
2081, 14.968655445975, 66.8285038952667, 7, 9, 40
2082, 12.8367866057647, 60.8287092644, 4, 34, 44
2083, 16.3343168170448, 59.6846864514442, 8, 13, 65
2084, 9.47380015171545, 58.9031484088166, 4, 20, 31
2085, 8.9507199605067, 32.8681141974333, 9, 8, 42
2086, 6.68734131943287, 29.4185415392276, 9, 11, 38
2087, 15.0413036572708, 54.4667994252446, 7, 6, 30
2088, 11.477962545884, 65.9965326101333, 5, 11, 25
2089, 10.8451928037692, 39.3956086497166, 5, 9, 32
2090, 5.70002324086466, 66.1165312240832, 5, 15, 33
2091, 13.589278991823, 75.1746824935333, 9, 26, 81
2092, 11.022360676764, 102.592020828928, 9, 23, 97
2093, 12.8822136524543, 51.0483297795553, 10, 13, 61
2094, 9.38661930597732, 21.5708777027833, 8, 10, 41
2095, 23.2463721281755, 178.684705271067, 7, 49, 92
2096, 14.0345136100706, 117.956575196778, 9, 29, 104
2097, 17.3164486545903, 125.205421854578, 7, 21, 64
2098, 15.3829959391537, 60.3664395840002, 3, 9, 19
2099, 16.6282200746942, 151.3085747981, 9, 11, 50
2100, 7.34250850749979, 29.8830418354997, 9, 10, 45
