"Description: ","Monthly number of days when TX > 25 degrees_C"
"Station: ","final_1971_2005_Kiev_rcp85"
"Latitude: ","50.45"
"Longitude: ","30.51"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, su, normalised (all years)
1971-01, 0, -0.662955496982584
1971-02, 0, -0.662955496982584
1971-03, 0, -0.662955496982584
1971-04, 0, -0.662955496982584
1971-05, 5, -0.0797759687921977
1971-06, 12, 0.736675370674343
1971-07, 23, 2.01967033269319
1971-08, 3, -0.313047780068352
1971-09, 0, -0.662955496982584
1971-10, 0, -0.662955496982584
1971-11, 0, -0.662955496982584
1971-12, 0, -0.662955496982584
1972-01, 0, -0.662955496982584
1972-02, 0, -0.662955496982584
1972-03, 0, -0.662955496982584
1972-04, 0, -0.662955496982584
1972-05, 6, 0.0368599368458796
1972-06, 12, 0.736675370674343
1972-07, 16, 1.20321899322665
1972-08, 12, 0.736675370674343
1972-09, 0, -0.662955496982584
1972-10, 0, -0.662955496982584
1972-11, 0, -0.662955496982584
1972-12, 0, -0.662955496982584
1973-01, 0, -0.662955496982584
1973-02, 0, -0.662955496982584
1973-03, 0, -0.662955496982584
1973-04, 0, -0.662955496982584
1973-05, 1, -0.546319591344507
1973-06, 5, -0.0797759687921977
1973-07, 7, 0.153495842483957
1973-08, 2, -0.42968368570643
1973-09, 1, -0.546319591344507
1973-10, 0, -0.662955496982584
1973-11, 0, -0.662955496982584
1973-12, 0, -0.662955496982584
1974-01, 0, -0.662955496982584
1974-02, 0, -0.662955496982584
1974-03, 0, -0.662955496982584
1974-04, 0, -0.662955496982584
1974-05, 3, -0.313047780068352
1974-06, 11, 0.620039465036266
1974-07, 26, 2.36957804960743
1974-08, 23, 2.01967033269319
1974-09, 4, -0.196411874430275
1974-10, 0, -0.662955496982584
1974-11, 0, -0.662955496982584
1974-12, 0, -0.662955496982584
1975-01, 0, -0.662955496982584
1975-02, 0, -0.662955496982584
1975-03, 0, -0.662955496982584
1975-04, 0, -0.662955496982584
1975-05, 6, 0.0368599368458796
1975-06, 12, 0.736675370674343
1975-07, 3, -0.313047780068352
1975-08, 0, -0.662955496982584
1975-09, 0, -0.662955496982584
1975-10, 0, -0.662955496982584
1975-11, 0, -0.662955496982584
1975-12, 0, -0.662955496982584
1976-01, 0, -0.662955496982584
1976-02, 0, -0.662955496982584
1976-03, 0, -0.662955496982584
1976-04, 0, -0.662955496982584
1976-05, 11, 0.620039465036266
1976-06, 16, 1.20321899322665
1976-07, 17, 1.31985489886473
1976-08, 2, -0.42968368570643
1976-09, 0, -0.662955496982584
1976-10, 0, -0.662955496982584
1976-11, 0, -0.662955496982584
1976-12, 0, -0.662955496982584
1977-01, 0, -0.662955496982584
1977-02, 0, -0.662955496982584
1977-03, 0, -0.662955496982584
1977-04, 0, -0.662955496982584
1977-05, 3, -0.313047780068352
1977-06, 8, 0.270131748122034
1977-07, 8, 0.270131748122034
1977-08, 11, 0.620039465036266
1977-09, 0, -0.662955496982584
1977-10, 0, -0.662955496982584
1977-11, 0, -0.662955496982584
1977-12, 0, -0.662955496982584
1978-01, 0, -0.662955496982584
1978-02, 0, -0.662955496982584
1978-03, 0, -0.662955496982584
1978-04, 0, -0.662955496982584
1978-05, 6, 0.0368599368458796
1978-06, 10, 0.503403559398189
1978-07, 14, 0.969947181950498
1978-08, 14, 0.969947181950498
1978-09, 5, -0.0797759687921977
1978-10, 0, -0.662955496982584
1978-11, 0, -0.662955496982584
1978-12, 0, -0.662955496982584
1979-01, 0, -0.662955496982584
1979-02, 0, -0.662955496982584
1979-03, 0, -0.662955496982584
1979-04, 0, -0.662955496982584
1979-05, 8, 0.270131748122034
1979-06, 10, 0.503403559398189
1979-07, 24, 2.13630623833127
1979-08, 12, 0.736675370674343
1979-09, 8, 0.270131748122034
1979-10, 0, -0.662955496982584
1979-11, 0, -0.662955496982584
1979-12, 0, -0.662955496982584
1980-01, 0, -0.662955496982584
1980-02, 0, -0.662955496982584
1980-03, 0, -0.662955496982584
1980-04, 0, -0.662955496982584
1980-05, 2, -0.42968368570643
1980-06, 4, -0.196411874430275
1980-07, 25, 2.25294214396935
1980-08, 11, 0.620039465036266
1980-09, 1, -0.546319591344507
1980-10, 0, -0.662955496982584
1980-11, 0, -0.662955496982584
1980-12, 0, -0.662955496982584
1981-01, 0, -0.662955496982584
