"Description: ","Annual number of days when TN < 2 degrees_C"
"Station: ","final_1971_2005_Kiev_rcp85"
"Latitude: ","50.45"
"Longitude: ","30.51"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tnlt2, normalised (all years)
1971, 165, 1.3519072847534
1972, 131, 0.0963010232257621
1973, 157, 1.05647051733513
1974, 134, 0.207089811007613
1975, 168, 1.46269607253525
1976, 187, 2.16435839515364
1977, 158, 1.09340011326242
1978, 166, 1.38883688068068
1979, 173, 1.64734405217167
1980, 148, 0.724104153989581
1981, 160, 1.16725930511698
1982, 148, 0.724104153989581
1983, 137, 0.317878598789463
1984, 178, 1.83199203180809
1985, 157, 1.05647051733513
1986, 153, 0.908752133625998
1987, 150, 0.797963345844148
1988, 144, 0.576385770280447
1989, 125, -0.125276552337939
1990, 128, -0.0144877645560883
1991, 141, 0.465596982498597
1992, 170, 1.53655526438982
1993, 155, 0.982611325480566
1994, 146, 0.650244962135014
1995, 161, 1.20418890104427
1996, 165, 1.3519072847534
1997, 160, 1.16725930511698
1998, 141, 0.465596982498597
1999, 146, 0.650244962135014
2000, 143, 0.539456174353164
2001, 142, 0.50252657842588
2002, 137, 0.317878598789463
2003, 140, 0.428667386571313
2004, 146, 0.650244962135014
2005, 177, 1.7950624358808
2006, 155, 0.982611325480566
2007, 143, 0.539456174353164
2008, 145, 0.613315366207731
2009, 146, 0.650244962135014
2010, 159, 1.1303297091897
2011, 142, 0.50252657842588
2012, 141, 0.465596982498597
2013, 142, 0.50252657842588
2014, 139, 0.39173779064403
2015, 131, 0.0963010232257621
2016, 137, 0.317878598789463
2017, 132, 0.133230619153046
2018, 133, 0.170160215080329
2019, 160, 1.16725930511698
2020, 146, 0.650244962135014
2021, 144, 0.576385770280447
2022, 133, 0.170160215080329
2023, 159, 1.1303297091897
2024, 179, 1.86892162773537
2025, 149, 0.761033749916865
2026, 133, 0.170160215080329
2027, 132, 0.133230619153046
2028, 151, 0.834892941771432
2029, 138, 0.354808194716746
2030, 155, 0.982611325480566
2031, 134, 0.207089811007613
2032, 155, 0.982611325480566
2033, 128, -0.0144877645560883
2034, 128, -0.0144877645560883
2035, 122, -0.236065340119789
2036, 129, 0.0224418313711952
2037, 134, 0.207089811007613
2038, 130, 0.0593714272984787
2039, 117, -0.420713319756206
2040, 133, 0.170160215080329
2041, 125, -0.125276552337939
2042, 134, 0.207089811007613
2043, 113, -0.56843170346534
2044, 134, 0.207089811007613
2045, 141, 0.465596982498597
2046, 141, 0.465596982498597
2047, 125, -0.125276552337939
2048, 122, -0.236065340119789
2049, 139, 0.39173779064403
2050, 137, 0.317878598789463
2051, 124, -0.162206148265222
2052, 136, 0.280949002862179
2053, 122, -0.236065340119789
2054, 115, -0.494572511610773
2055, 109, -0.716150087174474
2056, 120, -0.309924531974356
2057, 111, -0.642290895319907
2058, 114, -0.531502107538057
2059, 103, -0.937727662738175
2060, 136, 0.280949002862179
2061, 77, -1.89789715684755
2062, 93, -1.30702362201101
2063, 112, -0.605361299392624
2064, 108, -0.753079683101758
2065, 136, 0.280949002862179
2066, 156, 1.01954092140785
2067, 121, -0.272994936047073
2068, 91, -1.38088281386558
2069, 110, -0.679220491247191
2070, 114, -0.531502107538057
2071, 133, 0.170160215080329
2072, 87, -1.52860119757471
2073, 107, -0.790009279029041
2074, 88, -1.49167160164743
2075, 99, -1.08544604644731
2076, 84, -1.63938998535656
2077, 87, -1.52860119757471
2078, 102, -0.974657258665458
2079, 122, -0.236065340119789
2080, 116, -0.45764291568349
2081, 104, -0.900798066810892
2082, 98, -1.12237564237459
2083, 75, -1.97175634870211
2084, 115, -0.494572511610773
2085, 85, -1.60246038942928
2086, 84, -1.63938998535656
2087, 119, -0.346854127901639
2088, 91, -1.38088281386558
2089, 92, -1.34395321793829
2090, 101, -1.01158685459274
2091, 80, -1.7871083690657
2092, 111, -0.642290895319907
2093, 82, -1.71324917721113
2094, 90, -1.41781240979286
2095, 66, -2.30412271204766
2096, 94, -1.27009402608373
2097, 84, -1.63938998535656
2098, 67, -2.26719311612038
2099, 68, -2.2302635201931
2100, 70, -2.15640432833853
