"Description: ","Monthly coldest daily TN"
"Station: ","final_1971_2005_Kiev_rcp85"
"Latitude: ","50.45"
"Longitude: ","30.51"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tnn, normalised (all years)
1971-01, -19.3081, -2.1649608271994
1971-02, -14.2859, -1.60803401142026
1971-03, -15.9346, -1.79086329762453
1971-04, -1.61489999999998, -0.202908830675275
1971-05, -0.459000000000003, -0.0747276140054705
1971-06, 6.64070000000004, 0.712579405624806
1971-07, 12.8491, 1.40104749592053
1971-08, 8.37480000000005, 0.904878953879079
1971-09, 4.62100000000004, 0.488608817072154
1971-10, -1.09019999999998, -0.144723274496845
1971-11, -12.8048, -1.44379039172163
1971-12, -7.48329999999999, -0.853673301568171
1972-01, -13.0913, -1.47556123571843
1972-02, -10.6456, -1.20435022991399
1972-03, -2.6814, -0.321176213302104
1972-04, -0.337699999999984, -0.0612762933185165
1972-05, 5.91020000000003, 0.631572070407836
1972-06, 10.0053, 1.08568998751531
1972-07, 12.37, 1.34791866046201
1972-08, 9.27250000000004, 1.00442759840238
1972-09, 2.97360000000003, 0.305923691765604
1972-10, -2.24519999999995, -0.272804687468229
1972-11, -5.12939999999998, -0.592642273002499
1972-12, -11.7789, -1.33002526482349
1973-01, -10.9841, -1.24188750981946
1973-02, -13.4072, -1.51059233386359
1973-03, -8.6533, -0.983418109513214
1973-04, -3.35469999999998, -0.395840469019536
1973-05, -1.07939999999996, -0.143525630115811
1973-06, 6.85060000000004, 0.735855845956143
1973-07, 9.3417, 1.01210139388083
1973-08, 8.35910000000001, 0.903137933806649
1973-09, 5.35580000000004, 0.570092992181571
1973-10, -3.94079999999997, -0.460834855290124
1973-11, -3.3503, -0.395352539827266
1973-12, -10.6344, -1.20310822833366
1974-01, -3.65069999999997, -0.428664796499648
1974-02, -5.52549999999997, -0.636566989606798
1974-03, -2.3655, -0.286145115156943
1974-04, -0.212199999999996, -0.0473592220389428
1974-05, 5.31130000000002, 0.565158253759727
1974-06, 7.38470000000001, 0.79508379631806
1974-07, 13.0583, 1.4242463111531
1974-08, 10.668, 1.15917877745136
1974-09, 8.0564, 0.869570623238302
1974-10, -1.16919999999999, -0.153483821358092
1974-11, -3.71569999999997, -0.435872841385483
1974-12, -11.7333, -1.32496854410358
1975-01, -24.3044, -2.71901551432403
1975-02, -14.4007, -1.62076452761863
1975-03, -12.9359, -1.45832846379137
1975-04, -2.94799999999998, -0.350740286633853
1975-05, 3.22840000000002, 0.334179227718079
1975-06, 8.41660000000002, 0.909514281205659
1975-07, 8.51640000000003, 0.920581402430374
1975-08, 7.06400000000002, 0.75952041178133
1975-09, 3.93120000000005, 0.412114826883702
1975-10, -1.00549999999998, -0.13533063754561
1975-11, -11.7291, -1.32450279351096
1975-12, -19.4064, -2.17586160892675
1976-01, -17.1382, -1.92433411031056
1976-02, -22.3269, -2.49972461029726
1976-03, -20.7543, -2.32533428125933
1976-04, -2.541, -0.305606836348699
1976-05, -0.235899999999958, -0.0499873860973125
1976-06, 9.49090000000001, 1.02864662921879
1976-07, 14.0143, 1.530260017474
1976-08, 9.91050000000001, 1.07517733128181
1976-09, 1.91290000000004, 0.188299488528591
1976-10, -3.1961, -0.378252839498099
1976-11, -11.4606, -1.29472802348255
1976-12, -10.3299, -1.16934131036848
1977-01, -18.0435, -2.02472554162051
1977-02, -16.1382, -1.81344111206693
1977-03, -16.3972, -1.84216239861203
1977-04, -1.65449999999998, -0.207300193405723
1977-05, 0.567800000000034, 0.0391373165910888
1977-06, 8.0247, 0.866055315193979
1977-07, 9.3501, 1.01303289506608
1977-08, 9.8023, 1.06317870887185
1977-09, 2.57840000000004, 0.262098778859724
1977-10, -2.9674, -0.352891610799782
1977-11, -3.17719999999997, -0.376156961831291
1977-12, -12.3326, -1.39142671795099
1978-01, -9.79469999999998, -1.10999137770849
1978-02, -9.93019999999996, -1.1250173789705
1978-03, -3.22199999999998, -0.381124968152606
1978-04, -1.31909999999999, -0.170106681794812
1978-05, 0.92900000000003, 0.0791918675566861
1978-06, 6.5308, 0.700392265117827
1978-07, 11.7519, 1.27937569824762
1978-08, 8.71960000000001, 0.943114859673476
1978-09, 3.61250000000001, 0.376773228343454
1978-10, -3.8519, -0.450976467746269
1978-11, -5.91309999999999, -0.679549115726029
1978-12, -19.1827, -2.15105484521965
1979-01, -11.7003, -1.32130907516154
1979-02, -9.45189999999997, -1.07197725791057
1979-03, -3.59019999999998, -0.42195577010591
1979-04, -0.795899999999961, -0.112087465113743
1979-05, -0.305799999999976, -0.057738806674544
1979-06, 6.66410000000002, 0.715174301783704
1979-07, 12.8494, 1.40108076382
1979-08, 8.50740000000002, 0.91958336544618
1979-09, 4.29590000000002, 0.452557503343149
1979-10, -0.795899999999961, -0.112087465113743
1979-11, -6.10209999999995, -0.70050789239407
1979-12, -7.33639999999997, -0.83738312012618
1980-01, -14.6665, -1.65023988655179
1980-02, -16.4617, -1.84931499699874
1980-03, -7.08529999999996, -0.809537888267205
1980-04, -2.512, -0.302390939399634
1980-05, 6.90620000000001, 0.742021496658485
1980-06, 8.82130000000001, 0.954392677594853
1980-07, 10.995, 1.19544078787702
1980-08, 10.4183, 1.13148879578992
1980-09, 1.18650000000002, 0.107746814604419
1980-10, -0.0240999999999758, -0.0265002490693145
1980-11, -6.41179999999997, -0.734851453950124
1980-12, -5.31239999999997, -0.612935691681081
1981-01, -5.50569999999999, -0.634371308241576
1981-02, -7.04569999999995, -0.805146525536756
1981-03, -2.79469999999998, -0.333740390003105
