"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Kiev_rcp85"
"Latitude: ","50.45"
"Longitude: ","30.51"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
1971, 31.1907833333333, 33.6979, 2, 3, 6
1972, 29.644925, 31.5877, 1, 4, 4
1973, -99.9, -99.9, 0, -99.9, 0
1974, 34.9213666666667, 41.4457, 2, 15, 18
1975, -99.9, -99.9, 0, -99.9, 0
1976, 30.385075, 34.6663, 2, 6, 9
1977, -99.9, -99.9, 0, -99.9, 0
1978, 26.084275, 27.2147000000001, 1, 4, 4
1979, 32.1905444444445, 36.9623, 3, 4, 10
1980, -99.9, -99.9, 0, -99.9, 0
1981, -99.9, -99.9, 0, -99.9, 0
1982, 32.3613575, 37.8624, 4, 10, 22
1983, 32.0255666666667, 33.764, 1, 3, 3
1984, 23.70624, 24.2057, 1, 5, 5
1985, 29.46525, 31.2312, 2, 5, 10
1986, -99.9, -99.9, 0, -99.9, 0
1987, 31.4617333333334, 32.1678, 1, 3, 3
1988, 30.1266666666667, 33.3482, 2, 3, 6
1989, -99.9, -99.9, 0, -99.9, 0
1990, 31.6024571428572, 34.4542, 1, 7, 7
1991, 32.1318333333333, 33.8829, 1, 3, 3
1992, 31.0419033333334, 34.2693, 2, 5, 8
1993, 32.928225, 38.4766, 3, 4, 10
1994, -99.9, -99.9, 0, -99.9, 0
1995, 28.801135, 32.4719, 3, 10, 17
1996, -99.9, -99.9, 0, -99.9, 0
1997, -99.9, -99.9, 0, -99.9, 0
1998, 29.5694403333334, 32.878, 5, 6, 22
1999, 30.3446, 32.1112, 1, 3, 3
2000, 29.80819375, 34.0294, 4, 4, 14
2001, -99.9, -99.9, 0, -99.9, 0
2002, 31.5266666666667, 31.9024, 1, 3, 3
2003, 28.0429892857143, 30.5152, 2, 7, 11
2004, 29.6998, 31.4449, 1, 3, 3
2005, 32.060225, 32.763, 1, 4, 4
2006, 30.5148666666667, 31.3236, 1, 3, 3
2007, 31.1645765873016, 40.7926, 6, 7, 25
2008, 30.5847540476191, 38.1361, 5, 7, 22
2009, 31.4210916666667, 36.2811, 3, 6, 13
2010, 33.5716157142857, 36.4759, 2, 7, 12
2011, 31.6218361111111, 35.4286, 3, 4, 11
2012, 29.6293783333334, 33.7095, 3, 12, 21
2013, 28.9713666666667, 33.9346, 3, 4, 11
2014, 31.6393696069519, 39.1083, 10, 17, 71
2015, 31.91908, 38.5242, 6, 5, 22
2016, 34.321, 35.3743, 1, 3, 3
2017, 31.0310701923077, 36.0873, 6, 13, 33
2018, -99.9, -99.9, 0, -99.9, 0
2019, 33.4962371474359, 40.0121, 4, 13, 25
2020, 30.9728125, 34.1117, 2, 4, 7
2021, 24.927575, 26.0653, 1, 4, 4
2022, 32.1860340476191, 39.6096, 5, 8, 24
2023, 27.2214833333334, 31.6494, 1, 6, 6
2024, -99.9, -99.9, 0, -99.9, 0
2025, 31.1608991666667, 38.1235, 4, 10, 30
2026, 33.8386416666667, 39.2087, 2, 10, 13
2027, 31.7073, 35.6092, 3, 6, 13
2028, 31.8223083333333, 34.0479, 3, 4, 11
2029, 31.6897055555556, 33.9459, 3, 4, 10
2030, -99.9, -99.9, 0, -99.9, 0
2031, -99.9, -99.9, 0, -99.9, 0
2032, 32.6548994047619, 38.4105, 6, 14, 42
2033, 35.8171, 36.2948, 1, 3, 3
2034, 31.9601233333334, 36.3641, 4, 5, 18
2035, 30.6521666666667, 31.784, 1, 3, 3
2036, 33.7409148148148, 42.7129, 9, 6, 37
2037, 31.6540444444445, 35.7159, 3, 3, 9
2038, 31.8326761904762, 36.7508, 2, 7, 10
2039, -99.9, -99.9, 0, -99.9, 0
2040, 31.5463666666667, 32.6976, 1, 3, 3
2041, 32.0714533333334, 36.8107, 3, 5, 13
2042, 31.6414333333334, 37.4235, 2, 6, 9
2043, 30.9349541666667, 33.8946, 2, 4, 7
2044, 33.5029552083334, 39.0939, 8, 6, 30
2045, 32.106764, 38.4044, 5, 5, 19
2046, 31.4294427083334, 38.1886, 8, 4, 25
2047, 32.1716484604668, 37.9812, 6, 29, 54
2048, 32.3680818679654, 41.7377, 10, 14, 64
2049, 24.99815, 25.0883, 1, 4, 4
2050, 33.6591083333334, 36.8186, 5, 6, 20
2051, 30.2867666666667, 34.7559, 2, 5, 8
2052, 30.5899333333334, 31.1831, 1, 3, 3
2053, 33.5635501467803, 43.2666, 8, 16, 67
2054, 30.6469113888889, 36.5354, 6, 10, 28
2055, 34.2496581876457, 39.8951, 6, 13, 40
2056, 30.8280569047619, 35.8225, 7, 5, 25
2057, 29.2110891666667, 36.1382, 4, 7, 21
2058, 30.9788666666667, 32.0429, 2, 6, 9
2059, 32.438763, 40.6833, 5, 11, 38
2060, -99.9, -99.9, 0, -99.9, 0
2061, 31.7423404166667, 34.42, 4, 5, 15
2062, 34.5691366666667, 47.8336, 5, 18, 47
2063, 33.2227888888889, 38.8232, 3, 8, 15
2064, 29.1832650952381, 33.5503, 5, 7, 27
2065, 27.5155166666667, 31.129, 2, 6, 9
2066, 31.8315078042328, 41.6640000000001, 9, 8, 50
2067, 28.8201133333334, 33.2092, 3, 5, 11
2068, 31.7757388888889, 35.5833, 4, 9, 19
2069, 33.322445, 39.7711, 3, 6, 15
2070, 33.0931121548822, 41.7525, 6, 11, 49
2071, 31.8525538075397, 39.2285, 10, 16, 65
2072, 34.7597136111111, 37.5059, 6, 6, 24
2073, 29.1098226190476, 32.8173, 2, 7, 13
2074, 28.8640577777778, 33.9974, 3, 5, 11
2075, 33.2068474489796, 36.4867, 7, 21, 48
2076, 33.7528211309524, 43.9365, 6, 8, 34
2077, 33.0927744444445, 37.0145, 6, 10, 29
2078, 32.2604722916667, 39.8320000000001, 8, 10, 40
2079, 35.242928452381, 40.6778, 12, 8, 61
2080, 31.7374706944445, 39.61, 6, 8, 28
2081, 31.2837211375662, 36.5542, 9, 7, 38
2082, 33.4855291666667, 41.6165, 4, 27, 37
2083, 32.7633174431818, 41.459, 8, 11, 51
2084, 31.7958333333333, 35.4477, 2, 4, 7
2085, 33.815989375, 38.1044, 4, 8, 20
2086, 32.288840952381, 34.8057, 5, 7, 21
2087, 32.8117283333334, 37.3241000000001, 5, 4, 15
2088, 30.6052916666667, 36.3557, 2, 10, 13
2089, 32.0321645833334, 37.7061, 4, 8, 21
2090, 34.3407666666667, 40.8061, 3, 6, 12
2091, 33.552679, 42.4773, 10, 20, 60
2092, 32.5811392016807, 43.1408, 12, 17, 86
2093, 33.1272561309524, 38.3311, 8, 7, 38
2094, 31.3069261111111, 38.397, 6, 5, 22
2095, 35.909862204882, 48.4837, 7, 21, 76
2096, 33.0063419907408, 47.2793, 12, 12, 73
2097, 32.9140816190476, 43.1818, 5, 20, 39
2098, 27.3612933333334, 31.4987, 3, 5, 13
2099, 32.3425863809524, 46.2459, 5, 10, 30
2100, 31.8150918518519, 36.0491, 9, 5, 31
