"Description: ","Linear trend statistics"
"Station: ","final_1971_2005_Kiev_rcp85"
"Latitude: ","50.45"
"Longitude: ","30.51"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
Index,Frequency,StartYear,EndYear,Lower bound,Slope,Upper bound
fd,annual,1971,2100,-0.710843373493976,-0.627450980392157,-0.533333333333333
fd,monthly,1971,2100,0,0,0
fd,DJF,1971,2100,-0.123249299719888,-0.103942652329749,-0.0849673202614379
fd,MAM,1971,2100,-0.0714285714285714,-0.0585585585585586,-0.0465116279069767
fd,JJA,1971,2100,0,0,0
fd,SON,1971,2100,-0.0579710144927537,-0.0476190476190476,-0.037037037037037
tnlt2,annual,1971,2100,-0.666666666666667,-0.6,-0.527777777777778
tnlt2,monthly,1971,2100,0,0,0
tnlt2,DJF,1971,2100,-0.0694444444444444,-0.0555555555555555,-0.0411522633744856
tnlt2,MAM,1971,2100,-0.087962962962963,-0.0735930735930736,-0.0597014925373134
tnlt2,JJA,1971,2100,0,0,0
tnlt2,SON,1971,2100,-0.0769230769230769,-0.0652173913043478,-0.0534979423868313
tnltm2,annual,1971,2100,-0.628571428571429,-0.536585365853659,-0.448717948717949
tnltm2,monthly,1971,2100,0,0,0
tnltm2,DJF,1971,2100,-0.15,-0.122222222222222,-0.0972222222222223
tnltm2,MAM,1971,2100,-0.025,-0.0185185185185185,-0.0128205128205128
tnltm2,JJA,1971,2100,0,0,0
tnltm2,SON,1971,2100,-0.0357142857142857,-0.028673835125448,-0.0212765957446809
tnltm20,annual,1971,2100,0,0,0
tnltm20,monthly,1971,2100,0,0,0
tnltm20,DJF,1971,2100,0,0,0
tnltm20,MAM,1971,2100,0,0,0
tnltm20,JJA,1971,2100,0,0,0
tnltm20,SON,1971,2100,0,0,0
id,annual,1971,2100,-0.414285714285714,-0.338983050847458,-0.266666666666667
id,monthly,1971,2100,0,0,0
id,DJF,1971,2100,-0.111111111111111,-0.0867208672086721,-0.0638297872340425
id,MAM,1971,2100,0,0,0
id,JJA,1971,2100,0,0,0
id,SON,1971,2100,-0.0148809523809524,-0.00709219858156028,0
su,annual,1971,2100,0.32258064516129,0.421052631578947,0.518987341772152
su,monthly,1971,2100,0,0,0
su,DJF,1971,2100,0,0,0
su,MAM,1971,2100,0.0679611650485437,0.0945945945945946,0.12
su,JJA,1971,2100,0.188405797101449,0.2625,0.333333333333333
su,SON,1971,2100,0.0185185185185185,0.04,0.0625
tr,annual,1971,2100,0.186813186813187,0.222222222222222,0.25531914893617
tr,monthly,1971,2100,0,0,0
tr,DJF,1971,2100,0,0,0
tr,MAM,1971,2100,0,0,0
tr,JJA,1971,2100,0.172413793103448,0.204545454545455,0.24
tr,SON,1971,2100,0,0,0
gsl,annual,1971,2100,0.403508771929825,0.5,0.59375
txx,annual,1971,2100,0.0440753623188406,0.0603716417910445,0.0762450000000001
txx,monthly,1971,2100,0.00267210682492571,0.00387027027027025,0.00506463414634149
txx,DJF,1971,2100,0.0302647058823528,0.0405380714285715,0.0512555555555557
txx,MAM,1971,2100,0.0346940170940169,0.0481627118644073,0.0612316831683167
txx,JJA,1971,2100,0.044235714285715,0.0605555555555556,0.0772850000000005
txx,SON,1971,2100,0.0139175257731955,0.033360869565218,0.0518015873015876
tnn,annual,1971,2100,0.0705880000000002,0.0915666666666673,0.11642
tnn,monthly,1971,2100,0.00261179245283024,0.00357070616779467,0.00456228813559321
tnn,DJF,1971,2100,0.0583551401869156,0.0816587209302326,0.10551875
tnn,MAM,1971,2100,0.0206913793103447,0.0287636363636364,0.0383553191489359
tnn,JJA,1971,2100,0.0356293103448279,0.0422999999999998,0.0495523364485981
tnn,SON,1971,2100,0.0364500000000021,0.0508823529411764,0.0668683168316835
tnx,annual,1971,2100,0.0415216867469874,0.0516249999999983,0.0604952380952379
tnx,monthly,1971,2100,0.0026754166666667,0.00351532777567305,0.0043497522299306
tnx,DJF,1971,2100,0.0212119402985074,0.033864250886525,0.048122222222222
tnx,MAM,1971,2100,0.0293333333333338,0.0374157894736831,0.0459412499999999
tnx,JJA,1971,2100,0.0415887850467289,0.0519200000000005,0.0610394736842106
tnx,SON,1971,2100,0.0270449999999997,0.0358651515151523,0.04380375
txn,annual,1971,2100,0.0547162499999999,0.0769750000000003,0.0975269230769231
txn,monthly,1971,2100,0.0024801857585139,0.00360667576171002,0.0047360784313725
txn,DJF,1971,2100,0.0410513513513506,0.0616238440366971,0.0854160000000002
txn,MAM,1971,2100,0.0273333333333336,0.0404000000000006,0.0542195402298852
txn,JJA,1971,2100,0.0293392156862749,0.0382918918918925,0.0479663366336635
txn,SON,1971,2100,0.0367951456310679,0.0505676470588228,0.0657620689655158
dtr,annual,1971,2100,-0.00412446658364469,-0.00122416056068809,0.00149949720651379
dtr,monthly,1971,2100,-0.000452186523154274,-0.000153522649818088,0.000148042474607571
dtr,DJF,1971,2100,-0.00726381228398611,-0.00462545319050706,-0.00223967571678286
dtr,MAM,1971,2100,0.000475204226403828,0.00408385726333538,0.00767275415444752
dtr,JJA,1971,2100,-0.00679637992831541,-0.000333888055347181,0.00556614453162828
dtr,SON,1971,2100,-0.00810653877484527,-0.00279240591397845,0.002183542413381
wsdi,annual,1971,2100,0.380952380952381,0.461538461538462,0.546511627906977
wsdi3,annual,1971,2100,0.610526315789474,0.723404255319149,0.84375
csdi,annual,1971,2100,0,0,0
csdi3,annual,1971,2100,-0.217391304347826,-0.185714285714286,-0.155555555555556
txgt50p,annual,1971,2100,0.25767949887955,0.29804189435337,0.338056998897811
txgt50p,monthly,1971,2100,0.0232552784877161,0.0258581679488008,0.0284371015503973
txgt50p,DJF,1971,2100,0.244815668202765,0.335202601944129,0.423366806265367
txgt50p,MAM,1971,2100,0.260931899641577,0.32258064516129,0.38339502908514
txgt50p,JJA,1971,2100,0.214807786914049,0.293420812830326,0.368458781362007
txgt50p,SON,1971,2100,0.212296663909567,0.273571794309121,0.336234852363885
tx10p,annual,1971,2100,-0.112980787845466,-0.096689497716895,-0.0809548177136062
tx10p,monthly,1971,2100,-0.00315851632128977,-0.00230909552728196,0
tx10p,DJF,1971,2100,-0.0685860310795685,-0.0355733342073039,-0.0182592818015825
tx10p,MAM,1971,2100,-0.1194743130227,-0.0950599968832788,-0.0751531969013759
tx10p,JJA,1971,2100,-0.117767537122376,-0.0906677286605602,-0.0661703887510339
tx10p,SON,1971,2100,-0.10415348935273,-0.0786782061369001,-0.0529100529100529
tx90p,annual,1971,2100,0.193334226961935,0.231576941660032,0.267890193730011
tx90p,monthly,1971,2100,0.0139596302584418,0.0157945888749876,0.0176998982255852
tx90p,DJF,1971,2100,0.218020022246941,0.277547305720243,0.33612473778967
tx90p,MAM,1971,2100,0.185377885690061,0.224291468056017,0.267848493654945
tx90p,JJA,1971,2100,0.14336917562724,0.210043550314102,0.272263578715192
tx90p,SON,1971,2100,0.134339432811419,0.179789571048676,0.230327468230694
tn10p,annual,1971,2100,-0.113898722487302,-0.100456621004566,-0.087637900814517
tn10p,monthly,1971,2100,0,0,0
tn10p,DJF,1971,2100,-0.0696044546850998,-0.0387681237931516,-0.0108314624443657
tn10p,MAM,1971,2100,-0.116595413913719,-0.0922748417600854,-0.0690778755294884
tn10p,JJA,1971,2100,-0.104871896986592,-0.0854114237779303,-0.0672957354985005
tn10p,SON,1971,2100,-0.0968923549568711,-0.0759073868083879,-0.057347670250896
