"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Madrid_rcp45"
"Latitude: ","40.38"
"Longitude: ","-3.69"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-02"
time, HWM, HWA, HWN, HWD, HWF
1971, 38.2113175, 39.4716, 2, 5, 9
1972, 33.3884, 37.5038, 2, 3, 6
1973, 37.114513015873, 38.927, 6, 7, 28
1974, -99.9, -99.9, 0, -99.9, 0
1975, 32.6846583333334, 37.5861, 2, 3, 5
1976, 28.0104, 28.0104, 1, 1, 1
1977, 38.6913666666667, 39.9636, 1, 3, 3
1978, -99.9, -99.9, 0, -99.9, 0
1979, 34.86765625, 37.9348, 2, 8, 11
1980, 36.2884305555556, 38.965, 3, 4, 10
1981, 35.1327666666667, 35.5326, 1, 3, 3
1982, 35.2664041666667, 36.8127, 2, 4, 7
1983, -99.9, -99.9, 0, -99.9, 0
1984, 33.6358916666667, 37.3469, 2, 4, 7
1985, 36.3814083333334, 40.1641, 4, 3, 12
1986, 32.7279125, 37.6343, 2, 7, 11
1987, 33.0588647727273, 34.6304, 2, 11, 15
1988, 36.5839475, 37.8138, 2, 5, 9
1989, 38.7861, 39.4181, 1, 5, 5
1990, 34.14102, 35.8735, 1, 5, 5
1991, 33.4830233333333, 38.9729, 4, 5, 17
1992, 30.9573333333334, 31.2621, 1, 3, 3
1993, -99.9, -99.9, 0, -99.9, 0
1994, -99.9, -99.9, 0, -99.9, 0
1995, 37.5261625, 39.7824, 4, 4, 13
1996, 30.1349, 30.3833, 1, 4, 4
1997, 35.4698, 36.2517, 1, 3, 3
1998, -99.9, -99.9, 0, -99.9, 0
1999, 36.2498571428572, 39.5029, 5, 7, 27
2000, 36.1384306084656, 39.5662, 6, 9, 35
2001, 33.0061696666667, 36.297, 5, 5, 20
2002, 37.1360916666667, 40.1533, 4, 12, 24
2003, -99.9, -99.9, 0, -99.9, 0
2004, 32.4438666666667, 33.0723, 1, 3, 3
2005, 35.646025, 38.9994, 4, 3, 12
2006, 38.1492895833334, 40.2936, 2, 8, 11
2007, 37.4052820833334, 39.2739, 4, 5, 15
2008, 32.6467833333334, 37.6475, 2, 3, 6
2009, 37.460275, 38.5082, 2, 4, 8
2010, 34.5254333333334, 34.5878, 1, 3, 3
2011, 37.17205, 37.8082, 1, 4, 4
2012, 34.7080905128205, 39.4487, 4, 13, 24
2013, 36.6729470833334, 39.0421, 4, 10, 20
2014, 37.53431875, 38.1168, 2, 8, 11
2015, 33.9367955555556, 39.159, 3, 6, 15
2016, 36.38521, 38.1621, 2, 10, 17
2017, 34.5625932142857, 39.7259, 6, 8, 38
2018, 35.8380436507937, 42.3013, 6, 7, 28
2019, 36.5072666666667, 37.0555, 1, 3, 3
2020, 35.0279508333334, 40.1669, 4, 6, 17
2021, 38.6034841666667, 40.6023, 4, 5, 15
2022, 38.5678333333334, 38.9411, 1, 3, 3
2023, 36.8787552272727, 40.7188000000001, 5, 11, 31
2024, 35.0729866666667, 39.2801, 5, 3, 15
2025, 34.9371616666667, 40.0852, 3, 5, 12
2026, 31.0775547619048, 33.435, 2, 7, 10
2027, 39.0519033333334, 40.5515, 2, 5, 8
2028, 37.0019208333334, 39.6926, 4, 4, 15
2029, 34.8968797619048, 38.2385, 4, 7, 20
2030, 38.348785, 39.6439, 2, 6, 11
2031, -99.9, -99.9, 0, -99.9, 0
2032, 34.019670625, 38.4982, 4, 8, 20
2033, 37.3043924444445, 41.5656, 5, 9, 23
2034, 36.944106, 39.0655, 5, 6, 22
2035, 32.54550125, 34.7956, 4, 5, 17
2036, 36.5220145833334, 39.0391, 4, 4, 14
2037, 35.1796787037037, 40.3688, 6, 12, 42
2038, 35.2844520833333, 41.2465, 4, 8, 18
2039, 36.1565468707483, 40.9252, 7, 7, 29
2040, 37.1130097916667, 40.5208, 8, 9, 37
2041, 36.3337380555556, 39.132, 6, 7, 29
2042, 34.5567276785714, 39.9308, 4, 21, 42
2043, 34.4150349603175, 39.2532, 6, 14, 47
2044, 36.3844571428572, 41.3364, 7, 6, 28
2045, 36.4811975, 40.4405, 4, 5, 15
2046, 36.2591314814815, 41.1261, 9, 8, 38
2047, 38.1374904040404, 41.1443000000001, 3, 11, 23
2048, 36.5065112554113, 41.1179, 7, 11, 37
2049, 35.3817783333334, 42.9021, 5, 12, 30
2050, 38.4247533333334, 40.7251, 2, 5, 8
2051, 34.6271966666667, 41.3879, 5, 10, 28
2052, 34.1022972857143, 40.891, 5, 14, 32
2053, 33.6380608333334, 39.3498, 4, 6, 18
2054, 37.8970822222222, 39.9345, 3, 5, 13
2055, 38.0717178911565, 41.8679, 7, 10, 38
2056, 35.2856259259259, 40.3279, 9, 14, 55
2057, 35.417966765873, 39.3629, 4, 9, 26
2058, 37.9263549603175, 43.0336, 6, 14, 35
2059, 35.4687995833334, 39.1212000000001, 4, 8, 23
2060, 35.942922008658, 39.8897, 5, 11, 35
2061, 34.8946325362319, 39.456, 6, 23, 41
2062, 34.643765, 41.1777, 2, 10, 15
2063, 36.357645, 41.2483, 5, 5, 22
2064, 36.7883944444445, 43.769, 6, 11, 38
2065, 36.4821369047619, 40.4164, 7, 8, 39
2066, 36.21593, 39.6886, 5, 10, 24
2067, 35.0749168560606, 38.6602, 4, 11, 28
2068, 36.5788047034253, 43.5195000000001, 9, 19, 56
2069, 34.5939274285715, 39.4477, 5, 7, 27
2070, 36.0687476190476, 39.667, 3, 7, 14
2071, 36.9419088095238, 40.1422, 7, 6, 28
2072, 37.5040473809524, 39.8175, 7, 12, 41
2073, 36.6045145833334, 40.0218, 4, 4, 13
2074, 38.2932016666667, 40.7794, 5, 4, 17
2075, 36.391310187729, 42.1348, 8, 13, 49
2076, 36.2708270707071, 42.2346, 3, 20, 34
2077, 36.5944680952381, 42.7078, 5, 7, 23
2078, 36.6247585714286, 42.9883, 7, 12, 40
2079, 35.998745, 39.3217, 5, 8, 29
2080, 35.5713038194445, 41.2249, 8, 9, 40
2081, 36.0860424664225, 42.4514, 9, 13, 51
2082, 37.6733347222222, 43.1315, 9, 10, 51
2083, 36.4026704166667, 41.0007, 4, 6, 21
2084, 36.8533102564103, 41.5412, 5, 15, 41
2085, 35.8939540674603, 39.105, 6, 14, 39
2086, 36.7164270281863, 42.6042, 8, 17, 67
2087, 36.4775180952381, 39.4699, 5, 14, 36
2088, 37.2699484693878, 40.4973, 7, 7, 31
2089, 33.747921875, 39.1364, 4, 8, 17
2090, 36.2237738194445, 40.9549, 8, 10, 48
2091, 37.7463229901052, 41.5323, 7, 12, 44
2092, 36.9273103563412, 40.0829, 9, 12, 65
2093, 35.5607550264551, 39.6216, 9, 7, 39
2094, 35.4936369047619, 41.5629, 10, 12, 51
2095, 36.5768494642857, 40.6927, 7, 16, 51
2096, 37.2897865188383, 42.503, 7, 16, 62
2097, 35.7761106944445, 41.06, 8, 9, 44
2098, 36.0002622222222, 41.0095, 6, 5, 22
2099, 36.2249219047619, 40.4459, 8, 14, 50
2100, 35.5414966666667, 38.3908, 5, 6, 20
