"Description: ","Monthly number of days when TN < 0 degrees_C"
"Station: ","final_1971_2005_Madrid_rcp85"
"Latitude: ","40.38"
"Longitude: ","-3.69"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-02"
time, fd, normalised (all years)
1971-01, 9, 2.38134260887779
1971-02, 7, 1.76353211996221
1971-03, 0, -0.398804591242297
1971-04, 0, -0.398804591242297
1971-05, 0, -0.398804591242297
1971-06, 0, -0.398804591242297
1971-07, 0, -0.398804591242297
1971-08, 0, -0.398804591242297
1971-09, 0, -0.398804591242297
1971-10, 0, -0.398804591242297
1971-11, 2, 0.219005897673277
1971-12, 4, 0.836816386588851
1972-01, 23, 6.70601603128681
1972-02, 1, -0.0898993467845098
1972-03, 0, -0.398804591242297
1972-04, 0, -0.398804591242297
1972-05, 0, -0.398804591242297
1972-06, 0, -0.398804591242297
1972-07, 0, -0.398804591242297
1972-08, 0, -0.398804591242297
1972-09, 0, -0.398804591242297
1972-10, 0, -0.398804591242297
1972-11, 0, -0.398804591242297
1972-12, 10, 2.69024785333557
1973-01, 13, 3.61696358670893
1973-02, 1, -0.0898993467845098
1973-03, 0, -0.398804591242297
1973-04, 0, -0.398804591242297
1973-05, 0, -0.398804591242297
1973-06, 0, -0.398804591242297
1973-07, 0, -0.398804591242297
1973-08, 0, -0.398804591242297
1973-09, 0, -0.398804591242297
1973-10, 0, -0.398804591242297
1973-11, 0, -0.398804591242297
1973-12, 0, -0.398804591242297
1974-01, 14, 3.92586883116672
1974-02, 8, 2.07243736442
1974-03, 0, -0.398804591242297
1974-04, 0, -0.398804591242297
1974-05, 0, -0.398804591242297
1974-06, 0, -0.398804591242297
1974-07, 0, -0.398804591242297
1974-08, 0, -0.398804591242297
1974-09, 0, -0.398804591242297
1974-10, 0, -0.398804591242297
1974-11, 0, -0.398804591242297
1974-12, 18, 5.16148980899787
1975-01, 16, 4.5436793200823
1975-02, 9, 2.38134260887779
1975-03, 0, -0.398804591242297
1975-04, 0, -0.398804591242297
1975-05, 0, -0.398804591242297
1975-06, 0, -0.398804591242297
1975-07, 0, -0.398804591242297
1975-08, 0, -0.398804591242297
1975-09, 0, -0.398804591242297
1975-10, 0, -0.398804591242297
1975-11, 1, -0.0898993467845098
1975-12, 4, 0.836816386588851
1976-01, 9, 2.38134260887779
1976-02, 3, 0.527911142131064
1976-03, 0, -0.398804591242297
1976-04, 0, -0.398804591242297
1976-05, 0, -0.398804591242297
1976-06, 0, -0.398804591242297
1976-07, 0, -0.398804591242297
1976-08, 0, -0.398804591242297
1976-09, 0, -0.398804591242297
1976-10, 0, -0.398804591242297
1976-11, 0, -0.398804591242297
1976-12, 1, -0.0898993467845098
1977-01, 17, 4.85258456454008
1977-02, 4, 0.836816386588851
1977-03, 0, -0.398804591242297
1977-04, 0, -0.398804591242297
1977-05, 0, -0.398804591242297
1977-06, 0, -0.398804591242297
1977-07, 0, -0.398804591242297
1977-08, 0, -0.398804591242297
1977-09, 0, -0.398804591242297
1977-10, 0, -0.398804591242297
1977-11, 1, -0.0898993467845098
1977-12, 12, 3.30805834225115
1978-01, 8, 2.07243736442
1978-02, 8, 2.07243736442
1978-03, 0, -0.398804591242297
1978-04, 0, -0.398804591242297
1978-05, 0, -0.398804591242297
1978-06, 0, -0.398804591242297
1978-07, 0, -0.398804591242297
1978-08, 0, -0.398804591242297
1978-09, 0, -0.398804591242297
1978-10, 0, -0.398804591242297
1978-11, 0, -0.398804591242297
1978-12, 5, 1.14572163104664
1979-01, 4, 0.836816386588851
1979-02, 10, 2.69024785333557
1979-03, 1, -0.0898993467845098
1979-04, 0, -0.398804591242297
1979-05, 0, -0.398804591242297
1979-06, 0, -0.398804591242297
1979-07, 0, -0.398804591242297
1979-08, 0, -0.398804591242297
1979-09, 0, -0.398804591242297
1979-10, 0, -0.398804591242297
1979-11, 2, 0.219005897673277
1979-12, 8, 2.07243736442
1980-01, 15, 4.23477407562451
1980-02, 3, 0.527911142131064
1980-03, 0, -0.398804591242297
1980-04, 0, -0.398804591242297
1980-05, 0, -0.398804591242297
1980-06, 0, -0.398804591242297
1980-07, 0, -0.398804591242297
1980-08, 0, -0.398804591242297
1980-09, 0, -0.398804591242297
1980-10, 0, -0.398804591242297
1980-11, 0, -0.398804591242297
1980-12, 3, 0.527911142131064
1981-01, 7, 1.76353211996221
1981-02, 14, 3.92586883116672
1981-03, 0, -0.398804591242297
1981-04, 0, -0.398804591242297
1981-05, 0, -0.398804591242297
1981-06, 0, -0.398804591242297
1981-07, 0, -0.398804591242297
1981-08, 0, -0.398804591242297
1981-09, 0, -0.398804591242297
1981-10, 0, -0.398804591242297
1981-11, 3, 0.527911142131064
1981-12, 8, 2.07243736442
1982-01, 3, 0.527911142131064
1982-02, 5, 1.14572163104664
1982-03, 0, -0.398804591242297
1982-04, 0, -0.398804591242297
