"Description: ","Monthly number of days when precipitation >= 10 mm"
"Station: ","final_1971_2005_Madrid_rcp85"
"Latitude: ","40.38"
"Longitude: ","-3.69"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-02"
time, r10mm, normalised (all years)
1971-01, 0, -0.705482218171961
1971-02, 1, -0.0146145092276677
1971-03, 4, 2.05798861760521
1971-04, 1, -0.0146145092276677
1971-05, 3, 1.36712090866092
1971-06, 1, -0.0146145092276677
1971-07, 0, -0.705482218171961
1971-08, 0, -0.705482218171961
1971-09, 1, -0.0146145092276677
1971-10, 4, 2.05798861760521
1971-11, 3, 1.36712090866092
1971-12, 3, 1.36712090866092
1972-01, 0, -0.705482218171961
1972-02, 4, 2.05798861760521
1972-03, 2, 0.676253199716625
1972-04, 1, -0.0146145092276677
1972-05, 0, -0.705482218171961
1972-06, 0, -0.705482218171961
1972-07, 0, -0.705482218171961
1972-08, 0, -0.705482218171961
1972-09, 0, -0.705482218171961
1972-10, 6, 3.4397240354938
1972-11, 2, 0.676253199716625
1972-12, 1, -0.0146145092276677
1973-01, 0, -0.705482218171961
1973-02, 1, -0.0146145092276677
1973-03, 2, 0.676253199716625
1973-04, 2, 0.676253199716625
1973-05, 0, -0.705482218171961
1973-06, 0, -0.705482218171961
1973-07, 0, -0.705482218171961
1973-08, 0, -0.705482218171961
1973-09, 0, -0.705482218171961
1973-10, 1, -0.0146145092276677
1973-11, 1, -0.0146145092276677
1973-12, 1, -0.0146145092276677
1974-01, 0, -0.705482218171961
1974-02, 0, -0.705482218171961
1974-03, 1, -0.0146145092276677
1974-04, 0, -0.705482218171961
1974-05, 1, -0.0146145092276677
1974-06, 0, -0.705482218171961
1974-07, 0, -0.705482218171961
1974-08, 0, -0.705482218171961
1974-09, 1, -0.0146145092276677
1974-10, 3, 1.36712090866092
1974-11, 0, -0.705482218171961
1974-12, 3, 1.36712090866092
1975-01, 3, 1.36712090866092
1975-02, 3, 1.36712090866092
1975-03, 1, -0.0146145092276677
1975-04, 0, -0.705482218171961
1975-05, 2, 0.676253199716625
1975-06, 0, -0.705482218171961
1975-07, 0, -0.705482218171961
1975-08, 0, -0.705482218171961
1975-09, 1, -0.0146145092276677
1975-10, 4, 2.05798861760521
1975-11, 2, 0.676253199716625
1975-12, 2, 0.676253199716625
1976-01, 1, -0.0146145092276677
1976-02, 1, -0.0146145092276677
1976-03, 2, 0.676253199716625
1976-04, 0, -0.705482218171961
1976-05, 4, 2.05798861760521
1976-06, 4, 2.05798861760521
1976-07, 0, -0.705482218171961
1976-08, 0, -0.705482218171961
1976-09, 0, -0.705482218171961
1976-10, 6, 3.4397240354938
1976-11, 5, 2.7488563265495
1976-12, 3, 1.36712090866092
1977-01, 0, -0.705482218171961
1977-02, 1, -0.0146145092276677
1977-03, 0, -0.705482218171961
1977-04, 0, -0.705482218171961
1977-05, 2, 0.676253199716625
1977-06, 0, -0.705482218171961
1977-07, 0, -0.705482218171961
1977-08, 0, -0.705482218171961
1977-09, 0, -0.705482218171961
1977-10, 3, 1.36712090866092
1977-11, 1, -0.0146145092276677
1977-12, 2, 0.676253199716625
1978-01, 0, -0.705482218171961
1978-02, 0, -0.705482218171961
1978-03, 1, -0.0146145092276677
1978-04, 0, -0.705482218171961
1978-05, 1, -0.0146145092276677
1978-06, 0, -0.705482218171961
1978-07, 1, -0.0146145092276677
1978-08, 0, -0.705482218171961
1978-09, 0, -0.705482218171961
1978-10, 4, 2.05798861760521
1978-11, 9, 5.51232716232668
1978-12, 2, 0.676253199716625
1979-01, 0, -0.705482218171961
1979-02, 0, -0.705482218171961
1979-03, 1, -0.0146145092276677
1979-04, 0, -0.705482218171961
1979-05, 0, -0.705482218171961
1979-06, 1, -0.0146145092276677
1979-07, 0, -0.705482218171961
1979-08, 0, -0.705482218171961
1979-09, 2, 0.676253199716625
1979-10, 1, -0.0146145092276677
1979-11, 1, -0.0146145092276677
1979-12, 4, 2.05798861760521
1980-01, 1, -0.0146145092276677
1980-02, 0, -0.705482218171961
1980-03, 0, -0.705482218171961
1980-04, 0, -0.705482218171961
1980-05, 0, -0.705482218171961
1980-06, 1, -0.0146145092276677
1980-07, 0, -0.705482218171961
1980-08, 0, -0.705482218171961
1980-09, 2, 0.676253199716625
1980-10, 1, -0.0146145092276677
1980-11, 5, 2.7488563265495
1980-12, 4, 2.05798861760521
1981-01, 0, -0.705482218171961
1981-02, 0, -0.705482218171961
1981-03, 1, -0.0146145092276677
1981-04, 8, 4.82145945338238
1981-05, 2, 0.676253199716625
1981-06, 0, -0.705482218171961
1981-07, 0, -0.705482218171961
1981-08, 0, -0.705482218171961
