"Description: ","Maximum 3-day precipitation total"
"Station: ","final_1971_2005_Madrid_rcp85"
"Latitude: ","40.38"
"Longitude: ","-3.69"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-02"
time, rx3day, normalised (all years)
1971-01, 6.548866848, -0.662965518445035
1971-02, 13.77603072, -0.30839170301224
1971-03, 58.567853088, 1.88915184774922
1971-04, 28.63752725088, 0.420732144367345
1971-05, 65.47700448, 2.22812356803294
1971-06, 18.156906432, -0.0934603905843065
1971-07, 5.2708593024, -0.725666187700774
1971-08, 1.7423702856, -0.898778328999607
1971-09, 20.309254848, 0.0121365494489156
1971-10, 25.5744418176, 0.270453292481543
1971-11, 52.709370624, 1.60172727613344
1971-12, 34.90303824, 0.728126051077474
1972-01, 4.0025676096, -0.787890184909428
1972-02, 48.71686032, 1.40584966263022
1972-03, 24.236831232, 0.204828422574139
1972-04, 23.862721824, 0.186474141069912
1972-05, 4.49637264, -0.763663484531541
1972-06, 2.713925180448, -0.851112615025236
1972-07, 6.0479701706592, -0.687540144006028
1972-08, 6.192433504512, -0.680452589831039
1972-09, 20.69703792, 0.0311616782317282
1972-10, 85.928904, 3.23151966836902
1972-11, 84.064499136, 3.14004960378378
1972-12, 16.06412272464, -0.196135010550946
1973-01, 1.50580339199999, -0.910384600498973
1973-02, 55.80287168256, 1.7534983571281
1973-03, 51.65376995808, 1.54993817015526
1973-04, 35.205742368, 0.742977099083739
1973-05, 10.636766079264, -0.462408003324937
1973-06, 6.48828144, -0.665937915315312
1973-07, 1.3449517989408, -0.918276183432412
1973-08, 1.35821747808, -0.91762535240796
1973-09, 2.798544554208, -0.846961081346878
1973-10, 24.072720740064, 0.196776953933205
1973-11, 36.9918959184, 0.83060805508957
1973-12, 19.6334466624, -0.0210194562973045
1974-01, 7.57558742399999, -0.612593306265636
1974-02, 5.97156623999999, -0.691288617637968
1974-03, 14.76556321536, -0.259843985181478
1974-04, 2.60746646399999, -0.856335614523461
1974-05, 48.8617890624, 1.41296005033815
1974-06, 6.930417024, -0.644246183436248
1974-07, 1.3859356608, -0.916265463248401
1974-08, 0.545345567999996, -0.957505878119002
1974-09, 23.191607232, 0.153548408971878
1974-10, 48.9078088128, 1.41521783759379
1974-11, 14.886727776, -0.25389949833681
1974-12, 28.74380256, 0.425946145669705
1975-01, 54.93308976, 1.71082575410724
1975-02, 78.33370464, 2.85888956564206
1975-03, 20.8468651104, 0.0385123900042291
1975-04, 3.21500708063999, -0.82652890219651
1975-05, 41.4095849856, 1.04734547736133
1975-06, 11.998806912, -0.39558455454311
1975-07, 6.20498719036799, -0.679836690099064
1975-08, 0.902722751999991, -0.939972500721758
1975-09, 20.25185827392, 0.00932060081058971
1975-10, 52.47271584, 1.59011669261971
1975-11, 89.657475264, 3.41444809819355
1975-12, 19.518405408, -0.026663525980409
1976-01, 23.881645152, 0.187402543514977
1976-02, 14.80434246432, -0.257941426099258
1976-03, 24.225276096, 0.204261512963131
1976-04, 5.24629228319999, -0.72687147678593
1976-05, 45.02957184, 1.22494661848862
1976-06, 44.503667136, 1.19914506745783
1976-07, 9.74647682665919, -0.506086721937905
1976-08, 6.57634541759999, -0.661617385008702
1976-09, 18.2684670624, -0.087987084724138
1976-10, 60.61094784, 1.98938866461648
1976-11, 31.99500864, 0.585454434807874
1976-12, 33.928943904, 0.680335748903045
1977-01, 2.72819879999999, -0.850412333167204
1977-02, 24.1619882688, 0.20115653198329
1977-03, 3.40597275839999, -0.817159884117038
1977-04, 3.78375667199999, -0.798625326712957
1977-05, 31.253075188128, 0.549054239726275
1977-06, 1.33778324718719, -0.918627881663063
1977-07, 4.27905244799999, -0.774325488467354
1977-08, 6.80710711679999, -0.650295923701023
1977-09, 9.44748489599999, -0.520755644839762
1977-10, 24.8549171328, 0.235152499901477
1977-11, 17.1361849104, -0.143538281554824
1977-12, 27.58945968, 0.369312621575278
1978-01, 11.6883590976, -0.410815517614398
1978-02, 1.48496855039999, -0.911406784222891
1978-03, 31.4677656, 0.55958722331742
1978-04, 22.21900995744, 0.105831554528277
1978-05, 15.11325841536, -0.242785618185082
1978-06, 7.33104492479999, -0.624590871079788
1978-07, 17.0388551808, -0.148313401393053
1978-08, 2.31019404479999, -0.870920176014733
1978-09, 3.91288760380799, -0.792289999606436
1978-10, 57.08568096, 1.81643460543108
1978-11, 100.04509152, 3.92407771146568
1978-12, 38.43897984, 0.901603825549549
1979-01, 5.23829464127999, -0.727263851230493
1979-02, 0.936597314879993, -0.938310571752219
1979-03, 14.9046061824, -0.253022361069221
1979-04, 13.0912510176, -0.341987862738408
1979-05, 18.988746624, -0.0526492569319341
1979-06, 31.387655952, 0.555656942498082
1979-07, 4.66576908479999, -0.755352680346488
1979-08, 4.63318617599999, -0.756951239130504
1979-09, 20.067512832, 0.000276379888402252
1979-10, 19.25893712736, -0.0393933685410223
1979-11, 57.843451296, 1.85361177811126
1979-12, 58.059608544, 1.86421672654114
1980-01, 28.203948576, 0.399460225290193
1980-02, 12.57358896, -0.367385019094464
1980-03, 8.187561216, -0.582569096739269
1980-04, 1.4227463808, -0.914459482690827
1980-05, 22.31067456, 0.110328736056947
1980-06, 22.31067456, 0.110328736056947
1980-07, 7.639746336, -0.609445588761956
1980-08, 2.025883872, -0.884868793276147
1980-09, 20.77266384, 0.0348719816750891
1980-10, 21.208233888, 0.0562416000403174
1980-11, 81.45415728, 3.0119829253663
1980-12, 71.45590176, 2.52145584307152
1981-01, 0.839773422719993, -0.943060874564811
1981-02, 0.136554076799993, -0.97756170656269
1981-03, 38.91524256, 0.924969877955397
1981-04, 87.6823488, 3.31754589164251
1981-05, 48.3491552256, 1.38780958486464
1981-06, 9.54335113919999, -0.516052325498364
1981-07, 5.65416719999999, -0.706860616643487
1981-08, 5.65416719999999, -0.706860616643487
1981-09, 9.59972083199999, -0.513286756956559
1981-10, 4.06195108991999, -0.784976756133818
1981-11, 16.680142944, -0.165912278172003
1981-12, 20.927697408, 0.0424781249284464
1982-01, 40.53955392, 1.00466065106729
1982-02, 2.38090689964799, -0.867450913771941
1982-03, 28.1183672592, 0.395261497467637
1982-04, 16.099154784, -0.194416293337702
1982-05, 62.524655136, 2.08327756897538
1982-06, 6.810556896, -0.650126673163051
1982-07, 2.0882566368, -0.881808706416915
1982-08, 1.1831859648, -0.926212620191538
1982-09, 16.075967616, -0.195553885174894
1982-10, 24.6506686128, 0.225131808754085
1982-11, 28.596256416, 0.418707344923376
1982-12, 43.32460501728, 1.14129878619575
1983-01, 20.115506254752, 0.0026309980100122
1983-02, 4.63892832, -0.756669522271318
1983-03, 5.000126976, -0.738948658616447
1983-04, 48.047643072, 1.37301701663252
1983-05, 59.79737088, 1.94947354826316
1983-06, 37.1131623792, 0.836557541285182
1983-07, 1.169423136, -0.926887842008173
1983-08, 9.7422600096, -0.506293604324986
1983-09, 14.659785386208, -0.265033579486366
1983-10, 9.89798078592, -0.498653745760846
1983-11, 1.4633415936, -0.912467830122028
1983-12, 69.748993728, 2.43771277259211
1984-01, 13.390961943744, -0.327283665007194
1984-02, 12.813842736, -0.355597864473756
1984-03, 3.6804461184, -0.803693873353548
1984-04, 34.263841536, 0.696766251000514
1984-05, 4.613154336, -0.757934026578628
1984-06, 2.1244408704, -0.880033462075802
1984-07, 6.62733966528, -0.659115542614471
1984-08, 3.5554082112, -0.809828391487473
1984-09, 7.161664979808, -0.632900865763357
1984-10, 10.94825376, -0.44712602309383
1984-11, 24.5738529216, 0.221363133628368
1984-12, 31.83296544, 0.577504390128308
1985-01, 5.1392468736, -0.732123260193455
1985-02, 0.0147961468799972, -0.983535304855956
1985-03, 9.73988928, -0.506409915322566
1985-04, 12.358303488, -0.377947197089352
1985-05, 14.201369044128, -0.287524065982429
1985-06, 19.630972512, -0.0211408412503539
1985-07, 3.2587023168, -0.824385158554344
1985-08, 1.2987652104, -0.920542155978597
1985-09, 7.78927968, -0.602109293466104
1985-10, 6.65727655679999, -0.657646800790369
1985-11, 3.451242168, -0.814938909531634
1985-12, 1.6536688704, -0.903130132802424
1986-01, 16.823667168, -0.158870797916121
1986-02, 82.363726368, 3.05660753712879
1986-03, 36.551304864, 0.808992099789399
1986-04, 16.9351332768, -0.153402129405395
1986-05, 5.0160909312, -0.738165446750089
1986-06, 17.04510216, -0.148006916679394
1986-07, 1.9187074149408, -0.890127006038041
1986-08, 15.8498327232, -0.206648349499029
1986-09, 9.61383168, -0.512594460877077
1986-10, 46.66477392, 1.30517170412084
1986-11, 24.7676570208, 0.230871408259595
1986-12, 66.36598704, 2.27173817865131
1987-01, 37.477756944, 0.854445012527953
1987-02, 27.536163408, 0.366697838951544
1987-03, 47.642068944, 1.3531190361034
1987-04, 55.12288896, 1.72013754331003
1987-05, 33.1989735456, 0.64452247834286
1987-06, 7.63663976352, -0.609598001143446
1987-07, 6.767117568, -0.652257861626685
1987-08, 18.2710729512, -0.0878592365182893
1987-09, 0.260671962239997, -0.971472325861857
1987-10, 5.67254200896, -0.705959125237426
1987-11, 24.999510384, 0.242246427986109
1987-12, 19.618918416, -0.0217322304710788
1988-01, 1.0524053952, -0.932628880618011
1988-02, 8.40900715488, -0.571704678434741
1988-03, 12.272750208, -0.382144549390981
1988-04, 26.65218847968, 0.323328909087412
1988-05, 40.30332902784, 0.993071158591843
1988-06, 4.196357516736, -0.77838260655884
1988-07, 2.8784740608, -0.843039638493232
1988-08, 3.8760005088, -0.794099727218658
1988-09, 17.6160972096, -0.119993176169884
1988-10, 22.121470656, 0.101046152830078
1988-11, 4.3815384, -0.769297397825921
1988-12, 14.391953856, -0.27817373366593
1989-01, 19.900215648, -0.00793143190231426
1989-02, 28.62277605792, 0.420008432152893
1989-03, 9.5479670592, -0.515825862615396
1989-04, 19.686671136, -0.0184081961940336
1989-05, 9.448268544, -0.520717198076102
1989-06, 9.03089088, -0.541194275034916
1989-07, 1.54664155296, -0.90838102858566
1989-08, 13.158248256, -0.338700893345755
1989-09, 21.29819184, 0.0606550511304107
1989-10, 39.09788352, 0.933930474835233
1989-11, 19.3123666368, -0.0367720491196873
