"Description: ","Monthly number of days when TM < 10 degrees_C"
"Station: ","final_1971_2005_Madrid_rcp85"
"Latitude: ","40.38"
"Longitude: ","-3.69"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-02"
time, tmlt10, normalised (all years)
1971-01, 29, 2.12049297215451
1971-02, 23, 1.52717077260392
1971-03, 7, -0.0550217595309731
1971-04, 2, -0.549456925823128
1971-05, 0, -0.74723099233999
1971-06, 0, -0.74723099233999
1971-07, 0, -0.74723099233999
1971-08, 0, -0.74723099233999
1971-09, 0, -0.74723099233999
1971-10, 3, -0.450569892564697
1971-11, 14, 0.637187473278044
1971-12, 25, 1.72494483912078
1972-01, 31, 2.31826703867137
1972-02, 23, 1.52717077260392
1972-03, 13, 0.538300440019613
1972-04, 16, 0.834961539794906
1972-05, 0, -0.74723099233999
1972-06, 0, -0.74723099233999
1972-07, 0, -0.74723099233999
1972-08, 0, -0.74723099233999
1972-09, 0, -0.74723099233999
1972-10, 0, -0.74723099233999
1972-11, 19, 1.1316226395702
1972-12, 31, 2.31826703867137
1973-01, 31, 2.31826703867137
1973-02, 15, 0.736074506536475
1973-03, 7, -0.0550217595309731
1973-04, 3, -0.450569892564697
1973-05, 2, -0.549456925823128
1973-06, 0, -0.74723099233999
1973-07, 0, -0.74723099233999
1973-08, 0, -0.74723099233999
1973-09, 0, -0.74723099233999
1973-10, 1, -0.648343959081559
1973-11, 11, 0.340526373502751
1973-12, 26, 1.82383187237922
1974-01, 30, 2.21938000541294
1974-02, 23, 1.52717077260392
1974-03, 21, 1.32939670608706
1974-04, 9, 0.142752306985889
1974-05, 0, -0.74723099233999
1974-06, 0, -0.74723099233999
1974-07, 0, -0.74723099233999
1974-08, 0, -0.74723099233999
1974-09, 0, -0.74723099233999
1974-10, 4, -0.351682859306266
1974-11, 18, 1.03273560631177
1974-12, 28, 2.02160593889608
1975-01, 30, 2.21938000541294
1975-02, 18, 1.03273560631177
1975-03, 19, 1.1316226395702
1975-04, 0, -0.74723099233999
1975-05, 0, -0.74723099233999
1975-06, 0, -0.74723099233999
1975-07, 0, -0.74723099233999
1975-08, 0, -0.74723099233999
1975-09, 0, -0.74723099233999
1975-10, 4, -0.351682859306266
1975-11, 17, 0.933848573053337
1975-12, 26, 1.82383187237922
1976-01, 29, 2.12049297215451
1976-02, 26, 1.82383187237922
1976-03, 13, 0.538300440019613
1976-04, 0, -0.74723099233999
1976-05, 0, -0.74723099233999
1976-06, 0, -0.74723099233999
1976-07, 0, -0.74723099233999
1976-08, 0, -0.74723099233999
1976-09, 0, -0.74723099233999
1976-10, 2, -0.549456925823128
1976-11, 8, 0.0438652737274579
1976-12, 21, 1.32939670608706
1977-01, 29, 2.12049297215451
1977-02, 22, 1.42828373934549
1977-03, 13, 0.538300440019613
1977-04, 4, -0.351682859306266
1977-05, 0, -0.74723099233999
1977-06, 0, -0.74723099233999
1977-07, 0, -0.74723099233999
1977-08, 0, -0.74723099233999
1977-09, 0, -0.74723099233999
1977-10, 6, -0.153908792789404
1977-11, 13, 0.538300440019613
1977-12, 27, 1.92271890563765
1978-01, 30, 2.21938000541294
1978-02, 22, 1.42828373934549
1978-03, 5, -0.252795826047835
1978-04, 6, -0.153908792789404
1978-05, 0, -0.74723099233999
1978-06, 0, -0.74723099233999
1978-07, 0, -0.74723099233999
1978-08, 0, -0.74723099233999
1978-09, 0, -0.74723099233999
1978-10, 2, -0.549456925823128
1978-11, 5, -0.252795826047835
1978-12, 28, 2.02160593889608
1979-01, 25, 1.72494483912078
1979-02, 26, 1.82383187237922
1979-03, 17, 0.933848573053337
1979-04, 1, -0.648343959081559
1979-05, 0, -0.74723099233999
1979-06, 0, -0.74723099233999
1979-07, 0, -0.74723099233999
1979-08, 0, -0.74723099233999
1979-09, 0, -0.74723099233999
1979-10, 0, -0.74723099233999
1979-11, 16, 0.834961539794906
1979-12, 25, 1.72494483912078
1980-01, 30, 2.21938000541294
1980-02, 25, 1.72494483912078
1980-03, 14, 0.637187473278044
1980-04, 2, -0.549456925823128
1980-05, 0, -0.74723099233999
1980-06, 0, -0.74723099233999
1980-07, 0, -0.74723099233999
1980-08, 0, -0.74723099233999
1980-09, 0, -0.74723099233999
1980-10, 0, -0.74723099233999
1980-11, 17, 0.933848573053337
1980-12, 28, 2.02160593889608
1981-01, 31, 2.31826703867137
1981-02, 28, 2.02160593889608
1981-03, 6, -0.153908792789404
1981-04, 1, -0.648343959081559
1981-05, 0, -0.74723099233999
1981-06, 0, -0.74723099233999
1981-07, 0, -0.74723099233999
1981-08, 0, -0.74723099233999
1981-09, 0, -0.74723099233999
1981-10, 0, -0.74723099233999
1981-11, 19, 1.1316226395702
