"Description: ","Monthly number of days when TN < 2 degrees_C"
"Station: ","final_1971_2005_Madrid_rcp85"
"Latitude: ","40.38"
"Longitude: ","-3.69"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-02"
time, tnlt2, normalised (all years)
1971-01, 22, 2.76647802607245
1971-02, 17, 2.00941636226986
1971-03, 0, -0.564593294658929
1971-04, 0, -0.564593294658929
1971-05, 0, -0.564593294658929
1971-06, 0, -0.564593294658929
1971-07, 0, -0.564593294658929
1971-08, 0, -0.564593294658929
1971-09, 0, -0.564593294658929
1971-10, 0, -0.564593294658929
1971-11, 3, -0.110356296377377
1971-12, 8, 0.646705367425209
1972-01, 28, 3.67495202263555
1972-02, 11, 1.10094236570676
1972-03, 5, 0.192468369143657
1972-04, 1, -0.413180961898411
1972-05, 0, -0.564593294658929
1972-06, 0, -0.564593294658929
1972-07, 0, -0.564593294658929
1972-08, 0, -0.564593294658929
1972-09, 0, -0.564593294658929
1972-10, 0, -0.564593294658929
1972-11, 2, -0.261768629137894
1972-12, 23, 2.91789035883297
1973-01, 29, 3.82636435539607
1973-02, 11, 1.10094236570676
1973-03, 3, -0.110356296377377
1973-04, 0, -0.564593294658929
1973-05, 0, -0.564593294658929
1973-06, 0, -0.564593294658929
1973-07, 0, -0.564593294658929
1973-08, 0, -0.564593294658929
1973-09, 0, -0.564593294658929
1973-10, 0, -0.564593294658929
1973-11, 3, -0.110356296377377
1973-12, 8, 0.646705367425209
1974-01, 26, 3.37212735711452
1974-02, 21, 2.61506569331193
1974-03, 10, 0.949530032946243
1974-04, 0, -0.564593294658929
1974-05, 0, -0.564593294658929
1974-06, 0, -0.564593294658929
1974-07, 0, -0.564593294658929
1974-08, 0, -0.564593294658929
1974-09, 0, -0.564593294658929
1974-10, 0, -0.564593294658929
1974-11, 7, 0.495293034664692
1974-12, 27, 3.52353968987504
1975-01, 22, 2.76647802607245
1975-02, 18, 2.16082869503038
1975-03, 6, 0.343880701904175
1975-04, 0, -0.564593294658929
1975-05, 0, -0.564593294658929
1975-06, 0, -0.564593294658929
1975-07, 0, -0.564593294658929
