"Description: ","Monthly warmest daily TN"
"Station: ","final_1971_2005_Madrid_rcp85"
"Latitude: ","40.38"
"Longitude: ","-3.69"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-02"
time, tnx, normalised (all years)
1971-01, 9.60980000000001, -1.16259259967147
1971-02, 7.26990000000001, -1.55611810491482
1971-03, 11.8408, -0.787381948704377
1971-04, 10.2875, -1.04861668834902
1971-05, 14.141, -0.400533208518577
1971-06, 19.1037, 0.434096059771167
1971-07, 22.8849, 1.07002009089479
1971-08, 23.3562, 1.14928355113719
1971-09, 22.3269, 0.976175383033001
1971-10, 13.5565, -0.498834699101396
1971-11, 12.0654, -0.749608612887609
1971-12, 10.5781, -0.999743440849673
1972-01, 2.49090000000001, -2.3598526190214
1972-02, 13.2036, -0.558185590507174
1972-03, 16.2758, -0.0415015197312346
1972-04, 10.8716, -0.950382469958215
1972-05, 14.8165, -0.286927294252206
1972-06, 20.241, 0.625367719719567
1972-07, 21.6832, 0.867917608031871
1972-08, 19.9735, 0.580379441309124
1972-09, 18.4942, 0.331590057187372
1972-10, 14.7246, -0.302383080367793
1972-11, 11.0286, -0.923978134592086
1972-12, 8.7414, -1.30864052853738
1973-01, 3.2604, -2.23043773963136
1973-02, 10.5313, -1.0076142873155
1973-03, 15.3022, -0.205242035097244
1973-04, 14.1604, -0.39727050720582
1973-05, 14.1786, -0.39420962246911
1973-06, 21.002, 0.753353065029276
1973-07, 23.261, 1.13327276943747
1973-08, 24.3661, 1.31912901792861
1973-09, 18.7178, 0.369195212524101
1973-10, 15.2617, -0.212053344538825
1973-11, 14.4508, -0.348430895802483
1973-12, 10.0453, -1.08935000061447
1974-01, 7.221, -1.56434213038873
1974-02, 3.49950000000001, -2.19022578685402
1974-03, 8.16730000000001, -1.40519294212779
1974-04, 9.98869999999999, -1.09886901578468
1974-05, 17.286, 0.128394401204204
1974-06, 19.781, 0.548004698901609
1974-07, 21.6319, 0.859289949405868
1974-08, 21.2476, 0.794658190926865
1974-09, 19.1675, 0.444825974397658
1974-10, 13.1728, -0.563365549292376
1974-11, 8.17380000000003, -1.40409976900753
1974-12, 9.15410000000003, -1.23923244442526
1975-01, 6.96260000000001, -1.60779996643082
1975-02, 12.0286, -0.755797654553045
1975-03, 11.2306, -0.8900056776242
1975-04, 12.9503, -0.600785706101062
1975-05, 13.8906, -0.442645600720353
1975-06, 19.3521, 0.475872091012864
1975-07, 23.6033, 1.19084094775483
1975-08, 22.0118000000001, 0.923181713772716
1975-09, 19.2771, 0.463258555009937
1975-10, 15.5206, -0.168511418256718
1975-11, 12.5472, -0.668579257604799
1975-12, 10.4761, -1.01689784981366
1976-01, 9.59530000000001, -1.16503121663204
1976-02, 7.14070000000004, -1.57784702293586
1976-03, 8.48990000000003, -1.35093791926719
1976-04, 15.5977, -0.155544703245708
1976-05, 14.8374, -0.28341232221939
1976-06, 16.9968, 0.0797566063769133
1976-07, 24.2804, 1.30471595078927
1976-08, 21.4761, 0.833087430615785
1976-09, 17.6469, 0.189090736450293
1976-10, 15.4067, -0.187667174933164
1976-11, 13.8775, -0.444848765008865
1976-12, 11.6863, -0.813365832870409
1977-01, 7.57410000000004, -1.50495760288694
1977-02, 10.3799, -1.03307681199341
1977-03, 9.6515, -1.15557947365385
1977-04, 13.4995, -0.508420986463622
1977-05, 13.5352, -0.502416943326228
1977-06, 22.4089, 0.989966182396202
1977-07, 22.2061, 0.955859181044285
1977-08, 21.2039, 0.787308703949159
1977-09, 19.0817, 0.430396089210308
1977-10, 14.5424, -0.333025563830907
1977-11, 12.7898, -0.627778673147328
1977-12, 9.9565, -1.10428442724194
1978-01, 7.6026, -1.50016445920584
1978-02, 6.97110000000004, -1.60637043235048
1978-03, 10.2745, -1.05080303458953
1978-04, 13.8292, -0.45297188219475
1978-05, 15.9931, -0.0890461414382712
1978-06, 21.1969, 0.786131440588885
1978-07, 21.9621, 0.914823143914759
1978-08, 22.7266, 1.04339712090461
1978-09, 18.8402, 0.38978050328088
1978-10, 16.1559, -0.0616663592879157
1978-11, 11.8746, -0.781697448479058
1978-12, 10.4887, -1.01477877576516
1979-01, 10.6273, -0.991468961231753
1979-02, 9.0344, -1.25936364788594
1979-03, 10.7699, -0.967486424778185
1979-04, 11.1832, -0.89797743237805
1979-05, 18.7079, 0.367530225771715
1979-06, 20.1749, 0.614250989988987
1979-07, 21.6631, 0.864537180383086
1979-08, 22.4015, 0.988721646843913
1979-09, 19.8974, 0.567580906778153
1979-10, 15.7915, -0.122951326214142
1979-11, 12.9897, -0.594159395187524
1979-12, 11.3726, -0.866124049458656
1980-01, 9.34640000000002, -1.20689133811376
1980-02, 7.3596, -1.54103231585532
1980-03, 10.6724, -0.983884021581992
1980-04, 8.97480000000002, -1.26938720449626
1980-05, 20.2833, 0.632481754025219
1980-06, 20.6046, 0.686518142261762
1980-07, 22.4929, 1.00409334271948
1980-08, 21.0365, 0.759155291590624
1980-09, 20.1145, 0.604092888994629
1980-10, 15.3927, -0.190021701653711
1980-11, 13.0433, -0.585144921457432
1980-12, 8.3347, -1.37703952976926
1981-01, 6.21450000000004, -1.73361578354802
1981-02, 4.49850000000004, -2.02221348729501
1981-03, 10.3982, -1.0299991092087
1981-04, 12.6877, -0.644949900159314
1981-05, 12.617, -0.656840260098074
1981-06, 20.3964, 0.651502966317634
1981-07, 22.4467, 0.996323404541678
1981-08, 23.4048, 1.15745712246708
1981-09, 20.426, 0.656481108526789
1981-10, 15.2734, -0.210085632922368
1981-11, 9.49760000000003, -1.18146244953185
1981-12, 13.2766, -0.545908415464324
1982-01, 12.3815, -0.696446763147268
1982-02, 5.7835, -1.80610157044485
1982-03, 9.48250000000002, -1.18400197478044
1982-04, 11.6795, -0.814509460134674
1982-05, 15.6659, -0.144074794507045
1982-06, 19.4396, 0.49058788301628
1982-07, 22.4913, 1.00382425395142
1982-08, 21.1909, 0.785122357708651
1982-09, 20.8486, 0.727554179391288
1982-10, 16.293, -0.0386088154745633
1982-11, 10.5335, -1.00724429025941
1982-12, 6.8349, -1.62927661373181
1983-01, 10.4917, -1.01427423432505
1983-02, 6.36160000000001, -1.70887643493428
1983-03, 15.2833, -0.208420646169982
1983-04, 15.5886, -0.157075145614063
1983-05, 15.4492, -0.180519504531505
1983-06, 18.7777, 0.37926922327844
1983-07, 21.3244, 0.807574451793863
1983-08, 20.6154, 0.688334491446184
1983-09, 19.0527, 0.425518855289176
1983-10, 15.0284, -0.251289850531933
1983-11, 8.93220000000002, -1.27655169294593
1983-12, 8.99310000000003, -1.26630950171155
1984-01, 5.24120000000005, -1.89730584477002
1984-02, 8.93210000000005, -1.27656851099392
1984-03, 8.75800000000004, -1.30584873256872
1984-04, 11.042, -0.921724516159563
1984-05, 12.7974, -0.626500501499032
1984-06, 22.0436, 0.928529853037941
1984-07, 22.5645, 1.01613506509028
1984-08, 22.5639, 1.01603415680225
1984-09, 18.8085, 0.384449182063642
1984-10, 11.2485, -0.886995247031501
1984-11, 11.8582, -0.784455608351698
1984-12, 9.83100000000002, -1.12539107748684
1985-01, 9.89420000000001, -1.11476207114837
1985-02, 6.33210000000003, -1.71383775909543
1985-03, 11.1813, -0.898296975290124
1985-04, 12.9771, -0.596278469236016
1985-05, 15.1243, -0.235161342496189
1985-06, 20.2518, 0.627184068903989
1985-07, 25.368, 1.48762904087973
1985-08, 20.1861, 0.616134611365424
1985-09, 20.4565, 0.66161061316798
1985-10, 15.6682, -0.143687979402955
1985-11, 8.21610000000004, -1.39698573470188
1985-12, 6.30770000000001, -1.71794136280839
1986-01, 7.71550000000002, -1.48117688300943
1986-02, 11.3617, -0.867957216691081
1986-03, 12.2024, -0.72656788712226
1986-04, 10.6872, -0.981394950477414
1986-05, 19.1362, 0.439561925372435
1986-06, 20.2721, 0.630598132648781
1986-07, 23.6087, 1.19174912234704
1986-08, 23.4394, 1.16327616707643
1986-09, 18.8372, 0.389275961840763
1986-10, 17.3614, 0.141075209399147
1986-11, 10.209, -1.06181885603208
1986-12, 11.1811, -0.898330611386132
1987-01, 10.2157, -1.06069204681582
1987-02, 9.66160000000002, -1.15388085080545
1987-03, 10.5924, -0.997338459985115
1987-04, 13.9723, -0.428905255501163
1987-05, 14.4564, -0.347489085114264
1987-06, 20.6997, 0.702512105913475
1987-07, 23.1051, 1.10705343259938
1987-08, 20.7224000000001, 0.706329802810378
1987-09, 19.6399, 0.5242744331681
1987-10, 15.5851, -0.1576637772942
1987-11, 8.61520000000002, -1.3298649051183
1987-12, 7.87040000000002, -1.45512572665138
1988-01, 10.4136, -1.0274091298161
1988-02, 7.54200000000003, -1.5103561962962
1988-03, 11.4187, -0.858370929328856
1988-04, 15.0365, -0.249927588643617
1988-05, 15.1824, -0.225390056605921
1988-06, 21.9885, 0.919263108587789
1988-07, 22.0461, 0.928950304238038
1988-08, 21.2989, 0.803285849552868
1988-09, 19.8758, 0.56394820840931
1988-10, 14.9816, -0.25916069699776
1988-11, 6.33870000000002, -1.71272776792718
1988-12, 12.3102, -0.708438031374052
1989-01, 7.85920000000004, -1.45700934802781
1989-02, 10.6805, -0.982521759693676
1989-03, 12.866, -0.614963320568354
1989-04, 12.1888, -0.728855141650791
1989-05, 15.4997, -0.172026390289534
1989-06, 19.8005, 0.55128421826237
1989-07, 21.7019, 0.871062583008601
1989-08, 25.5826, 1.5237205718961
1989-09, 19.402, 0.484264296966813
1989-10, 15.3473, -0.197657095447483
1989-11, 12.1656, -0.732756928787697
1989-12, 8.92350000000005, -1.27801486312226
1990-01, 10.1899, -1.06503110320083
1990-02, 9.53020000000004, -1.17597976588258
1990-03, 8.42070000000001, -1.3625760084859
1990-04, 12.289, -0.71200345755088
1990-05, 17.134, 0.10283096823827
1990-06, 20.1114, 0.603571529506507
1990-07, 23.7073, 1.20833171767889
1990-08, 22.5268, 1.00979466099281
1990-09, 17.7442, 0.205454697158092
1990-10, 16.6356, 0.019009816986812
1990-11, 13.6232, -0.487617061082792
1990-12, 11.1105, -0.910204153276888
1991-01, 9.3666, -1.20349409241697
1991-02, 9.91630000000004, -1.1110452825395
1991-03, 10.986, -0.931142623041749
1991-04, 12.6592, -0.649743043840427
1991-05, 18.2794, 0.295464890074986
1991-06, 18.8093, 0.384583726447673
1991-07, 22.6612, 1.03239811751005
1991-08, 22.2586, 0.964688656246335
