"Description: ","Value of 95th percentile of TX"
"Station: ","final_1971_2005_Madrid_rcp85"
"Latitude: ","40.38"
"Longitude: ","-3.69"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-02"
time, tx95t, normalised (all years)
NA, 13.85399, -1.54610745196922
NA, 13.85399, -1.54610745196922
NA, 13.85399, -1.54610745196922
NA, 13.83768, -1.54806911145684
NA, 13.7628, -1.55707518518053
NA, 14.16182, -1.50908368495049
NA, 14.94234, -1.41520787481677
NA, 15.61554, -1.33423980816632
NA, 15.87007, -1.30362661445785
NA, 15.61554, -1.33423980816632
NA, 14.68624, -1.44600989779536
NA, 14.67777, -1.44702861366661
NA, 14.68624, -1.44600989779536
NA, 15.16095, -1.38891490237106
NA, 14.90609, -1.41956778630828
NA, 14.95989, -1.41309707628779
NA, 14.95989, -1.41309707628779
NA, 14.95989, -1.41309707628779
NA, 15.0432, -1.40307709762966
NA, 15.39281, -1.36102830710431
NA, 15.39281, -1.36102830710431
NA, 15.03585, -1.40396110727001
NA, 15.1697, -1.38786250994207
NA, 16.15661, -1.26916346856061
NA, 16.32696, -1.24867489138606
NA, 16.36358, -1.24427047872899
NA, 16.36358, -1.24427047872899
NA, 16.36358, -1.24427047872899
NA, 16.1511, -1.26982617510732
NA, 16.08284, -1.27803603878759
NA, 15.9336, -1.29598564405633
NA, 15.97394, -1.29113381427517
NA, 16.49636, -1.22830057396095
NA, 17.15175, -1.1494745769288
NA, 17.15175, -1.1494745769288
NA, 17.28825, -1.13305725503666
NA, 17.53131, -1.10382359746081
NA, 17.55888, -1.10050765925886
NA, 18.43992, -0.994541964900992
NA, 18.43992, -0.994541964900992
NA, 18.43992, -0.994541964900992
NA, 18.38472, -1.00118105771012
NA, 18.13987, -1.03063000470858
NA, 18.01352, -1.0458265513831
NA, 17.93945, -1.05473520363622
NA, 17.7771, -1.07426159344712
NA, 17.94232, -1.05439001891951
NA, 18.22565, -1.02031295070193
NA, 18.81578, -0.949335997088691
NA, 19.3452, -0.885660842831287
NA, 19.4592, -0.871949672899391
NA, 19.5342, -0.862929166365249
NA, 19.44234, -0.873977482768266
NA, 18.87564, -0.942136430140241
NA, 18.66932, -0.966951242248563
NA, 19.18896, -0.90445236204321
NA, 19.3012, -0.890952873331316
NA, 20.37093, -0.762292787267749
NA, 20.93844, -0.694036418425205
NA, 21.35736, -0.643651477128103
NA, 21.59423, -0.615162312024874
NA, 21.65653, -0.607669277930513
NA, 22.32159, -0.527680236922562
NA, 22.74658, -0.476565235963296
NA, 23.18248, -0.424138051986864
NA, 23.29705, -0.410358326205309
NA, 23.86012, -0.342635971349586
NA, 24.32261, -0.287010717123249
NA, 24.32261, -0.287010717123249
NA, 24.47035, -0.269241521985194
NA, 23.19145, -0.423059199405381
NA, 23.11148, -0.432677464839185
NA, 22.92362, -0.455272029605903
NA, 22.92362, -0.455272029605903
NA, 22.51248, -0.504721243691864
NA, 22.45947, -0.511096937710195
NA, 23.09974, -0.434089474795329
NA, 23.08021, -0.436438414696819
NA, 23.20241, -0.421741002717191
NA, 23.59086, -0.375020792541359
NA, 23.71339, -0.360283690332981
NA, 23.86554, -0.341984089410718
NA, 24.03309, -0.321832277813445
NA, 24.06748, -0.31769607488399
NA, 24.33398, -0.285643208332673
NA, 25.11909, -0.191215343199072
NA, 25.19092, -0.182576103407774
NA, 25.21504, -0.179675108506394
NA, 25.23959, -0.176722396034218
NA, 25.45918, -0.150311555636455
NA, 26.31736, -0.0470953116701905
NA, 26.94981, 0.0289716130967158
NA, 27.0546, 0.0415750648262189
NA, 27.14233, 0.0521266520027558
NA, 27.46699, 0.0911746206877486
NA, 27.30768, 0.0720138620750271
NA, 26.1347, -0.069064454650542
NA, 26.073, -0.0764853246926292
NA, 25.63677, -0.128952198897812
NA, 26.16362, -0.0655861473309766
NA, 26.63658, -0.00870163039247413
NA, 28.07921, 0.164808414158846
NA, 28.68049, 0.237126416410163
NA, 28.64179, 0.232471835038546
NA, 28.64179, 0.232471835038546
NA, 27.09724, 0.0467035234744295
NA, 26.5769, -0.0158795481252419
NA, 26.13857, -0.06859899651338
NA, 25.44405, -0.152131292487942
NA, 26.09952, -0.0732956735821569
NA, 26.47716, -0.0278756190814456
NA, 26.64457, -0.00774064576303652
NA, 27.32303, 0.0738600590790146
NA, 27.51432, 0.0968671616778947
NA, 27.71762, 0.121318748056442
NA, 29.28316, 0.309611598715913
NA, 29.28316, 0.309611598715913
NA, 29.28748, 0.31013117989228
NA, 28.50077, 0.21551087728595
NA, 27.81501, 0.133032176474576
NA, 26.89265, 0.0220967843834953
NA, 26.82228, 0.0136331437860611
NA, 26.82182, 0.0135778180126516
NA, 27.4059, 0.083827117432139
NA, 27.49773, 0.0948718256325424
NA, 27.57918, 0.10466809572862
NA, 27.60005, 0.107178202013521
NA, 28.21342, 0.180950309918142
NA, 28.61065, 0.22872652072557
NA, 29.28075, 0.309321739772616
NA, 30.68504, 0.478220501383683
NA, 30.884, 0.502150101117454
NA, 31.17149, 0.536727506764127
NA, 31.8104, 0.613571397827174
NA, 30.85109, 0.498191902850273
NA, 31.07538, 0.525168028324175
NA, 31.13216, 0.531997153137623
NA, 31.2204, 0.542610079758592
NA, 31.25397, 0.546647658483273
NA, 31.86555, 0.620204476965279
NA, 33.19616, 0.780241492957205
NA, 33.53389, 0.820861435247548
NA, 33.67749, 0.838132698424918
NA, 33.55639, 0.823567587207791
NA, 33.58241, 0.826697101608036
NA, 33.41883, 0.80702277548997
NA, 33.06453, 0.764409902622684
NA, 33.06453, 0.764409902622684
NA, 33.5717, 0.82540897327496
NA, 33.6862, 0.839180279917083
NA, 34.1767, 0.898174392650371
NA, 34.74104, 0.966049494750072
NA, 34.76732, 0.969210280239635
NA, 34.83915, 0.977849520030934
NA, 35.76308, 1.08897374139213
NA, 36.02998, 1.12107471731163
NA, 35.47959, 1.05487742942728
NA, 35.76209, 1.08885467070588
NA, 35.54897, 1.06322199933846
NA, 35.32812, 1.03665961443093
NA, 35.32812, 1.03665961443093
NA, 35.53214, 1.0611977976722
NA, 35.66059, 1.07664691852967
NA, 36.26917, 1.14984291675031
NA, 36.45906, 1.17268163656056
NA, 36.84964, 1.21965802912196
NA, 37.11246, 1.251268289486
NA, 37.63554, 1.31418091025772
NA, 37.86652, 1.34196166491447
NA, 37.98506, 1.35621887617523
NA, 37.9236, 1.34882687175405
NA, 37.71762, 1.32405295260868
NA, 36.47947, 1.17513641707205
NA, 36.31351, 1.1551758402133
NA, 36.12953, 1.13304793631795
NA, 36.24455, 1.14688178513871
NA, 36.4171, 1.16763496383826
NA, 37.3477, 1.27956140891389
NA, 38.02581, 1.36112001805878
NA, 37.80162, 1.33415591992692
NA, 37.79079, 1.33285335878339
NA, 37.74406, 1.32723298184552
NA, 37.16893, 1.25806012953911
NA, 37.11194, 1.25120574730736
NA, 37.09322, 1.24895422887644
NA, 37.09151, 1.24874856132746
NA, 37.0347, 1.2419158283114
NA, 37.09151, 1.24874856132746
NA, 37.10896, 1.25084733251441
NA, 37.29771, 1.27354894062533
NA, 37.83031, 1.33760656435978
NA, 37.91776, 1.34812447497859
NA, 38.16727, 1.37813389611638
NA, 38.22913, 1.38557400990573
NA, 38.22511, 1.38509051075551
NA, 38.22511, 1.38509051075551
NA, 37.73808, 1.3265137467912
NA, 37.56944, 1.30623083716563
NA, 37.56944, 1.30623083716563
NA, 37.69514, 1.32134920611685
NA, 37.97019, 1.35443041041306
NA, 38.02243, 1.36071349389764
NA, 38.27123, 1.3906375209069
NA, 38.38812, 1.40469628102391
NA, 38.34063, 1.39898449628649
NA, 38.06596, 1.36594899589006
NA, 38.10944, 1.37117848421145
NA, 38.03864, 1.36266312604322
NA, 38.01549, 1.35987879635968
NA, 38.10746, 1.37094034283895
NA, 38.1701, 1.37847426989626
NA, 38.23265, 1.38599737234574
NA, 38.23265, 1.38599737234574
NA, 38.09636, 1.36960530787189
NA, 38.03577, 1.36231794132651
NA, 38.34203, 1.39915287907513
NA, 38.49276, 1.41728169174035
NA, 38.36569, 1.4019985482031
NA, 38.18526, 1.38029761495036
NA, 38.36569, 1.4019985482031
NA, 37.47488, 1.29485778252738
NA, 37.26213, 1.26926961232553
NA, 37.73516, 1.32616254840347
NA, 38.25859, 1.38911726487235
NA, 38.27475, 1.3910608833469
NA, 38.53637, 1.4225268156064
NA, 38.53637, 1.4225268156064
NA, 38.26295, 1.38964165698553
NA, 38.02923, 1.36153135315674
NA, 38.0276, 1.36133530748139
NA, 37.79642, 1.33353049814055
NA, 37.70077, 1.32202634547401
NA, 37.37209, 1.28249487763879
NA, 37.097, 1.24940886240576
NA, 36.80455, 1.21423490059363
NA, 36.33126, 1.15731069342638
NA, 36.19787, 1.14126742187186
NA, 35.9386, 1.11008413215043
NA, 35.83994, 1.09821795648832
NA, 35.83994, 1.09821795648832
NA, 35.23554, 1.02552470116518
NA, 35.59471, 1.06872330559008
NA, 35.07568, 1.00629779217121
NA, 35.21383, 1.0229135652071
NA, 35.21383, 1.0229135652071
NA, 35.21383, 1.0229135652071
NA, 35.12601, 1.01235115342272
NA, 35.06684, 1.00523457513438
NA, 34.77549, 0.970192914084754
NA, 34.68671, 0.95951503981674
NA, 34.64686, 0.954722144011599
NA, 34.15586, 0.895667894568084
NA, 33.42064, 0.807240470380994
NA, 33.27719, 0.789987248216692
NA, 33.27719, 0.789987248216692
NA, 33.11844, 0.770893842719425
NA, 33.13604, 0.773010654919438
NA, 33.17717, 0.77795750070276
NA, 33.37824, 0.802140877353692
NA, 33.15143, 0.774861662860243
NA, 32.98157, 0.754432019661719
NA, 32.01914, 0.638677271612997
NA, 31.52051, 0.578705335971409
NA, 31.2144, 0.541888439235861
NA, 31.31754, 0.554293439821612
NA, 31.21111, 0.541492739682563
NA, 31.30615, 0.552923525562627
NA, 30.97322, 0.51288089569047
NA, 30.3197, 0.434279809954571
NA, 29.95654, 0.390601314582052
NA, 29.80331, 0.372171818365698
NA, 29.96907, 0.392108340540356
NA, 29.88346, 0.381811733015184
