"Description: ","Monthly coldest daily TX"
"Station: ","final_1971_2005_Madrid_rcp85"
"Latitude: ","40.38"
"Longitude: ","-3.69"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-02"
time, txn, normalised (all years)
1971-01, 5.3614, -1.35810874038326
1971-02, 5.54950000000002, -1.33423949203327
1971-03, 10.3619, -0.7235623481763
1971-04, 11.5348, -0.57472533919329
1971-05, 18.0091, 0.246841245561337
1971-06, 19.4622, 0.431234678721207
1971-07, 25.631, 1.21403435560278
1971-08, 21.904, 0.741090769210349
1971-09, 14.9315, -0.143695696075727
1971-10, 11.6659, -0.558089196403903
1971-11, 3.92350000000005, -1.54057334539363
1971-12, 7.52910000000003, -1.0830350048794
1972-01, 2.06230000000005, -1.77675327643564
1972-02, 6.91720000000004, -1.16068302755542
1972-03, 8.23860000000002, -0.993001875138209
1972-04, 10.277, -0.734335868563936
1972-05, 15.5142, -0.069753053792156
1972-06, 17.2888, 0.155437632661292
1972-07, 25.088, 1.14512950789387
1972-08, 22.1035, 0.76640663867246
1972-09, 16.288, 0.0284395266077529
1972-10, 15.012, -0.133480520678734
1972-11, 6.75330000000002, -1.18148137845688
1972-12, 5.14870000000002, -1.3850996448173
1973-01, 6.8793, -1.16549240827028
1973-02, 10.9549, -0.64831267102827
1973-03, 10.4983, -0.706253653466366
1973-04, 11.0075000000001, -0.641637910458297
1973-05, 15.0051, -0.134356107141334
1973-06, 27.4033, 1.43893317990203
1973-07, 26.8365, 1.3670081933801
1973-08, 27.7384, 1.48145622680305
1973-09, 25.2148, 1.16121999535149
1973-10, 14.2802, -0.226343444349778
1973-11, 9.12420000000003, -0.880622256112414
1973-12, 8.01310000000001, -1.02161705590867
1974-01, 5.59790000000004, -1.32809769713619
1974-02, 6.27140000000003, -1.24263284459117
1974-03, 9.59500000000003, -0.820879342113606
1974-04, 11.4051, -0.591183826758383
1974-05, 15.5394, -0.0665552597548367
1974-06, 19.9232, 0.489734006149946
1974-07, 23.68, 0.966459110888093
1974-08, 26.0458, 1.26667106062976
1974-09, 15.7914, -0.0345773193816434
1974-10, 10.8974, -0.655609224883265
1974-11, 8.87569999999999, -0.912156058424873
1974-12, 4.0016, -1.53066272180972
1975-01, 3.8177, -1.55399900448683
1975-02, 2.95420000000001, -1.66357420890052
1975-03, 10.9369, -0.650596809626355
1975-04, 15.5229, -0.0686490534697482
1975-05, 16.1781, 0.0144935915005547
1975-06, 16.7697, 0.0895656134242897
1975-07, 25.7677, 1.23138111928935
1975-08, 25.452, 1.19131986621071
1975-09, 19.3514, 0.417174536684105
1975-10, 12.6598, -0.431966676812963
1975-11, 8.17720000000003, -1.00079332568945
1975-12, 4.29650000000004, -1.49324091777775
1976-01, 5.73940000000005, -1.31014182982346
1976-02, 10.6488000000001, -0.687155716854585
1976-03, 11.1287, -0.626258043897869
1976-04, 15.8013, -0.0333210431526965
1976-05, 16.0718, 0.00100448411297343
1976-06, 17.058, 0.126149899970288
1976-07, 18.8599, 0.354804863297499
1976-08, 25.693, 1.22190194410729
1976-09, 20.98, 0.623838321175306
1976-10, 10.0393, -0.764499187717539
1976-11, 10.3694, -0.722610623760432
1976-12, 8.39750000000004, -0.972838007180665
1977-01, 4.53680000000003, -1.46274766749332
1977-02, 5.25420000000003, -1.37171205470074
1977-03, 9.87260000000003, -0.78565284906758
1977-04, 12.0418, -0.510388768680556
1977-05, 14.5616, -0.190634744266378
1977-06, 19.5513, 0.442541164781729
1977-07, 27.8389, 1.49420933397569
1977-08, 26.9599, 1.38266723243586
1977-09, 19.831, 0.478034140664198
1977-10, 12.9754, -0.391918113393201
1977-11, 7.28400000000005, -1.11413735878999
1977-12, 3.66720000000004, -1.57309694109859
1978-01, 7.41410000000002, -1.09762811258939
