"Description: ","Monthly warmest daily TX"
"Station: ","final_1971_2005_Madrid_rcp85"
"Latitude: ","40.38"
"Longitude: ","-3.69"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-02"
time, txx, normalised (all years)
1971-01, 13.8502, -1.71709797031601
1971-02, 17.9636, -1.25110219238598
1971-03, 24.6103, -0.498115821702955
1971-04, 27.3271, -0.190337018406335
1971-05, 27.1306, -0.21259796321191
1971-06, 35.6786, 0.755781457643326
1971-07, 39.3781, 1.174887642418
1971-08, 37.8969, 1.00708656635685
1971-09, 38.0507, 1.02451014554818
1971-10, 25.0757, -0.445391935125272
1971-11, 19.486, -1.07863368158696
1971-12, 14.6843, -1.62260507432451
1972-01, 12.3723, -1.88452519844914
1972-02, 18.3452, -1.20787177743531
1972-03, 22.8401, -0.69865691327969
1972-04, 18.1806, -1.22651885893657
1972-05, 30.9194, 0.21662477306983
1972-06, 37.8898, 1.00628222687532
1972-07, 36.5197, 0.851067364391259
1972-08, 36.7874, 0.881394361462264
1972-09, 31.2538, 0.254508029777129
1972-10, 26.8205, -0.247728339721878
1972-11, 17.2151, -1.33589769969882
1972-12, 12.9933, -1.81417381562847
1973-01, 13.8214, -1.72036064314248
1973-02, 21.0926, -0.896626384260566
1973-03, 26.4617, -0.2883758053516
1973-04, 25.6944, -0.375301112981714
1973-05, 30.2986, 0.146296047699343
1973-06, 39.01, 1.13318660535474
1973-07, 38.7236, 1.10074113669155
1973-08, 37.5752, 0.970642057736218
1973-09, 35.5875, 0.745460989084609
1973-10, 28.8186, -0.0213690836607123
1973-11, 19.8882, -1.03306954926736
1973-12, 16.3231, -1.43694992751853
1974-01, 14.4613000000001, -1.64786813127943
1974-02, 21.5813, -0.841262904736472
1974-03, 23.1872, -0.659334908485721
1974-04, 22.4655, -0.741094317473932
1974-05, 33.5188, 0.511103653108564
1974-06, 35.6985, 0.758035873936613
1974-07, 37.8334, 0.999892825923492
1974-08, 36.1833, 0.812957533182123
1974-09, 33.8038, 0.543390519620467
1974-10, 28.4613000000001, -0.0618466184140438
1974-11, 19.8045, -1.04255169216927
1974-12, 12.8553, -1.82980745625528
1975-01, 14.6309, -1.62865461352358
1975-02, 20.6459, -0.947231799246063
1975-03, 24.5813, -0.501401151979604
1975-04, 31.1381, 0.241400694845806
1975-05, 28.6349, -0.0421799516545247
1975-06, 35.202, 0.701788753855351
1975-07, 39.4854, 1.18704336444161
1975-08, 37.3351, 0.943441788790576
1975-09, 31.7784, 0.313938521609214
1975-10, 26.5795, -0.275030567193347
1975-11, 20.6575, -0.945917667135404
1975-12, 15.701, -1.50742592631521
1976-01, 14.7755, -1.6122732770407
1976-02, 19.96, -1.02493552465138
1976-03, 20.399, -0.975202421497954
1976-04, 31.4797, 0.280099619759722
1976-05, 27.9596, -0.118682832200096
1976-06, 27.92, -0.123169007336486
1976-07, 35.8849, 0.779152617507906
1976-08, 36.9564, 0.900539906867568
1976-09, 32.3951, 0.383802769250934
1976-10, 25.7592, -0.367960099122166
1976-11, 19.357, -1.09324773695551
1976-12, 15.4653, -1.53412773135681
1977-01, 15.2492, -1.55860910628039
1977-02, 18.0035, -1.24658203107431
1977-03, 25.3094, -0.418916704585513
1977-04, 28.0972, -0.103094506473647
1977-05, 28.2945, -0.0807429318673372
1977-06, 38.9245, 1.12350054540116
1977-07, 40.1117, 1.25799516969215
1977-08, 36.5656, 0.85626724920844
1977-09, 32.1634, 0.357554113213012
1977-10, 22.8044, -0.702701268137497
1977-11, 20.7784, -0.932221238499302
1977-12, 18.184, -1.22613368228344
1978-01, 14.9942, -1.58749735526473
1978-02, 20.1446, -1.00402269813174
1978-03, 24.9089, -0.464288248578554
1978-04, 25.9357, -0.34796489933497
1978-05, 29.7903, 0.088712138057237
1978-06, 37.6328, 0.97716740338915
1978-07, 36.9223, 0.896676811611231
