"Description: ","Monthly number of days when TX < 0 degrees_C"
"Station: ","final_1971_2005_Moscow_rcp45"
"Latitude: ","55.75"
"Longitude: ","37.56"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, id, normalised (all years)
1971-01, 26, 2.53695420212936
1971-02, 16, 1.31621127945144
1971-03, 8, 0.339616941309112
1971-04, 0, -0.63697739683322
1971-05, 0, -0.63697739683322
1971-06, 0, -0.63697739683322
1971-07, 0, -0.63697739683322
1971-08, 0, -0.63697739683322
1971-09, 0, -0.63697739683322
1971-10, 0, -0.63697739683322
1971-11, 16, 1.31621127945144
1971-12, 15, 1.19413698718365
1972-01, 21, 1.9265827407904
1972-02, 7, 0.217542649041321
1972-03, 4, -0.148680227762054
1972-04, 0, -0.63697739683322
1972-05, 0, -0.63697739683322
1972-06, 0, -0.63697739683322
1972-07, 0, -0.63697739683322
1972-08, 0, -0.63697739683322
1972-09, 0, -0.63697739683322
1972-10, 1, -0.514903104565428
1972-11, 4, -0.148680227762054
1972-12, 16, 1.31621127945144
1973-01, 27, 2.65902849439715
1973-02, 15, 1.19413698718365
1973-03, 5, -0.0266059354942623
1973-04, 0, -0.63697739683322
1973-05, 0, -0.63697739683322
1973-06, 0, -0.63697739683322
1973-07, 0, -0.63697739683322
1973-08, 0, -0.63697739683322
1973-09, 0, -0.63697739683322
1973-10, 4, -0.148680227762054
1973-11, 8, 0.339616941309112
1973-12, 14, 1.07206269491586
1974-01, 8, 0.339616941309112
1974-02, 5, -0.0266059354942623
1974-03, 4, -0.148680227762054
1974-04, 0, -0.63697739683322
1974-05, 0, -0.63697739683322
1974-06, 0, -0.63697739683322
1974-07, 0, -0.63697739683322
1974-08, 0, -0.63697739683322
1974-09, 0, -0.63697739683322
1974-10, 3, -0.270754520029845
1974-11, 10, 0.583765525844695
1974-12, 28, 2.78110278666494
1975-01, 30, 3.02525137120053
1975-02, 22, 2.04865703305819
1975-03, 7, 0.217542649041321
1975-04, 0, -0.63697739683322
1975-05, 0, -0.63697739683322
1975-06, 0, -0.63697739683322
1975-07, 0, -0.63697739683322
1975-08, 0, -0.63697739683322
1975-09, 0, -0.63697739683322
1975-10, 1, -0.514903104565428
1975-11, 14, 1.07206269491586
1975-12, 13, 0.94998840264807
1976-01, 26, 2.53695420212936
1976-02, 22, 2.04865703305819
1976-03, 17, 1.43828557171924
1976-04, 2, -0.392828812297637
1976-05, 0, -0.63697739683322
1976-06, 0, -0.63697739683322
1976-07, 0, -0.63697739683322
1976-08, 0, -0.63697739683322
1976-09, 0, -0.63697739683322
1976-10, 0, -0.63697739683322
1976-11, 18, 1.56035986398703
1976-12, 17, 1.43828557171924
1977-01, 29, 2.90317707893273
1977-02, 24, 2.29280561759378
1977-03, 15, 1.19413698718365
1977-04, 0, -0.63697739683322
1977-05, 0, -0.63697739683322
1977-06, 0, -0.63697739683322
1977-07, 0, -0.63697739683322
1977-08, 0, -0.63697739683322
1977-09, 0, -0.63697739683322
1977-10, 2, -0.392828812297637
1977-11, 5, -0.0266059354942623
1977-12, 21, 1.9265827407904
1978-01, 14, 1.07206269491586
1978-02, 13, 0.94998840264807
1978-03, 5, -0.0266059354942623
1978-04, 0, -0.63697739683322
1978-05, 0, -0.63697739683322
1978-06, 0, -0.63697739683322
1978-07, 0, -0.63697739683322
1978-08, 0, -0.63697739683322
1978-09, 0, -0.63697739683322
1978-10, 2, -0.392828812297637
1978-11, 12, 0.827914110380279
1978-12, 24, 2.29280561759378
1979-01, 20, 1.80450844852261
1979-02, 15, 1.19413698718365
1979-03, 8, 0.339616941309112
1979-04, 0, -0.63697739683322
1979-05, 0, -0.63697739683322
1979-06, 0, -0.63697739683322
1979-07, 0, -0.63697739683322
1979-08, 0, -0.63697739683322
1979-09, 0, -0.63697739683322
1979-10, 0, -0.63697739683322
1979-11, 4, -0.148680227762054
1979-12, 23, 2.17073132532599
1980-01, 24, 2.29280561759378
1980-02, 17, 1.43828557171924
1980-03, 3, -0.270754520029845
1980-04, 0, -0.63697739683322
1980-05, 0, -0.63697739683322
1980-06, 0, -0.63697739683322
1980-07, 0, -0.63697739683322
1980-08, 0, -0.63697739683322
1980-09, 0, -0.63697739683322
1980-10, 1, -0.514903104565428
1980-11, 22, 2.04865703305819
1980-12, 7, 0.217542649041321
1981-01, 20, 1.80450844852261
1981-02, 7, 0.217542649041321
1981-03, 7, 0.217542649041321
