"Description: ","Annual number of days when TX > 25 degrees_C"
"Station: ","final_1971_2005_Moscow_rcp45"
"Latitude: ","55.75"
"Longitude: ","37.56"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, su, normalised (all years)
1971, 32, -0.0700025001037146
1972, 22, -0.715415621627326
1973, 8, -1.61899399176038
1974, 26, -0.457250373017881
1975, 24, -0.586332997322603
1976, 43, 0.639951933572258
1977, 13, -1.29628743099858
1978, 18, -0.97358087023677
1979, 12, -1.36082874315094
1980, 23, -0.650874309474965
1981, 10, -1.48991136745566
1982, 53, 1.28536505509587
1983, 13, -1.29628743099858
1984, 18, -0.97358087023677
1985, 28, -0.328167748713159
1986, 20, -0.844498245932048
1987, 9, -1.55445267960802
1988, 36, 0.18816274850573
1989, 27, -0.39270906086552
1990, 28, -0.328167748713159
1991, 20, -0.844498245932048
1992, 66, 2.12440211307656
1993, 36, 0.18816274850573
1994, 7, -1.68353530391274
1995, 25, -0.521791685170242
1996, 38, 0.317245372810452
1997, 7, -1.68353530391274
1998, 54, 1.34990636724823
1999, 7, -1.68353530391274
2000, 22, -0.715415621627326
2001, 36, 0.18816274850573
2002, 22, -0.715415621627326
2003, 25, -0.521791685170242
2004, 21, -0.779956933779687
2005, 22, -0.715415621627326
2006, 38, 0.317245372810452
2007, 19, -0.909039558084409
2008, 57, 1.54353030370531
2009, 76, 2.76981523460017
2010, 31, -0.134543812256076
2011, 46, 0.833575870029341
2012, 9, -1.55445267960802
2013, 46, 0.833575870029341
2014, 51, 1.15628243079115
2015, 58, 1.60807161585767
2016, 15, -1.16720480669385
2017, 23, -0.650874309474965
2018, 24, -0.586332997322603
2019, 37, 0.252704060658091
2020, 27, -0.39270906086552
2021, 14, -1.23174611884621
2022, 23, -0.650874309474965
2023, 46, 0.833575870029341
2024, 19, -0.909039558084409
2025, 17, -1.03812218238913
2026, 34, 0.0590801242010076
2027, 29, -0.263626436560798
2028, 29, -0.263626436560798
2029, 35, 0.123621436353369
2030, 40, 0.446327997115174
2031, 24, -0.586332997322603
2032, 25, -0.521791685170242
2033, 51, 1.15628243079115
2034, 14, -1.23174611884621
2035, 18, -0.97358087023677
2036, 44, 0.704493245724619
2037, 21, -0.779956933779687
2038, 54, 1.34990636724823
2039, 39, 0.381786684962813
2040, 20, -0.844498245932048
2041, 56, 1.47898899155295
2042, 28, -0.328167748713159
2043, 40, 0.446327997115174
2044, 33, -0.0054611879513535
2045, 32, -0.0700025001037146
2046, 14, -1.23174611884621
2047, 31, -0.134543812256076
2048, 52, 1.22082374294351
2049, 41, 0.510869309267535
2050, 49, 1.02719980648642
2051, 30, -0.199085124408437
2052, 35, 0.123621436353369
2053, 22, -0.715415621627326
2054, 25, -0.521791685170242
2055, 36, 0.18816274850573
2056, 35, 0.123621436353369
2057, 31, -0.134543812256076
2058, 37, 0.252704060658091
2059, 44, 0.704493245724619
2060, 56, 1.47898899155295
2061, 34, 0.0590801242010076
2062, 61, 1.80169555231476
2063, 24, -0.586332997322603
2064, 67, 2.18894342522892
2065, 26, -0.457250373017881
2066, 46, 0.833575870029341
2067, 38, 0.317245372810452
2068, 40, 0.446327997115174
2069, 18, -0.97358087023677
2070, 44, 0.704493245724619
2071, 45, 0.76903455787698
2072, 41, 0.510869309267535
2073, 30, -0.199085124408437
2074, 35, 0.123621436353369
2075, 25, -0.521791685170242
2076, 51, 1.15628243079115
2077, 37, 0.252704060658091
2078, 43, 0.639951933572258
2079, 30, -0.199085124408437
2080, 25, -0.521791685170242
2081, 20, -0.844498245932048
2082, 28, -0.328167748713159
2083, 17, -1.03812218238913
2084, 26, -0.457250373017881
2085, 34, 0.0590801242010076
2086, 50, 1.09174111863879
2087, 32, -0.0700025001037146
2088, 49, 1.02719980648642
2089, 29, -0.263626436560798
2090, 26, -0.457250373017881
2091, 41, 0.510869309267535
2092, 29, -0.263626436560798
2093, 37, 0.252704060658091
2094, 33, -0.0054611879513535
2095, 49, 1.02719980648642
2096, 54, 1.34990636724823
2097, 102, 4.44788935056156
2098, 64, 1.99531948877184
2099, 25, -0.521791685170242
2100, 45, 0.76903455787698
