"Description: ","Monthly number of days when TX > 25 degrees_C"
"Station: ","final_1971_2005_Moscow_rcp45"
"Latitude: ","55.75"
"Longitude: ","37.56"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, su, normalised (all years)
1971-01, 0, -0.539102480390316
1971-02, 0, -0.539102480390316
1971-03, 0, -0.539102480390316
1971-04, 0, -0.539102480390316
1971-05, 2, -0.148030697358978
1971-06, 5, 0.43857697718803
1971-07, 22, 3.76268713295441
1971-08, 3, 0.0475051941566914
1971-09, 0, -0.539102480390316
1971-10, 0, -0.539102480390316
1971-11, 0, -0.539102480390316
1971-12, 0, -0.539102480390316
1972-01, 0, -0.539102480390316
1972-02, 0, -0.539102480390316
1972-03, 0, -0.539102480390316
1972-04, 0, -0.539102480390316
1972-05, 6, 0.634112868703699
1972-06, 6, 0.634112868703699
1972-07, 7, 0.829648760219368
1972-08, 3, 0.0475051941566914
1972-09, 0, -0.539102480390316
1972-10, 0, -0.539102480390316
1972-11, 0, -0.539102480390316
1972-12, 0, -0.539102480390316
1973-01, 0, -0.539102480390316
1973-02, 0, -0.539102480390316
1973-03, 0, -0.539102480390316
1973-04, 0, -0.539102480390316
1973-05, 1, -0.343566588874647
1973-06, 3, 0.0475051941566914
1973-07, 4, 0.243041085672361
1973-08, 0, -0.539102480390316
1973-09, 0, -0.539102480390316
1973-10, 0, -0.539102480390316
1973-11, 0, -0.539102480390316
1973-12, 0, -0.539102480390316
1974-01, 0, -0.539102480390316
1974-02, 0, -0.539102480390316
1974-03, 0, -0.539102480390316
1974-04, 0, -0.539102480390316
1974-05, 0, -0.539102480390316
1974-06, 2, -0.148030697358978
1974-07, 13, 2.00286410931338
1974-08, 11, 1.61179232628204
1974-09, 0, -0.539102480390316
1974-10, 0, -0.539102480390316
1974-11, 0, -0.539102480390316
1974-12, 0, -0.539102480390316
1975-01, 0, -0.539102480390316
1975-02, 0, -0.539102480390316
1975-03, 0, -0.539102480390316
1975-04, 0, -0.539102480390316
1975-05, 5, 0.43857697718803
1975-06, 12, 1.80732821779771
1975-07, 7, 0.829648760219368
1975-08, 0, -0.539102480390316
1975-09, 0, -0.539102480390316
1975-10, 0, -0.539102480390316
1975-11, 0, -0.539102480390316
1975-12, 0, -0.539102480390316
1976-01, 0, -0.539102480390316
1976-02, 0, -0.539102480390316
1976-03, 0, -0.539102480390316
1976-04, 0, -0.539102480390316
1976-05, 6, 0.634112868703699
1976-06, 14, 2.19840000082905
1976-07, 18, 2.98054356689173
1976-08, 4, 0.243041085672361
1976-09, 1, -0.343566588874647
1976-10, 0, -0.539102480390316
1976-11, 0, -0.539102480390316
1976-12, 0, -0.539102480390316
1977-01, 0, -0.539102480390316
1977-02, 0, -0.539102480390316
1977-03, 0, -0.539102480390316
1977-04, 0, -0.539102480390316
1977-05, 2, -0.148030697358978
1977-06, 3, 0.0475051941566914
1977-07, 6, 0.634112868703699
1977-08, 2, -0.148030697358978
1977-09, 0, -0.539102480390316
1977-10, 0, -0.539102480390316
1977-11, 0, -0.539102480390316
1977-12, 0, -0.539102480390316
1978-01, 0, -0.539102480390316
1978-02, 0, -0.539102480390316
1978-03, 0, -0.539102480390316
1978-04, 0, -0.539102480390316
1978-05, 1, -0.343566588874647
1978-06, 4, 0.243041085672361
1978-07, 2, -0.148030697358978
1978-08, 5, 0.43857697718803
1978-09, 6, 0.634112868703699
1978-10, 0, -0.539102480390316
1978-11, 0, -0.539102480390316
1978-12, 0, -0.539102480390316
1979-01, 0, -0.539102480390316
1979-02, 0, -0.539102480390316
1979-03, 0, -0.539102480390316
1979-04, 0, -0.539102480390316
1979-05, 2, -0.148030697358978
1979-06, 1, -0.343566588874647
1979-07, 8, 1.02518465173504
1979-08, 1, -0.343566588874647
1979-09, 0, -0.539102480390316
1979-10, 0, -0.539102480390316
1979-11, 0, -0.539102480390316
1979-12, 0, -0.539102480390316
1980-01, 0, -0.539102480390316
1980-02, 0, -0.539102480390316
1980-03, 0, -0.539102480390316
1980-04, 0, -0.539102480390316
1980-05, 4, 0.243041085672361
1980-06, 1, -0.343566588874647
1980-07, 12, 1.80732821779771
1980-08, 6, 0.634112868703699
1980-09, 0, -0.539102480390316
1980-10, 0, -0.539102480390316
1980-11, 0, -0.539102480390316
1980-12, 0, -0.539102480390316
1981-01, 0, -0.539102480390316
1981-02, 0, -0.539102480390316
1981-03, 0, -0.539102480390316
1981-04, 0, -0.539102480390316
1981-05, 0, -0.539102480390316
1981-06, 7, 0.829648760219368
1981-07, 3, 0.0475051941566914
1981-08, 0, -0.539102480390316
1981-09, 0, -0.539102480390316
1981-10, 0, -0.539102480390316
1981-11, 0, -0.539102480390316
1981-12, 0, -0.539102480390316
1982-01, 0, -0.539102480390316
1982-02, 0, -0.539102480390316
1982-03, 0, -0.539102480390316
1982-04, 0, -0.539102480390316
1982-05, 2, -0.148030697358978
