"Description: ","Monthly number of days when TM >= 10 degrees_C"
"Station: ","final_1971_2005_Moscow_rcp45"
"Latitude: ","55.75"
"Longitude: ","37.56"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tmge10, normalised (all years)
1971-01, 0, -0.973622611170867
1971-02, 0, -0.973622611170867
1971-03, 0, -0.973622611170867
1971-04, 2, -0.821265175778495
1971-05, 18, 0.397594307360477
1971-06, 29, 1.23556020201852
1971-07, 31, 1.38791763741089
1971-08, 24, 0.854666613537592
1971-09, 25, 0.930845331233778
1971-10, 2, -0.821265175778495
1971-11, 1, -0.897443893474681
1971-12, 0, -0.973622611170867
1972-01, 0, -0.973622611170867
1972-02, 0, -0.973622611170867
1972-03, 0, -0.973622611170867
1972-04, 11, -0.135656716512823
1972-05, 22, 0.70230917814522
1972-06, 30, 1.31173891971471
1972-07, 31, 1.38791763741089
1972-08, 31, 1.38791763741089
1972-09, 21, 0.626130460449035
1972-10, 11, -0.135656716512823
1972-11, 1, -0.897443893474681
1972-12, 0, -0.973622611170867
1973-01, 0, -0.973622611170867
1973-02, 0, -0.973622611170867
1973-03, 0, -0.973622611170867
1973-04, 0, -0.973622611170867
1973-05, 22, 0.70230917814522
1973-06, 30, 1.31173891971471
1973-07, 31, 1.38791763741089
1973-08, 31, 1.38791763741089
1973-09, 18, 0.397594307360477
1973-10, 7, -0.440371587297566
1973-11, 0, -0.973622611170867
1973-12, 0, -0.973622611170867
1974-01, 0, -0.973622611170867
1974-02, 0, -0.973622611170867
1974-03, 0, -0.973622611170867
1974-04, 7, -0.440371587297566
1974-05, 22, 0.70230917814522
1974-06, 27, 1.08320276662615
1974-07, 31, 1.38791763741089
1974-08, 31, 1.38791763741089
1974-09, 21, 0.626130460449035
1974-10, 5, -0.592729022689938
1974-11, 0, -0.973622611170867
1974-12, 0, -0.973622611170867
1975-01, 0, -0.973622611170867
1975-02, 0, -0.973622611170867
1975-03, 0, -0.973622611170867
1975-04, 5, -0.592729022689938
1975-05, 24, 0.854666613537592
1975-06, 30, 1.31173891971471
1975-07, 31, 1.38791763741089
1975-08, 31, 1.38791763741089
1975-09, 15, 0.16905815427192
1975-10, 0, -0.973622611170867
1975-11, 0, -0.973622611170867
1975-12, 0, -0.973622611170867
1976-01, 0, -0.973622611170867
1976-02, 0, -0.973622611170867
1976-03, 0, -0.973622611170867
1976-04, 7, -0.440371587297566
1976-05, 16, 0.245236871968106
1976-06, 28, 1.15938148432234
1976-07, 31, 1.38791763741089
1976-08, 30, 1.31173891971471
1976-09, 17, 0.321415589664292
1976-10, 8, -0.36419286960138
1976-11, 0, -0.973622611170867
1976-12, 0, -0.973622611170867
1977-01, 0, -0.973622611170867
1977-02, 0, -0.973622611170867
1977-03, 0, -0.973622611170867
1977-04, 3, -0.745086458082309
1977-05, 13, 0.0167007188795484
1977-06, 30, 1.31173891971471
1977-07, 31, 1.38791763741089
1977-08, 31, 1.38791763741089
