"Description: ","Monthly number of days when TN < 2 degrees_C"
"Station: ","final_1971_2005_Moscow_rcp45"
"Latitude: ","55.75"
"Longitude: ","37.56"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tnlt2, normalised (all years)
1971-01, 31, 1.40534083940147
1971-02, 28, 1.16358398851381
1971-03, 29, 1.24416960547637
1971-04, 17, 0.277142201925709
1971-05, 7, -0.528713967699838
1971-06, 0, -1.09281328643772
1971-07, 0, -1.09281328643772
1971-08, 1, -1.01222766947517
1971-09, 2, -0.931642052512612
1971-10, 14, 0.0353853510380448
1971-11, 23, 0.760655903701037
1971-12, 28, 1.16358398851381
1972-01, 28, 1.16358398851381
1972-02, 28, 1.16358398851381
1972-03, 28, 1.16358398851381
1972-04, 12, -0.125785882887065
1972-05, 2, -0.931642052512612
1972-06, 0, -1.09281328643772
1972-07, 0, -1.09281328643772
1972-08, 0, -1.09281328643772
1972-09, 3, -0.851056435550057
1972-10, 11, -0.206371499849619
1972-11, 18, 0.357727818888264
1972-12, 29, 1.24416960547637
1973-01, 31, 1.40534083940147
1973-02, 27, 1.08299837155126
1973-03, 30, 1.32475522243892
1973-04, 22, 0.680070286738482
1973-05, 5, -0.689885201624947
1973-06, 0, -1.09281328643772
1973-07, 0, -1.09281328643772
1973-08, 0, -1.09281328643772
1973-09, 0, -1.09281328643772
1973-10, 13, -0.0452002659245099
1973-11, 25, 0.921827137626147
1973-12, 31, 1.40534083940147
1974-01, 29, 1.24416960547637
1974-02, 28, 1.16358398851381
1974-03, 28, 1.16358398851381
1974-04, 11, -0.206371499849619
1974-05, 4, -0.770470818587502
1974-06, 0, -1.09281328643772
1974-07, 0, -1.09281328643772
1974-08, 0, -1.09281328643772
1974-09, 1, -1.01222766947517
1974-10, 24, 0.841241520663592
1974-11, 25, 0.921827137626147
1974-12, 31, 1.40534083940147
1975-01, 31, 1.40534083940147
1975-02, 28, 1.16358398851381
1975-03, 30, 1.32475522243892
1975-04, 22, 0.680070286738482
1975-05, 6, -0.609299584662393
1975-06, 0, -1.09281328643772
1975-07, 0, -1.09281328643772
1975-08, 0, -1.09281328643772
1975-09, 4, -0.770470818587502
1975-10, 25, 0.921827137626147
1975-11, 28, 1.16358398851381
1975-12, 29, 1.24416960547637
1976-01, 31, 1.40534083940147
1976-02, 29, 1.24416960547637
1976-03, 31, 1.40534083940147
1976-04, 21, 0.599484669775928
1976-05, 7, -0.528713967699838
1976-06, 1, -1.01222766947517
1976-07, 0, -1.09281328643772
1976-08, 0, -1.09281328643772
1976-09, 6, -0.609299584662393
1976-10, 19, 0.438313435850818
1976-11, 30, 1.32475522243892
1976-12, 29, 1.24416960547637
1977-01, 31, 1.40534083940147
1977-02, 28, 1.16358398851381
1977-03, 29, 1.24416960547637
1977-04, 22, 0.680070286738482
1977-05, 12, -0.125785882887065
1977-06, 0, -1.09281328643772
1977-07, 0, -1.09281328643772
1977-08, 0, -1.09281328643772
1977-09, 1, -1.01222766947517
1977-10, 19, 0.438313435850818
1977-11, 19, 0.438313435850818
1977-12, 28, 1.16358398851381
1978-01, 31, 1.40534083940147
1978-02, 27, 1.08299837155126
1978-03, 31, 1.40534083940147
1978-04, 24, 0.841241520663592
1978-05, 2, -0.931642052512612
1978-06, 0, -1.09281328643772
1978-07, 0, -1.09281328643772
1978-08, 0, -1.09281328643772
1978-09, 2, -0.931642052512612
1978-10, 13, -0.0452002659245099
1978-11, 30, 1.32475522243892
1978-12, 31, 1.40534083940147
1979-01, 28, 1.16358398851381
1979-02, 28, 1.16358398851381
1979-03, 31, 1.40534083940147
1979-04, 24, 0.841241520663592
1979-05, 8, -0.448128350737283
1979-06, 0, -1.09281328643772
1979-07, 0, -1.09281328643772
1979-08, 0, -1.09281328643772
1979-09, 0, -1.09281328643772
1979-10, 12, -0.125785882887065
1979-11, 17, 0.277142201925709
1979-12, 31, 1.40534083940147
1980-01, 31, 1.40534083940147
1980-02, 27, 1.08299837155126
1980-03, 31, 1.40534083940147
1980-04, 20, 0.518899052813373
1980-05, 3, -0.851056435550057
1980-06, 0, -1.09281328643772
1980-07, 0, -1.09281328643772
1980-08, 0, -1.09281328643772
1980-09, 6, -0.609299584662393
1980-10, 22, 0.680070286738482
1980-11, 28, 1.16358398851381
1980-12, 23, 0.760655903701037
1981-01, 31, 1.40534083940147
1981-02, 27, 1.08299837155126
1981-03, 30, 1.32475522243892
1981-04, 17, 0.277142201925709
1981-05, 8, -0.448128350737283
1981-06, 0, -1.09281328643772
1981-07, 0, -1.09281328643772
1981-08, 0, -1.09281328643772
1981-09, 0, -1.09281328643772
1981-10, 15, 0.1159709680006
1981-11, 22, 0.680070286738482
1981-12, 31, 1.40534083940147
1982-01, 31, 1.40534083940147
1982-02, 27, 1.08299837155126
1982-03, 31, 1.40534083940147
1982-04, 23, 0.760655903701037
1982-05, 7, -0.528713967699838
1982-06, 0, -1.09281328643772
1982-07, 0, -1.09281328643772
1982-08, 0, -1.09281328643772
1982-09, 4, -0.770470818587502
1982-10, 2, -0.931642052512612
1982-11, 28, 1.16358398851381
1982-12, 24, 0.841241520663592
1983-01, 28, 1.16358398851381
1983-02, 11, -0.206371499849619
1983-03, 11, -0.206371499849619
1983-04, 6, -0.609299584662393
1983-05, 4, -0.770470818587502
1983-06, 0, -1.09281328643772
1983-07, 0, -1.09281328643772
1983-08, 0, -1.09281328643772
1983-09, 2, -0.931642052512612
1983-10, 6, -0.609299584662393
1983-11, 27, 1.08299837155126
1983-12, 25, 0.921827137626147
1984-01, 31, 1.40534083940147
1984-02, 28, 1.16358398851381
1984-03, 31, 1.40534083940147
1984-04, 16, 0.196556584963154
1984-05, 5, -0.689885201624947
1984-06, 0, -1.09281328643772
1984-07, 0, -1.09281328643772
1984-08, 0, -1.09281328643772
1984-09, 2, -0.931642052512612
1984-10, 25, 0.921827137626147
1984-11, 29, 1.24416960547637
1984-12, 31, 1.40534083940147
1985-01, 31, 1.40534083940147
1985-02, 28, 1.16358398851381
1985-03, 29, 1.24416960547637
1985-04, 21, 0.599484669775928
1985-05, 9, -0.367542733774729
1985-06, 0, -1.09281328643772
1985-07, 0, -1.09281328643772
1985-08, 0, -1.09281328643772
1985-09, 3, -0.851056435550057
1985-10, 7, -0.528713967699838
1985-11, 23, 0.760655903701037
1985-12, 31, 1.40534083940147
1986-01, 31, 1.40534083940147
1986-02, 27, 1.08299837155126
1986-03, 28, 1.16358398851381
1986-04, 25, 0.921827137626147
1986-05, 11, -0.206371499849619
1986-06, 0, -1.09281328643772
1986-07, 0, -1.09281328643772
1986-08, 0, -1.09281328643772
1986-09, 13, -0.0452002659245099
1986-10, 15, 0.1159709680006
1986-11, 27, 1.08299837155126
1986-12, 31, 1.40534083940147
1987-01, 30, 1.32475522243892
1987-02, 28, 1.16358398851381
1987-03, 26, 1.0024127545887
1987-04, 16, 0.196556584963154
1987-05, 7, -0.528713967699838
1987-06, 0, -1.09281328643772
1987-07, 0, -1.09281328643772
1987-08, 0, -1.09281328643772
1987-09, 0, -1.09281328643772
1987-10, 5, -0.689885201624947
1987-11, 23, 0.760655903701037
1987-12, 31, 1.40534083940147
1988-01, 30, 1.32475522243892
1988-02, 29, 1.24416960547637
1988-03, 26, 1.0024127545887
1988-04, 19, 0.438313435850818
1988-05, 2, -0.931642052512612
1988-06, 0, -1.09281328643772
1988-07, 0, -1.09281328643772
1988-08, 0, -1.09281328643772
1988-09, 3, -0.851056435550057
1988-10, 6, -0.609299584662393
1988-11, 26, 1.0024127545887
1988-12, 31, 1.40534083940147
1989-01, 30, 1.32475522243892
1989-02, 26, 1.0024127545887
1989-03, 27, 1.08299837155126
1989-04, 8, -0.448128350737283
1989-05, 7, -0.528713967699838
1989-06, 0, -1.09281328643772
1989-07, 0, -1.09281328643772
1989-08, 0, -1.09281328643772
1989-09, 2, -0.931642052512612
1989-10, 18, 0.357727818888264
1989-11, 18, 0.357727818888264
1989-12, 29, 1.24416960547637
1990-01, 30, 1.32475522243892
1990-02, 27, 1.08299837155126
