"Description: ","Monthly percentage of days when TX > 50th percentile"
"Station: ","final_1971_2005_Moscow_rcp45"
"Latitude: ","55.75"
"Longitude: ","37.56"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, txgt50p, normalised (all years)
1971-01, 25.8064516129032, -1.36348587126715
1971-02, 75, 0.769938480027564
1971-03, 32.258064516129, -1.0836925137203
1971-04, 40, -0.747940484664082
1971-05, 38.7096774193548, -0.803899156173453
1971-06, 36.6666666666667, -0.892500386063285
1971-07, 80.6451612903226, 1.01475766788106
1971-08, 22.5806451612903, -1.50338255004057
1971-09, 70, 0.553098627928758
1971-10, 29.0322580645161, -1.22358919249372
1971-11, 46.6666666666667, -0.458820681865672
1971-12, 64.5161290322581, 0.315274274013939
1972-01, 51.6129032258064, -0.244312441079759
1972-02, 82.7586206896552, 1.10641411259468
1972-03, 38.7096774193548, -0.803899156173453
1972-04, 66.6666666666667, 0.408538726529555
1972-05, 51.6129032258064, -0.244312441079759
1972-06, 50, -0.314260780466469
1972-07, 35.4838709677419, -0.943795834946876
1972-08, 61.2903225806452, 0.175377595240516
1972-09, 40, -0.747940484664082
1972-10, 61.2903225806452, 0.175377595240516
1972-11, 80, 0.986778332126371
1972-12, 67.741935483871, 0.455170952787363
1973-01, 41.9354838709677, -0.664002477400029
1973-02, 53.5714285714286, -0.159375171824463
1973-03, 32.258064516129, -1.0836925137203
1973-04, 30, -1.1816201888617
1973-05, 35.4838709677419, -0.943795834946876
1973-06, 40, -0.747940484664082
1973-07, 19.3548387096774, -1.64327922881399
1973-08, 12.9032258064516, -1.92307258636084
1973-09, 40, -0.747940484664082
1973-10, 51.6129032258064, -0.244312441079759
1973-11, 63.3333333333333, 0.263978825130347
1973-12, 67.741935483871, 0.455170952787363
1974-01, 96.7741935483871, 1.71424106174817
1974-02, 85.7142857142857, 1.23459530595358
1974-03, 54.8387096774194, -0.104415762306331
1974-04, 76.6666666666667, 0.842218430727168
1974-05, 58.0645161290323, 0.0354809164670921
1974-06, 30, -1.1816201888617
1974-07, 48.3870967741936, -0.384209119853178
1974-08, 67.741935483871, 0.455170952787363
1974-09, 56.6666666666667, -0.0251409776680585
1974-10, 29.0322580645161, -1.22358919249372
1974-11, 53.3333333333333, -0.169700879067266
1974-12, 19.3548387096774, -1.64327922881399
1975-01, 3.2258064516129, -2.34276262268111
1975-02, 39.2857142857143, -0.778917606392482
1975-03, 16.1290322580645, -1.78317590758742
1975-04, 23.3333333333333, -1.47073999166011
1975-05, 64.5161290322581, 0.315274274013939
1975-06, 80, 0.986778332126371
1975-07, 51.6129032258064, -0.244312441079759
1975-08, 9.67741935483871, -2.06296926513426
1975-09, 30, -1.1816201888617
1975-10, 6.45161290322581, -2.20286594390769
1975-11, 40, -0.747940484664082
1975-12, 61.2903225806452, 0.175377595240516
1976-01, 45.1612903225806, -0.524105798626606
1976-02, 34.4827586206897, -0.987212045600694
1976-03, 19.3548387096774, -1.64327922881399
1976-04, 36.6666666666667, -0.892500386063285
1976-05, 35.4838709677419, -0.943795834946876
1976-06, 50, -0.314260780466469
1976-07, 74.1935483870968, 0.734964310334209
1976-08, 41.9354838709677, -0.664002477400029
1976-09, 46.6666666666667, -0.458820681865672
1976-10, 41.9354838709677, -0.664002477400029
1976-11, 30, -1.1816201888617
1976-12, 51.6129032258064, -0.244312441079759
1977-01, 19.3548387096774, -1.64327922881399
1977-02, 28.5714285714286, -1.2435744323185
1977-03, 12.9032258064516, -1.92307258636084
1977-04, 23.3333333333333, -1.47073999166011
1977-05, 32.258064516129, -1.0836925137203
1977-06, 50, -0.314260780466469
1977-07, 19.3548387096774, -1.64327922881399
1977-08, 41.9354838709677, -0.664002477400029
1977-09, 33.3333333333333, -1.03706028746249
1977-10, 38.7096774193548, -0.803899156173453
1977-11, 66.6666666666667, 0.408538726529555
1977-12, 51.6129032258064, -0.244312441079759
1978-01, 67.741935483871, 0.455170952787363
1978-02, 60.7142857142857, 0.150396045459545
1978-03, 22.5806451612903, -1.50338255004057
1978-04, 13.3333333333333, -1.90441969585772
1978-05, 38.7096774193548, -0.803899156173453
1978-06, 30, -1.1816201888617
1978-07, 22.5806451612903, -1.50338255004057
1978-08, 51.6129032258064, -0.244312441079759
1978-09, 90, 1.42045803632398
1978-10, 54.8387096774194, -0.104415762306331
1978-11, 53.3333333333333, -0.169700879067266
1978-12, 32.258064516129, -1.0836925137203
1979-01, 48.3870967741936, -0.384209119853178
1979-02, 46.4285714285714, -0.469146389108475
1979-03, 32.258064516129, -1.0836925137203
1979-04, 0, -2.48265930145453
1979-05, 35.4838709677419, -0.943795834946876
1979-06, 10, -2.04897959725692
1979-07, 58.0645161290323, 0.0354809164670921
1979-08, 12.9032258064516, -1.92307258636084
1979-09, 80, 0.986778332126371
1979-10, 64.5161290322581, 0.315274274013939
1979-11, 80, 0.986778332126371
1979-12, 32.258064516129, -1.0836925137203
1980-01, 37.741935483871, -0.845868159805477
1980-02, 50.6896551724138, -0.284351835349392
1980-03, 37.0967741935484, -0.873847495560163
1980-04, 50, -0.314260780466469
1980-05, 67.741935483871, 0.455170952787363
1980-06, 33.7777777777778, -1.0177856339426
1980-07, 72.9032258064516, 0.679005638824838
1980-08, 55.4838709677419, -0.0764364265516501
1980-09, 52.2222222222222, -0.217887512867
1980-10, 11.3978494623656, -1.98835770312177
1980-11, 23.3333333333333, -1.47073999166011
1980-12, 80.3225806451613, 1.00076800000371
1981-01, 77.4193548387097, 0.874860989107633
1981-02, 86.1904761904762, 1.25524672043918
1981-03, 24.1935483870968, -1.43343421065386
1981-04, 70, 0.553098627928758
1981-05, 29.0322580645161, -1.22358919249372
1981-06, 67.7777777777778, 0.456725360329289
1981-07, 26.5591397849462, -1.33084331288668
1981-08, 10.8602150537634, -2.01167381625068
1981-09, 56.6666666666667, -0.0251409776680585
1981-10, 45.8064516129032, -0.49612646287192
1981-11, 55.1111111111111, -0.0926022649876891
1981-12, 51.6129032258064, -0.244312441079759
1982-01, 76.7741935483871, 0.846881653352947
1982-02, 48.3333333333333, -0.386540731166072
1982-03, 33.4408602150538, -1.03239706483671
1982-04, 33.3333333333333, -1.03706028746249
1982-05, 62.0430107526882, 0.20802015362098
1982-06, 73.3333333333333, 0.697658529327961
1982-07, 82.0430107526882, 1.07537956201621
1982-08, 88.1720430107527, 1.34118325168571
1982-09, 56, -0.0540529579479008
1982-10, 95.9139784946236, 1.67693528074192
1982-11, 20, -1.61529989305931
1982-12, 87.6344086021505, 1.31786713855681
1983-01, 74.1935483870968, 0.734964310334209
1983-02, 100, 1.8541377405216
1983-03, 100, 1.8541377405216
1983-04, 70, 0.553098627928758
1983-05, 45.1612903225806, -0.524105798626606
1983-06, 18.1111111111111, -1.69721717051886
1983-07, 30.3225806451613, -1.16763052098435
1983-08, 29.6774193548387, -1.19560985673904
1983-09, 39, -0.791308455083843
1983-10, 64.5161290322581, 0.315274274013939
1983-11, 46.6666666666667, -0.458820681865672
1983-12, 56.1290322580645, -0.0484570907969646
1984-01, 12.9032258064516, -1.92307258636084
1984-02, 81.1494252873563, 1.03662657398816
1984-03, 56.989247311828, -0.0111513097907156
1984-04, 36.6666666666667, -0.892500386063285
1984-05, 14.9462365591398, -1.834471356471
1984-06, 44.8888888888889, -0.535919295945248
1984-07, 51.6129032258064, -0.244312441079759
1984-08, 23.2258064516129, -1.47540321428588
1984-09, 52.6666666666667, -0.198612859347104
1984-10, 34.0860215053763, -1.00441772908203
1984-11, 38.1111111111111, -0.829857762123631
1984-12, 25.8064516129032, -1.36348587126715
1985-01, 12.9032258064516, -1.92307258636084
1985-02, 25.952380952381, -1.3571572119893
1985-03, 32.9032258064516, -1.05571317796561
1985-04, 32.5555555555556, -1.0707909311223
1985-05, 29.0322580645161, -1.22358919249372
1985-06, 61, 0.162786894150906
1985-07, 58.0645161290323, 0.0354809164670921
1985-08, 44.3010752688172, -0.561411579632851
1985-09, 78.3333333333333, 0.914498381426767
1985-10, 72.0430107526882, 0.641699857818594
1985-11, 50, -0.314260780466469
1985-12, 52.1505376344086, -0.220996327950853
1986-01, 22.5806451612903, -1.50338255004057
1986-02, 32.1428571428571, -1.08868882367649
1986-03, 25.8064516129032, -1.36348587126715
1986-04, 11.4444444444444, -1.98633697331727
1986-05, 28.2795698924731, -1.25623175087419
1986-06, 44.2222222222222, -0.564831276225091
1986-07, 52.6881720430108, -0.197680214821947
1986-08, 48.494623655914, -0.379545897227399
1986-09, 33.3333333333333, -1.03706028746249
1986-10, 53.010752688172, -0.183690546944609
1986-11, 56.6666666666667, -0.0251409776680585
1986-12, 60.6451612903226, 0.14739825948583
1987-01, 54.8387096774194, -0.104415762306331
1987-02, 36.547619047619, -0.897663239684688
1987-03, 80.6451612903226, 1.01475766788106
1987-04, 40.6666666666667, -0.719028504384239
1987-05, 14.8387096774194, -1.83913457909678
1987-06, 16, -1.78877177473835
1987-07, 35.1612903225806, -0.957785502824219
1987-08, 36.4516129032258, -0.901826831314848
1987-09, 58.2222222222222, 0.0423203096515678
1987-10, 53.9784946236559, -0.14172154331258
1987-11, 92, 1.50719397716351
1987-12, 32.258064516129, -1.0836925137203
1988-01, 51.6129032258064, -0.244312441079759
1988-02, 67.2413793103448, 0.433462847460449
1988-03, 77.4193548387097, 0.874860989107633
1988-04, 21.2222222222222, -1.5622945958796
1988-05, 77.4193548387097, 0.874860989107633
1988-06, 75.1111111111111, 0.774757143407537
1988-07, 79.4623655913979, 0.963462218997469
1988-08, 41.0752688172043, -0.701308258406274
1988-09, 19.3333333333333, -1.64421187333915
1988-10, 91.7204301075269, 1.49506959833648
1988-11, 52.5555555555556, -0.203431522727077
1988-12, 35.4838709677419, -0.943795834946876
1989-01, 41.9354838709677, -0.664002477400029
1989-02, 56.1904761904762, -0.0457923921536603
1989-03, 78.494623655914, 0.92149321536544
1989-04, 90.7777777777778, 1.4541886799838
1989-05, 51.6129032258064, -0.244312441079759
1989-06, 50.8888888888889, -0.27571147342668
1989-07, 29.0322580645161, -1.22358919249372
1989-08, 41.1827956989247, -0.696645035780495
1989-09, 30.6666666666667, -1.15270820858185
1989-10, 39.8924731182796, -0.752603707289861
1989-11, 84.4444444444444, 1.17952486732531
1989-12, 80.1075268817204, 0.99144155475215
1990-01, 60.5376344086021, 0.142735036860046
1990-02, 58.3333333333333, 0.0471389730315408
1990-03, 84.9462365591398, 1.20128657291229
1990-04, 63.3333333333333, 0.263978825130347
1990-05, 33.1182795698925, -1.04638673271405
1990-06, 76.6666666666667, 0.842218430727168
1990-07, 42.4731182795699, -0.640686364271123
1990-08, 9.67741935483871, -2.06296926513426
1990-09, 54.8888888888889, -0.102239591747635
1990-10, 83.8709677419355, 1.15465434665448
1990-11, 55.4444444444444, -0.0781462748477701
1990-12, 89.0322580645161, 1.37848903269196
1991-01, 46.5591397849462, -0.463483904491456
1991-02, 67.8571428571429, 0.460167262743557
1991-03, 80.6451612903226, 1.01475766788106
1991-04, 40, -0.747940484664082
1991-05, 58.0645161290323, 0.0354809164670921
1991-06, 46.6666666666667, -0.458820681865672
1991-07, 52.6881720430108, -0.197680214821947
1991-08, 23.9784946236559, -1.44276065590542
1991-09, 60, 0.119418923731144
1991-10, 39.6774193548387, -0.761930152541425
1991-11, 46.2222222222222, -0.478095335385568
1991-12, 61.2903225806452, 0.175377595240516
1992-01, 61.2903225806452, 0.175377595240516
1992-02, 59.5402298850575, 0.0994796269864278
1992-03, 24.1935483870968, -1.43343421065386
1992-04, 35.1111111111111, -0.959961673382915
1992-05, 38.0645161290323, -0.831878491928134
1992-06, 34.8888888888889, -0.969599000142861
1992-07, 93.5483870967742, 1.57434438297475
1992-08, 95.4838709677419, 1.6582823902388
1992-09, 70, 0.553098627928758
1992-10, 42.6881720430108, -0.63135991901956
