"Description: ","Monthly coldest daily TX"
"Station: ","final_1971_2005_Moscow_rcp45"
"Latitude: ","55.75"
"Longitude: ","37.56"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, txn, normalised (all years)
1971-01, -17.9775, -1.86117062082872
1971-02, -8.43149999999997, -1.00030271063141
1971-03, -11.8454, -1.30817165664258
1971-04, 4.67580000000004, 0.181726826277154
1971-05, 6.65350000000001, 0.360077807420794
1971-06, 12.1817, 0.858616460380437
1971-07, 21.7972, 1.72575195069075
1971-08, 10.4056, 0.698445970614939
1971-09, 13.0177, 0.934007783754096
1971-10, 1.76670000000001, -0.0806187464815949
1971-11, -13.5612, -1.46290423157622
1971-12, -11.1893, -1.24900389675567
1972-01, -14.2203, -1.5223425344896
1972-02, -9.6825, -1.11311915266544
1972-03, -5.62279999999998, -0.747011311158213
1972-04, 7.10290000000003, 0.400605152784579
1972-05, 10.143, 0.674764437698764
1972-06, 14.7049, 1.08616118183548
1972-07, 18.479, 1.42651332722367
1972-08, 12.908, 0.924114927086524
1972-09, 9.92900000000003, 0.655465701811251
1972-10, -0.853899999999953, -0.316947098195719
1972-11, -6.15249999999997, -0.794780191530254
1972-12, -8.4126, -0.998598289564715
1973-01, -14.7677, -1.57170761871775
1973-02, -10.578, -1.1938762460639
1973-03, -3.529, -0.558190314890551
1973-04, 3.42810000000003, 0.0692079815722313
1973-05, 4.45460000000003, 0.161778787126132
1973-06, 14.5038, 1.06802578096175
1973-07, 15.6521, 1.17158063338994
1973-08, 13.8925, 1.01289813026998
1973-09, 7.52940000000001, 0.439067353046378
1973-10, -1.85949999999997, -0.40763312066528
1973-11, -8.71229999999997, -1.02562553790812
1973-12, -16.016, -1.68428057202797
1974-01, -3.28189999999995, -0.535906587611083
1974-02, -3.6112, -0.565603193815568
1974-03, -4.68169999999998, -0.662141963757555
1974-04, 8.49000000000001, 0.52569523011903
1974-05, 8.53700000000003, 0.529933737533579
1974-06, 10.906, 0.743572547428551
1974-07, 16.1387, 1.21546271228184
1974-08, 16.2728, 1.22755598556462
1974-09, 8.73810000000003, 0.548069138407315
1974-10, -3.63809999999995, -0.568029062952826
1974-11, -7.9776, -0.959369550727943
1974-12, -11.6704, -1.29238998009905
1975-01, -19.576, -2.00532496342776
1975-02, -8.8383, -1.03698834501946
1975-03, -8.01479999999998, -0.962724284256051
1975-04, 2.06080000000003, -0.0540965117875822
1975-05, 12.2734, 0.866886058889246
