"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Moscow_rcp85"
"Latitude: ","55.75"
"Longitude: ","37.56"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
1971, 3.98689892076285, 8.27622665059989, 1, 3, 3
1972, 20.1878083752564, 31.0980357116666, 2, 6, 10
1973, -99.9, -99.9, 0, -99.9, 0
1974, -99.9, -99.9, 0, -99.9, 0
1975, 5.55714820005138, 11.382027402, 1, 4, 4
1976, 10.1453161737559, 41.6191221956224, 3, 6, 14
1977, -99.9, -99.9, 0, -99.9, 0
1978, 5.18743025101463, 14.5337499746666, 1, 11, 11
1979, 2.42094781924235, 5.37935008047777, 2, 4, 7
1980, 11.9181182917879, 22.4813369914668, 1, 5, 5
1981, 2.18762512174841, 3.73697976055559, 1, 7, 7
1982, 9.47003775047443, 36.7567534835111, 5, 5, 19
1983, 13.4096175539166, 25.7593548723776, 1, 4, 4
1984, -99.9, -99.9, 0, -99.9, 0
1985, -99.9, -99.9, 0, -99.9, 0
1986, -99.9, -99.9, 0, -99.9, 0
1987, 3.53862716769582, 6.73136947217778, 1, 8, 8
1988, 8.49134779579869, 22.2562303795498, 3, 4, 10
1989, 6.81906682275542, 9.03702099853317, 1, 3, 3
1990, 24.0967083020111, 62.5371341547002, 2, 12, 15
1991, 7.974684583064, 21.7182883753776, 2, 7, 10
1992, 5.5738979358839, 15.8735197077331, 5, 13, 31
1993, 3.45754423575738, 6.50077642262214, 1, 3, 3
1994, -99.9, -99.9, 0, -99.9, 0
1995, 6.88215532393198, 17.1678688916446, 2, 4, 8
1996, 10.0161186967377, 38.0583785496667, 3, 5, 12
1997, -99.9, -99.9, 0, -99.9, 0
1998, 14.0470190963747, 42.1327278749999, 4, 10, 23
1999, -99.9, -99.9, 0, -99.9, 0
2000, 3.18867911119262, 4.22049819302231, 1, 3, 3
2001, 3.06876411492381, 5.10949543555556, 1, 7, 7
2002, -99.9, -99.9, 0, -99.9, 0
2003, 22.0278797979344, 44.2601137598, 1, 5, 5
2004, 4.36996675999804, 21.4777621115558, 3, 5, 11
2005, -99.9, -99.9, 0, -99.9, 0
2006, 4.90014006157684, 8.67321446146664, 2, 3, 6
2007, 9.50359602870121, 101.854027195639, 9, 11, 39
2008, 7.59413208328, 23.6841314577002, 2, 7, 10
2009, 9.04503452891158, 24.4738711949111, 3, 5, 11
2010, 12.2904650070079, 43.0373302248334, 2, 4, 7
2011, 4.21508489546759, 10.6478959008, 2, 3, 6
2012, 21.0879416865791, 35.4909215453889, 2, 9, 11
2013, 4.98517452376195, 7.75860046855555, 3, 10, 16
2014, 20.3586619818119, 52.5313911894387, 6, 11, 34
2015, 20.9056048451373, 87.169871706267, 4, 8, 20
2016, 0.822637340540273, 1.71106190279998, 1, 4, 4
2017, 11.0254384753407, 31.7105775577556, 4, 9, 27
2018, 1.99606439282686, 5.23449524477783, 2, 4, 7
2019, 2.63886796902408, 5.44424467895001, 1, 3, 3
2020, 7.61102872472816, 22.3011934864496, 5, 9, 28
2021, -99.9, -99.9, 0, -99.9, 0
2022, 15.6080736897195, 46.9422951324444, 2, 6, 9
2023, 10.9873924072029, 29.2047351201, 5, 7, 21
2024, 12.4705650622828, 22.7507348535997, 2, 4, 7
2025, 21.1604363952397, 36.3602776879833, 2, 7, 11
2026, 6.27756321281605, 16.7352550609445, 3, 5, 11
2027, 12.515601732747, 54.1902271222502, 4, 12, 32
