"Description: ","Monthly number of days when TN < 0 degrees_C"
"Station: ","final_1971_2005_Moscow_rcp85"
"Latitude: ","55.75"
"Longitude: ","37.56"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, fd, normalised (all years)
1971-01, 30, 1.92348020173567
1971-02, 25, 1.46367004593751
1971-03, 27, 1.64759410825678
1971-04, 9, -0.00772245261661018
1971-05, 2, -0.651456670734038
1971-06, 0, -0.835380733053303
1971-07, 0, -0.835380733053303
1971-08, 0, -0.835380733053303
1971-09, 0, -0.835380733053303
1971-10, 6, -0.283608546095508
1971-11, 21, 1.09582192129898
1971-12, 22, 1.18778395245861
1972-01, 27, 1.64759410825678
1972-02, 22, 1.18778395245861
1972-03, 25, 1.46367004593751
1972-04, 2, -0.651456670734038
1972-05, 0, -0.835380733053303
1972-06, 0, -0.835380733053303
1972-07, 0, -0.835380733053303
1972-08, 0, -0.835380733053303
1972-09, 0, -0.835380733053303
1972-10, 8, -0.0996844837762427
1972-11, 15, 0.544049734341185
1972-12, 27, 1.64759410825678
1973-01, 29, 1.83151817057604
1973-02, 27, 1.64759410825678
1973-03, 29, 1.83151817057604
1973-04, 6, -0.283608546095508
1973-05, 5, -0.37557057725514
1973-06, 0, -0.835380733053303
1973-07, 0, -0.835380733053303
1973-08, 0, -0.835380733053303
1973-09, 0, -0.835380733053303
1973-10, 12, 0.268163640862287
1973-11, 20, 1.00385989013935
1973-12, 28, 1.73955613941641
1974-01, 22, 1.18778395245861
1974-02, 26, 1.55563207709714
1974-03, 24, 1.37170801477788
1974-04, 4, -0.467532608414773
1974-05, 0, -0.835380733053303
1974-06, 0, -0.835380733053303
1974-07, 0, -0.835380733053303
1974-08, 0, -0.835380733053303
1974-09, 0, -0.835380733053303
1974-10, 15, 0.544049734341185
1974-11, 20, 1.00385989013935
1974-12, 30, 1.92348020173567
1975-01, 31, 2.01544223289531
1975-02, 28, 1.73955613941641
1975-03, 27, 1.64759410825678
1975-04, 17, 0.72797379666045
1975-05, 1, -0.743418701893671
1975-06, 0, -0.835380733053303
1975-07, 0, -0.835380733053303
1975-08, 0, -0.835380733053303
1975-09, 3, -0.559494639574405
1975-10, 16, 0.636011765500818
1975-11, 24, 1.37170801477788
1975-12, 23, 1.27974598361825
1976-01, 31, 2.01544223289531
1976-02, 29, 1.83151817057604
1976-03, 29, 1.83151817057604
1976-04, 15, 0.544049734341185
1976-05, 3, -0.559494639574405
1976-06, 0, -0.835380733053303
1976-07, 0, -0.835380733053303
1976-08, 0, -0.835380733053303
1976-09, 1, -0.743418701893671
1976-10, 12, 0.268163640862287
1976-11, 24, 1.37170801477788
