"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Moscow_rcp85"
"Latitude: ","55.75"
"Longitude: ","37.56"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
1971, 29.414925, 31.909, 2, 4, 7
1972, 30.5023208333333, 32.8715, 2, 4, 7
1973, -99.9, -99.9, 0, -99.9, 0
1974, 30.1548888888889, 33.0165, 3, 3, 9
1975, 29.9406, 33.0071, 1, 6, 6
1976, 31.567, 33.9159, 1, 6, 6
1977, -99.9, -99.9, 0, -99.9, 0
1978, 24.5839777777778, 26.526, 1, 9, 9
1979, 22.6807, 23.2413, 1, 3, 3
1980, 26.1049333333334, 27.3567, 1, 3, 3
1981, 24.24765, 28.9792, 2, 3, 6
1982, 31.621972, 36.8578, 5, 5, 19
1983, 27.458175, 28.4497, 1, 4, 4
1984, 20.6298666666667, 22.3796, 1, 3, 3
1985, 27.2571472222222, 30.7848, 3, 4, 10
1986, -99.9, -99.9, 0, -99.9, 0
1987, 21.1157, 21.244, 1, 3, 3
1988, 30.2661705555556, 33.9693, 3, 5, 12
1989, 29.15624, 31.1974, 2, 5, 8
1990, 32.7760230769231, 36.0272000000001, 1, 13, 13
1991, 26.5030119047619, 32.9761, 2, 7, 10
1992, 29.9478217120182, 33.36, 7, 9, 40
1993, 27.654075, 29.5232, 2, 4, 7
1994, -99.9, -99.9, 0, -99.9, 0
1995, 28.0886305555556, 32.3928, 3, 4, 10
1996, 28.7481666666667, 34.8159, 4, 3, 12
1997, -99.9, -99.9, 0, -99.9, 0
1998, 29.8311442857143, 36.5093, 5, 7, 28
1999, -99.9, -99.9, 0, -99.9, 0
2000, 30.2182333333334, 30.9372, 1, 3, 3
2001, 28.5223714285715, 30.0268, 1, 7, 7
2002, -99.9, -99.9, 0, -99.9, 0
2003, 29.24278, 31.073, 1, 5, 5
2004, 31.7118666666667, 31.8341, 1, 3, 3
2005, -99.9, -99.9, 0, -99.9, 0
2006, 29.7729166666667, 31.93, 2, 3, 6
2007, 27.2908286666667, 43.7791, 5, 12, 28
2008, 25.6296383333334, 33.3295, 3, 5, 12
2009, 28.5059433333333, 32.6379, 5, 4, 17
2010, 24.715375, 26.1085, 1, 4, 4
2011, 26.4878708333334, 29.6624, 2, 4, 7
2012, 26.7700333333334, 32.6816, 3, 9, 16
2013, 27.4614984848485, 31.4889, 2, 11, 14
2014, 31.1591792063492, 41.1442, 7, 9, 35
2015, 29.3667869047619, 34.6135, 3, 7, 14
2016, 20.588, 21.9385, 1, 7, 7
2017, 28.7577305555556, 34.2146, 4, 9, 28
2018, 24.9862561111111, 31.0227, 3, 5, 12
2019, 31.5865388888889, 33.9782, 3, 6, 12
2020, 29.3654472222222, 30.6661, 3, 4, 11
2021, -99.9, -99.9, 0, -99.9, 0
2022, 30.3760166666667, 36.3779, 2, 6, 9
2023, 30.13341625, 32.2425, 4, 5, 15
2024, 27.075625, 28.4343, 1, 4, 4
2025, 28.8085166666667, 31.7237, 3, 6, 12
2026, 30.5516, 34.3434, 2, 3, 6
2027, 31.3815417777778, 36.6809, 5, 12, 34
2028, 30.0824744940476, 34.3674, 4, 10, 28
2029, 31.6085958333334, 32.4858, 2, 4, 7
2030, 27.9234, 28.5642, 1, 5, 5
2031, -99.9, -99.9, 0, -99.9, 0
2032, 29.6906166666667, 37.7384, 4, 14, 26
2033, -99.9, -99.9, 0, -99.9, 0
2034, 26.2600666666667, 26.8942, 1, 3, 3
2035, 32.8371833333334, 34.8659, 1, 6, 6
2036, 25.3992266666667, 28.5487, 3, 5, 11
2037, 27.7283549242424, 34.8257, 3, 11, 25
2038, 29.3649333333334, 32.2126, 1, 3, 3
2039, 26.9623698717949, 33.0301, 4, 13, 24
2040, 27.45178125, 32.4699, 2, 8, 12
2041, 28.7229916666667, 31.6294, 2, 4, 7
2042, -99.9, -99.9, 0, -99.9, 0
2043, 30.482325, 31.869, 2, 6, 9
2044, 29.4593055555556, 34.5937, 3, 5, 12
2045, 27.045625, 34.3152, 4, 4, 13
2046, 27.9948977777778, 32.2592, 6, 5, 22
2047, 32.4951743589744, 43.2271, 6, 13, 32
2048, 32.0201409313726, 43.1321, 6, 17, 44
2049, 29.1366336805556, 36.1379, 4, 9, 24
2050, 20.5608, 22.0251, 1, 3, 3
2051, 29.1165270833334, 31.5101, 4, 6, 16
2052, -99.9, -99.9, 0, -99.9, 0
2053, 29.8482761904762, 37.6341, 7, 12, 40
2054, 26.8958928571429, 33.5059, 2, 7, 10
2055, 29.1881140714286, 36.4281, 5, 8, 27
2056, 27.05295, 27.8679, 1, 4, 4
2057, 31.1864166666667, 33.8562, 2, 3, 6
2058, 33.5724583333334, 38.8329, 4, 12, 26
2059, 26.9001686868687, 31.9226, 3, 11, 19
2060, -99.9, -99.9, 0, -99.9, 0
2061, 29.6132, 30.6019, 1, 3, 3
2062, 30.1955101139601, 43.3081, 3, 13, 26
2063, 29.7421333333333, 32.3349, 2, 3, 6
2064, 27.8355842796093, 37.023, 7, 13, 40
2065, 28.1115197916667, 34.7492, 4, 8, 15
2066, 29.3898282539683, 37.1084, 5, 9, 32
2067, 27.52528, 30.5273, 2, 5, 8
2068, 31.3055875, 38.9722, 6, 8, 35
2069, 31.7766386904762, 39.4831, 4, 7, 19
