"Description: ","Monthly percentage of days when TX > 90th percentile"
"Station: ","final_1971_2005_Moscow_rcp85"
"Latitude: ","55.75"
"Longitude: ","37.56"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tx90p, normalised (all years)
1971-01, 3.2258064516129, -0.798172951130061
1971-02, 7.14285714285714, -0.603765891482544
1971-03, 0, -0.958272882604487
1971-04, 6.66666666666667, -0.627399690890673
1971-05, 6.45161290322581, -0.638073019655634
1971-06, 10, -0.461963095033766
1971-07, 29.0322580645161, 0.482626500665347
1971-08, 3.2258064516129, -0.798172951130061
1971-09, 6.66666666666667, -0.627399690890673
1971-10, 6.45161290322581, -0.638073019655634
1971-11, 13.3333333333333, -0.29652649917686
1971-12, 16.1290322580645, -0.157773225232357
1972-01, 3.2258064516129, -0.798172951130061
1972-02, 10.3448275862069, -0.444848964427879
1972-03, 0, -0.958272882604487
1972-04, 10, -0.461963095033766
1972-05, 19.3548387096774, 0.00232670624206896
1972-06, 13.3333333333333, -0.29652649917686
1972-07, 6.45161290322581, -0.638073019655634
1972-08, 6.45161290322581, -0.638073019655634
1972-09, 0, -0.958272882604487
1972-10, 9.67741935483871, -0.477973088181208
1972-11, 40, 1.0269662676784
1972-12, 6.45161290322581, -0.638073019655634
1973-01, 3.2258064516129, -0.798172951130061
1973-02, 0, -0.958272882604487
1973-03, 0, -0.958272882604487
1973-04, 0, -0.958272882604487
1973-05, 6.45161290322581, -0.638073019655634
1973-06, 0, -0.958272882604487
1973-07, 3.2258064516129, -0.798172951130061
1973-08, 0, -0.958272882604487
1973-09, 3.33333333333333, -0.79283628674758
1973-10, 9.67741935483871, -0.477973088181208
1973-11, 6.66666666666667, -0.627399690890673
1973-12, 3.2258064516129, -0.798172951130061
1974-01, 32.258064516129, 0.642726432139773
1974-02, 7.14285714285714, -0.603765891482544
1974-03, 6.45161290322581, -0.638073019655634
1974-04, 16.6666666666667, -0.13108990331995
1974-05, 0, -0.958272882604487
1974-06, 0, -0.958272882604487
1974-07, 12.9032258064516, -0.317873156706783
