"Description: ","Monthly number of days when TX >= 30 degrees_C"
"Station: ","final_1971_2005_Moscow_rcp85"
"Latitude: ","55.75"
"Longitude: ","37.56"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, txge30, normalised (all years)
1971-01, 0, -0.367164417975204
1971-02, 0, -0.367164417975204
1971-03, 0, -0.367164417975204
1971-04, 0, -0.367164417975204
1971-05, 0, -0.367164417975204
1971-06, 0, -0.367164417975204
1971-07, 7, 2.50492400916607
1971-08, 0, -0.367164417975204
1971-09, 0, -0.367164417975204
1971-10, 0, -0.367164417975204
1971-11, 0, -0.367164417975204
1971-12, 0, -0.367164417975204
1972-01, 0, -0.367164417975204
1972-02, 0, -0.367164417975204
1972-03, 0, -0.367164417975204
1972-04, 0, -0.367164417975204
1972-05, 2, 0.453432275493733
1972-06, 2, 0.453432275493733
1972-07, 2, 0.453432275493733
1972-08, 0, -0.367164417975204
1972-09, 0, -0.367164417975204
1972-10, 0, -0.367164417975204
1972-11, 0, -0.367164417975204
1972-12, 0, -0.367164417975204
1973-01, 0, -0.367164417975204
1973-02, 0, -0.367164417975204
1973-03, 0, -0.367164417975204
1973-04, 0, -0.367164417975204
1973-05, 0, -0.367164417975204
1973-06, 0, -0.367164417975204
1973-07, 1, 0.0431339287592646
1973-08, 0, -0.367164417975204
1973-09, 0, -0.367164417975204
1973-10, 0, -0.367164417975204
1973-11, 0, -0.367164417975204
1973-12, 0, -0.367164417975204
1974-01, 0, -0.367164417975204
1974-02, 0, -0.367164417975204
1974-03, 0, -0.367164417975204
1974-04, 0, -0.367164417975204
1974-05, 0, -0.367164417975204
1974-06, 0, -0.367164417975204
1974-07, 5, 1.68432731569714
1974-08, 3, 0.863730622228201
1974-09, 0, -0.367164417975204
1974-10, 0, -0.367164417975204
1974-11, 0, -0.367164417975204
1974-12, 0, -0.367164417975204
1975-01, 0, -0.367164417975204
1975-02, 0, -0.367164417975204
1975-03, 0, -0.367164417975204
1975-04, 0, -0.367164417975204
1975-05, 0, -0.367164417975204
1975-06, 2, 0.453432275493733
1975-07, 0, -0.367164417975204
1975-08, 0, -0.367164417975204
1975-09, 0, -0.367164417975204
1975-10, 0, -0.367164417975204
1975-11, 0, -0.367164417975204
1975-12, 0, -0.367164417975204
1976-01, 0, -0.367164417975204
1976-02, 0, -0.367164417975204
1976-03, 0, -0.367164417975204
1976-04, 0, -0.367164417975204
1976-05, 2, 0.453432275493733
1976-06, 4, 1.27402896896267
1976-07, 0, -0.367164417975204
1976-08, 0, -0.367164417975204
1976-09, 0, -0.367164417975204
1976-10, 0, -0.367164417975204
1976-11, 0, -0.367164417975204
1976-12, 0, -0.367164417975204
1977-01, 0, -0.367164417975204
1977-02, 0, -0.367164417975204
1977-03, 0, -0.367164417975204
1977-04, 0, -0.367164417975204
1977-05, 0, -0.367164417975204
1977-06, 0, -0.367164417975204
1977-07, 0, -0.367164417975204
1977-08, 0, -0.367164417975204
1977-09, 0, -0.367164417975204
1977-10, 0, -0.367164417975204
1977-11, 0, -0.367164417975204
1977-12, 0, -0.367164417975204
1978-01, 0, -0.367164417975204
1978-02, 0, -0.367164417975204
1978-03, 0, -0.367164417975204
1978-04, 0, -0.367164417975204
1978-05, 0, -0.367164417975204
1978-06, 0, -0.367164417975204
1978-07, 0, -0.367164417975204
1978-08, 0, -0.367164417975204
1978-09, 0, -0.367164417975204
1978-10, 0, -0.367164417975204
1978-11, 0, -0.367164417975204
1978-12, 0, -0.367164417975204
1979-01, 0, -0.367164417975204
1979-02, 0, -0.367164417975204
1979-03, 0, -0.367164417975204
1979-04, 0, -0.367164417975204
1979-05, 0, -0.367164417975204
1979-06, 0, -0.367164417975204
1979-07, 1, 0.0431339287592646
1979-08, 0, -0.367164417975204
1979-09, 0, -0.367164417975204
1979-10, 0, -0.367164417975204
1979-11, 0, -0.367164417975204
1979-12, 0, -0.367164417975204
1980-01, 0, -0.367164417975204
1980-02, 0, -0.367164417975204
1980-03, 0, -0.367164417975204
1980-04, 0, -0.367164417975204
1980-05, 0, -0.367164417975204
1980-06, 0, -0.367164417975204
1980-07, 0, -0.367164417975204
1980-08, 0, -0.367164417975204
1980-09, 0, -0.367164417975204
1980-10, 0, -0.367164417975204
1980-11, 0, -0.367164417975204
1980-12, 0, -0.367164417975204
1981-01, 0, -0.367164417975204
1981-02, 0, -0.367164417975204
1981-03, 0, -0.367164417975204
1981-04, 0, -0.367164417975204
1981-05, 0, -0.367164417975204
1981-06, 0, -0.367164417975204
1981-07, 0, -0.367164417975204
1981-08, 0, -0.367164417975204
1981-09, 0, -0.367164417975204
1981-10, 0, -0.367164417975204
1981-11, 0, -0.367164417975204
